"io-title","СУПЕРНИКИ"
"io-hub-ask-pyramid-txt","Службовець із [щирим захватом|неприхованим роздратуванням|непідробним страхом|щирим подивом|очевидною ворожістю|неприхованою нудьгою|деякою збентеженістю|ноткою запопадливості] у голосі пояснив: у цьому світі є лише одна Золота піраміда! Щоб її знайти, спершу пошукайте золоті пломби, які вкажуть дорогу. Проте їх можна знайти у найскладніших провінціях. Щойно Ви чи Ваші _суперники_ знайдете піраміду, настане кінець світу. Але не бійтеся! Невдовзі сформується новий світ."
"io-hub-ask-crates-txt","Службовець пояснив: за розвідку й відкриття нових локацій Вам дарують нові _ящики_. Хоч у поточній експедиції ними не скористаєтесь, та в наступних експедиціях до них буде доступ і можна буде взяти спорядження."
"io-hub-ask-medals-txt","Службовець пояснює: у винагороду за відкриття територій та інше Ви отримуватимете _медалі_, $name. За ці медалі можна _взяти_ ящик. Такі ящики не одноразові, їх можна використовувати постійно."
"io-hub-ask-provinces-txt","Службовець пояснив: території складаються в _провінції_, відповідно до рівня труднощів їх дослідження. Ця застава розташована в провінції $segmentname. Ви дізнаєтеся, що ввійшли до нової провінції, оскільки буде вказано її назву та рівень складності. Майте на увазі, що не в усіх провінціях є застави."
"io-hub-ask-badges-txt","Службовець пояснив: у деяких ящиках є _емблеми_. Їх можна використати для спорядження нової експедиції, створивши нові можливості. _Емблемник_ завжди до Ваших послуг, щоби допомогти з цим."
"io-hub-ask-fame-txt","Службовець пояснює: Ви можете здобути більше слави під час дослідження, відкриваючи території та застави. Але щоби славу приносили _скарби_, приносьте всі знахідки до застави. Тамтешні жителі будуть вельми вражені. При бажанні багато знайдених скарбів можна _зберегти_ і розібрати на коштовності. Тоді люди будуть менш вражені. У кінці світу найславетніші з _суперників_ здобудуть додаткову медаль."
"cl-badgeServant-ask","[Серйозно?|Знову?|Ще одне?|Та скільки можна!|Стільки запитань...|Що на цей раз?|Є питання, так?|Вам ще не набридло?|Ліпше б це стосувалось емблем.|Ви ніколи не знайдете піраміду.|Ще один тупий дослідник.|Ох.|Трясця!|*пильно дивиться в очі*]"

"io-deliverFameItems-action","Відвезти скарби"
"io-deliverFameItems-title","Скарби"
"io-badgeServant-deliverAnimalSupplies-title","Сировина для опудал"
"evt-polarStation-stash-done","Чоловік [пообіцяв|сказав|запевнив нас], що наші [цінності|скарби|товари|речі] [зараз же|негайно|якнайшвидше|щойно він подрімає] будуть [відправлені|відвезені] [саньми|кур'єром|санами] із запряженим [собаками|хаскі]."

"pk-blackMarket","На заставі буде більший вибір для придбання спорядження."
"pk-journalist-1","Підвищує кількість слави за привезені скарби."
"evt-harbor-select-action","Обміняти на спорядження"
"item-help-trade","На заставі можна обміняти на славу."
"io-help-compass","Компас вказує напрям найближчої незнайденої застави та відстань до неї."

"io-region-article"," "
"na-io-DifficultySegments","[$ioNoun $ioSpecial|$ioAdjective $ioNoun|$ioAdjective $ioNoun $ioSpecial]"
"np-io-adjective","[Темна|Порожня|Нескінченна|Велика|Золота|Невидима|Бентежна|Забута|Гнила|Заквітчана|Маленька|Стара|Кривава|Чорна|Біла|Неймовірна|Страшна|Свята|Прадавня|Зелена|Нова|Срібна]"
"np-io-noun","[Долина|Земля|Країна|Рівнина|Низовина|Ущелина|Гора|Вершина|Галявина|Котловина|Балка|Лощина|Поляна|Рука|Голова|Нога|Дупа|Улоговина|Колиска|Печера|Десниця|Правиця||Скеля|Зоря|Зірка|Матір|Купина]"
"np-io-special","[Богів|Пекла|Смерті|Відчаю|Розрухи|Щастя|Божевілля|Смутку|Гроз]"

"na-io-unlocked-segments","[$ioNoun $ioNameська|$ioNameська $ioNoun|$ioNoun $ioName|$ioName $ioSpecial|$ioAdjective $ioNameівка|$ioAdjective $ioNameівка $ioSpecial]"

"pk-die-magic","Додає додатковий кубик чарів."
"pk-die-magic-title","Маг"

"pk-goodReputation-io","Репутація швидше покращується."

"bonus-standingBias","Упередження"
"bonus-turnsForStandingBias","Днів до упередженого ставлення"

"io-balloon-travel","Політ"
"help-balloon","Поверніться до найближчої застави на повітряній кулі. Кількість місць на кулі обмежене."

"pack-automatic","Ящик $item"
"pack-starter","Ящик початківця"
"pack-survival","Похідний ящик"
"pack-mystery-egg","Загадкове яйце"
"pack-healthcare","Меддопомога"
"pack-adventurers-pack","Ящик мандрівника"
"pack-tribal-combat","Сутичка з туземцями"
"pack-magic-apprentice","Чарівник-учень"
"pack-magic-terraform","Землечародій"
"pack-magic-teleport","Чарівник-телепортувальник"
"pack-magic-curse","Лихий чарівник"
"pack-mushroom-collector","Колекціонер грибів"
"pack-army-supplies","Військові запаси"
"pack-shady-trader","Підозрілий торговець"
"pack-scouting","Ящик розвідника"
"pack-climber","Ящик скелелаза"
"pack-arctic","Арктичний ящик"
"pack-chocolate-addict","Шоколадоманія"
"pack-chocolate-addict-2","Шоколадоманія 2"
"pack-whiskey-lover","Любитель віскі"
"pack-whiskey-lover-2","Любитель віскі 2"
"pack-simple-needs","Насущні потреби"
"pack-effects","Ящик ефектів"
"pack-musician","Ящик музиканта"
"pack-high","Високий ящик"
"pack-pendulum","Маятник"
"pack-explosion-expert","Майстер вибухів"
"pack-sail-ho","Бачу судно"
"pack-animal-capacity","Кінська сила"
"pack-art-lover","Естет"
"pack-lovecraft","Лавкрафт"
"pack-peace","Ящик миру"
"fortune-teller","Ворожка"
"pack-plane-traveller","Любитель польотів"
"pack-shaman","Шаман"
"pack-alternative-medicine","Нетрадиційна медицина"
"pack-cultist","Ящик культиста"
"pack-dino-friends","Друзі динозаврів"
"pack-monster-master","Повелитель монстрів"
"pack-animal-whisperer","Заклинач тварин"
"pack-endlesss-light","Вічне світло"
"pack-blood-prince","Кровний принц"
"pack-yeti","Фальшивий друг"
"pack-battleCat","Бойовий кіт"
"pack-holyPug","Святий мопс"
"pack-darkLord","Князь Темряви"
"pack-animalTrade","Ящик сировини для опудал"
"pack-hyena-pack","Зграя гієн"
"pack-wildlife","Ящик дикої природи"
"pack-natives-skills","Ящик місцевих навичок"
"pack-natives-magic","Ящик знахаря"
"pack-lizards","Ящик людоящерів"
"pack-trader-marbles","Ящик торговця"
"pack-bbq","Пікніковий ящик"
"pack-mountaineering","Ящик скелелаза"
"pack-soldiers","Воїни Авалону"
"pack-teslaGun","Ящик лаборанта"
"pack-butterflyAssistant","Ящик метеликолюба"
"pack-arcticSpecialist","Ящик арктикознавця"
"pack-packAnimals","В'ючні тварини"
"pack-native-expert","Ящик культуролога"

"st-feihong-desc","Отримує додатковий кубик бойового мистецтва."

"io-pyramid-leave","Видряпайте моє ім'я!"

"io-splash-chat-welcome","Запрошуємо до нового гуртомграю!"
"io-splash-chat-title","Curious Expedition _RIVALS_!"
"io-splash-chat-pause","Мм, так..."
"io-splash-chat-largeWorld","У цій грі можна досліджувати величезні світи."
"io-splash-chat-notAlone","Та ще й з іншими гравцями!"
"io-splash-chat-peoplePlaying","_$playerCount_ людей було в грі за минулі кілька годин."
"io-splash-chat-remembered","Їхні імена збережуться в історії відкритих ними територій."
"io-splash-chat-cool","Це дивовижно!"
"io-splash-chat-right","Хіба ні? Просто як у «No Man's»..."
"io-splash-chat-highscore","А ще тут можна встановлювати рекорди."
"io-splash-chat-bestPlayer","$playerBestName б'є всі рекорди з рахунком $playerBestScore."
"io-splash-chat-worldReset","Час від часу світи і таблиця рекордів обнуляються."
"io-splash-chat-world","Зараз маємо світ $worldNumber, який існував $worldDuration."
"io-splash-chat-donkey","Звідки тут балакучий віслюк?"
"io-splash-chat-oh","Ну... це нічого."
"io-splash-chat-seeRest","Тут Ви ще не таке побачите."
"io-splash-chat-adventure","Гайда до нових пригод!"

"io-splash-chat-returningPlayer","З поверненням до Curious Expedition RIVALS!"
"io-splash-chat-worldInfo","Світ $worldNumber [проіснував|існує|досліджувався] $worldDuration."
"io-splash-chat-playedSessions","Недавно [було|відбулося] $playedSessions [поїздок|експедицій|подорожей]."
"io-splash-chat-worldExplored","[Досліджено|Відкрито|Розблоковано] $worldExplored світу."
"io-splash-chat-outposts","Спільними зусиллями дослідники розблокували $unlockedhubs застав."
"io-splash-chat-gamesPlayed","[Поки що|На цей час|На сьогодні] Ви [почали|розпочали|спробували пройти] $numgamesthisuser [експедицій|пригод|походів|подорожей]."

"io-worldDuration-end","Цей світ зникне за"
"io-splash-chat-packs","Не забувайте перевіряти здобуті ящики."
"io-splash-chat-fail","Невдачі — це нормально. Просто спробуйте знову з іншими ящиками."
"io-splash-chat-friends","Розкажіть друзям про гру."
"io-splash-chat-discord","Приєднайтеся до нашої спільноти на Discord, натиснувши верхню кнопку справа."

"io-worldDuration-days","дні(в)"
"io-worldDuration-day","день"
"io-worldDuration-hours","год."
"io-worldDuration-hour","година"
"io-worldDuration-minutes","хв."
"io-worldDuration-minute","хвилина"
"io-worldDuration-seconds","сек."
"io-worldDuration-second","секунда"
"io-worldDuration-new","Кінець цього світу! Скоро почнеться новий."

"io-return-tce","Вийти"
"io-return-tce-tooltip","Повернутися до самітного режиму Curious Expedition."

"io-discord","Приєднайтеся до нашої спільноти на Discord!"

"io-st-exhausted-title-1","Легке розумове виснаження"
"io-st-exhausted-title-2","Середнє розумове виснаження"
"io-st-exhausted-title-3","Сильне розумове виснаження"
"io-st-exhausted-title-4","Жахливе розумове виснаження"
"io-st-exhausted","Ви перевтомилися через таке довге дослідження. У Вас підвищені затрати глузду і знижений максимальний глузд."
"io-st-faithless-title","Невірний Хома"
"io-st-faithless","Без віри в повернення з експедиції. Постійно втрачає очки відданості."
"pack-artist","Мандрівний митець"
"pk-greatReputation-title-io","Чудова репутація"
"pk-bartering-title-io","Досвідчений торговець"
"pack-smallArmy","Мала армія"
"pack-huntingTrip","Лови"
"pack-bestWorlds","Найкращий у світі ящик"
"pack-combatExplorer","Бойовий дослідник"

"io-exhausted-1-intro","Цієї ночі, сидячи біля вогню, мене мучив тягар останніх днів. Заради затишку я віддам усе. У мене болять ноги і я сумую за гарячою ванною. Утома зламала мене."
"io-exhausted-1-trek","Я оглядаюся і бачу, які стали стомлені обличчя моїх товаришів."

"io-exhausted-2-intro","Відчуваю, що мій терпець скоро урветься. Ця експедиція триває довше, ніж планувалося, а я не знаю скільки ще зможу це витримувати."
"io-exhausted-2-trek","Усі навколо здавалися такими ж виснаженими. Цікаво, скільки ще я зможу втримувати ситуацію під контролем."

"io-exhausted-3-intro","Це кінець. Як можна рухатися далі, провівши тут стільки часу? Гадаю, якщо піду звідси, то це все точно погано скінчиться. Треба спинитись."
"io-exhausted-3-trek","Мої супутники стали жалюгідними тінями себе колишніх. Ще кілька днів — і вони почнуть розривати один одного на шматки."

"io-exhausted-4-intro","Це божевілля. Я не пам'ятаю свого життя до експедиції. Надія зникла, залишивши по собі пустку. Кінець уже близько."
"io-exhausted-4-trek","Решта просто тихо сиділи, не розмовляючи між собою цілими днями. Чи можна їм ще довіряти?"

"io-exhausted-single-trek-generic","[Останніми днями $name майже не розмовляє|Мені страшно, я і $name майже не розмовляємо|Мені цікаво, про що думає $name|$Name має дуже поганий вигляд|$name тихо схлипує]. [$he вперше поводиться так тихо|Я боюся просити $his збиратися і продовжувати путь на світанку|Не знаю, чи $he спить, чи просто дивився в темряву|Цікаво, що $he розповідатиме, якщо повернеться|Мене мучить питання, скільки $he ще витримає]."
"io-exhausted-single-trek-extreme","[$name ледь дихає|$name має дуже кепський вигляд, і це мене непокоїть]. [Уявляю, як прикро буде поховати $his|Це ж треба було затягнути $his в цю тупу експедицію]."
"io-exhausted-animal-generic","[Я дивлюся, що робить $name|$name тихо сидить біля вогнища|$name дарує мені надію|$name мовчки щось жує]. [За всі ці роки у мене ніколи не було такого вірного супутника|Не уявляю, як можна було б обійтися без $him4|Годі було й мріяти про кращого попутника, ніж $he|Ця тварина значить для мене більше за будь-кого|$His лагідні очі тихо спостерігають за мною]."

"io-exhausted-genericComments","[Мені важко.|Може, повернутися додому?|Ми тут поздихаємо.|Нащо ми в це вляпалися?|Що, не могли вгомонитися?|Я не витримаю це довше, ніж кілька днів!]"

"io-exhausted-keepGoing","Я підводжу голову і твердо кажу, що цей день не стане днем моєї поразки. У мене ще залишилося трохи надії."
"io-exhausted-onward","Уперед!"

"io-help-days-remaining","Експедиція завершиться за $days дні(в)."

"io-hotAirBalloon-access","Повітряна куля готова до польоту. Тільки ось місця там замало, тож усе зайве доведеться залишити."
"evt-hotAirBalloon-stash-action-io","Летіти до застави"

"npc-badgeServant-title","Емблемник"
"badge-treasureHunter-name","Емблема шукача скарбів"
"badge-animalTrade-name","Емблема опудальника"
"badge-treasureHunter","Емблема спілки скарбошукачів. Віддайте її емблемнику для регулярного постачання спорядження скарбошукача."
"badge-animalTrade","Емблема спілки опудальників. Віддайте її емблемнику, щоб продавати зібрані тваринні трофеї як матеріал для опудал. Через убивство тварин ставлення до Вас не погіршуватиметься."
"act-badgeServant-intro","Знайти емблемника"
"act-badgeServant-noBadge","Я не маю емблем"
"badgeServant-noBadge","Постать просто стоїть і якийсь час мене розглядає. Навіть маска, яка приховувує обличчя, виражає презирство. Зрештою, постать починає повільно хитати головою, сподіваючись, що я нарешті піду."
"badgeServant-intro","Я підходжу до дивної постаті в масці та яскраво-оранжевому одязі. Видно, що ця особа не дуже рада тут бути. Щоб її бачили здалеку, до спини прикріплений великий прапор. З-під маски долинав [тихий|беземоційний|нудний|втомлений|гугнявий] голос із проханням показати емблему."
"act-badgeServant-treasureHunter","Емблема шукача скарбів"
"act-badgeServant-animalTrade","Емблема опудальника"
"act-badgeServant-sellTrophies","Продати мисливські трофеї"
"act-badgeServant-tradeFameTrophies","Обміняти мисливські трофеї на славу"
"badgeServant-refill-generic","Переглянувши якісь документи, емблемник тихо кивнув головою і сказав, що надійшла нова партія спорядження. Мені треба ще раз показати емблему. Дивна особа недовірливо витріщилася на неї, а тоді, роздратовано зітхнувши, емблемник віддав мені пакунок з припасами."
"badgeServant-refill-fail-generic","Емблемник сказав, що ще зарано. Наступна партія припасів прибуде за кілька днів."
"cl-badgeServant-intro","[Надаю послуги тільки дослідникам з емблемою|Спочатку я мушу побачити Вашу емблему|Тоді не будемо зволікати|Немає емблеми — нічого немає|Не марнуйте мій час, якщо не маєте емблеми|Сподіваюся, Ви маєте емблему|Тільки для власників емблем]."
"cl-badgeServant-generic-wait","[Кажуть, терплячість — це сила.|Почекайте ще трішки.|Сьогодні я нічим не можу Вам допомогти.|Вам хвіст загорівся?|Я так бачу, що терплячість — то не про Вас?]"
"cl-badgeServant-generic-refillTreasureHunter","[Ось|Просто беріть і йдіть звідси|Це мій обов'язок, не треба дякувати|Цього вистачить, щоб викопати ще скарбів|Вдалого пошуку скарбів]."
"badgeServant-animalTrade","Перевіривши мою емблему вдруге, службовець подобрішав. Він запропонував купити в мене всі мисливські трофеї є — на продаж чи для слави. Запевнив, що опудальники дуже потребують сировини."
"cl-badgeServant-animalTrade","[О, Ви були на полюванні.|Чудово, мої клієнти зрадіють новим товарам.|Маєте якусь сировину?|Ворушіться, клієнти чекають.|Ви на службі, як і я.]"

"io-endGame","Вітання, Ви пережили цю експедицію! Час гонорово повертатися додому!"
"io-gameover-success","Ви повернулися зі славою!"

"io-pyramid-found","Вітаємо, Ви знайшли Золоту піраміду! Тепер у Discord маєте доступ до альфи Curious Expedition 2 для Windows!"
"io-pyramid-found-other","Піраміду знаходить $user. Однак Ви теж можете її знайти й отримати доступ до альфи Curious Expedition 2 для Windows!"
"io-pyramid-not-found","Піраміду в цьому світі ще не знайдено. Знайдіть її та отримайте доступ до альфи Curious Expedition 2 для Windows!"
"io-pyramid-activate","Отримати доступ до альфи"

"io-alpha-yourkey","Ваш ключ до альфи:"
"io-alpha-instructions-header","Виконайте ці дії, щоб зіграти в альфу Curious Expedition 2 для Windows!"
"io-alpha-instructions-1","1. Клацніть на кнопку внизу, щоб долучитися до нашого серверу Discord"
"io-alpha-instructions-2","2. Клацніть на «Mr. Slippers» у переліку користувачів праворуч"
"io-alpha-instructions-3","3. Надішліть свій ключ (скопійований у буфер обміну) як сповіщення до Mr. Slippers"
"io-alpha-instructions-4","4. Mr. Slippers надасть Вам доступ до альфи"
"io-alpha-join","Зайдіть у Discord, щоб отримати альфу"

"io-alpha-notify-title","Доступ до альфи розблоковано!"
"io-alpha-notify-desc","Зайдіть у меню налаштування для довідки про гру Curious Expedition 2."

"pl-arcticHunter-title","Місцевий мисливець"
"st-pathfinder-1-title","Провідник 1"
"st-pathfinder-2-title","Провідник 2"
"st-pathfinder-3-title","Провідник 3"
"st-pathfinder-4-title","Провідник 4"
"st-pathfinder-description","Менш затратне переміщення арктичними територіями."
"evt-village-recruit-select-humanoid-arcticHunter-action","Мисливець $name"
"evt-village-recruit-select-humanoid-arcticHunter","[Без знання цих крижаних земель буде важко|Безперечно, у нашій ситуації дуже потрібен гід| Ми впевнені, що деякий час проведемо в Арктиці], тому $name тепер у нашій команді."

"pl-scientificAssistant-title","Асистент науковця"
"pk-researchAssistance-1-title","Допомога в дослідженні 1"
"pk-researchAssistance-2-title","Допомога в дослідженні 2"
"pk-researchAssistance-3-title","Допомога в дослідженні 3"
"pk-researchAssistance-4-title","Допомога в дослідженні 4"
"pk-researchAssistance-description","Підвищує розсудливість від відкриття нового виду метеликів."

"anm-yakul-title","Якул"
"anm-yakul","Надійна тварина, схожа на оленя. Вона дуже швидка в упряжі і може легко вилізти на будь-який пагорб."

"emy-trex-name","Тиранозавр рекс"
"it-trexTooth-name","Зуб тиранозавра"
"it-trexTooth","Зуб тиранозавра. Дуже цінний."
"zn-trex-name","Тиранозавр"
