"io-title","对决"
"io-highscores-lifetime-goalspeed","最快金字塔"
"io-highscores-goals","发现金字塔"
"io-highscores-page","第$page页"
"io-help-standing","糟糕的土著关系不会一直持续下去：不良行为会随着时间流逝而被遗忘。"
"io-hub-name","营地"
"io-hub-approach-action","解锁营地"
"io-hub-enter-action","进入营地"
"io-hub-unlocked","发现营地$val ！"

"io-user-best-score","最著名探险"
"io-user-best-claims","单个世界最多区域"
"io-user-best-pyramid-rank","最佳金字塔发现排名"
"io-user-best-pyramid-time","最快金字塔发现"
"io-user-best-pyramid-count","金字塔发现数"
"io-user-best-num-expeditions","探险次数"
"io-user-best-num-worlds","游戏世界数"
"io-user-best-num-claims","区域总数"
"io-user-best-num-hubs","发现营地数"

"io-pyramid-unclaimed","《对决》世界中有一座金字塔。这个金字塔一旦被发现，将出现一个预示该世界结束的计时器。"

"io-livelog-claim","$user ($xCoord, $yCoord) 发现了一处在 $segment 中的区域"
"io-livelog-death","$user的[探险|跋涉|冒险|旅程]已[结束|终止|失败|完结|在悲剧中结束|在失败中结束|走到了终点]，最终在$days后止步于$segment，获得$fame声望"
"io-livelog-newTopScore","$user的[奇妙|惊人|精彩|华丽|不凡|疯狂|伟大|美丽][远征|旅途|冒险|旅程]现在成为了最为著名的探险，共$fame点声望！"
"io-livelog-newTopClaims","$user的[奇妙|惊人|精彩|华丽|不凡|疯狂的|伟大|美丽] [远征|旅途|冒险|旅程]现在成为了发现最多的探险，共$claims片区域！"
"io-livelog-newTrek","$user 在$segment 开始了一场新的[探险|远征|冒险|旅程]"
"io-livelog-unlockedOutpost","发现营地之后$oldname 现在[称为|名为|命名为]$newname "
"io-livelog-foundSeal","$user 在$segment中[遇到了|找到了|发现了|探索到了] 一处黄金封印，坐标为$xCoord，$yCoord。"
"io-livelog-goal-unlock","$user 到达了大金字塔！"
"io-goldenSeal","这一道光似乎正在指向$pyramidDir 。过了一会儿它就熄灭了。[如果我们向那条路进发的话会找到什么呢？|不知道我们是否应该朝那个方向走。|我敢肯定跟着这道光走不是什么好主意。|我感觉如果我们朝着那个方向走的话就只有可怕的事情会发生。|如果我们跟着光的话肯定能够到达荣耀之地的！]"

"io-salvage-verb","搜刮"

"io-hub-first","经过一段沿着湍急河流而上的奇异旅程之后，我抵达了_$segmentname营地_。派我到那的_探险家协会_为我提供了探索这块广阔土地所需的装备，但是并没有很好地解答为什么会派我到那的问题。前方唯有一条路：出发，去探索吧！冒险之旅在等着您！"
"io-hub-enter","我抵达了_$segmentname营地_，马上感觉舒服多了。那里有很多有用的服务供我使用。"
"io-hub-main","我依然还在_营地_。我发现，在出发之前，最好做些准备。还需要做点什么呢？"
"io-hub-main-action","回到营地"

"io-hub-healUnits-action","前往医务室"
"io-hub-healUnits-enter","我拜访了医务室。一位医生凑了过来询问谁需要治疗。"
"io-hub-healUnits-return","医生问我，他还能为我做些什么。"
"io-hub-healUnits-treatUnit","治疗$name "
"io-hub-healUnits-deal","医生治疗了$name所遭受的身体和精神创伤。$他$在治疗结束之后焕然一新。"

"io-hub-ask-action","询问有关这片土地的问题"
"io-hub-ask-return","询问其他问题"
"io-hub-ask-main","每个营地都有一名_徽章佣人_。虽然他的主要任务并不是回答愚蠢的问题，但他会以毫不伪装的藐视口吻回答问题。"
"io-hub-ask-return-txt","_徽章佣人_会一声不出的盯着您，激您提出其他问题。"
"io-hub-ask-regions","询问区域问题"
"io-hub-ask-outposts","询问营地问题"
"io-hub-ask-pyramid","询问金字塔问题"
"io-hub-ask-crates","询问套装问题"
"io-hub-ask-medals","询问奖牌问题"
"io-hub-ask-provinces","询问领域问题"
"io-hub-ask-badges","询问徽章问题"
"io-hub-ask-fame","询问声望问题"
"io-hub-ask-regions-txt","佣人解释说：这个世界氛围大小相同的_区域_。每个区域都分配了坐标，比如，这个营地位于$currentRegion。要发现一个区域，只需发现其中的所有地点。然后，这个区域会被标记为由您发现，注明$name，然后您会变得更加出名。您的_对手_可以看到您发现的区域，每个人的_世界地图_上都将标记您发现的区域。"
"io-hub-ask-outposts-txt","佣人解释说：_营地_是 _探险家协会_在这片奇怪土地上建立的一些文明。每个营地都位于快速流动的_河流_上，所有营地都相互联系在一起。要找到其他营地，只需沿着河流寻找，或者使用指南针，它会指向未被发现的最近营地。如果您，即$name是第一个找到一个营地的人，那么这个营地会以您的名字命名！不过，您的_对手_可能跟随您的脚步，轻松开始他们的进一步探险。"
"io-hub-ask-pyramid-txt","佣人眼中流露出一丝真实的[兴奋|紧张|恐惧|希望|害怕|惊讶|困惑|敌意|厌倦]，解释说：这个世界有且仅有一个_金字塔_！要找到它，先寻找能够指引方向的黄金封印，但这些封印都在最具挑战的领域。一旦金字塔被您或您的_对手_找到，这个世界的探索就接近尾声了。不过别着急！新世界很快将出现在您的面前。"
"io-hub-ask-crates-txt","佣人解释说：随着您探索和发行地点，您将收到新_套装_。虽然这些套装对您当前的探险没有帮助，不过您在未来的探险中可以使用这些套装，为跋涉增添装备。"
"io-hub-ask-medals-txt","佣人解释说：您将被授予$name_奖牌_，作为发现区域和其他物品的奖励。有了这些奖牌，您可以_持有_一个套装。持有的套装可以永久使用，而不会在使用过后消失。"
"io-hub-ask-provinces-txt","佣人解释说：按照探索难度，区域合起来构成_领域_。这个营地位于$segmentname领域。当您进入新领域，您会看到领域名称和难度等级。请注意，并不是所有领域都包含营地。"
"io-hub-ask-badges-txt","佣人解释说：部分套装含有_徽章_。这些徽章可用于装备新跋涉，以创造新的机会，这样，恭顺的_徽章佣人_将非常热于提供帮助。"
"io-hub-ask-fame-txt","佣人解释说：所在探索深入，不断发现区域和营地，您会变得越来越_著名_。不过，要想借助_宝藏_而变得著名，您必须向营地贡献一些物品。此举会给当地的人留下深刻印象。如果您想，可以_打捞_所发现的众多宝藏，并将其做成宝石。人们对此举的印象不会那么深刻。但仍然会留下一些印象。在这个世界结束时，最著名的_对手_将获得额外的奖牌。"
"cl-badgeServant-ask","[确定？|再来一次？|另一个？|不要另一个！|好多问题啊...|现在呢？|一个问题，是吗？|我们要再来一遍吗？|这个问题最好是关于徽章的。|您永远找不到金字塔。|另一个愚蠢的探险家。|哼哼。|哎！|*盯着您*]"

"io-deliverFameItems-action","送达宝藏"
"io-deliverFameItems-title","宝藏"
"io-badgeServant-deliverAnimalSupplies-title","剥制物资"
"evt-polarStation-stash-done","此人[承诺|表示|向我们保证]我们的[贵重物品|宝藏|商品|项目]将由[狗|赫斯基][雪橇|信使|转运][立即|马上|尽快|小睡一下之后][寄送|发送]到最近的营地。"

"pk-blackMarket","在营地可以交易更多物品。"
"pk-journalist-1","在送达宝藏时获得更多声望。"
"evt-harbor-select-action","换取装备"
"item-help-trade","可以通过交易赚取营地声望值。"
"io-help-compass","指南针会指明前往最近的未被发现营地的方向并显示距离。"

"io-region-article"," "
"na-io-DifficultySegments","[$ioSpecial $ioNoun|$ioSpecial之$ioNoun|$ioAdjective $ioNoun|$ioAdjective $ioSpecial]"
"np-io-adjective","[黑暗的|空洞的|无尽的|壮美的|隐形的|无情的|被遗忘的|腐烂的|怒放的|微小的|远古的|流血的|黑色的|白色的|不真实的|最黑暗的|神圣的|年老的|年轻的|新生的|将死的]"
"np-io-noun","[山谷|土地|领域|平原|区域|地带|山|山丘|森林|深坑|境界|手|脚|肚子|头|手臂|手指|背|轮|发源地|喷泉|泉水|山坳|地洞|剑|盾|星|孩子|父亲|祖先|长者]"
"np-io-special","[神|灵魂|死亡|绝望|废墟|幸运|疯狂|悲伤|暴风雨]"

"na-io-unlocked-segments","[属于$ioName的$ioNoun|$ioName的$ioNoun|$ioName之$ioNoun|$ioName的$ioSpecial|$ioAdjective $ioName|$ioName的$ioAdjective $ioSpecial]"

"pk-die-magic","获得额外的魔法骰子。"
"pk-die-magic-title","魔法师"

"pk-goodReputation-io","可以更快回复土著关系。"

"bonus-standingBias","土著关系恶化"
"bonus-turnsForStandingBias","距离土著关系恶化剩余天数"

"io-balloon-travel","飞行"
"help-balloon","用热气球回到最近的营地。热气球中只有有限的空间。"

"pack-automatic","$item套装"
"pack-starter","新手套装"
"pack-survival","生存套装"
"pack-mystery-egg","谜之蛋"
"pack-healthcare","保健"
"pack-adventurers-pack","冒险者套装"
"pack-tribal-combat","土著战"
"pack-magic-apprentice","魔法师学徒"
"pack-magic-terraform","地域魔法师"
"pack-magic-teleport","传送魔法师"
"pack-magic-curse","邪恶魔法师"
"pack-mushroom-collector","蘑菇收集器"
"pack-army-supplies","军队物资"
"pack-shady-trader","可疑的交易者"
"pack-scouting","侦察套装"
"pack-climber","登山套装"
"pack-arctic","北极套装"
"pack-chocolate-addict","巧克力成瘾"
"pack-chocolate-addict-2","巧克力成瘾2"
"pack-whiskey-lover","威士忌爱好者"
"pack-whiskey-lover-2","威士忌爱好者2"
"pack-simple-needs","基本需求"
"pack-effects","效果套装"
"pack-musician","音乐家套装"
"pack-high","高地套装"
"pack-pendulum","钟摆"
"pack-explosion-expert","爆破专家"
"pack-sail-ho","启航"
"pack-animal-capacity","动物负重"
"pack-art-lover","艺术爱好者"
"pack-lovecraft","洛夫克拉夫特"
"pack-peace","和平套装"
"fortune-teller","占卜者"
"pack-plane-traveller","平原行者"
"pack-shaman","萨满"
"pack-alternative-medicine","土方药"
"pack-cultist","邪教徒套装"
"pack-dino-friends","恐龙朋友"
"pack-monster-master","怪物大师"
"pack-animal-whisperer","兽语者"
"pack-endlesss-light","无尽之光"
"pack-blood-prince","血王子"
"pack-yeti","不太可能的朋友"
"pack-battleCat","战猫"
"pack-holyPug","圣哈巴狗"
"pack-darkLord","黑暗领主"
"pack-animalTrade","剥制物资套装"
"pack-hyena-pack","鬣狗套装"
"pack-wildlife","野生生物套装"
"pack-natives-skills","本土技能套装"
"pack-natives-magic","本土知识套装"
"pack-lizards","类蜥人套装"
"pack-trader-marbles","装备商人套装"
"pack-bbq","烧烤套装"
"pack-mountaineering","抱石运动套装"
"pack-soldiers","阿瓦隆军人"
"pack-teslaGun","实验室助手套装"
"pack-butterflyAssistant","蝴蝶狂热爱好者套装"
"pack-arcticSpecialist","北极专家套装"
"pack-packAnimals","负担野兽"
"pack-native-expert","本土专家套装"

"st-feihong-desc","获得额外的武术骰子。"

"io-pyramid-leave","刻下我的名字！"

"io-splash-chat-welcome","欢迎来到我们全新的多人游戏！"
"io-splash-chat-title","奇妙探险队：对决！"
"io-splash-chat-pause","那个，呃……"
"io-splash-chat-largeWorld","这是一个关于探索各种巨大的世界的游戏。"
"io-splash-chat-notAlone","是的，与其他的玩家一起探索！"
"io-splash-chat-peoplePlaying","在过去的几个小时内总共有_$playerCount_位玩家正在游玩。"
"io-splash-chat-remembered","我们根据他们所发现的地区记录下了他们的名字。"
"io-splash-chat-cool","棒极了！"
"io-splash-chat-right","对不对？就像无人……"
"io-splash-chat-highscore","哦，当然了，有这么一个高分榜。"
"io-splash-chat-bestPlayer","现在的最高分$playerBestScore是由$playerBestName所保持。"
"io-splash-chat-worldReset","世界与高分榜会定期重置。"
"io-splash-chat-world","现在的世界是$worldNumber，已经激活了$worldDuration。"
"io-splash-chat-donkey","为什么有只会说话的驴子？"
"io-splash-chat-oh","哦……这都没什么。"
"io-splash-chat-seeRest","把你的惊讶留到后面吧。"
"io-splash-chat-adventure","去吧，冒险在等着你！"

"io-splash-chat-returningPlayer","欢迎回到《奇妙探险队：对决》！"
"io-splash-chat-worldInfo","世界$worldNumber[已激活|正在运行|已被探索]，将持续$worldDuration。"
"io-splash-chat-playedSessions","这个世界[有|已有]$playedSessions场[跋涉|探险|旅程]。"
"io-splash-chat-worldExplored","世界中的$worldExplored已被[探索|发现|揭露]。"
"io-splash-chat-outposts","在大家的共同努力下，探险家已经解锁了$unlockedhubs营地。"
"io-splash-chat-gamesPlayed","[目前|截至现在|迄今为止]，在这个世界上，您[开始了|启动了|尝试了]$numgamesthisuser次[探险|冒险|跋涉|旅程]。"

"io-worldDuration-end","这个世界将结束于"
"io-splash-chat-packs","别忘了去看看您获得的新套装。"
"io-splash-chat-fail","失败也没有问题。试试不同的套装从头再来一遍。"
"io-splash-chat-friends","记得把《对决》这款游戏告诉你的朋友。"
"io-splash-chat-discord","加入我们的Discord社区。只要点击右上角的按钮就行了。"

"io-worldDuration-days","天"
"io-worldDuration-day","天"
"io-worldDuration-hours","小时"
"io-worldDuration-hour","小时"
"io-worldDuration-minutes","分"
"io-worldDuration-minute","分"
"io-worldDuration-seconds","秒"
"io-worldDuration-second","秒"
"io-worldDuration-new","本世界已完成！新的世界即将开启。"

"io-return-tce","退出"
"io-return-tce-tooltip","返回《奇妙探险队》单人模式："

"io-discord","加入Discord上的《对决》社区！"

"io-st-exhausted-title-1","轻微的精神疲惫"
"io-st-exhausted-title-2","中度精神疲惫"
"io-st-exhausted-title-3","强烈的精神疲惫"
"io-st-exhausted-title-4","极度精神疲惫"
"io-st-exhausted","探索了这么长时间，您非常疲惫。San值消耗增加，最大San值降低。"
"io-st-faithless-title","背信弃义"
"io-st-faithless","失去此次探险归来的希望。连续失去忠诚度。"
"pack-artist","旅行艺术家"
"pk-greatReputation-title-io","伟大名声"
"pk-bartering-title-io","专业商人"
"pack-smallArmy","小军队"
"pack-huntingTrip","狩猎旅行"
"pack-bestWorlds","双世界最佳套装"
"pack-combatExplorer","战斗探险家"

"io-exhausted-1-intro","那天晚上，我坐在火堆旁，感受到了最近几天付出的沉重代价。为了舒适，我会付出什么。我的脚受伤了，我渴望洗一个热水澡。我好累。"
"io-exhausted-1-trek","我看了看周围，发现小伙伴脸上的疲惫神情愈发明显。"

"io-exhausted-2-intro","我感觉非常接近我的个人极限。此次探险耗时已经远超预期，我不知道还能坚持多久。"
"io-exhausted-2-trek","其他人似乎也和我一样疲惫。我不知道我们还能一起前进多远。"

"io-exhausted-3-intro","情况就是这样。现在这种情况，我怎么才能继续啊。我确信，如果我继续下去，结局会很糟糕。我需要停下来。"
"io-exhausted-3-trek","其他人也累得没个人样了。数天之后，他们就一定会开始互相残杀。"

"io-exhausted-4-intro","这太疯狂了。我记不记得我来这里之前的生活了。我已经没有了希望，什么都没有了。一切就要结束了。"
"io-exhausted-4-trek","其他人都静静地坐在那里，大家都数天没说话了。我还能信任他们吗？"

"io-exhausted-single-trek-generic","[$name最后几天都没怎么说话|我不敢与$name讲话|我想知道$name在想什么|$Name的状态看起来真的很糟糕|$name在无声地哭泣]。[我从来没见过$他的$这么安静过|我害怕在日出之后叫$他的$收拾装备继续前行|我无法分辨$他$是睡着了还是快要死了|我想知道，如果我们能够回来，$他$会讲什么故事|我问自己，我还能向$他的$要求什么]。"
"io-exhausted-single-trek-extreme","[$name奄奄一息了|对于$name，我有一种不祥的感觉]。[我想象过埋葬$他的$时的感觉|我很后悔拉$他的$参加这次劫数难逃的探险]。"
"io-exhausted-animal-generic","[我看着$name|$name静静地站在火堆旁边|看着$name，我看到了一些希望|$name在安静地咀嚼什么东西]。[这么多年，我从来没见过这么忠诚的伙伴|没有$他的$，我不知道会怎么样|我觉得，没有比$他的$更出色的伙伴了|对我来说，这只动物意义重大|$他的$温暖的眼睛静静地看着我]。"

"io-exhausted-genericComments","[我太累了。|我们能回家吗？|我们会死在这里。|这次又是什么意思？|我们见的还不够多吗？|我还要再坚持几天！]"

"io-exhausted-keepGoing","我挺直了腰杆，相信今天绝不是我的战败之日。我觉得我内心依然留存着一点点希望。"
"io-exhausted-onward","前进!"

"io-help-days-remaining","此次探险将在$days天后结束。"

"io-hotAirBalloon-access","热气球已做好起飞准备。它只有有限的空间，装不下的东西都会被丢掉。"
"evt-hotAirBalloon-stash-action-io","飞向营地"

"npc-badgeServant-title","徽章佣人"
"badge-treasureHunter-name","宝藏猎人徽章"
"badge-animalTrade-name","剥制物资徽章"
"badge-treasureHunter","寻宝人社会的徽章。出示给徽章佣人即可获得寻宝装备常规物资。"
"badge-animalTrade","剥制师社会的徽章。出示给徽章佣人即可用您收集的动物奖杯换取剥制物资。猎杀动物不会削弱土著关系。"
"act-badgeServant-intro","寻找徽章佣人"
"act-badgeServant-noBadge","我没有徽章"
"badgeServant-noBadge","刚刚站在那里的那东西看了我好久。虽然对方戴着面具，但我依然能够感受到对我的藐视。最后，它开始缓慢地摇头，等我离开。"
"badgeServant-intro","我靠近一个带着神秘面具、穿着橙黄色长袍的家伙。它在这里好像非常不高兴。它背后绑着一根大旗杆，显然，从很远的地方就能看到。在要求我出示徽章的时候，[一个安静的|一个毫无感情的|一个厌烦的|一个疲惫的|被恐吓的]声音在面具后面回荡。"
"act-badgeServant-treasureHunter","宝藏猎人徽章"
"act-badgeServant-animalTrade","剥制物资徽章"
"act-badgeServant-sellTrophies","出售动物奖杯"
"act-badgeServant-tradeFameTrophies","贡献动物奖杯获取声望值"
"badgeServant-refill-generic","看了部分文件之后，徽章佣人静静地点了点头，告诉我确实是有一批新装备。我必须再次出示我的徽章，而这个奇怪的家伙以极度不信任的眼神看起来。又不耐烦地叹了一口气之后，徽章佣人给了我一袋新鲜的物资。"
"badgeServant-refill-fail-generic","徽章佣人告诉我，我回来太早了。下批物资还需要几天才能到。"
"cl-badgeServant-intro","[我只为拥有徽章的探险家服务|我要先看看您的徽章|我先过这关|没有徽章，我就无法为您服务|别告诉我您没有徽章|我希望您带徽章来|仅限有徽章的人]。"
"cl-badgeServant-generic-wait","[他们说，有耐心是一种优点。|您还需要再等等。|我今天无法帮助您。|我不觉得抱歉。|我觉得您没有耐心，对吗？]"
"cl-badgeServant-generic-refillTreasureHunter","[给你|拿走吧|我只是做我该做的事，不必谢我|这足够再挖写宝藏了|祝您寻宝开心]。"
"badgeServant-animalTrade","反复检查我的徽章之后，佣人对我的态度稍微友好一些了。它要求我拿出所收集的全部动物奖杯，以换取物品或声望值。它告诉我，剥制师在绝望地等待更多原材料。"
"cl-badgeServant-animalTrade","[哇，您收获不小啊。|非常好，我的顾客对新物资会很满意的。|您收集了什么原材料吗？|快点，我还有顾客在等着呢。|您和我一样，都是佣人。]"

"io-endGame","恭喜你, 你在这次探险中幸免于难! 是时候让你凯旋归来了!"
"io-gameover-success","你胜利归来！"

"io-pyramid-found","祝贺您。您找了一个金字塔！您现在可以在Discord上下载《奇妙探险队2》Windows测试版！"
"io-pyramid-found-other","金字塔已被$user找到 - 不过您也可以找到哦，下载《奇妙探险队2》Windows测试版！"
"io-pyramid-not-found","这个世界的金字塔尚未被找到 - 赶快去找到它，下载《奇妙探险队2》Windows测试版！"
"io-pyramid-activate","获取测试名额"

"io-alpha-yourkey","您的测试版密匙："
"io-alpha-instructions-header","按照这些步骤在Windows电脑上玩《奇妙探险队2》测试版，立即行动！"
"io-alpha-instructions-1","1. 点击下方的按钮加入我们的Discord服务器"
"io-alpha-instructions-2","2. 在右侧的用户列表中点击“'Mr. Slippers”"
"io-alpha-instructions-3","3. 将密匙（复制到剪贴板）通过消息发送给Mr. Slippers"
"io-alpha-instructions-4","4. Mr. Slippers会为您提供测试版"
"io-alpha-join","加入Discord获取测试版"

"io-alpha-notify-title","测试版已解锁！"
"io-alpha-notify-desc","转到设施菜单获取《奇妙探险队2》玩法介绍。"

"pl-arcticHunter-title","本土猎人"
"st-pathfinder-1-title","寻路者1"
"st-pathfinder-2-title","寻路者2"
"st-pathfinder-3-title","寻路者3"
"st-pathfinder-4-title","寻路者4"
"st-pathfinder-description","减少极地中的移动消耗。"
"evt-village-recruit-select-humanoid-arcticHunter-action","猎人$name"
"evt-village-recruit-select-humanoid-arcticHunter","[很难能够遇到掌握着关于这片冻土的知识的人|一位向导肯定能够在我们当前的处境中帮上不少忙|我们肯定会在北极待上一段时间]，所以我将$name迎接到了队伍中。"

"pl-scientificAssistant-title","科学助理"
"pk-researchAssistance-1-title","研究助理1"
"pk-researchAssistance-2-title","研究助理 2"
"pk-researchAssistance-3-title","研究助理3"
"pk-researchAssistance-4-title","研究助理 4"
"pk-researchAssistance-description","发现新的蝴蝶标本时增加San值"

"anm-yakul-title","羚角马"
"anm-yakul","一只可靠的类似鹿的生物。骑乘时移动速度非常快，可以轻松地攀登任何山丘。"

"emy-trex-name","雷克斯暴龙"
"it-trexTooth-name","暴龙之牙"
"it-trexTooth","暴龙的牙，非常值钱。"
"zn-trex-name","霸王龙"
