"io-title","RIVALS"
"io-help-standing","Une réputation négative ne durera pas : les mauvaises actions seront oubliées avec le temps"
"io-hub-name","Avant-poste"
"io-hub-approach-action","Découvrir l’avant-poste"
"io-hub-enter-action","Entrer dans l'avant-poste"
"io-hub-unlocked","$val a découvert un avant-poste !"

"io-user-best-score","Expédition la plus prestigieuse"
"io-user-best-claims","Nombre de régions découvertes dans un monde"
"io-user-best-pyramid-rank","Classement pour la découverte des Pyramides"
"io-user-best-pyramid-time","Découverte de la Pyramide la plus rapide"
"io-user-best-pyramid-count","Nombre de Pyramides découvertes"
"io-user-best-num-expeditions","Nombre d'expédition effectuées"
"io-user-best-num-worlds","Nombre de mondes explorés"
"io-user-best-num-claims","Nombre de régions découvertes"
"io-user-best-num-hubs","Nombre d'avant-postes découverts"

"io-pyramid-unclaimed","Il n'y a qu'une seule Pyramide d'or dans le monde de RIVALS. Une fois qu'elle a été trouvée, une minuterie s'enclenche pour indiquer le temps restant avant la fin de ce monde."

"io-livelog-claim","Une région dans $segment a été découverte par $user ($xCoord, $yCoord)"
"io-livelog-death","[L'expédition|L'excursion|L'aventure|L'entreprise] de $user [a fini|s'est achevée|a échouée|s'est terminée par une tragédie|s'est soldée par un échec|a couru à sa perte] dans $segment après $days jours avec $fame de renommée"
"io-livelog-newTopScore","[L'incroyable|L'impressionnante|La formidable|La magnifique|L'étonnante|La folle|La grande|La superbe] [expédition|excursion|aventure] de $user est à ce jour la plus célèbre avec un total de $fame de renommée !"
"io-livelog-newTopClaims","[L'incroyable|L'impressionnante|La formidable|La magnifique|L'étonnante|La folle|La grande|La superbe] [expédition|excursion|aventure] de $user possède à ce jour le record de régions cartographiée avec un total de $claims régions !"
"io-livelog-newTrek","$user a lancé [une nouvelle expédition|une nouvelle excursion|une nouvelle aventure|un nouveau voyage] dans $segment"
"io-livelog-unlockedOutpost","$oldname est maintenant [connu comme|appelé|nommé] $newname depuis que cet avant-poste a été découvert"
"io-livelog-foundSeal","$user a [cartographié|trouvé|découvert|exploré] un Autel doré dans $segment à $xCoord, $yCoord."
"io-livelog-goal-unlock","$user a atteint la Pyramide d’or !"
"io-goldenSeal","La colonne de lumière semblait pointer en direction de $pyramidDir. Elle vacilla et s'éteignit rapidement après. [Que pourrions nous trouver si nous suivions ce chemin ?|Je me demande si nous devions suivre cette direction.|J'étais sur que suivre ce chemin était une mauvaise idée.|J'imagine que seules de terribles choses pourraient nous arriver si nous allions dans cette direction.|Si nous suivions la lumière, nous trouverions sûrement la gloire !]"

"io-salvage-verb","Sauvetage"

"io-hub-first","Après un étrange périple en remontant une rivière au débit rapide, je suis arrivé à _l'avant-poste de $segmentname_. Le _Club des Explorateurs_ qui m'a envoyé ici m'avait fourni l'équipement dont j'avais besoin pour explorer ce vaste pays, en revanche je n'ai pas eu beaucoup de réponses quant à la raison de ma présence ici. Il n'y avait qu'une seule façon d'aller de l'avant : partir d'ici et explorer ce monde ! L'aventure m'attend !"
"io-hub-enter","Je suis arrivé à _l'avant-poste de $segmentname_, où je me suis immédiatement senti mieux. Ils proposaient beaucoup de services utiles dont je pourrais profiter."
"io-hub-main","J'étais encore à l'_avant-poste_. Je me suis rendu compte que je ferais mieux de me préparer avant de partir. Que restait-il à faire ?"
"io-hub-main-action","Retourner sur la place principale"

"io-hub-healUnits-action","Visiter le dispensaire"
"io-hub-healUnits-enter","J'ai visité le dispensaire. Un médecin s’est approché et a demandé qui avait besoin d'un traitement."
"io-hub-healUnits-return","Le médecin m'a demandé s'il pouvait faire autre chose pour moi."
"io-hub-healUnits-treatUnit","Soigner $name"
"io-hub-healUnits-deal","Le médecin a traité les blessures physiques et mentales dont $name souffrait. $Il semblait frais comme un gardon après être passé entre ses mains."

"io-hub-ask-action","Poser des questions à propos de cette terre"
"io-hub-ask-return","Poser d'autres questions"
"io-hub-ask-main","Dans chaque avant-poste, il y a un _Serviteur de l'insigne_. Répondre à des questions insensées n'est pas son but principal, mais il le fera, avec un mépris non dissimulé."
"io-hub-ask-return-txt","Le _serviteur de l'insigne_ vous a regardé sans faire le moindre bruit, vous mettant au défi de lui poser une autre question."
"io-hub-ask-regions","Demander à propos des Régions"
"io-hub-ask-outposts","Demander à propos des Avant-postes"
"io-hub-ask-pyramid","Demander à propos de la Pyramide d'or"
"io-hub-ask-crates","Demander à propos des Caisses"
"io-hub-ask-medals","Demander à propos des Médailles"
"io-hub-ask-provinces","Demander à propos des Provinces"
"io-hub-ask-badges","Demander à propos des Insignes"
"io-hub-ask-fame","Demander à propos de la Réputation"
"io-hub-ask-regions-txt","Le serviteur m'expliqua : Ce monde est séparé en plusieurs régions de taille parfaitement égale. Chaque région possède ses propres coordonnées – par exemple, cet avant-poste est lié à $currentRegion. Pour découvrir une région, il suffit de révéler toutes ses curiosités. Elle sera alors marquée comme découverte par vous, $name, et vous deviendrez un peu plus célèbre. Les régions découvertes sont également visibles par vos _rivaux_, et indiquées sur leur _carte du monde_."
"io-hub-ask-outposts-txt","Le serviteur m'expliqua : les _avant-postes_ sont des petits morceaux de civilisation dans ce monde étrange, établis par le _club des explorateurs_. Cet avant-poste ainsi que tous les autres bordent toujours une _rivière_, ils sont tous reliés les uns aux autres. Pour trouver d'autres avant-postes, il suffit de suivre les rivières – ou d'utiliser votre boussole, qui pointe vers l'avant-poste non découvert le plus proche. Si vous, $name, êtes {le premier|la première} à trouver un avant-poste, il sera nommé en votre honneur ! En revanche, vos _rivaux_ peuvent suivre vos traces et commencer leurs futures expéditions plus aisément à partir de celui-ci."
"io-hub-ask-pyramid-txt","Le serviteur m'expliqua, non sans dissimulé une certaine [excitation|nervosité|trépidation|espérance|peur|stupeur|confusion|hostilité|lassitude] dans ses yeux : il n'y a qu'une seule _Pyramide d'or_ dans ce monde ! Pour la découvrir, vous devez d'abord trouver les sceaux en or qui vous indiqueront le chemin – sachant qu'ils ne peuvent être trouvés que dans les provinces avec le niveau de difficulté le plus élevé. Une fois que la Pyramide a été découverte par vous ou l'un de vos _rivaux_, la fin de ce monde sera proche – mais ne vous inquiétez pas ! Un nouveau monde prendra bientôt sa place."
"io-hub-ask-crates-txt","Le serviteur m'expliqua : au fur et à mesure de vos explorations, vous découvrirez des curiosités dans ce monde. Vous serez récompenser en recevant de nouvelle _caisses_. Bien qu'inutiles pour votre expédition actuelle, lors de vos futures expéditions, vous aurez accès à ces caisses afin de commencer avec un meilleur équipement."
"io-hub-ask-medals-txt","Le serviteur m'expliqua : lorsque vous découvrirez des régions mais aussi pour d'autres choses, vous recevrez des _médailles_, $name, en récompense. Avec ces médailles, vous pourrez _garder_ une caisse. Les caisses ainsi conservées seront disponibles pour toujours, au lieu d'être perdues une fois utilisées."
"io-hub-ask-provinces-txt","Le serviteur m'expliqua : Les régions sont regroupées en _provinces_. Cet avant-poste se trouve dans la province appelée $segmentname. Vous saurez que vous êtes entré dans une nouvelle province car son nom et son niveau de difficulté vous apparaîtront. Notez que toutes les provinces ne contiennent pas d'avant-poste."
"io-hub-ask-badges-txt","Le serviteur m'expliqua : certaines caisses contiennent des _insignes_. Ils peuvent être utilisés pour équiper une nouvelle expédition de manière à créer de nouvelles... possibilités. Votre humble _serviteur de l'insigne_ serait terriblement heureux de vous apporter son aide."
"io-hub-ask-fame-txt","Le serviteur m'expliqua : vous pouvez devenir plus _célèbre_ en explorant et en découvrant les régions et les avant-postes. Mais pour devenir célèbre grâce à vos _trésors_, vous devez livrer tous les objets en votre possession à un avant-poste. Les gens d'ici seront alors très impressionnés. Si vous voulez, vous pouvez également _recycler_ les trésors que vous avez trouvés afin de les décomposer en _pierres précieuses_. Les gens d'ici seront certes un peu moins impressionnés, mais ils le seront quand même. À la fin de ce monde, les _rivaux_ les plus célèbres seront récompensés par une médaille supplémentaire."
"cl-badgeServant-ask","[Vraiment ?|Encore ?|Autre chose ?|Pas encore une autre !|Trop de questions...|Quoi encore ?|Une question, c'est ça ?|Doit-on en reparler encore ?|Il vaudrait mieux que ce soit à propos d'insignes.|Vous ne trouverez jamais la Pyramide.|Encore un explorateur stupide.|Mouarf.|Bah !|*vous fixe*]"

"io-deliverFameItems-action","Déposer vos trésors"
"io-deliverFameItems-title","Trésors"
"io-badgeServant-deliverAnimalSupplies-title","Fournisseur de taxidermie"
"evt-polarStation-stash-done","L'homme [promit|dit|nous assura] que nos [équipements|trésors|biens|objets] seraient [délivrés|envoyés] à l'avant-poste le plus proche [immédiatement|rapidement|dès que le chemin serait à nouveau praticable|un fois qu'il aura fait sa sieste] par un [traîneau|coursier|transport] tiré par des [chiens|huskys]."

"pk-blackMarket","Donne accès à une offre plus large lors du troc à un avant-poste."
"pk-journalist-1","Augmente la renommée lors de la remise des trésors."
"evt-harbor-select-action","Faire du troc"
"item-help-trade","Peut être échangé contre de la renommée dans un avant-poste."
"io-help-compass","La boussole vous indique dans quelle direction et à quelle distance se trouve le prochain avant-poste non découvert."

"io-region-article","Le"
"na-io-DifficultySegments","[$ioNoun de $ioSpecial|$ioNoun de $ioSpecial|$ioNoun $ioAdjective|$ioSpecial $ioAdjective]"
"np-io-adjective","[Sombre|Vide|Infini|Grand|Doré|Invisible|Impitoyable|Oublié|Pourri|Rayonnant|Minuscule|Ancien|Saignant|Noir|Blanc|Irréel|Obscur|Sacré|Vieux|Jeune|Naissant|Mourant]"
"np-io-noun","[La Vallée|La Terre|La Province|La Plaine|Le Domaine|La Ceinture|La Montagne|La Colline|La Forêt|Le Cratère|Le Royaume|La Main|Le Pied|Le Ventre|La Tête|Le Bras|Le Doigt|Le Dos|La Roue|Le Berceau|La Fontaine|Le Bassin|La Crique|Le Refuge|L'Épée|Le Bouclier|L'Étoile|L'Enfant|Le Père|L'Ancêtre|L'Ancien]"
"np-io-special","[La Croyance|L'Âme|La Mort|Le Désespoir|La Ruine|La Chance|La Folie|Le Chagrin|La Tempête]"

"na-io-unlocked-segments","[$ioNoun de $ioName|$ioSpecial de $ioName|$ioName $ioAdjective|$ioSpecial $ioAdjective de $ioName]"

"pk-die-magic","Reçoit un dés de magie supplémentaire."
"pk-die-magic-title","{Magicien|Magicienne}"

"pk-goodReputation-io","La réputation remontera plus rapidement."

"bonus-standingBias","Réputation permanente"
"bonus-turnsForStandingBias","Jour(s) avant le prochain bonus de réputation"

"io-balloon-travel","S'envoler"
"help-balloon","Retourner à l’avant-poste le plus proche à l’aide d’un ballon à air chaud. Le ballon possède une place limitée."

"pack-automatic","Caisse – $item"
"pack-starter","Caisse de départ"
"pack-survival","Caisse de survie"
"pack-mystery-egg","Œuf mystère"
"pack-healthcare","Chirurgien"
"pack-adventurers-pack","Caisse de l'aventurier"
"pack-tribal-combat","Lutte tribale"
"pack-magic-apprentice","Apprenti magicien"
"pack-magic-terraform","Magicien tellurique"
"pack-magic-teleport","Magicien de téléportation"
"pack-magic-curse","Magicien maléfique"
"pack-mushroom-collector","Mycophiliste"
"pack-army-supplies","Approvisionnement militaire"
"pack-shady-trader","Négociant de l'ombre"
"pack-scouting","Caisse de l’éclaireur"
"pack-climber","Caisse du grimpeur"
"pack-arctic","Caisse de l'Arctique"
"pack-chocolate-addict","Dépendant au chocolat"
"pack-chocolate-addict-2","Dépendant au chocolat 2"
"pack-whiskey-lover","Amateur de whisky"
"pack-whiskey-lover-2","Amateur de whisky 2"
"pack-simple-needs","Besoin primaire"
"pack-effects","Caisse du 14 juillet"
"pack-musician","Caisse du musicien"
"pack-high","Caisse du dealeur"
"pack-pendulum","Pendule"
"pack-explosion-expert","Expert(e) en explosifs"
"pack-sail-ho","Terre en vue, capitaine."
"pack-animal-capacity","Ami des bêtes"
"pack-art-lover","Amateur d’art"
"pack-lovecraft","Profanateur de l'indicible"
"pack-peace","Caisse de la paix"
"fortune-teller","Diseuse de bonne aventure"
"pack-plane-traveller","Voyageur d'une autre dimension"
"pack-shaman","Chaman"
"pack-alternative-medicine","Médecine alternative"
"pack-cultist","Caisse du cultiste"
"pack-dino-friends","Ami des dinosaures"
"pack-monster-master","Esclavagiste démoniaque"
"pack-animal-whisperer","{Chuchoteur|Chuchoteuse}"
"pack-endlesss-light","Lumière sans fin"
"pack-blood-prince","Prince de sang"
"pack-yeti","Ami improbable"
"pack-battleCat","Bataille de chat"
"pack-holyPug","Le Carlin sacré"
"pack-darkLord","Seigneur des ténèbres"
"pack-animalTrade","Caisse – Insigne du fournisseur de taxidermie"
"pack-hyena-pack","Meute de hyènes"
"pack-wildlife","Caisse d'animaux sauvages"
"pack-natives-skills","Caisse – Compétences autochtones"
"pack-natives-magic","Caisse des connaissances autochtones"
"pack-lizards","Caisse des hommes-lézards"
"pack-trader-marbles","Caisse du commerçant équipé"
"pack-bbq","Grilleur du dimanche"
"pack-mountaineering","Caisse du montagnard"
"pack-soldiers","Soldats d'Avalon"
"pack-teslaGun","Caisse – Assistant de laboratoire"
"pack-butterflyAssistant","Caisse du lépidoptériste"
"pack-arcticSpecialist","Caisse du spécialiste de l'Arctique"
"pack-packAnimals","Bêtes de charge"
"pack-native-expert","Caisse – Expert des autochtones"

"st-feihong-desc","Reçoit un dés d'arts martiaux supplémentaire."

"io-pyramid-leave","Inscrire mon nom !"

"io-splash-chat-welcome","Bienvenue sur notre nouveau jeu multijoueur !"
"io-splash-chat-title","Curious Expedition _RIVALS_ !"
"io-splash-chat-pause","Oui, euh..."
"io-splash-chat-largeWorld","C'est un jeu qui permet d'explorer des mondes vraiment gigantesques."
"io-splash-chat-notAlone","Oui, ensemble, avec d'autres joueurs !"
"io-splash-chat-peoplePlaying","_$playerCount_ personnes étaient en train de jouer durant les dernières heures."
"io-splash-chat-remembered","Nous avons enregistré leurs noms concernant les régions qu'ils ont cartographiées."
"io-splash-chat-cool","C'est magnifique !"
"io-splash-chat-right","Hum, n’est-ce pas ? Un peu comme dans No Man's..."
"io-splash-chat-highscore","Ah et, bien sûr, il y a un palmarès."
"io-splash-chat-bestPlayer","Actuellement, $playerBestName détient le meilleur score avec $playerBestScore."
"io-splash-chat-worldReset","De temps en temps, le monde et les meilleurs scores sont remis à zéro."
"io-splash-chat-world","Actuellement, nous sommes sur le Monde $worldNumber qui est actif depuis $worldDuration."
"io-splash-chat-donkey","Pourquoi y a-t-il un âne qui parle ?"
"io-splash-chat-oh","Oh... ce n’est rien."
"io-splash-chat-seeRest","Attendez de voir le reste."
"io-splash-chat-adventure","Maintenant, allez-y, l'aventure vous tend les bras !"

"io-splash-chat-returningPlayer","Oh ! Nous sommes contents de vous voir à nouveau dans The Curious Expedition RIVALS !"
"io-splash-chat-worldInfo","Le Monde $worldNumber [est actif depuis|tourne depuis|est en cours d'exploration] depuis $worldDuration."
"io-splash-chat-playedSessions","Il y a eu $playedSessions [excursion(s)|expédition(s)|voyage(s)] récemment."
"io-splash-chat-worldExplored","$worldExplored de ce monde a déjà été [exploré|découvert|cartographié]."
"io-splash-chat-outposts","Dans un effort combiné, les explorateurs ont découvert $unlockedhubs avant-poste(s)."
"io-splash-chat-gamesPlayed","[Jusqu'à présent|Jusqu'à maintenant|À ce jour], vous avez [réalisé|commencé|effectué] $numgamesthisuser [expédition(s)|aventure(s)|excursion(s)|voyage(s)]."

"io-worldDuration-end","Ce Monde se terminera dans"
"io-splash-chat-packs","N’oubliez pas d'essayer les nouvelles caisses que vous avez récupérées."
"io-splash-chat-fail","Un échec est tout ce qu'il y a de plus normal. Il vous suffit de recommencer encore et encore en expérimentant d'autres combinaisons de caisses."
"io-splash-chat-friends","N'hésitez pas à parler de RIVALS à vos amis !"
"io-splash-chat-discord","Rejoignez notre communauté sur Discord. Cliquez simplement sur le bouton en haut à droite."

"io-worldDuration-days","jours"
"io-worldDuration-day","jour"
"io-worldDuration-hours","heures"
"io-worldDuration-hour","heure"
"io-worldDuration-minutes","minutes"
"io-worldDuration-minute","minute"
"io-worldDuration-seconds","secondes"
"io-worldDuration-second","seconde"
"io-worldDuration-new","Ce monde est terminé ! Le nouveau monde débutera bientôt."

"io-return-tce","Quitter"
"io-return-tce-tooltip","Retourner au mode solo de Curious Expedition."

"io-discord","Rejoignez la communauté de RIVALS sur notre serveur Discord !"

"io-st-exhausted-title-1","Épuisement mental – léger"
"io-st-exhausted-title-2","Épuisement mental – moyen"
"io-st-exhausted-title-3","Épuisement mental – fort"
"io-st-exhausted-title-4","Épuisement mental – extrême"
"io-st-exhausted","Vous êtes très épuisé d'explorer depuis si longtemps. Accroit le coût de santé mentale et réduit votre maximum de santé mentale."
"io-st-faithless-title","Infidèle"
"io-st-faithless","A perdu tout espoir de revenir un jour de cette expédition. Perte permanente de sa loyauté envers vous."
"pack-artist","Artiste ambulant"
"pk-greatReputation-title-io","Bonne réputation"
"pk-bartering-title-io","{Négociant expert|Négociante experte}"
"pack-smallArmy","Petite armée"
"pack-huntingTrip","Excursion de chasse"
"pack-bestWorlds","Caisse de la joie de vivre"
"pack-combatExplorer","La tactique c'est l'attaque"

"io-exhausted-1-intro","Alors que je m'asseyais près du feu, J’ai senti le lourd poids de ces derniers jours. J'aurais donné n'importe quoi pour un semblant de confort. Mes pieds me faisaient mal et j’avais affreusement envie d’un bain chaud. J’étais épuisé."
"io-exhausted-1-trek","J'ai regardé autour de moi et j'ai vu à quel point les visages de mes compagnons étaient fatigués."

"io-exhausted-2-intro","Je sentais à quel point j'étais proche de mes limites personnelles. Cette expédition durait depuis bien plus longtemps que prévu, et je ne savais pas à quel point j'étais capable d'en supporter davantage."
"io-exhausted-2-trek","Tous les autres semblaient aussi épuisés que moi. Je me demandais combien de temps encore je serais capable de tenir le coup."

"io-exhausted-3-intro","C'était ça. Comment pourrais-je passer à autre chose après avoir passé autant de temps ici. J'étais sûr que si je continuais, ça finirait mal. J'avais besoin de m'arrêter."
"io-exhausted-3-trek","Les autres n'étaient rien d'autre que de simples ombres d'eux-mêmes. Il ne restait plus que quelques jours avant qu'ils ne commencent à s'entretuer les uns les autres."

"io-exhausted-4-intro","C'est de la folie. Je ne me souviens plus de ma vie avant de venir ici. J’ai perdu tout espoir, tout ! il n’y a plus rien ! La fin est pour bientôt."
"io-exhausted-4-trek","Les autres sont restés assis tranquillement, personne ne se parlait depuis des jours. Pourrais-je encore leur faire confiance ?"

"io-exhausted-single-trek-generic","[$name avait à peine parler ces derniers jours|Je n’ai pas osé parler à $name|Je me suis demandé ce à quoi $name pensait|$Name avait l’air vraiment mal en point|$name sanglotait silencieusement]. [Je ne l'avais jamais vu aussi calme|j’avais peur de lui demander de plier bagage et de continuer jusqu'à l'aube|Je ne pouvais pas dire si $il été endormi(e) ou si $il regardait à travers l’obscurité|Je me demandais quelle histoire $il racontera si nous rentrons un jour au pays|je me suis demandé à quel point je pourrais en exiger davantage {de lui|d'elle}]."
"io-exhausted-single-trek-extreme","[$name était tout juste en vie|j’ai eu un mauvais pressentiment concernant $name]. [J'avais du mal à imaginer ce que je ressentirais au moment de l'enterrer|j’étais terriblement désolé de l'avoir entrainé dans cette maudite expédition]."
"io-exhausted-animal-generic","[J’ai regardé $name|$name était assis tranquillementy près du feu|J'ai retrouvé de l'espoir en observant l'attitude de $name|$name était tranquillement en train de mâcher quelque chose]. [Durant toutes ces années je n’avais jamais rencontré plus fidèle compagnon|Je ne savais pas comment je pourrais continuer sans $lui|je ne pouvais pas imaginer un meilleur compagnon que $lui|Cet animal signifie bien plus pour moi que toute autre chose|Ses yeux chaleureux m’observaient avec une agréable tranquillité]."

"io-exhausted-genericComments","[Je suis tellement fatigué.|Pouvons-nous rentrer à la maison ?|Nous allons mourir ici.|Quel est le but de tout ça ?|N'en n'avons-nous pas encore assez vu ?|Je tiendrais encore quelques jours !]"

"io-exhausted-keepGoing","Je me suis relevé et j'ai décidé qu'aujourd'hui ne serait pas le jour de ma défaite. J'ai senti au fond de moi une lueur d’espoir."
"io-exhausted-onward","En avant !"

"io-help-days-remaining","Cette expédition prendra fin dans $days jours."

"io-hotAirBalloon-access","La montgolfière était prête à s'envoler. Elle n'offre qu'une place limitée, tout ce que nous ne pourrions pas emporter devrait rester derrière nous."
"evt-hotAirBalloon-stash-action-io","S'envoler pour l'avant-poste"

"npc-badgeServant-title","Serviteur de l’insigne"
"badge-treasureHunter-name","Insigne du chasseur de trésor"
"badge-animalTrade-name","Insigne du fournisseur de taxidermie"
"badge-treasureHunter","Un insigne de la société des chasseurs de trésor. Présentez-le à un serviteur de l'insigne pour recevoir régulièrement du matériel de chasse au trésor."
"badge-animalTrade","Un insigne de la société de taxidermie. Présentez-le à un serviteur de l'insigne pour vendre vos trophées d’animaux comme matériel de taxidermie. Tuer des animaux ne nuira pas à votre réputation."
"act-badgeServant-intro","Rencontrer le serviteur de l'insigne"
"act-badgeServant-noBadge","Je n’ai pas d'insigne"
"badgeServant-noBadge","La silhouette resta là, me dévisageant longuement. Je sentais le poids de son mépris même derrière son masque. Finalement, elle secoua lentement la tête, attendant que je m'en aille."
"badgeServant-intro","Je me suis approché d'une silhouette étrangement masquée, vêtue d’une robe orange vif. Il ne semblait pas très heureux d'être ici. Un grand mât de drapeau était attaché dans son dos, apparemment pour être visible de loin. Une voix [calme|impassible|ennuyeuse|fatiguée|intimidée] résonna derrière le masque alors qu'il me demanda de présenter mon __insigne__."
"act-badgeServant-treasureHunter","Insigne du chasseur de trésor"
"act-badgeServant-animalTrade","Insigne du fournisseur de taxidermie"
"act-badgeServant-sellTrophies","Troquer des trophées d'animaux"
"act-badgeServant-tradeFameTrophies","Déposer des trophées d'animaux (renommée)"
"badgeServant-refill-generic","Après avoir examiné certains documents, le serviteur de l'insigne acquiesça et me dit qu’il y avait effectivement une nouvelle cargaison de matériel. J’ai dû montrer une fois de plus mon insigne, l’étrange personnage l'observa avec une profonde méfiance. Après un dernier soupir agacé, le serviteur me tendit un paquet de nouvelles fournitures."
"badgeServant-refill-fail-generic","Le serviteur de l'insigne m'indiqua que j'étais revenu trop tôt. La prochaine livraison de fournitures nécessitait encore quelques jours avant son arrivée."
"cl-badgeServant-intro","[Je ne sers que les explorateurs qui possèdent un insigne|Je dois d'abord vous demander de me montrer votre insigne|Finissons-en|Pas d'insigne, pas de service|Ne me parlez même pas si vous n'avez pas d'insigne|J'espère que vous apportez un insigne|Insigne de société uniquement]."
