"io-title","RIVALEN"
"io-hub-first","Nach einer eigenartigen Reise, entlang eines reißenden Flusses, gelangte ich zu dem _Außenposten $segmentname_. Der _Entdecker Club_, auf wessen Anliegen ich mich auf diese Reise gewagt habe, stattete mich mit jeder Menge Ausrüstung aus. Jedoch nicht wirklich in dem Sinne, dass es dazu beitrug herauszufinden, wieso ich eigentlich hier war. So gab es lediglich einen Weg nach Vorn: aufzubrechen und diese Welt zu erkunden! Das Abenteuer wartet!"
"io-hub-enter","Ich gelangte zu dem _Außenposten von $segmentname_, und fühlte mich augenblicklich besser. Es gab einige sehr hilfreiche Angebote, welche ich mir zu Nutzen machen konnte."
"io-hub-main","Ich befand mich immer noch im _Außenposten_. Ich wusste, dass es sicher ratsam wäre mich vorzubereiten bevor ich die Reise antreten würde. Was blieb also noch zu tun?"
"io-hub-main-action","Zum Außenposten zurückkehren"

"io-hub-healUnits-action","Krankenrevier besuchen"
"io-hub-healUnits-enter","Ich besuchte die Krankenstation. Ein Arzt näherte sich und fragte womit er behilflich sein könnte."
"io-hub-healUnits-return","Der Arzt fragte, ob er sonst noch irgend etwas für mich tun könnte."
"io-hub-healUnits-treatUnit","$name behandeln"
"io-hub-healUnits-deal","Der Arzt behandelte sowohl die physischen und geistigen Wunden die $name erlitten hatte. $Er sah anschließend viel besser aus."

"io-hub-ask-action","Stelle Fragen über dieses Land"
"io-hub-ask-return","Stell eine weitere Frage"
"io-hub-ask-main","In jedem Außenposten hält sich ein _Diener der Abzeichen_ auf. Törichte Fragen zu beantworten ist nicht seine Hauptbeschäftigung, dennoch wird er sie mit unverhohlener Geringschätzung beantworten."
"io-hub-ask-return-txt","Der _Diener der Abzeichen_ starrte mich unbewegt an und forderte mich still heraus eine weitere Frage zu stellen."
"io-hub-ask-regions","Stelle eine Frage über die Regionen"
"io-hub-ask-outposts","Stelle eine Frage über Außenposten"
"io-hub-ask-pyramid","Frage zur goldenen Pyramide"
"io-hub-ask-crates","Stelle eine Frage über Crates"
"io-hub-ask-medals","Stelle eine Frage über Medaillen"
"io-hub-ask-provinces","Stelle eine Frage über Provinzen"
"io-hub-ask-badges","Stelle eine Frage über Abzeichen"
"io-hub-ask-fame","Stelle eine Frage über Ruhm"
"io-hub-ask-regions-txt","Der Diener erklärte: diese Welt ist in verschiedene _Regionen_ von gleicher Größe untereilt. Jede Region hat zugewiesene Koordinaten - als Beispiel, dieser Außenposten liegt an $currentRegion. Um eine Region als entdeckt zu markieren, müssen lediglich alle Orte innerhalb dieser Region erkundet werden. Anschließend wird sie dann als entdeckt von dir, $name, markiert werden und du wirst noch berühmter werden. Entdeckte Regionen sind für deine _Rivalen_ sichtbar, und auf jeder _Weltkarte_ markiert."
"io-hub-ask-outposts-txt","Der Diener erklärte: _Außenposten_ sind kleine Zuflüchte der Zivilisation in diesem seltsamen Land, eingeführt von den _Entdecker Clubs_. Dieser und auch jeder andere Außenposten liegt an einem schnell fließenden Fluss, alle miteinander verbunden. Um andere Außenposten zu finden, folge lediglich den Flüssen - oder nutze deinen Kompass, welcher stets in die Richtung des nächsten unentdeckten Außenpostens zeigt. Wenn du, $name, der Erste bist, welcher einen Außenposten findet, soll dieser dir zu Ehren nach dir benannt werden! Jedoch: können deine _Rivalen_ deinen Fußstapfen folgen und ihre neue Zukunft von dort mit Leichtigkeit beginnen."
"io-hub-ask-pyramid-txt","Der Diener erklärte, mit einem Anflug von ehrlicher [Aufregung| Nervosität|Beklemmung|Hoffnung|Verwirrung|Feindseligkeit|Langeweile] in seinen Augen: Es gibt eine einzige _goldene Pyramide_ in diesen Landen! Um sie zu finden, folge den goldenen Siegeln, welche dir den Weg weisen werden. Jedoch können diese nur in den anspruchsvollsten Provinzen gefunden werden. Sobald die Pyramide gefunden wurde, von dir oder einem deiner _Rivalen_, naht das rasche Ende dieser Welt - doch sorge nicht! Eine neue Welt wird bald ihren Platz einnehmen."
"io-hub-ask-crates-txt","Der Diener erklärte: während du das Land erkundest und neue Orte entdeckst, bekommst du immer wieder _Crates_. Sie haben zwar keinen Nutzen für die augenblickliche Expedition, doch in zukünftigen Expedition kannst du sie ausrüsten."
"io-hub-ask-medals-txt","Der Diener erklärte: dir sollen _Medaillen_ verliehen werden, $name, als Belohnung zur Entdeckung von neuen Regionen, als auch für viele andere Dinge. Mit diesen Medaillen hast du die Möglichkeit Crates zu _tragen_. Getragene Crates können immer wieder eingesetzt werden, sie werden nicht nach einmaliger Nutzung abgelegt."
"io-hub-ask-provinces-txt","Der Diener erklärte: Regionen sind in Gruppen als _Provinzen_ angeordnet, ausgehend ihrer Widerstandsfähigkeit gegenüber Erkundung. Dieser Außenposten liegt in einer Provinz namens $segmentname. Du wirst merken, wenn du eine neue Provinz betrittst, da der Name und der Schwierigkeitsgrad der jeweiligen Region angezeigt werden. Doch merke auch, dass nicht alle Regionen einen Außenposten beinhalten."
"io-hub-ask-badges-txt","Der Diener erklärte: einige Crates enthalten sogenannte _Abzeichen_. Diese können genutzt werden um einen neuen Treck auszurüsten. Auf diese Weise können so neue Möglichkeiten entstehen, mit welchen dein bescheidener _Diener der Abzeichen_ dir furchbar gerne behilflich sein wird."
"io-hub-ask-fame-txt","Der Diener erklärte: du kannst noch mehr _Ruhm_ sammeln während du erkundest, indem du neue Regionen und Außenposten entdeckst. Doch um Ruhm zu erlangen durch das finden von Schätzen, musst du alle gesammelten Gegenstände zu einem Außenposten bringen. Die Menschen dort werden sehr beeindruckt sein. Wenn du möchtest, kannst du viele Schätze bergen und sie zu Juwelen zerkleinern. Die Menschen werden dann zwar ein bisschen weniger beeindruckt sein, jedoch immer noch etwas. Wenn die Welt endet, wird den ruhmreichsten _Rivalen_ eine extra Medaille verliehen."
"cl-badgeServant-ask","[Wirklich?|Schon wieder?|Noch einer?|Nicht noch einer!|So viele Fragen...|Was nun?|Eine Frage, nicht wahr?| Müssen wir das wirklich noch einmal besprechen, ja?|Diese wird aber hoffentlich über die Abzeichen sein.|Du wirst die Pyramide nie finden.|Noch ein törichter Entdecker.|Hmph.|Gah!|*stares at you*]"

"io-deliverFameItems-action","Schätze abgeben"
"io-deliverFameItems-title","Schätze"
"io-badgeServant-deliverAnimalSupplies-title","Tierpräparator Materialien"
"evt-polarStation-stash-done","Der Mann [versprach|versicherte] mir dass unsere [Gegenstände|Schätze] [sobald wie möglich|gleich nach einem kleinen Nickerchen|schnellstmöglich|demnächst] Hundeschlitten zum nächsten Außenposten geschickt werden würden."

"pk-blackMarket","Ermöglicht Zugriff auf ein viel größeres Angebot an Handelswaren in Außenposten."
"pk-journalist-1","Erhöht den erhaltenen Ruhm beim abgeben von Schätzen."
"evt-harbor-select-action","Tausche für Ausrüstung"
"item-help-trade","Kann im Außenposten für Ruhm eingetauscht werden."
"io-help-compass","Der Kompass zeigt dir in welcher Richtung sich der nächste verborgene Außenposten befindet und wie weit er entfernt ist."

"io-region-article","Das"
"na-io-DifficultySegments","[$ioNoun von $ioSpecial|Das $ioNoun von $ioSpecial|Das $ioAdjective $ioNoun|$ioAdjective $ioSpecial]"
"np-io-adjective","[Dunkel|Hohl|Endlos|Prachtvol|Golden|Unsichtbar|Unvergeblich|Vergessen|Verrottet|Blühend|Winzig|Alt|Blutend|Schwarz|Weiß|Irreal|Dunkelstes|Heilig|Älter|Jünger|Neugeboren|Sterbend]"
"np-io-noun","[Tal|Land|Provinz|Ebenen|Verwaltungsgebiet|Gürtel|Berge|Hügel|Wald|Krater|Reich|Hände|Füße|Bauch|Kopf|Arm|Finger|zurück|Rad|Wiege|Brunnen|Feder|Höhle|Graben|Schwert|Schild|Sterne|Kind|Vater|Vorfahre|Alter]"
"np-io-special","[Die Götter|Seele|Tod|Verzweiflung|Ruin|Glück|Boshaftigkeit|Traurigkeit|Stürme]"

"na-io-unlocked-segments","[Das $ioNoun von $ioName|$ioName's $ioNoun|$ioNoun von $ioName|$ioSpecial von $ioName|$ioAdjective $ioName|$ioName's $ioAdjective $ioSpecial]"

"pk-die-magic","Erhält einen zusätzlichen magischen Würfel."
"pk-die-magic-title","Zauberer"

"pk-goodReputation-io","Ruf steigt auf einen höheren Wert in kürzerer Zeit."

"bonus-standingBias","Ruf-Tendenz"
"bonus-turnsForStandingBias","Tage bis zur Anpassung des Rufs"

"io-balloon-travel","Fliegen"
"help-balloon","Nutze den Heußluftballon um zum nächstgelegenen Außenposten zurück zu kehren. Der Ballon hat nur begrenzt Platz."

"pack-automatic","$item Crate"
"pack-starter","Starter-Crate"
"pack-survival","Outdoor-Crate"
"pack-mystery-egg","Mysteriöses Ei"
"pack-healthcare","Gesundheitspflege"
"pack-adventurers-pack","Abenteurer-Crate"
"pack-tribal-combat","Stammeskämpfer"
"pack-magic-apprentice","Zauberlehrling"
"pack-magic-terraform","Landschaftszauberer"
"pack-magic-teleport","Teleportationsmagier"
"pack-magic-curse","Böser Magier"
"pack-mushroom-collector","Pilzsammler"
"pack-army-supplies","Militärausrüstung"
"pack-shady-trader","Windiger Händler"
"pack-scouting","Kundschafter-Crate"
"pack-climber","Bergsteiger-Crate"
"pack-arctic","Arktische-Crate"
"pack-chocolate-addict","Schokosucht"
"pack-chocolate-addict-2","Schokosucht 2"
"pack-whiskey-lover","Whiskyliebhaber"
"pack-whiskey-lover-2","Whiskyliebhaber 2"
"pack-simple-needs","Simple Bedürfnisse"
"pack-effects","Effekte-Crate"
"pack-musician","Musiker-Crate"
"pack-high","Rausch-Crate"
"pack-pendulum","Pendel"
"pack-explosion-expert","Sprengstoffexperte"
"pack-sail-ho","Segel-Ho"
"pack-animal-capacity","Tierkapazität"
"pack-art-lover","Kunstliebhaber"
"pack-lovecraft","Lovecraft"
"pack-peace","Friedens-Crate"
"fortune-teller","Wahrsager"
"pack-plane-traveller","Dimensionsreisender"
"pack-shaman","Schamane"
"pack-alternative-medicine","Alternative Medizin"
"pack-cultist","Kultisten-Crate"
"pack-dino-friends","Dinosaurier-Freunde"
"pack-monster-master","Monstermeister"
"pack-animal-whisperer","Tierflüsterer"
"pack-endlesss-light","Unendliches Licht"
"pack-blood-prince","Blutprinz"
"pack-yeti","Unwahrscheinlicher Freund"
"pack-battleCat","Battle Cat"
"pack-holyPug","Der heilige Mops"
"pack-darkLord","Dunkle Lord"
"pack-animalTrade","Tierpräperatoren-Crate"
"pack-hyena-pack","Ein Rudel Hyänen"
"pack-wildlife","Wildtier Crate"
"pack-natives-skills","Einheimische Fähigkeiten Crate"
"pack-natives-magic","Einheimisches Wissen Crate"
"pack-lizards","Echsenmenschen Crate"
"pack-trader-marbles","Ausgerüstete Händler Kiste"
"pack-bbq","Barbeque Crate"
"pack-mountaineering","Kletter Crate"
"pack-soldiers","Soldaten von Avalon"
"pack-teslaGun","Labor Assistenz Crate"
"pack-butterflyAssistant","Schmetterlingsliebhaber Crate"
"pack-arcticSpecialist","Arktis Spezialisten Crate"
"pack-packAnimals","Lastentiere"
"pack-native-expert","Einheimischen Experten Crate"

"st-feihong-desc","Erhält einen zusätzlichen Kampfkunstwürfel."

"io-pyramid-leave","Trage meinen Namen ein!"

"io-splash-chat-welcome","Willkommen zu unserem neuen multiplayer Spiel!"
"io-splash-chat-title","Curious Expedition _RIVALS_!"
"io-splash-chat-pause","Ja, hm..."
"io-splash-chat-largeWorld","In dem Spiel geht es darum wirklich große Welten zu erkunden."
"io-splash-chat-notAlone","Ja, und zwar zusammen mit anderen Spieler*innen!"
"io-splash-chat-peoplePlaying","_$playerCount_ Menschen haben in den letzten paar Stunden gespielt."
"io-splash-chat-remembered","Wir haben ihre Namen für die von ihnen erkundeten Regionen aufgezeichnet."
"io-splash-chat-cool","Das ist ja großartig!"
"io-splash-chat-right","Nichtwahr? So ähnlich wie in No Man's ..."
"io-splash-chat-highscore","Oh, und natürlich gibt es einen Highscore."
"io-splash-chat-bestPlayer","Momentan hält $playerBestName den Highscore mit $playerBestScore."
"io-splash-chat-worldReset","Ab und zu wird die Welt und der Highscore zurückgesetzt."
"io-splash-chat-world","Momentan haben wir Welt $worldNumber. Sie ist seit $worldDuration aktiv."
"io-splash-chat-donkey","Warum spricht der Esel?"
"io-splash-chat-oh","Ach, das ist ja garnichts."
"io-splash-chat-seeRest","Warte nur bis du den Rest siehst."
"io-splash-chat-adventure","Nun geh, das Abenteuer wartet!"

"io-splash-chat-returningPlayer","Willkommen zurück zu Curious Expedition RIVALS!"
"io-splash-chat-worldInfo","Welt $worldNumber [ist seit $worldDuration aktiv|besteht seit $worldDuration|läuft seit $worldDuration]."
"io-splash-chat-playedSessions","Es gab $playedSessions [Expeditionen|Abenteuer] in der letzten Zeit."
"io-splash-chat-worldExplored","$worldExplored der Welt wurde bisher [entdeckt|erkundet|aufgedeckt]."
"io-splash-chat-outposts","Gemeinsam haben die [Entdecker|Entdeckerinnen|Abenteurer|Abenteurerinnen] bisher $unlockedhubs Außenposten entdeckt."
"io-splash-chat-gamesPlayed","[Bisher|bis heute] hast du $numgamesthisuser [Abenteuer|Expeditionen|Reisen] unternommen."

"io-worldDuration-end","Diese Welt wird enden in"
"io-splash-chat-packs","Vergiss nicht dir deine neuen Expedition Crates anzusehen."
"io-splash-chat-fail","Es ist ok zu scheitern. Versuch' es einfach nochmal mit anderen Expedition Crates."
"io-splash-chat-friends","Erzähl' deinen Freunden von RIVALS."
"io-splash-chat-discord","Werde Teil unserer Discord Community. Klicke einfach den Button oben rechts."

"io-worldDuration-days","Tage"
"io-worldDuration-day","Tag"
"io-worldDuration-hours","Stunden"
"io-worldDuration-hour","Stunde"
"io-worldDuration-minutes","Minuten"
"io-worldDuration-minute","Minute"
"io-worldDuration-seconds","Sekunden"
"io-worldDuration-second","Sekunde"
"io-worldDuration-new","Diese Welt ist beendet! Die neue Welt wird bald beginnen."

"io-return-tce","Beenden"
"io-return-tce-tooltip","Zurück zu Curious Expedition Einzelspieler Modus."

"io-discord","Werde Teil der RIVALS Community auf Discord!"

"io-st-exhausted-title-1","Leichte mentale Erschöpfung"
"io-st-exhausted-title-2","Mittlere mentale Erschöpfung"
"io-st-exhausted-title-3","Schwere mentale Erschöpfung"
"io-st-exhausted-title-4","Extreme mentale Erschöpfung"
"io-st-exhausted","Du bist sehr erschöpft von deinem langen Abenteuer. Deine Geistige Gesundheit nimmt stärker ab und ist deutlich begrenzt."
"io-st-faithless-title","Hoffnungslos"
"io-st-faithless","Hat die Hoffnung verloren jemals von dieser Expedition zurück zu kehren. Verliert kontinuierlich Loyalität."
"pack-artist","Reisender Künstler"
"pk-greatReputation-title-io","Hervorragender Ruf"
"pk-bartering-title-io","Meisterhafter Händler"
"pack-smallArmy","Kleine Armee"
"pack-huntingTrip","Jagdausflug"
"pack-bestWorlds","Das beste von beiden Welten Crate"
"pack-combatExplorer","Kampfentddecker"

"io-exhausted-1-intro","Als ich am Feuer saß spürte ich die schwere Last der vergangenen Tage. Was hätte ich für etwas mehr Komfort gegeben. Meine Füße schmerzten und ich sehnte mich nach einem warmen Bad. Ich war erschöpft."
"io-exhausted-1-trek","Ich sah mich um sah die Müdigkeit in den Gesichtern meiner Kameraden."

"io-exhausted-2-intro","Ich fühlte wie nahe ich meinem Limit gekommen war. Diese Expedition war deutlich länger als ich ursprünglich angenommen hatte und ich war mir nicht sicher wieviel ich noch ertragen konnte."
"io-exhausted-2-trek","Alle schienen so erschöpft zu sein wie ich. Ich fragte mich wie lange ich noch alles zusammenhalten konnte."

"io-exhausted-3-intro","Das wars. Wie würde ich noch weitermachen können nach all der Zeit hier draußen. Ich war mich sicher dass uns ein schreckliches Ende bevorstand. Ich musste ein Ende finden."
"io-exhausted-3-trek","Die anderen waren nichts als Schatten ihrer selbst. Es konnte nur noch ein paar Tage dauern bis sie aufeinander los gehen würden."

"io-exhausted-4-intro","Das ist Wahnsinn. Ich kann mich nicht an mein Leben erinnern bevor ich hierher kam. Alle Hoffnung hat mich verlassen, und es gibt nichts mehr zu tun. Das Ende ist nahe."
"io-exhausted-4-trek","Die Anderen saßen nur still da, keiner sprach mehr. Konnte ich ihnen noch trauen?"

"io-exhausted-single-trek-generic","[$name hatte in den letzten Tagen kaum gesprochen|Ich wagte es nicht mir $name zu sprechen|Ich fragte mich was $name wohl dachte|$Name sah wirklich schlecht aus|$name wimmerte leise vor sich hin]. [ich hatte $ihn noch nie so still gesehen|Ich wagte es nicht $ihn anzusprechen|Ich konnte nicht sagen ob $er schlief oder nur vor sich hin starrte|Ich fragte mich was für eine Geschichte $er wohl von dieser Reise erzählen würde wenn wir jemals zurück kehrten|Ich fragte mich wieviel ich von $ihm noch verlangen konnte]."
"io-exhausted-single-trek-extreme","[$name war kaum noch am LebenIch hatte ein ganz schlechtes Gefühl mit $name]. [Ich stellte mir vor wie es wohl sein würde $ihn zu begraben|Es tat mir so leid dass ich $ihn auf diese Verfluchte Expedition geschleppt hatte]."
"io-exhausted-animal-generic","[Ich sah $name an|$name stand still am Feuer|$name anzusehen gab mir ein bisschen Hoffnung|$name kaute leise auf etwas herum].[In all diesen Jahren hatte ich niemals einen treueren Begleiter gehabt|Ich wusste nicht wie ich ohne $ihn hätte weitermachen können|Ich konnte mir keinen besseren Begleiter wünschen als $ihn|Dieses Tier bedeutete mir mehr als irgendetwas auf dieser Welt|$Seine warmen Augen sahen mich ruhig an]."

"io-exhausted-genericComments","[Ich bin so müde.|Können wir nach Hause?|Wir werden hier draußen sterben.|Warum machen wir das hier nochmal?|Haben wir nicht genug gesehen?|Von mir aus kann es noch ein paar Tage weitergehen!]"

"io-exhausted-keepGoing","Ich richtete mich auf und entschied dass heute nicht der Tag meiner Niederlage sein würde. Ich fühlte dass noch etwas Hoffnung in mir war."
"io-exhausted-onward","Vorwärts!"

"io-help-days-remaining","Diese Expedition wird in $days Tagen vorbei sein."

"io-hotAirBalloon-access","Der Heißluftballon würde einige Tage benötigen, bis er zur Abreise bereit war. In seinem Tragekorb war nur wenig Platz. Alles, was nicht hineinpasste, würde zurückbleiben müssen."
"evt-hotAirBalloon-stash-action-io","Zum Außenposten fliegen"

"npc-badgeServant-title","Diener der Abzeichen"
"badge-treasureHunter-name","Abzeichen der Schatzjäger"
"badge-animalTrade-name","Abzeichen der Tierpräperatoren"
"badge-treasureHunter","Das Abzeichen der Schatzjäger Gesellschaft. Zeige es einem Diener der Abzeichen um regelmäßigen Schatzgräberausrüstung-Nachschub zu erhalten."
"badge-animalTrade","Das Abzeichen der Tierpräperatoren Gesellschaft. Zeige es dem Diener der Abzeichen um mit ihm deine gesammelten Materialien handeln zu können. Außerdem verringert des töten von Tieren dein Ansehen nicht."
"act-badgeServant-intro","Diener der Abzeichen aufsuchen"
"act-badgeServant-noBadge","Ich habe kein Abzeichen"
"badgeServant-noBadge","Die Gestalt stand einfach nur da und sah mich eine Weile an. Obwohl das Gesicht hinter einer Maske lag konnte ich die Mißachtung meiner Person deutlich spüren. Schlußendlich begann sie langsam den Kopf zu schütteln und erwartete dass ich gehe."
"badgeServant-intro","Ich begrüßte eine seltsame, maskierte Gestalt die in grelle, orangfarbene Roben gekleidet war. Es sah so aus als wäre sie nicht gerne an diesem Ort. Sie hatte eine hohe Standarte auf den Rücken geschnallt, vermutlich damit man sie von weitem gut erkennen konnte. Eine [stille|gelangweilte|emotionslose|müde] Stimme erhallte hinter der Maske und forderte mich auf mein Abzeichen zu zeigen."
"act-badgeServant-treasureHunter","Abzeichen der Schatzjäger"
"act-badgeServant-animalTrade","Abzeichen der Tierpräperatoren"
"act-badgeServant-sellTrophies","Tiertrophäen verkaufen"
"act-badgeServant-tradeFameTrophies","Tiertrophäen für Ruhm abliefern"
