"io-title","RIVALS"
"io-livelog-newTopScore","О [невероятных|впечатляющих|восхитительных|потрясающих|чудесных|безумных|великих|прекрасных] приключениях [экспедиции|отряда|команды|спутников] исследователя по имени $user теперь знают все! Получено $fame очков славы!"
"io-livelog-newTopClaims","В своих [невероятных|впечатляющих|восхитительных|потрясающих|чудесных|безумных|великих|прекрасных] приключениях [экспедиции|отряду|команде|спутникам] исследователя по имени $user удалось превзойти всех и каждого. Путешественники открыли $claims регионов!"
"io-livelog-newTrek","$user отправляется в [экспедицию|путешествие|приключение|поход] ($segment)"
"io-livelog-unlockedOutpost","$oldname [получает название|переименовывают в|называется] $newname после обнаружения аванпоста"
"io-livelog-foundSeal","$user [обнаруживает|находит|отыскивает|добывает] Золотую печать в области света $segment по координатам $xCoord, $yCoord."
"io-livelog-goal-unlock","$user добирается до Золотой Пирамиды!"
"io-goldenSeal","В небе появляется столб света, который направлен на $pyramidDir. Вскоре свет начинает затухать и вскоре исчезает. [Что же такого важного в том направлении?|Я задумываюсь, стоит ли нам идти в этом направлении.|Мне кажется, что нам не следует туда идти.|Я думаю, что ничего хорошего в той стороне нас не ждет.|Если мы последуем за светом, то наверняка обретем славу!]"

"io-salvage-verb","Обыскать"

"io-hub-first","После необычного путешествия по быстротекущей реке, я прибыл на $segmentname_. Клуб путешественников, отправивший меня сюда, дал мне снаряжение, необходимое для исследования этой обширной земли, но не ответы на то, почему я здесь. Есть лишь один путь - вперед! Приключение ждет меня!"
"io-hub-enter","Я прибыл на $segmentname_, и мне тут же стало лучше. Тут было много полезных сервисов, которыми мне удалось воспользоваться."
"io-hub-main","Я был все еще на _аванпосте_. Я понял, что перед тем, как выступать, надо хорошенько подготовиться. Что еще нужно сделать?"
"io-hub-main-action","Вернуться в аванпост"

"io-hub-healUnits-action","Посетить лазарет"
"io-hub-healUnits-enter","Я посетил лазарет. Ко мне подошел врач и спросил, кому нужна его помощь."
"io-hub-healUnits-return","Доктор спросил, может ли он еще чем-то помочь мне."
"io-hub-healUnits-treatUnit","$name неважно себя чувствует"
"io-hub-healUnits-deal","Врач лечит как телесные, так и душевные раны, от которых страдает $name. После лечения $he выглядит гораздо лучше."

"io-hub-ask-action","Задать вопросы об этой стране"
"io-hub-ask-return","Задать другой вопрос"
"io-hub-ask-main","На каждом аванпосте есть слуга значка. Отвечать на глупые вопросы - не его основная задача, однако он сделает это - с плохо скрываемым презрением."
"io-hub-ask-return-txt","_Слуга значка_ беззвучно посмотрел на тебя, приглашая задать другой вопрос."
"io-hub-ask-regions","Спросить о регионах"
"io-hub-ask-outposts","Спросить об аванпостах"
"io-hub-ask-pyramid","Спросить о золотой пирамиде"
"io-hub-ask-crates","Спросить о ящиках"
"io-hub-ask-medals","Спросить о медалях"
"io-hub-ask-provinces","Спросить о провинциях"
"io-hub-ask-badges","Спросить о значках"
"io-hub-ask-fame","Спросить о славе"
"io-hub-ask-regions-txt","Слуга объяснил: этот мир разделен на _регионы_ одинаковой величины. Каждому региону соответствует координата - например, этот аванпост расположен в $currentRegion. Чтобы открыть регион, просто найди все принадлежащие ему локации. После этого он будет отмечен как найденный тобой, $name, и ты станешь более знаменитым. Открытые регионы видны твоим противникам, и отмечены у каждого на _карте мира_."
"io-hub-ask-outposts-txt","Слуга объяснил: аванпосты - это островки цивилизации в этом странном мире, созданные клубами исследователей. Этот и любой другой аванпост расположен у быстрой реки. Чтобы найти другие аванпосты, просто двигайтесь вдоль рек, или используйте ваш компас, который укажет вам на ближайший необнаруженный аванпост. Если вы, $name, найдете аванпост первым, он будет назван в вашу честь! Но помните: ваши соперники могут идти по вашему следу и легко начинать оттуда будущие экспедиции."
"io-hub-ask-pyramid-txt","Слуга объяснил, с оттенком [возбуждения|нервозности|беспокойства|надежды|страха|удивления|смущения|враждебности|скуки] в глазах: в этом мире существует только одна _золотая пирамида_! Чтобы найти ее, сначала найди золотые печати, которые осветят путь - хотя их можно отыскать только в наиболее сложных провинциях. Когда пирамида будет найдена тобой или одним из твоих _соперников_, знай, что конец этого мира близок. Но не бойся! Его место скоро займет другой мир."
"io-hub-ask-crates-txt","Слуга объяснил: изучая и открывая локации, вы получите новые _ящики_. Хотя они и не пригодятся в текущей экспедиции, их можно будет использовать в будущих."
"io-hub-ask-medals-txt","Слуга объяснил: вам дадут _медали_ и другие предметы, $name, в награду за открытие регионов. Благодаря этим медалям вы сможете использовать ящики постоянно, не лишаясь их после использования."
"io-hub-ask-provinces-txt","Слуга объяснил: регионы группируются в _провинции_ по сложности их изучения. Этот аванпост расположен в провинции $segmentname. 
Вы узнаете о том, что вступили в новую провинцию, увидев ее название и рейтинг сложности. Заметьте, что каждая провинция содержит аванпост."
"io-hub-ask-badges-txt","Слуга объяснил: некоторые ящики содержат значки. Их можно использовать, чтобы снарядить новый отряд и придать ему новые возможности, в чем ваш смиренный слуга значка вам с радостью поможет."
"io-hub-ask-fame-txt","Слуга объяснил: ваша _известность_ зависит от открытия новых регионов и аванпостов. Но чтобы стать знаменитым, нужно сдать все, что у вас есть, на аванпост. Здешних людей это очень впечатлит. Вы можете, если хотите, разбить найденные вами сокровища на драгоценные камни. В этом случае люди будут впечатлены несколько меньше. Но все же впечатлены. Когда мир подойдет к концу, самые знаменитые _соперники_ получат дополнительную медаль."
"cl-badgeServant-ask","[Действительно?|Опять?|Еще один?|Не еще один!|Столько вопросов...|Что теперь?|Вопрос, да?|Можем мы повторить еще раз?|Лучше о значках.|Тебе никогда не найти пирамиду.|Еще один глупый исследователь.|Пфф.|Ох!|*смотрит на вас*]"

"io-deliverFameItems-action","Доставить сокровища"
"io-deliverFameItems-title","Сокровища"
"io-badgeServant-deliverAnimalSupplies-title","Припасы для таксидермии"
"evt-polarStation-stash-done","Мужчина [обещает|говорит|заверяет нас], что наши [ценности|соковища|припасы|вещи] будут [доставлены|отправлены] в ближайший аванпост [с упряжкой|с посыльным и парой|с помощью] [собак|хаски] [незамедлительно|немедленно|при первой возможности|после того, как он немного вздремнет]."

"pk-blackMarket","Расширьте ассортимент предлагаемых товаров, приобретая вещи в аванпостах."
"pk-journalist-1","Увеличивает славу, получаемую за привезенные сокровища."
"evt-harbor-select-action","Обменять на снаряжение"
"item-help-trade","Можно обменять на славу на аванпосте."
"io-help-compass","Компас показывает тебе направление на ближайший не открытый аванпост, и как далеко до него."

"io-region-article"," "
"na-io-DifficultySegments","[$ioNoun $ioSpecial|$ioAdjective $ioNoun|$ioAdjective $ioNoun $ioSpecial]"
"np-io-adjective","[Темная|Пустая|Бесконечная|Великая|Золотая|Невидимая|Жестокая|Забытая|Гнилая|Цветущая|Крошечная|Древняя|Кровоточащая|Черная|Белая|Чудесная|Мрачная|Священная|Старая|Новая|Новорожденная|Умирающая]"
"np-io-noun","[Долина|Земля|Окраина|Равнина|Низина|Стремнина|Гора|Сопка|Чаща|Впадина|Обитель|Рука|Нога|Пасть|Голова|Длань|Грудина|Спина|Круговерть|Колыбель|Струйка|Волна|Бухта|Нора|Сабля|Эгида|Звезда|Дева|Мать|Предтеча|Старейшина]"
"np-io-special","[Богов|Души|Смерти|Отчаяния|Руин|Удачи|Безумия|Печали|Бурь]"

"na-io-unlocked-segments","[$ioNoun «$ioName»|$ioAdjective $ioNoun «$ioName»|$ioAdjective $ioNoun $ioSpecial «$ioName»]"

"pk-die-magic","Дополнительный кубик магии."
"pk-die-magic-title","Волшебник"

"pk-goodReputation-io","Быстрее восстанавливается репутация."

"bonus-standingBias","Предвзятость"
"bonus-turnsForStandingBias","Дней до появления предвзятости"

"io-balloon-travel","Полет"
"help-balloon","Вернитесь в ближайший аванпост на воздушном шаре. Вместимость корзины ограничена."

"pack-automatic","Ящик $item"
"pack-starter","Ящик новичка"
"pack-survival","Ящик походника"
"pack-mystery-egg","Загадочное яйцо"
"pack-healthcare","Здравоохранение"
"pack-adventurers-pack","Ящик путешественника"
"pack-tribal-combat","Туземный бой"
"pack-magic-apprentice","Начинающий волшебник"
"pack-magic-terraform","Волшебник-терраформатор"
"pack-magic-teleport","Волшебник-телепортатор"
"pack-magic-curse","Злой волшебник"
"pack-mushroom-collector","Грибник"
"pack-army-supplies","Войсковые припасы"
"pack-shady-trader","Подозрительный торговец"
"pack-scouting","Ящик разведчика"
"pack-climber","Ящик альпиниста"
"pack-arctic","Ящик полярника"
"pack-chocolate-addict","Пристрастие к шоколаду"
"pack-chocolate-addict-2","Пристрастие к шоколаду 2"
"pack-whiskey-lover","Любитель виски"
"pack-whiskey-lover-2","Любитель виски 2"
"pack-simple-needs","Простые потребности"
"pack-effects","Ящик эффектов"
"pack-musician","Ящик музыканта"
"pack-high","Кайфовый Ящик"
"pack-pendulum","Маятник"
"pack-explosion-expert","Взрывотехник"
"pack-sail-ho","Вижу судно"
"pack-animal-capacity","Грузоподъемность животных"
"pack-art-lover","Любитель искусства"
"pack-lovecraft","Лавкрафт"
"pack-peace","Ящик мира"
"fortune-teller","Предсказатель"
"pack-plane-traveller","Любитель полетов"
"pack-shaman","Шаман"
"pack-alternative-medicine","Альтернативная медицина"
"pack-cultist","Ящик сектанта"
"pack-dino-friends","Друзья динозавров"
"pack-monster-master","Укротитель чудовищ"
"pack-animal-whisperer","Заклинатель зверей"
"pack-endlesss-light","Негасимый свет"
"pack-blood-prince","Принц крови"
"pack-yeti","Сомнительный друг"
"pack-battleCat","Боевой кот"
"pack-holyPug","Святой мопс"
"pack-darkLord","Темный лорд"
"pack-animalTrade","Ящик припасов для таксидермии"
"pack-hyena-pack","Стая гиен"
"pack-wildlife","Дикая природа"
"pack-natives-skills","Умения туземцев"
"pack-natives-magic","Знания туземцев"
"pack-lizards","Люди-ящерицы"
"pack-trader-marbles","Снаряженный торговец"
"pack-bbq","Барбекью"
"pack-mountaineering","Ящик альпиниста"
"pack-soldiers","Солдаты Авалона"
"pack-teslaGun","Лаборант"
"pack-butterflyAssistant","Собиратель бабочек"
"pack-arcticSpecialist","Специалист по Арктике"
"pack-packAnimals","Вьючные животные"
"pack-native-expert","Туземный эксперт"

"st-feihong-desc","Получает дополнительный кубик."

"io-pyramid-leave","Нацарапать свое имя!"

"io-splash-chat-welcome","Приветствуем в нашей новой многопользовательской игре!"
"io-splash-chat-title","Curious Expedition _RIVALS_!"
"io-splash-chat-pause","Так вот... М-м..."
"io-splash-chat-largeWorld","Это игра об исследовании обширных и неведомых краев."
"io-splash-chat-notAlone","Причем вместе с другими игроками!"
"io-splash-chat-peoplePlaying","За минувшие часы в нее сыграло _$playerCount_ человек."
"io-splash-chat-remembered","Открытые ими регионы запомнят имена своих первопроходцев!"
"io-splash-chat-cool","Это замечательно!"
"io-splash-chat-right","Ведь правда? Прямо как в No Man's…"
"io-splash-chat-highscore","Да, кстати, здесь можно ставить рекорды."
"io-splash-chat-bestPlayer","Сейчас всех обгоняет $playerBestName со счетом $playerBestScore."
"io-splash-chat-worldReset","Время от времени мир и рейтинг обнуляются."
"io-splash-chat-world","Сейчас мы исследуем мир $worldNumber, который будет существовать еще $worldDuration."
"io-splash-chat-donkey","Откуда здесь говорящий ослик?"
"io-splash-chat-oh","Ха… Это еще что."
"io-splash-chat-seeRest","Вы и не такое увидите."
"io-splash-chat-adventure","Скорей, навстречу приключениям!"

"io-splash-chat-returningPlayer","С возвращением в Curious Expedition RIVALS!"
"io-splash-chat-worldInfo","Мир $worldNumber [живет своей жизнью|существует|исследуется] вот уже $worldDuration."
"io-splash-chat-playedSessions","Совсем недавно в нем состоялось $playedSessions [походов|странствий|вылазок] [отрядов|экспедиций|путешественников] в неведомые дали."
"io-splash-chat-worldExplored","[Исследовано|Открыто|Изучено] $worldExplored мира."
"io-splash-chat-outposts","Совместными усилиями исследователями открыт вот уже $unlockedhubs-й аванпост."
"io-splash-chat-gamesPlayed","[Вы|Теперь вы|Отныне вы] готовы к любым [экспедициям|приключениям|походам|путешествиям], ведь на вашем счету их уже $numgamesthisuser."

"io-worldDuration-end","Этот мир прекратит существование через"
"io-splash-chat-packs","Не забывайте проверять полученные вами ящики."
"io-splash-chat-fail","Неудачи не должны вас сломить. Начинайте заново и поэкспериментируйте с другими ящиками."
"io-splash-chat-friends","Расскажите друзьям о RIVALS!"
"io-splash-chat-discord","Присоединяйтесь к нашему сообществу в Discord, нажав кнопку в правом верхнем углу."

"io-worldDuration-days","дн."
"io-worldDuration-day","день"
"io-worldDuration-hours","ч."
"io-worldDuration-hour","час"
"io-worldDuration-minutes","мин."
"io-worldDuration-minute","минута"
"io-worldDuration-seconds","сек."
"io-worldDuration-second","секунда"
"io-worldDuration-new","Этот мир слишком изучен и стар. Скоро появится новый мир!"

"io-return-tce","Выйти"
"io-return-tce-tooltip","Вернуться в режим одного игрока."

"io-discord","Присоединяйтесь к сообществу RIVALS в Discord!"

"io-st-exhausted-title-1","Легкое умственное истощение"
"io-st-exhausted-title-2","Среднее умственное истощение"
"io-st-exhausted-title-3","Сильное умственное истощение"
"io-st-exhausted-title-4","Крайнее умственное истощение"
"io-st-exhausted","Вы слишком долго путешествуете и начинаете быстрее терять здравомыслие. Ваш максимальный уровень здравомыслия падает."
"io-st-faithless-title","Брюзга"
"io-st-faithless","Уже и не надеется вернуться из этой экспедиции. Уровень преданности постоянно снижается."
"pack-artist","Странствующий художник"
"pk-greatReputation-title-io","Отличная репутация"
"pk-bartering-title-io","Опытный торговец"
"pack-smallArmy","Маленькая армия"
"pack-huntingTrip","Охота"
"pack-bestWorlds","Лучший в мире ящик"
"pack-combatExplorer","Боевой исследователь"

"io-exhausted-1-intro","Этой ночью я сижу у костра и думаю о тяготах последних дней. Сейчас я отдам что угодно за каплю комфорта. Ноги болят, я мечтаю о горячей ванне. Как же меня все достало."
"io-exhausted-1-trek","Я оглядываюсь по сторонам и замечаю усталость на лицах моих спутников."

"io-exhausted-2-intro","Я чувствую, что вплотную приблизил{ся|ась} к своему пределу. Эта экспедиция слишком затянулась, и я не знаю, сколько еще выдержу."
"io-exhausted-2-trek","Насколько я могу судить, остальные измучены не меньше меня. Интересно, долго ли я смогу их удерживать?"

"io-exhausted-3-intro","Вот и все. Не понимаю, как я еще могу передвигаться. Мне нужно отдохнуть, или произойдет нечто ужасное. Мне нужно сделать привал."
"io-exhausted-3-trek","Остальные превратились в бледные тени самих себя. Еще несколько дней, и они точно вцепятся друг другу в глотки."

"io-exhausted-4-intro","Это безумие. Я уже не помню той, прошлой жизни. Надежды больше нет. У меня ничего не осталось. Конец близок."
"io-exhausted-4-trek","Остальные просто тихо сидят рядом. Никто не открывал рта уже несколько дней. Могу ли я им доверять?"

"io-exhausted-single-trek-generic","[В последнее время $name почти не говорит.|$Name молчит, и я не осмеливаюсь отрывать $his от личных мыслей.|Интересно, о чем думает $name?|$Name совсем плох{|а}.|$Name тихо всхлипывает.] [Я впервые вижу $his {таким тихим|такой тихой}.|Я боюсь говорить $him, что на рассвете придется собраться и двигаться дальше.|Я не понимаю, спит $he или просто лежит, уставившись в темноту.|Интересно, какую историю $he расскажет, если мы когда-нибудь вернемся домой?|Я спрашиваю себя, сколько $he еще выдержит.]"
"io-exhausted-single-trek-extreme","[$name едва переставляет ноги|$name выглядит так, что меня охватывает дурное предчувствие]. [Я уже представляю, как буду $his хоронить.|И зачем надо было тащить $his в эту проклятую экспедицию?]"
"io-exhausted-animal-generic","[$name|$name тихо стоит у костра|Одним своим видом $name вселяет в меня надежду|$name тихонько что-то жует]. [За все эти годы мне не встречалось товарища преданнее|Не знаю, что я буду делать, если $his не станет|О лучшем спутнике я не могу и мечтать|Это животное значит для меня больше, чем кто-либо еще|$He тихо наблюдает за мной своим теплым взглядом]."

"io-exhausted-genericComments","[Как же я устал{|а}.|Давайте вернемся домой?|Мы тут все умрем.|Кто мне скажет, зачем мы в это ввязались?|Может, хватит с меня горя и лишений?|Я выдержу разве что пару дней, но не больше!]"

"io-exhausted-keepGoing","Я расправляю плечи. Нет, сегодня я не сдамся. Во мне еще теплится огонек надежды."
"io-exhausted-onward","Вперед!"

"io-help-days-remaining","Эта экспедиция завершится через $days дней."

"io-hotAirBalloon-access","Воздушный шар готов к полету, но его корзина не так уж и велика. Все, что не поместится, придется оставить."
"evt-hotAirBalloon-stash-action-io","Отправиться в аванпост"

"npc-badgeServant-title","Слуга значка"
"badge-treasureHunter-name","Значок охотника за сокровищами"
"badge-animalTrade-name","Значок поставщика таксидермистов"
"badge-treasureHunter","Значок, подтверждающий членство в обществе охотников за сокровищами. Покажите его слуге, чтобы регулярно получать соответствующее снаряжение."
"badge-animalTrade","Значок, подтверждающий членство в обществе любителей таксидермии. Покажите его слуге, чтобы выгодно обменять останки животных. Убийство животных не ухудшает репутацию."
"act-badgeServant-intro","Поискать слугу значка"
"act-badgeServant-noBadge","У меня нет значка"
"badgeServant-noBadge","Он просто стоит и смотрит на меня. Хотя его лицо скрыто маской, я чувствую исходящее от него презрение. Через какое-то время он медленно качает головой, явно ожидая, когда я уйду."
"badgeServant-intro","Я приближаюсь к странной фигуре в маске и ярко-оранжевых одеждах. Кто бы это ни был, ему здесь явно не по душе. За спиной у него большой флагшток, благодаря которому его видно издалека. [Тихим|Лишенным эмоций|Скучающим|Усталым|Пугающим] голосом из-под маски он предлагает мне показать свой значок."
"act-badgeServant-treasureHunter","Значок охотника за сокровищами"
"act-badgeServant-animalTrade","Значок поставщика таксидермистов"
"act-badgeServant-sellTrophies","Продать останки животных"
"act-badgeServant-tradeFameTrophies","Обменяйте останки животных на славу"
"badgeServant-refill-generic","Пролистав какие-то бумаги, Слуга значка тихо кивает и подтверждает, что недавно прибыла новая поставка снаряжения. Мне приходится показать значок еще раз — мой странный собеседник изучает его с глубочайшей подозрительностью. Раздраженно вздохнув напоследок, он вручает мне посылку с припасами."
"badgeServant-refill-fail-generic","Слуга значка говорит, что еще слишком рано. Следующая поставка будет только через несколько дней."
"cl-badgeServant-intro","[Я служу только владельцам значков|Сначала вам придется показать мне свой значок|Проходите, не задерживайтесь|Нет значка — нет припасов|Даже не пытайтесь подходить ко мне без значка|Надеюсь, ваш значок с вами|Только для членов общества]."
"cl-badgeServant-generic-wait","[Говорят, терпение — добродетель|Вам придется подождать|Сегодня я вам ничем помочь не могу|Я не сожалею|Полагаю, терпение в число ваших добродетелей не входит]."
"cl-badgeServant-generic-refillTreasureHunter","[Пожалуйста|Берите и уходите|Я просто выполняю свои обязанности. Не нужно меня благодарить|Этого должно хватить, чтобы раздобыть что-нибудь еще|Приятной охоты за сокровищами]."
"badgeServant-animalTrade","Дважды перепроверив значок, слуга приветствует меня чуточку теплее. Он готов приобрести у меня любые останки животных и обменять их на другие товары или славу. Он заверяет меня, что таксидермисты с нетерпением ждут сырья."
"cl-badgeServant-animalTrade","[Вижу, вы были на охоте.|Очень хорошо. Мои клиенты будут рады новым материалам.|Вы достали сырье?|Пожалуйста, поскорее. Меня ждут клиенты.|Вы такой же исполнитель, как и я.]"

"io-endGame","Поздравляем, вы выжили в этой экспедиции! Время для триумфального возвращения!"
"io-gameover-success","Вы вернулись с Триумфом!"

"io-pyramid-found","Поздравляем! Ты нашел золотую пирамиду! Ты получаешь доступ к Curious Expedition 2 Windows Alpha на Discord!"
"io-pyramid-found-other","$user нашел пирамиду - однако ты тоже можешь найти ее, и получить доступ к Curious Expedition 2 Windows Alpha!"
"io-pyramid-not-found","Пирамида в этом мире еще не найдена - найди ее, чтобы получить доступ к Curious Expedition 2 Windows Alpha!"
"io-pyramid-activate","Получить Альфа-доступ"

"io-alpha-yourkey","Ваш Альфа-ключ:"
"io-alpha-instructions-header","Выполни эти шаги, чтобы играть в Curious Expedition 2 Alpha на Windows, прямо сейчас!"
"io-alpha-instructions-1","1. Нажми на кнопку внизу, чтобы подключиться к серверу Discord"
"io-alpha-instructions-2","2. Нажми 'Mr. Slippers' в списке пользователей справа"
"io-alpha-instructions-3","3. Отправь твой ключ (скопированный в буфер обмена) в виде сообщения для Mr. Slippers"
"io-alpha-instructions-4","4. Mr. Slippers даст тебе доступ к Alpha"
"io-alpha-join","Подключись к Discord и получи доступ к Alpha"

"io-alpha-notify-title","Доступ к Alpha разблокирован!"
"io-alpha-notify-desc","Открой меню настроек, чтобы узнать, как играть в Curious Expedition 2."

"pl-arcticHunter-title","Туземный охотник"
"st-pathfinder-1-title","Патфайндер 1"
"st-pathfinder-2-title","Патфайндер 2"
"st-pathfinder-3-title","Патфайндер 3"
"st-pathfinder-4-title","Патфайндер 4"
"st-pathfinder-description","Снижение затрат на передвижение по арктической местности."
"evt-village-recruit-select-humanoid-arcticHunter-action","Охотник $name"
"evt-village-recruit-select-humanoid-arcticHunter","[Знания об этой замерзшей земле трудно найти| Я был уверен, что руководство очень поможет в нашей ситуации| Мы были уверены, что проведем некоторое время в Арктике], поэтому я приветствовал $name в нашей команде."

"pl-scientificAssistant-title","Научный Ассистент"
"pk-researchAssistance-1-title","Помощь в исследованиях I"
"pk-researchAssistance-2-title","Помощь в исследованиях II"
"pk-researchAssistance-3-title","Помощь в исследованиях III"
"pk-researchAssistance-4-title","Помощь в исследованиях IV"
"pk-researchAssistance-description","Увеличение прироста здравомыслия при открытии нового образца бабочки."

"anm-yakul-title","Якул"
"anm-yakul","Верное оленеподобное существо. Осёдланное, передвигается очень быстро и способно легко забраться на любой склон."

"emy-trex-name","Тираннозавр"
"it-trexTooth-name","Зуб тираннозавра"
"it-trexTooth","Зуб тираннозавра. Очень ценный."
"zn-trex-name","Тираннозавр"
