"io-title","RIVALI"
"io-evt-user","Abbiamo [notato|trovato|visto|scoperto] alcuni/e [effetti|articoli|cose|articoli vari] personali/e, incluso un [diario|giornale|libro] con il/i/le/la [titolo|parole|segni|scrittura|lettere] sbiadito/e/i/a ""La/Il [Spedizione|Giornale|Viaggio|Escursione|Avventura] di $playerName. "" Ho [sperato|pregato] la nostra/il nostro [spedizione|viaggio|escursione|avventura] non finisse come la loro."
"io-highscores","Punteggi più alti"
"io-highscores-top","Punteggi migliori"
"io-highscores-claims","La maggior parte delle Scoperte"
"io-highscores-mine","My Best Scores"
"io-highscores-lifetime-score","Best Ever Scores"
"io-highscores-lifetime-goals","Most Pyramids"
"io-highscores-lifetime-goalspeed","Fastest Pyramids"
"io-highscores-goals","Scoperte delle piramidi"
"io-highscores-page","Pagina $page"
"io-help-standing","La Reputazione negativa non dura: le cattive azioni saranno dimenticate nel tempo"
"io-hub-name","Avamposto"
"io-hub-approach-action","Sblocca l'Avamposto"
"io-hub-enter-action","Inserisci Avamposto"
"io-hub-unlocked","$val Avamposto Scoperto!"

"io-user-best-score","Most Famous Expedition"
"io-user-best-claims","Most Regions in a single World"
"io-user-best-pyramid-rank","Best Pyramid Discovery Rank"
"io-user-best-pyramid-time","Fastest Pyramid Discovery"
"io-user-best-pyramid-count","Number of Pyramid Discoveries"
"io-user-best-num-expeditions","Number of Expeditions"
"io-user-best-num-worlds","Number of Worlds Played"
"io-user-best-num-claims","Total Number of Regions"
"io-user-best-num-hubs","Number of Outposts Discovered"

"io-pyramid-unclaimed","There is a single Golden Pyramid in the world of RIVALS. Once it's discovered, a timer will begin that signals the end of the world."

"io-livelog-claim","Una regione nel $segment è stata scoperta da $user ($xCoord, $yCoord)"
"io-livelog-death","La/il [spedizione|escursione|avventura|viaggio] di $user [si è conclusa/o|è terminata/o|fallita/o|finita/o|conclusa/o in tragedia|conclusa/o con insuccesso|ha raggiunto la sua fine] nel $segment dopo $days giorni con $fame di fama"
"io-livelog-newTopScore","Il/La/L’ [incredibile|impressionante|meraviglioso/a|magnifico/a|stupendo/a|folle|grande|bellissimo/a] [spedizione|escursione|avventura|viaggio] di $user è ora il più famoso con $fame di fama!"
"io-livelog-newTopClaims","Il/La/L’ [incredibile|impressionante|meraviglioso/a|magnifico/a|stupendo/a|folle|grande|bellissimo/a] [spedizione|escursione|avventura |viaggio] di $user ora ha la maggior parte delle scoperte con le $claims regioni!"
"io-livelog-newTrek","$user ha iniziato una nuova/un nuovo [spedizione|escursione|avventura|viaggio] in $segment"
"io-livelog-unlockedOutpost","$oldname è ora [noto come|chiamato|nominato] $newname poiché l’Avamposto è scoperto"
"io-livelog-foundSeal","$user ha [incontrato|trovato|scoperto|esplorato] un Sigillo d'Oro nel $segment a $xCoord, $yCoord."
"io-livelog-goal-unlock","$user ha raggiunto la Piramide d'Oro!"
"io-goldenSeal","La colonna di luce sembrava puntare verso la $pyramidDir. Smise di lampeggiare dopo pochi istanti. [Cosa potremmo trovare se andassimo da quella parte?|Mi chiedo se dovremmo andare in quella direzione.|Sono sicuro che seguire la luce sarebbe una cattiva idea. Immagino che solo cose terribili potrebbero accadere se andassimo da quella parte.|Se avessimo seguito la luce, sicuramente avremmo trovato la gloria!]"

"io-salvage-verb","Recuperare"

"io-hub-first","After a strange journey up a fast-flowing river, I arrived at the _Outpost of $segmentname_. The _Explorer Club_ that sent me here had provided me with the equipment I would need to explore this vast land, but not much in the way of answers as to why I was here. There was only one way forward: to set out and explore! Adventure Awaited!"
"io-hub-enter","I arrived at the _Outpost of $segmentname_, and immediately felt better. There were many useful services there that I could take advantage of."
"io-hub-main","I was still at the _Outpost_. I realised I had better prepare before heading out. What was left to do?"
"io-hub-main-action","Ritorna all’Avamposto"

"io-hub-healUnits-action","Visita l'infermeria"
"io-hub-healUnits-enter","I visited the sick bay. A doctor approached, and asked who needed treatment."
"io-hub-healUnits-return","The doctor asked if he could do anything else for me."
"io-hub-healUnits-treatUnit","Cura $name"
"io-hub-healUnits-deal","Il medico curò sia ferite fisiche che mentali delle quali $name aveva sofferto. $He in seguito sembrava come nuovo."

"io-hub-ask-action","Ask questions about this land"
"io-hub-ask-return","Ask another question"
"io-hub-ask-main","In every outpost there is a _Badge Servant_. Answering foolish questions is not its main task, but he will do so, with undisguised contempt."
"io-hub-ask-return-txt","The _Badge Servant_ glared at you without a sound, daring you to ask another question."
"io-hub-ask-regions","Ask about Regions"
"io-hub-ask-outposts","Ask about Outposts"
"io-hub-ask-pyramid","Ask about the Golden Pyramid"
"io-hub-ask-crates","Ask about Crates"
"io-hub-ask-medals","Ask about Medals"
"io-hub-ask-provinces","Ask about Provinces"
"io-hub-ask-badges","Ask about Badges"
"io-hub-ask-fame","Ask about Fame"
"io-hub-ask-regions-txt","The Servant explained: this world is split into _Regions_ of equal size. Every Region is assigned a coordinate - for example, this Outpost lies at $currentRegion. To discover a Region, simply discover all the locations within it. It will then be marked as discovered by you, $name, and you will become more famous. Discovered regions are visible to your _Rivals_, and marked on everyone's _World Map_."
"io-hub-ask-outposts-txt","The Servant explained: _Outposts_ are pockets of civilization in this strange land, established by the _Explorer Clubs_. This and every other Outpost lies on a swift _river_, all connected together. To find other Outposts, just follow the rivers - or use your compass, which will point to the closest undiscovered Outpost. If you, $name, are the first to find an Outpost, it shall be named in your honour! But: your _Rivals_ can follow in your footsteps and begin their future Expeditions from there with ease."
"io-hub-ask-pyramid-txt","The Servant explained, with a glimpse of true [excitement|nervousness|trepidation|hope|fear|wonder|bewilderment|hostility|boredom] in its eye: there is but a single _Golden Pyramid_ in this world! To find it, seek first Golden Seals that will light the way - though these can only be found in the most challenging of Provinces. Once the pyramid is found by either you or one of your _Rivals_, the end of the world is nigh - but fret not! A new world will soon take its place."
"io-hub-ask-crates-txt","The Servant explained: as you explore and discover Locations, you will be awarded new _Crates_. While not useful for your current expedition, your future expeditions will have access to these crates, to equip their trek."
"io-hub-ask-medals-txt","The Servant explained: you shall be granted _Medals_, $name, as a reward for discovering Regions, as well as for other things. With these medals you can _hold_ a Crate. Held crates can be used forever, instead of being lost once used."
"io-hub-ask-provinces-txt","The Servant explained: Regions are grouped together into _Provinces_, according their resistance to exploration. This Outpost lies in the province called $segmentname. You will know that you have entered a new Province as its name and difficulty rating will be apparent. Note that not all Provinces contain an Outpost."
"io-hub-ask-badges-txt","The Servant explained: some Crates contain _Badges_. These can be used to equip a new Trek in such a manner as to create new opportunities, with which your humble _Badge Servant_ will be excruciatingly happy to assist."
"io-hub-ask-fame-txt","The Servant explained: you can become more _famous_ as you explore, by discovering Regions and Outposts. But in order to become famous from _treasure_, you must deliver any items you have to an Outpost. The people here will be most impressed. If you want, you can _salvage_ many treasures you find, and break them down into jewels. The people will be a bit less impressed then. But still somewhat impressed. When the world ends, the most famous _Rivals_ will be rewarded with an extra Medal."
"cl-badgeServant-ask","[Really?|Again?|Another one?|Not another one!|So many questions...|What now?|A question, is it?|Must we go over this again?|This had better be about badges.|You'll never find the Pyramid.|Another foolish Explorer.|Hmph.|Gah!|*stares at you*]"

"io-deliverFameItems-action","Consegna i Tesori"
"io-deliverFameItems-title","Tesori"
"io-badgeServant-deliverAnimalSupplies-title","Forniture di Tassidermia"
"evt-polarStation-stash-done","L'uomo [ha promesso|ha detto|ci ha assicurato] che i nostri [oggetti di valore|tesori|beni|oggetti] sarebbero stati [consegnati |inviati] all'Avamposto più vicino da un/a [cane|husky] [slitta|corriere|trasporto] [immediatamente|con urgenza|non appena sarebbe stato possibile|dopo che si fosse fatto un pisolino]."

"pk-blackMarket","Avere accesso ad un'offerta più ampia quando si acquistano attrezzature all'Avamposto."
"pk-journalist-1","Aumenta la fama acquisita quando si consegnano i tesori."
"evt-harbor-select-action","Commercia per Equipaggiamento"
"item-help-trade","Può essere scambiato in fama in un Avamposto"
"io-help-compass","The compass shows you which direction the closest undiscovered Outpost is in, and how far away it is."

"io-region-article","Il"
"na-io-DifficultySegments","[$ioNoun di $ioSpecial|Il $ioNoun di $ioSpecial|Il $ioAdjective $ioNoun|$ioAdjective $ioSpecial]"
"np-io-adjective","[Scuro|Vuoto|Senza|fine|Grande|Dorato|Invisibile|Indimenticabile|Dimenticato|Avariato|Fiorente|Minuscolo|Antico|Sanguinante|Nero|Bianco|Irreale|Più oscuro|Santo|Più vecchio|Più giovane|Appena nato|Morente]"
"np-io-noun","[Valle|Terra|Provincia|Pianure|Dominio|fascia|Monti|Colline|Foresta|Cratere|Reame|Mani|Piedi|Pancia|Testa|Braccio|Dito|Schiena|Ruota|Culla|Fontana|Primavera|Baia|Tana|Spada|Scudo|Stella|Bambino|Padre|Antenato|Vecchio]"
"np-io-special","[gli Dei|Anima|Morte|Disperazione|Rovina|Fortuna|Pazzia|Tristezza|Tempeste]"

"na-io-unlocked-segments","[Il $ioNoun di $ioName|$ioName's $ioNoun|$ioNoun di $ioName|$ioSpecial di $ioName|$ioAdjective $ioName|$ioName's $ioAdjective $ioSpecial]"

"pk-die-magic","Riceve un dado magico aggiuntivo."
"pk-die-magic-title","Mago"

"pk-goodReputation-io","La reputazione ritorna ad un valore più alto in un tempo più veloce."

"bonus-standingBias","Reputazione permanente"
"bonus-turnsForStandingBias","Giorni fino alla Reputazione Permanente"

"io-balloon-travel","Volante"
"help-balloon","Ritorna all'Avamposto più vicino usando una mongolfiera. Il pallone ha solo uno spazio limitato."

"pack-automatic","$item Cassa"
"pack-starter","Cassa di partenza"
"pack-survival","Cassa di sopravvivenza"
"pack-mystery-egg","Uovo misterioso"
"pack-healthcare","Assistenza sanitaria"
"pack-adventurers-pack","Cassa delle avventure"
"pack-tribal-combat","Combattimento tribale"
"pack-magic-apprentice","Apprendista Mago"
"pack-magic-terraform","Mago della terraformazione"
"pack-magic-teleport","Mago del teletrasporto"
"pack-magic-curse","Mago del male"
"pack-mushroom-collector","Collezionista di funghi"
"pack-army-supplies","Forniture dell'esercito"
"pack-shady-trader","Commerciante losco"
"pack-scouting","Cassa di esplorazione"
"pack-climber","Cassa dello scalatore"
"pack-arctic","Cassa artica"
"pack-chocolate-addict","Dipendente dal cioccolato"
"pack-chocolate-addict-2","Dipendente dal cioccolato 2"
"pack-whiskey-lover","Amante del whisky"
"pack-whiskey-lover-2","Amante del whisky 2"
"pack-simple-needs","Esigenze semplici"
"pack-effects","Cassa degli effetti"
"pack-musician","Cassa del musicista"
"pack-high","Cassa alta"
"pack-pendulum","Pendolo"
"pack-explosion-expert","Esperto di Esplosioni"
"pack-sail-ho","Nave in vista"
"pack-animal-capacity","Capacità Animale"
"pack-art-lover","Amante dell'arte"
"pack-lovecraft","Lovecraft"
"pack-peace","Cassa della pace"
"fortune-teller","Chiromante"
"pack-plane-traveller","Viaggiatore aereo"
"pack-shaman","Sciamano"
"pack-alternative-medicine","Medicina Alternativa"
"pack-cultist","Cassa dei Cultisti"
"pack-dino-friends","Amici dei dinosauri"
"pack-monster-master","Maestro dei mostri"
"pack-animal-whisperer","L'uomo che sussurrava agli Animali"
"pack-endlesss-light","Luce senza fine"
"pack-blood-prince","Principe di sangue"
"pack-yeti","Amico improbabile"
"pack-battleCat","Gatto da battaglia"
"pack-holyPug","Il santo Carlino"
"pack-darkLord","Signore oscuro"
"pack-animalTrade","Cassa di Forniture di Tassidermia"
"pack-hyena-pack","Pack of Hyenas"
"pack-wildlife","Wildlife Crate"
"pack-natives-skills","Native Skills Crate"
"pack-natives-magic","Native Knowledge Crate"
"pack-lizards","Cassa Rettialiani"
"pack-trader-marbles","Equipped Trader Crate"
"pack-bbq","Barbeque Crate"
"pack-mountaineering","Bouldering Crate"
"pack-soldiers","Soldiers of Avalon"
"pack-teslaGun","Lab Assistant Crate"
"pack-butterflyAssistant","Butterfly Enthusiast Crate"
"pack-arcticSpecialist","Arctic Specialist Crate"
"pack-packAnimals","Beasts of Burden"
"pack-native-expert","Native Expert Crate"

"st-feihong-desc","Receives an additional Martial Arts die."

"io-pyramid-leave","Iscrivi il mio nome!"

"io-splash-chat-welcome","Benvenuto nel nostro nuovo gioco multiplayer!"
"io-splash-chat-title","Curious Expedition _RIVALI_!"
"io-splash-chat-pause","Si, ehm..."
"io-splash-chat-largeWorld","È un gioco riguardante l’esplorazione di mondi davvero grandi."
"io-splash-chat-notAlone","Sì, insieme ad altri giocatori!"
"io-splash-chat-peoplePlaying","_$playerCount_ le persone hanno giocato nelle ultime ore."
"io-splash-chat-remembered","Abbiamo registrato i loro nomi per le regioni che hanno scoperto."
"io-splash-chat-cool","È splendido!"
"io-splash-chat-right","Sì, non è vero? Come in No Man's ..."
"io-splash-chat-highscore","Oh, e ovviamente c'è un record."
"io-splash-chat-bestPlayer","Attualmente $playerBestName detiene il punteggio più alto di $playerBestScore."
"io-splash-chat-worldReset","Ogni tanto il mondo e il punteggio vengono resettati."
"io-splash-chat-world","Al momento abbiamo il Mondo $WorldNumber, che è stato attivo per $worldDuration."
"io-splash-chat-donkey","Perché lì c’è un asino parlante?"
"io-splash-chat-oh","Oh... questo non è niente."
"io-splash-chat-seeRest","Aspetta di vedere il resto."
"io-splash-chat-adventure","Ora vai, le Avventure ti Aspettano!"

"io-splash-chat-returningPlayer","Bentornato al Curios Expedition RIVALI!"
"io-splash-chat-worldInfo","Il mondo $worldNumber [è stato attivo|è in esecuzione|è stato esplorato] per $worldDuration."
"io-splash-chat-playedSessions","Ci [furono|sono stati/e] $playedSessions [escursioni|spedizioni|viaggi] di recente."
"io-splash-chat-worldExplored","$worldExplored del mondo è stato [esplorato|scoperto|rivelato]."
"io-splash-chat-outposts","In uno sforzo congiunto gli esploratori hanno sbloccato gli Avamposti $unlockedhubs."
"io-splash-chat-gamesPlayed","[Finora|Fino ad adesso|Fino ad oggi] tu [sei andato avanti|hai iniziato|hai tentato] $numgamesthisuser [spedizioni| avventure|escursioni|viaggi]."

"io-worldDuration-end","Questo Mondo finirà in"
"io-splash-chat-packs","Non dimenticare di controllare le nuove Casse che hai guadagnato."
"io-splash-chat-fail","Va bene fallire. Basta ricominciare e sperimentare con diverse casse."
"io-splash-chat-friends","Dì ai tuoi amici dei RIVALI."
"io-splash-chat-discord","Unisciti alla nostra comunità di discord. Basta che clicchi sul pulsante in alto a destra."

"io-worldDuration-days","giorni"
"io-worldDuration-day","giorno"
"io-worldDuration-hours","ore"
"io-worldDuration-hour","ora"
"io-worldDuration-minutes","minuti"
"io-worldDuration-minute","minuto"
"io-worldDuration-seconds","secondi"
"io-worldDuration-second","secondo"
"io-worldDuration-new","Questo mondo è finito! Il nuovo mondo incomincerà presto."

"io-return-tce","Quit"
"io-return-tce-tooltip","Return to Curious Expedition's singleplayer mode."

"io-discord","Unisciti alla comunità dei RIVALI su Discord!"

"io-st-exhausted-title-1","Esaurimento mentale leggero"
"io-st-exhausted-title-2","Esaurimento mentale medio"
"io-st-exhausted-title-3","Esaurimento mentale forte"
"io-st-exhausted-title-4","Esaurimento mentale estremo"
"io-st-exhausted","Sei molto esausto a causa di esplorare da così tanto tempo. Costi della sanità mentale aumentati e sanità mentale massima ridotta."
"io-st-faithless-title","Infedele"
"io-st-faithless","Ha perso la speranza di ritornare mai da questa spedizione. Perde continuamente la fiducia."
"pack-artist","Artista viaggiatore"
"pk-greatReputation-title-io","Reputazione grandiosa"
"pk-bartering-title-io","Esperto commerciante"
"pack-smallArmy","Piccolo esercito"
"pack-huntingTrip","Battuta di caccia"
"pack-bestWorlds","Il meglio delle Casse di entrambi i mondi"
"pack-combatExplorer","Esploratore da combattimento"

"io-exhausted-1-intro","Mentre sedevo accanto al fuoco quella notte, ho sentito il pesante conto degli ultimi giorni. Che cosa avrei dato per un po'di conforto. I piedi mi facevano male e desideravo un bagno caldo. Ero esausto."
"io-exhausted-1-trek","Mi guardai attorno e vidi quanto era aumentata la stanchezza nei volti dei miei compagni."

"io-exhausted-2-intro","Ho sentito quanto ero vicino al mio limite personale. Questa spedizione si è protratta più a lungo del previsto, e non sapevo quanto sarei stato in grado di sopportare."
"io-exhausted-2-trek","Tutti gli altri sembravano essere esausti quanto lo ero io. Mi stavo chiedendo per quanto tempo sarei riuscito a tenere tutto insieme."

"io-exhausted-3-intro","Questo era. Come potevo andare avanti dopo tutto questo tempo qui fuori. Ero sicuro che se avessi continuato, ciò sarebbe giunto ad una fine terribile. Avevo bisogno di fermarmi."
"io-exhausted-3-trek","Gli altri non erano altro che semplici ombre di loro stessi. Ci sarebbero voluti solo pochi giorni in più prima che iniziassero a farsi a pezzi a vicenda."

"io-exhausted-4-intro","Questa è follia. Non ricordo la mia vita prima di venire qui. Ho perso la speranza, e non è rimasto nient’altro. La fine arriverà presto."
"io-exhausted-4-trek","Gli altri se ne stavano seduti tranquillamente, nessuno aveva parlato per giorni. Potevo ancora fidarmi di loro?"

"io-exhausted-single-trek-generic","[$name aveva parlato a mala pena negli ultimi giorni|Non osavo parlare a $name|Mi chiedevo a cosa $name stesse pensando|$Name sembrava davvero stare male|$name stava singhiozzando piano]. [Non avevo mai visto $him così tranquillo|Avevo paura di chiedere a $him di fare le valigie e continuare a proseguire con il sorgere del sole|Non potevo dire se $he stesse dormendo o semplicemente fissando l'oscurità|Mi chiedevo quale storia $he avrebbe raccontato se fossimo mai ritornati|Ho chiesto a me stesso quanto ancora avrei potuto chiedere da $him]."
"io-exhausted-single-trek-extreme","[$name era a malapena vivo|Ho avuto una brutta sensazione riguardo a $name]. [Ho immaginato come sarebbe stato seppellire $him|Ero così dispiaciuto di avere trascinato $him in questa dannata spedizione]."
"io-exhausted-animal-generic","[Ho guardato $name|$name stava in piedi tranquillo vicino al fuoco|Guardare $name mi ha dato qualche speranza|$name stava tranquillamente masticando qualcosa]. [In tutti quegli anni non avevo mai visto un compagno più fedele|Non sapevo come sarei potuto andare avanti senza $him|Non avrei potuto desiderare un compagno migliore di $him|Questo animale significava per me più di ogni altra cosa|$His caldi occhi mi osservavano in silenzio]."

"io-exhausted-genericComments","[Sono così stanco.|Possiamo andare a casa?|Noi moriremo lì fuori.| Qual è il punto di questo di nuovo?|Non abbiamo ancora visto abbastanza?|Sono sveglio per qualche altro giorno!]"

"io-exhausted-keepGoing","Ho raddrizzato la mia schiena e ho deciso che oggi non era il giorno della mia sconfitta. Sentivo che ancora un po'di speranza era rimasta dentro di me."
"io-exhausted-onward","Avanti!"

"io-help-days-remaining","Questa spedizione sarà finita in $days giorni."

"io-hotAirBalloon-access","La mongolfiera era pronta a decollare. Offriva solo uno spazio limitato e tutto ciò che non ci sarebbe stato, sarebbe rimasto indietro."
"evt-hotAirBalloon-stash-action-io","Vola all’avamposto"

"npc-badgeServant-title","Distintivo Servitore"
"badge-treasureHunter-name","Distintivo di Cacciatore di Tesori"
"badge-animalTrade-name","Distintivo di Fornitore di Tassidermia"
"badge-treasureHunter","Un distintivo della società del cacciatore di tesori. Presentalo a un distintivo di servitore per ricevere regolarmente rifornimenti di attrezzature per la caccia al tesoro."
"badge-animalTrade","Un distintivo della società del tassidermista. Presentalo a un distintivo di servitore per scambiare i tuoi trofei di animali con prodotti di tassidermia. Uccidere animali non ridurrà la tua posizione."
"act-badgeServant-intro","Cerca un distintivo di servitore"
"act-badgeServant-noBadge","Non ho nessun distintivo"
"badgeServant-noBadge","La figura è rimasta lì e mi ha guardato a lungo. Anche con la faccia nascosta dietro la maschera, sentivo che mi disprezzava. Alla fine iniziò a scuotere lentamente la testa, aspettando che me ne andassi."
"badgeServant-intro","Mi sono avvicinato ad una figura stranamente mascherata, vestita con abiti arancioni luminosi. Era piuttosto infelice essere in questo posto. Un grosso palo portabandiera era legato alla sua schiena, apparentemente così sarebbe stato visibile da molto lontano. [Una quiete|Una senza emozioni|Una noia|Una stanca|Una temuta] voce echeggiò dietro la maschera mentre mi veniva chiesto di presentare il mio distintivo."
"act-badgeServant-treasureHunter","Distintivo di Cacciatore di Tesori"
"act-badgeServant-animalTrade","Distintivo di Fornitore di Tassidermia"
"act-badgeServant-sellTrophies","Vendi i trofei di animali"
"act-badgeServant-tradeFameTrophies","Consegna i trofei degli animali per la fama"
"badgeServant-refill-generic","Dopo aver esaminato alcuni documenti, il servitore del distintivo annuì in silenzio e mi disse che c'era in realtà una nuova spedizione di equipaggiamento. Dovetti mostrare ancora una volta il mio distintivo, che la strana figura osservava con profonda diffidenza. Dopo un altro sospiro infastidito, il servitore mi diede un nuovo pacco di provviste."
"badgeServant-refill-fail-generic","Il servitore del distintivo mi ha detto che ero tornato troppo presto. La prossima spedizione di rifornimenti aveva bisogno di qualche altro giorno prima di arrivare."
"cl-badgeServant-intro","[Servo solo gli esploratori che possiedono un badge|Dovrò chiedere prima di vedere il tuo badge|Consentici di rinunciare a questo|Nessun badge, nessun servizio|Non parlarmi nemmeno, se non hai un badge|Spero che tu abbia portato un distintivo|Solo società di badge]."
"cl-badgeServant-generic-wait","[La pazienza è una virtù, dicono.|Dovrai aspettare ancora.|Non potrò aiutarti oggi.|Non sono dispiaciuto.|La pazienza non è una delle tue qualità, presumo?]"
"cl-badgeServant-generic-refillTreasureHunter","[Ecco qui|Prendilo e vai via|Sto solo facendo il mio dovere qui, non c'è bisogno di ringraziarmi|Questo dovrebbe essere sufficiente per dissotterrare ancora un po’ di tesoro|Felice caccia al tesoro]."
"badgeServant-animalTrade","Dopo aver controllato due volte il mio distintivo, il domestico mi ha accolto un po’ più amichevolmente. Si offrì di acquisire tutti i tipi di trofei di animali che avevo raccolto sia per i beni commerciali che per la fama. Mi assicurò che gli imbalsamatori stavano aspettando disperatamente ulteriore materia prima."
"cl-badgeServant-animalTrade","[Ah, sei a caccia.|Molto bene, i miei clienti saranno felici delle nuove forniture.|Hai raccolto qualche materia prima?|Sbrigati, ho clienti in attesa.|Sei solo un servitore come me.]"

"io-endGame","Congratulazioni, sei sopravvissuto a questa spedizione! È tempo di fare il tuo ritorno trionfale!"
"io-gameover-success","Sei tornato in Trionfo!"

"io-pyramid-found","Congratulations, you have found a Golden Pyramid! You now can access the Curious Expedition 2 Windows Alpha on Discord!"
"io-pyramid-found-other","The pyramid has been found by $user - but you can find it too, and get access to the Curious Expedition 2 Windows Alpha!"
"io-pyramid-not-found","The pyramid on this world not yet been found - find it to get access to the Curious Expedition 2 Windows Alpha!"
"io-pyramid-activate","Get Alpha Access"

"io-alpha-yourkey","Your Alpha Key:"
"io-alpha-instructions-header","Follow these steps to play the Curious Expedition 2 Alpha on Windows, right now!"
"io-alpha-instructions-1","1. Click the button below to join our Discord server"
"io-alpha-instructions-2","2. Click on 'Mr. Slippers', in the list of users on the right side"
"io-alpha-instructions-3","3. Send your Key (copied to your clipboard) as a message to Mr. Slippers"
"io-alpha-instructions-4","4. Mr. Slippers will grant you access to the Alpha"
"io-alpha-join","Join Discord for Alpha Access"

"io-alpha-notify-title","Alpha Access Unlocked!"
"io-alpha-notify-desc","Visit the settings menu for information on how to play Curious Expedition 2."

"pl-arcticHunter-title","Native Hunter"
"st-pathfinder-1-title","Pioniere 1"
"st-pathfinder-2-title","Pioniere 2"
"st-pathfinder-3-title","Pioniere 3"
"st-pathfinder-4-title","Pioniere 4"
"st-pathfinder-description","Costi di movimento ridotti nel terreno artico."
"evt-village-recruit-select-humanoid-arcticHunter-action","$name the hunter"
