"io-title","RIVALS"
"io-salvage-verb","Salvage"

"io-hub-first","After a strange journey up a fast-flowing river, I arrived at the _Outpost of $segmentname_. The _Explorer Club_ that sent me here had provided me with the equipment I would need to explore this vast land, but not much in the way of answers as to why I was here. There was only one way forward: to set out and explore! Adventure Awaited!"
"io-hub-enter","I arrived at the _Outpost of $segmentname_, and immediately felt better. There were many useful services there that I could take advantage of."
"io-hub-main","I was still at the _Outpost_. I realised I had better prepare before heading out. What was left to do?"
"io-hub-main-action","Return to Outpost"

"io-hub-healUnits-action","Visit sick bay"
"io-hub-healUnits-enter","I visited the sick bay. A doctor approached, and asked who needed treatment."
"io-hub-healUnits-return","The doctor asked if he could do anything else for me."
"io-hub-healUnits-treatUnit","Treat $name"
"io-hub-healUnits-deal","The doctor treated both physical and mental wounds that $name had suffered. $He looked like new afterwards."

"io-hub-ask-action","Ask questions about this land"
"io-hub-ask-return","Ask another question"
"io-hub-ask-main","In every outpost there is a _Badge Servant_. Answering foolish questions is not its main task, but he will do so, with undisguised contempt."
"io-hub-ask-return-txt","The _Badge Servant_ glared at you without a sound, daring you to ask another question."
"io-hub-ask-regions","Ask about Regions"
"io-hub-ask-outposts","Ask about Outposts"
"io-hub-ask-pyramid","Ask about the Golden Pyramid"
"io-hub-ask-crates","Ask about Crates"
"io-hub-ask-medals","Ask about Medals"
"io-hub-ask-provinces","Ask about Provinces"
"io-hub-ask-badges","Ask about Badges"
"io-hub-ask-fame","Ask about Fame"
"io-hub-ask-regions-txt","The Servant explained: this world is split into _Regions_ of equal size. Every Region is assigned a coordinate - for example, this Outpost lies at $currentRegion. To discover a Region, simply discover all the locations within it. It will then be marked as discovered by you, $name, and you will become more famous. Discovered regions are visible to your _Rivals_, and marked on everyone's _World Map_."
"io-hub-ask-outposts-txt","The Servant explained: _Outposts_ are pockets of civilization in this strange land, established by the _Explorer Clubs_. This and every other Outpost lies on a swift _river_, all connected together. To find other Outposts, just follow the rivers - or use your compass, which will point to the closest undiscovered Outpost. If you, $name, are the first to find an Outpost, it shall be named in your honour! But: your _Rivals_ can follow in your footsteps and begin their future Expeditions from there with ease."
"io-hub-ask-pyramid-txt","The Servant explained, with a glimpse of true [excitement|nervousness|trepidation|hope|fear|wonder|bewilderment|hostility|boredom] in its eye: there is but a single _Golden Pyramid_ in this world! To find it, seek first Golden Seals that will light the way - though these can only be found in the most challenging of Provinces. Once the pyramid is found by either you or one of your _Rivals_, the end of the world is nigh - but fret not! A new world will soon take its place."
"io-hub-ask-crates-txt","The Servant explained: as you explore and discover Locations, you will be awarded new _Crates_. While not useful for your current expedition, your future expeditions will have access to these crates, to equip their trek."
"io-hub-ask-medals-txt","The Servant explained: you shall be granted _Medals_, $name, as a reward for discovering Regions, as well as for other things. With these medals you can _hold_ a Crate. Held crates can be used forever, instead of being lost once used."
"io-hub-ask-provinces-txt","The Servant explained: Regions are grouped together into _Provinces_, according their resistance to exploration. This Outpost lies in the province called $segmentname. You will know that you have entered a new Province as its name and difficulty rating will be apparent. Note that not all Provinces contain an Outpost."
"io-hub-ask-badges-txt","The Servant explained: some Crates contain _Badges_. These can be used to equip a new Trek in such a manner as to create new opportunities, with which your humble _Badge Servant_ will be excruciatingly happy to assist."
"io-hub-ask-fame-txt","The Servant explained: you can become more _famous_ as you explore, by discovering Regions and Outposts. But in order to become famous from _treasure_, you must deliver any items you have to an Outpost. The people here will be most impressed. If you want, you can _salvage_ many treasures you find, and break them down into jewels. The people will be a bit less impressed then. But still somewhat impressed. When the world ends, the most famous _Rivals_ will be rewarded with an extra Medal."
"cl-badgeServant-ask","[Really?|Again?|Another one?|Not another one!|So many questions...|What now?|A question, is it?|Must we go over this again?|This had better be about badges.|You'll never find the Pyramid.|Another foolish Explorer.|Hmph.|Gah!|*stares at you*]"

"io-deliverFameItems-action","Deliver Treasures"
"io-deliverFameItems-title","Treasures"
"io-badgeServant-deliverAnimalSupplies-title","Taxidermy Supplies"
"evt-polarStation-stash-done","The man [promised|said|assured us that] our [valuables|treasures|goods|items] would be [delivered|sent] to the nearest Outpost by [dog|husky] [sled|courier|transport] [forthwith|post-haste|as soon as was practical|after he'd had a nap]."

"pk-blackMarket","Have access to a larger offer when purchasing equipment at the Outpost."
"pk-journalist-1","Increases the gained fame when delivering treasures."
"evt-harbor-select-action","Trade for Equipment"
"item-help-trade","Can be traded in for fame at an Outpost."
"io-help-compass","The compass shows you which direction the closest undiscovered Outpost is in, and how far away it is."

"io-region-article","The"
"na-io-DifficultySegments","[$ioNoun of $ioSpecial|The $ioNoun of $ioSpecial|The $ioAdjective $ioNoun|$ioAdjective $ioSpecial]"
"np-io-adjective","[Dark|Hollow|Endless|Grand|Golden|Invisible|Unforgiving|Forgotten|Rotten|Blooming|Tiny|Ancient|Bleeding|Black|White|Unreal|Darkest|Holy|Older|Younger|Newborn|Dying]"
"np-io-noun","[Valley|Land|Province|Plains|Domain|Belt|Mountains|Hills|Forest|Crater|Realm|Hands|Feet|Belly|Head|Arm|Finger|Back|Wheel|Cradle|Fountain|Spring|Cove|Burrow|Sword|Shield|Star|Child|Father|Ancestor|Elder]"
"np-io-special","[the Gods|Soul|Death|Despair|Ruin|Luck|Madness|Sadness|Storms]"

"na-io-unlocked-segments","[The $ioNoun of $ioName|$ioName's $ioNoun|$ioNoun of $ioName|$ioSpecial of $ioName|$ioAdjective $ioName|$ioName's $ioAdjective $ioSpecial]"

"pk-die-magic","Receives an additional magic die."
"pk-die-magic-title","Magician"

"pk-goodReputation-io","Standing returns to a higher value over a faster time."

"bonus-standingBias","Standing Bias"
"bonus-turnsForStandingBias","Days until Standing Bias"

"io-balloon-travel","Flying"
"help-balloon","Return to the nearest Outpost using a hot air balloon. The balloon only has limited space."

"pack-automatic","$item Crate"
"pack-starter","Starter Crate"
"pack-survival","Survival Crate"
"pack-mystery-egg","Mystery Egg"
"pack-healthcare","Healthcare"
"pack-adventurers-pack","Adventurers Crate"
"pack-tribal-combat","Tribal Combat"
"pack-magic-apprentice","Apprentice Magician"
"pack-magic-terraform","Terraform Magician"
"pack-magic-teleport","Teleportation Magician"
"pack-magic-curse","Evil Magician"
"pack-mushroom-collector","Mushroom collector"
"pack-army-supplies","Army supplies"
"pack-shady-trader","Shady Trader"
"pack-scouting","Scouting Crate"
"pack-climber","Climber Crate"
"pack-arctic","Arctic Crate"
"pack-chocolate-addict","Chocolate Addict"
"pack-chocolate-addict-2","Chocolate Addict 2"
"pack-whiskey-lover","Whisky Lover"
"pack-whiskey-lover-2","Whisky Lover 2"
"pack-simple-needs","Simple Needs"
"pack-effects","Effects Crate"
"pack-musician","Musician Crate"
"pack-high","High Crate"
"pack-pendulum","Pendulum"
"pack-explosion-expert","Explosion Expert"
"pack-sail-ho","Sail Ho"
"pack-animal-capacity","Animal Capacity"
"pack-art-lover","Art Lover"
"pack-lovecraft","Lovecraft"
"pack-peace","Peace Crate"
"fortune-teller","Fortune Teller"
"pack-plane-traveller","Plane Traveler"
"pack-shaman","Shaman"
"pack-alternative-medicine","Alternative Medicine"
"pack-cultist","Crate of Cultists"
"pack-dino-friends","Dinosaur friends"
"pack-monster-master","Monster Master"
"pack-animal-whisperer","Animal Whisperer"
"pack-endlesss-light","Endless Light"
"pack-blood-prince","Blood Prince"
"pack-yeti","Unlikely friend"
"pack-battleCat","Battle Cat"
"pack-holyPug","The holy Pug"
"pack-darkLord","Dark Lord"
"pack-animalTrade","Taxidermy Supplier Crate"
"pack-hyena-pack","Pack of Hyenas"
"pack-wildlife","Wildlife Crate"
"pack-natives-skills","Native Skills Crate"
"pack-natives-magic","Native Knowledge Crate"
"pack-lizards","Lizardpeople Crate"
"pack-trader-marbles","Equipped Trader Crate"
"pack-bbq","Barbeque Crate"
"pack-mountaineering","Bouldering Crate"
"pack-soldiers","Soldiers of Avalon"
"pack-teslaGun","Lab Assistant Crate"
"pack-butterflyAssistant","Butterfly Enthusiast Crate"
"pack-arcticSpecialist","Arctic Specialist Crate"
"pack-packAnimals","Beasts of Burden"
"pack-native-expert","Native Expert Crate"

"st-feihong-desc","Receives an additional Martial Arts die."

"io-pyramid-leave","Inscribe my name!"

"io-splash-chat-welcome","Welcome to our new multiplayer game!"
"io-splash-chat-title","Curious Expedition _RIVALS_!"
"io-splash-chat-pause","Yeah, um..."
"io-splash-chat-largeWorld","It's a game about exploring really large worlds."
"io-splash-chat-notAlone","Yes, together with other players!"
"io-splash-chat-peoplePlaying","_$playerCount_ people have been playing on this World."
"io-splash-chat-remembered","We recorded their names for the regions they discovered."
"io-splash-chat-cool","That's splendid!"
"io-splash-chat-right","Yes, ain't it? Like in No Man's ..."
"io-splash-chat-highscore","Oh, and of course there is a highscore."
"io-splash-chat-bestPlayer","Currently $playerBestName holds the highscore of $playerBestScore."
"io-splash-chat-worldReset","Every now and then the world and highscore is reset."
"io-splash-chat-world","Right now we have World $worldNumber, which has been active for $worldDuration."
"io-splash-chat-donkey","Why is there a talking donkey?"
"io-splash-chat-oh","Oh...this is nothing."
"io-splash-chat-seeRest","Wait until you see the rest."
"io-splash-chat-adventure","Now go, Adventure Awaits!"

"io-splash-chat-returningPlayer","Welcome back to Curious Expedition RIVALS!"
"io-splash-chat-worldInfo","World $worldNumber [has been active|is running|has been explored] for $worldDuration."
"io-splash-chat-playedSessions","There [were|have been] $playedSessions [treks|expeditions|journeys] on this World."
"io-splash-chat-worldExplored","$worldExplored of the world has been [explored|discovered|revealed]."
"io-splash-chat-outposts","In a combined effort the explorers have unlocked $unlockedhubs Outposts."
"io-splash-chat-gamesPlayed","[So far|Until now|To this date] on this World, you [went on|started|attempted] $numgamesthisuser [expeditions|adventures|treks|journeys]."

"io-worldDuration-end","This World will end in"
"io-splash-chat-packs","Don't forget to check the new Crates you have earned."
"io-splash-chat-fail","It's okay to fail. Just start again and experiment with different Crates."
"io-splash-chat-friends","Tell your friends about RIVALS."
"io-splash-chat-discord","Join our discord community. Just click the button in the top right."

"io-worldDuration-days","days"
"io-worldDuration-day","day"
"io-worldDuration-hours","hours"
"io-worldDuration-hour","hour"
"io-worldDuration-minutes","minutes"
"io-worldDuration-minute","minute"
"io-worldDuration-seconds","seconds"
"io-worldDuration-second","second"
"io-worldDuration-new","This world is finished! The new world will start soon."

"io-return-tce","Quit"
"io-return-tce-tooltip","Return to Curious Expedition's singleplayer mode."

"io-discord","Join the RIVALS community on Discord!"

"io-st-exhausted-title-1","Light mental exhaustion"
"io-st-exhausted-title-2","Medium mental exhaustion"
"io-st-exhausted-title-3","Strong mental exhaustion"
"io-st-exhausted-title-4","Extreme mental exhaustion"
"io-st-exhausted","You are very exhausted from exploring for such a long time. Increased sanity costs and reduced max sanity."
"io-st-faithless-title","Faithless"
"io-st-faithless","Has lost hope to ever return from this expedition. Continuously loses loyalty."
"pack-artist","Traveling Artist"
"pk-greatReputation-title-io","Great Reputation"
"pk-bartering-title-io","Expert trader"
"pack-smallArmy","Small army"
"pack-huntingTrip","Hunting trip"
"pack-bestWorlds","Best of both worlds Crate"
"pack-combatExplorer","Combat explorer"

"io-exhausted-1-intro","As I sat by the fire that night I felt the heavy toll of the recent days. What would I have given for some comfort. My feet hurt and I longed for a warm bath. I was exhaused."
"io-exhausted-1-trek","I looked around me and the saw how tired the faces of my fellow comrades had grown."

"io-exhausted-2-intro","I felt how close I was to my personal limit. This expedition had been going for longer than expected, and I did not know how much more I was able to endure."
"io-exhausted-2-trek","Everyone else seemed to be as exhausted as I was. I was wondering how much longer I would be able to hold it all together."

"io-exhausted-3-intro","This was it. How could I move on after all this time out here. I was sure if I kept going this would come to a terrible end. I needed to stop."
"io-exhausted-3-trek","The others were nothing more than mere shadows of themselves. It was only a few more days until they would surely start to tear each other apart."

"io-exhausted-4-intro","This is madness. I don't remember my life before I came here. I've lost my hope, and there is nothing else left. The end is coming soon."
"io-exhausted-4-trek","The others just sat there quietly, noone had been speaking in days. Could I still trust them?"

"io-exhausted-single-trek-generic","[$name had been barely talking in the last days|I did not dare to speak to $name|I wondered what $name was thinking|$Name looked really bad|$name was sobbing quietly]. [I had never seen $him so quiet|I was afraid to ask $him to pack up and keep going coming sunrise|I could not tell if $he was asleep or just staring into the darkness|I wondered what story $he would tell if we ever returned|I asked myself how much more I could ask from $him]."
"io-exhausted-single-trek-extreme","[$name was barely alive|I had a bad feeling about $name]. [I imagined how it would feel to bury $him|I was so sorry for dragging $him into this doomed expedition]."
"io-exhausted-animal-generic","[I looked at $name|$name was standing quitely near the fire|Looking at $name gave me some hope|$name was quietly chewing on something]. [In all those years I had never seen a more loyal companion|I did not know how I was supposed to go on without $him|I could not wish for a better companion than $him|This animal meant more to me than anything else|$His warm eyes were observing me quietly]."

"io-exhausted-genericComments","[I'm so tired.|Can we go home?|We'll die out here.|What's the point of this again?|Didn't we see enough yet?|I'm up for a few more days!]"

"io-exhausted-keepGoing","I straightened my back and decided today was not the day of my defeat. I felt a little bit of hope was still left inside me."
"io-exhausted-onward","Onward!"

"io-help-days-remaining","This expedition will be over in $days days."

"io-hotAirBalloon-access","The hot air balloon was ready to take off. It only offered limited space, and everything that would not fit would stay behind."
"evt-hotAirBalloon-stash-action-io","Fly to outpost"

"npc-badgeServant-title","Badge Servant"
"badge-treasureHunter-name","Treasure Hunter Badge"
"badge-animalTrade-name","Taxidermy Supplier Badge"
"badge-treasureHunter","A badge of the treasure hunter society. Present it to a Badge Servant to receive regular supplies of treasure hunting equipment."
"badge-animalTrade","A badge of the taxidermist society. Present it to a Badge Servant to trade in your collected animal trophies as taxidermy supplies. Killing animals will not reduce your standing."
"act-badgeServant-intro","Seek out Badge Servant"
"act-badgeServant-noBadge","I have no badge"
"badgeServant-noBadge","The figure just stood there and looked at me for a long while. Even with the face hidden behind the mask, I could feel that it despised me. Eventually it began to slowly shake its head, waiting for me to leave."
"badgeServant-intro","I approached a strangely masked figure, dressed in bright orange robes. It seemed rather unhappy to be at this place. A large flag pole was strapped to its back, apparently so it would be visible from far away. [A quiet|An emotionless|A bored|A tired|A daunted] voice echoed behind the mask as I was asked to present my badge."
"act-badgeServant-treasureHunter","Treasure Hunter Badge"
"act-badgeServant-animalTrade","Taxidermy Supplier Badge"
"act-badgeServant-sellTrophies","Sell animal trophies"
"act-badgeServant-tradeFameTrophies","Deliver animal trophies for fame"
"badgeServant-refill-generic","After looking through some documents the Badge Servant nodded quietly and told me that there was indeed a new shipment of equipment. I had to show my badge once more, which the strange figure observed with deep mistrust. After one more annoyed sigh the servant handed me a fresh package of supplies."
"badgeServant-refill-fail-generic","The Badge Servant told me that I was back too early. The next shipment of supplies needed some more days before it would arrive."
"cl-badgeServant-intro","[I only serve explorers that possess a badge|I'll have to ask to see your badge first|Let's get this over with|No badge, no service|Don't even talk to me if you have no badge|I hope you brought a badge|Badge society only]."
"cl-badgeServant-generic-wait","[Patience is a virtue, they say.|You'll need to wait some more.|I won't be able to help you today.|I'm not sorry.|Patience is not one of your qualities, I assume?]"
"cl-badgeServant-generic-refillTreasureHunter","[Here you go|Just take it and leave|Just doing my duty here, no need to thank me|This should be enough to dig up some more treasure|Happy treasure hunting]."
"badgeServant-animalTrade","After double checking my badge the servant welcomed me a bit more friendly. It offered to acquire all kinds of animal trophies I had collected either for trade goods or fame. It assured me that the taxidermists were desperately waiting for more raw material."
"cl-badgeServant-animalTrade","[Ah, you're on the the hunt.|Very good, my customers will be happy about new supplies.|Did you collect any raw materials?|Hurry up, I have waiting customers.|You are just a servant as I am.]"

"io-endGame","Congratulations, you have survived this expedition! It's time to make your triumphant return!"
"io-gameover-success","You returned in Triumph!"

"io-pyramid-found","Congratulations, you have found a Golden Pyramid! You now can access the Curious Expedition 2 Windows Alpha on Discord!"
"io-pyramid-found-other","The pyramid has been found by $user - but you can find it too, and get access to the Curious Expedition 2 Windows Alpha!"
"io-pyramid-not-found","The pyramid on this world not yet been found - find it to get access to the Curious Expedition 2 Windows Alpha!"
"io-pyramid-activate","Get Alpha Access"

"io-alpha-yourkey","Your Alpha Key:"
"io-alpha-instructions-header","Follow these steps to play the Curious Expedition 2 Alpha on Windows, right now!"
"io-alpha-instructions-1","1. Click the button below to join our Discord server"
"io-alpha-instructions-2","2. Click on 'Mr. Slippers', in the list of users on the right side"
"io-alpha-instructions-3","3. Send your Key (copied to your clipboard) as a message to Mr. Slippers"
"io-alpha-instructions-4","4. Mr. Slippers will grant you access to the Alpha"
"io-alpha-join","Join Discord for Alpha Access"

"io-alpha-notify-title","Alpha Access Unlocked!"
"io-alpha-notify-desc","Visit the settings menu for information on how to play Curious Expedition 2."

"pl-arcticHunter-title","Native Hunter"
"st-pathfinder-1-title","Pathfinder 1"
"st-pathfinder-2-title","Pathfinder 2"
"st-pathfinder-3-title","Pathfinder 3"
"st-pathfinder-4-title","Pathfinder 4"
"st-pathfinder-description","Reduced movement costs in arctic terrain."
"evt-village-recruit-select-humanoid-arcticHunter-action","$name the hunter"
"evt-village-recruit-select-humanoid-arcticHunter","[Knowledge of this frozen land is hard to come by|I was sure a guide would help a lot in our situation|We were sure to spend some time in the Arctic], so I welcomed $name to our team."

"pl-scientificAssistant-title","Scientific Assistant"
"pk-researchAssistance-1-title","Research Assistance 1"
"pk-researchAssistance-2-title","Research Assistance 2"
"pk-researchAssistance-3-title","Research Assistance 3"
"pk-researchAssistance-4-title","Research Assistance 4"
"pk-researchAssistance-description","Increased sanity gain when discovering a new butterfly specimen."

"anm-yakul-title","Yakul"
"anm-yakul","A trusty deer-like creature. When mounted it is very fast and capable of easily climbing any hill."

"emy-trex-name","Tyrannosaurus Rex"
"it-trexTooth-name","T-rex tooth"
"it-trexTooth","The tooth of a Tyrannosaurus rex. Very valuable."
"zn-trex-name","T-rex"
