"io-title","RYWALE"
"io-goldenSeal","Kolumna światła zdawała się wskazywać w kierunku $pyramidDir. Po chwili zaczęła pobłyskiwać. [Co moglibyśmy znaleźć, gdybyśmy poszli tą drogą?|Zastanawiam się, czy powinniśmy iść w tamtym kierunku.|Jestem pewien, że podążanie za światłem jest złym pomysłem.|Wyobrażam sobie, że tylko straszne rzeczy mogłyby się zdarzyć, gdybyśmy poszli tą drogą.|Jeśli podążymy za światłem, z pewnością znajdziemy chwałę!]"

"io-salvage-verb","Ocalenie"

"io-hub-first","Po dziwnej podróży w górę wartkiej rzeki dotarłem do _Posterunku $segmentname_. The _Explorer Club_który tutaj mnie wysłał i dał mi sprzęt, którego będę potrzebował do odkrycia tej rozległej krainy, ale nie wyjaśnił dlaczego tutaj jestem. Była tylko jedna prosta droga: wyruszyć i odkrywać. Przygoda czekała!"
"io-hub-enter","Dotarłem do _Posterunku $segmentname_ i od razu poczułem się lepiej. Istniało tu wiele pożytecznych udogodnień, z których mogłem skorzystać."
"io-hub-main","Dalej byłem na _Posterunku_. Zdałem sobie sprawę, że lepiej zacząć się przygotowywać przed wyruszeniem w drogę. Co zostało do zrobienia?"
"io-hub-main-action","Powróć do posterunku"

"io-hub-healUnits-action","Odwiedź klinikę"
"io-hub-healUnits-enter","Odwiedziłem klinikę. Doktor podszedł i zapytał się, kto potrzebuje leczenia."
"io-hub-healUnits-return","Doktor spytał czy coś jeszcze może dla mnie zrobić."
"io-hub-healUnits-treatUnit","Ulecz $name"
"io-hub-healUnits-deal","Lekarz leczył zarówno fizyczne, jak i psychiczne rany, które poniósł $name. $He wyglądał potem jak nowy."

"io-hub-ask-action","Zadaj pytanie na temat tej krainy"
"io-hub-ask-return","Zadaj następne pytanie"
"io-hub-ask-main","Na każdym posterunku istnieje _Sługa Odznaki_. Odpowiadanie na głupie pytania nie jest jego głównym zadaniem, ale zrobi to z nieukrywaną wzgardą."
"io-hub-ask-return-txt","_Sługa Odznaki_ gapił się na ciebie bezszelestnie, zachęcając do następnego pytania."
"io-hub-ask-regions","Zapytaj o Regiony"
"io-hub-ask-outposts","Zapytaj o Posterunki"
"io-hub-ask-pyramid","Zapytaj o Złotą Piramidę"
"io-hub-ask-crates","Zapytaj o Skrzynie"
"io-hub-ask-medals","Zapytaj o Medale"
"io-hub-ask-provinces","Zapytaj o Prowincje"
"io-hub-ask-badges","Zapytaj o Odznaki"
"io-hub-ask-fame","Zapytaj o Sławę"
"io-hub-ask-regions-txt","Sługa wyjaśnił: świat ten podzielony jest na _Regiony_o tym samym rozmiarze. Każdemu Regionowi wyznaczono współrzędną, na przykład, ten Posterunek leży w $currentRegion. Aby odkryć Region odkryj po prostu wszystkie miejsca w nim położone. Zostanie on wtedy oznaczony jako odkryty przez ciebie, $name, i zdobędziesz większą sławę. Odkryte Regiony są widoczne dla twoich _Rywali_ i oznaczone na każdego _Mapie Świata_."
"io-hub-ask-outposts-txt","Sługa wyjaśnił: _Posterunki_są gniazdami cywilizacji w tej dziwnej krainie, założonymi przez_Kluby Odkrywców_. Ten i inne Posterunki leżą nad bystrą_rzeką_, wszystkie są ze sobą połączone. Po prostu idź wzdłuż rzeki, aby odkryć inne Posterunki, użyj kompasu, który wskaże najbliższy nieodkryty Posterunek. Jeśli $name jako pierwszy odkryjesz Posterunek zostanie on nazwany na twoją cześć! Ale: twoi_Rywale_mogą iść w twoje ślady i rozpocząć z łatwością z tego miejsca swoją przyszłą Ekspedycję."
"io-hub-ask-pyramid-txt","Sługa, z błyskiem prawdy w oczach, wyjaśnił [podniecenie|zdenerwowanie|trwoga|nadzieja|strach|zdumienie|oszołomienie|wrogość|nuda]: istnieje tylko jedna _Złota Piramida_ na tym świecie! Aby ją odnaleźć najpierw poszukaj Złotych Pieczęci, które oświetlą drogę, można je jednak znaleźć jedynie w Prowincjach stanowiących największe wyzwanie."
"io-hub-ask-crates-txt","Sługa wyjaśnił: w miarę eksplorowania i odkrywania Miejsc będą ci przyznawane w nagrodzie nowe _Skrzynie_. Nie przydadzą się dla obecnej ekspedycji, ale przyszłe ekspedycje będą miały dostęp do tych skrzyń, do wyposażenia swojej załogi."
"io-hub-ask-medals-txt","Sługa wyjaśnił: zostały ci przyznane _Medale_,$name, jako nagroda za odkryte Regiony, jak również inne rzeczy. Dzięki tym medalom możesz _zachować_ Skrzynię. Zachowane skrzynie mogą być zawsze wykorzystane, nie stracisz ich po ich wykorzystaniu."
"io-hub-ask-provinces-txt","Sługa wyjaśnił: Regiony razem składają się z _Prowincji_ w zależności od ich odporności na eksplorację. Ten Posterunek leży w prowincji zwanej $segmentname. Będziesz wiedział, że wszedłeś do nowej Prowincji, ponieważ pojawi się jej nazwa oraz poziom trudności. Zauważ, że nie wszystkie Prowincje posiadają Posterunek."
"io-hub-ask-badges-txt","Sługa wyjaśnił: niektóre Skrzynie zawierają _Odznaki_. Mogą być one użyte do wyposażenia nowej Załogi tworząc nowe możliwości, w których twój pokorny _Sługa Odznaki_ z niezmierną chęcią pomoże."
"io-hub-ask-fame-txt","Sługa wyjaśnił: możesz zdobyć większą_sławę_ w miarę eksplorowania odkrywając Regiony i Posterunki. Ale żeby stać się sławnym ze względu na _skarb_ musisz dostarczyć wszelkie przedmioty jakie posiadacz Posterunkowi. Ludzie stąd będą pod wrażeniem. Jeśli chcesz, możesz _ocalić_wiele ze skarbów, które znajdziesz i podzielić je na klejnoty. Wtedy ludzie będą pod trochę mniejszym wrażeniem. Ale dalej będą pod jakimś wrażeniem. Po końcu świata najsłynniejsi _Rywale_ zostaną wynagrodzeni dodatkowym Medalem."
"cl-badgeServant-ask","[Naprawdę?|Znowu?|Jeszcze jeden?|Jeszcze jeden nie!|Tyle pytań...|Co teraz?|To jest pytanie?|Znowu musimy przez to przechodzić?|Lepiej żeby chodziło o odznaki.|Nigdy nie znajdziesz Piramidy.|Następny głupi odkrywca.|Hmph.|Gah!|*gapi się na ciebie*]"

"io-deliverFameItems-action","Dostarcz skarby"
"io-deliverFameItems-title","Skarby"
"io-badgeServant-deliverAnimalSupplies-title","Zaopatrzenie Taksydermii"
"evt-polarStation-stash-done","Mężczyzna [obiecał|powiedział|zapewnił nas], że nasze [wartościowe przedmioty|skarby|dobra|przedmioty] zostaną [dostarczone|wysłane] [bezzwłocznie|jak najszybciej|jak najszybciej jest to możliwe|po drzemce] do najbliższego posterunku przez [psi zaprzęg|psiego kuriera|psi transport|zaprzęg psów husky|psiego kuriera husky]."

"pk-blackMarket","Ma dostęp do większej liczby produktów, podczas kupowania ekwipunku na posterunku."
"pk-journalist-1","Zwiększa zdobywane punkty sławy, podczas dostarczania skarbów."
"evt-harbor-select-action","Wymień się na sprzęt"
"item-help-trade","Można wymienić na sławę na Posterunku."
"io-help-compass","Kompas pokazuje w jakim kierunku znajduje się najbliższy nieodkryty posterunek i jak daleko jest do niego."

"io-region-article","Ten"
"na-io-DifficultySegments","[$ioNoun of $ioSpecial|The $ioNoun of $ioSpecial|The $ioAdjective $ioNoun|$ioAdjective $ioSpecial]"
"np-io-adjective","[Ciemny|Głuchy|Nieskończony|Wielki|Złoty|Niewidzialny|Niewybaczający|Zapomniany|Zgniły|Kwitnący|Malutki|Stary|Krwawiący|Czarny|Biały|Nieprawdziwy|Najciemniejszy|Święty|Starszy|Młodszy|Nowonarodzony|Umierający]"
"np-io-noun","[Dolina|Kraina|Prowincja|Równina|Obszar|Pas|Góry|Wzgórza|Las|Skrzynia|Królestwo|Dłonie|Stopy|Brzuch|Głowa|Ramię|Palec|Plecy|Koło|Kolebka|Fontanna|Źródło|Zatoka|Jama|Miecz|Tarcza|Gwiazda|Dziecko|Ojciec|Przodek|Starszy]"
"np-io-special","[Bogowie|Dusza|Śmierć|Rozpacz|Ruina|Szczęście|Szaleństwo|Smutek|Burze]"

"na-io-unlocked-segments","[The $ioNoun of $ioName|$ioName's $ioNoun|$ioNoun of $ioName|$ioSpecial of $ioName|$ioAdjective $ioName|$ioName's $ioAdjective $ioSpecial]"

"pk-die-magic","Otrzymaj dodatkową kostkę magii."
"pk-die-magic-title","Mag"

"pk-goodReputation-io","Reputacja powraca do wyższej wartości w mniejszym czasie."

"bonus-standingBias","Stała Reputacja"
"bonus-turnsForStandingBias","Dni pozostałe do stałej reputacji"

"io-balloon-travel","Latanie"
"help-balloon","Powróć do najbliższego posterunku używając balonu. Balon ma ograniczone miejsce."

"pack-automatic","Skrzynia $item"
"pack-starter","Początkowa Skrzynia"
"pack-survival","Skrzynia przetrwania"
"pack-mystery-egg","Tajemnicze Jajko"
"pack-healthcare","Opieka zdrowotna"
"pack-adventurers-pack","Skrzynia podróżnika"
"pack-tribal-combat","Walka plemienna"
"pack-magic-apprentice","Praktykant magii"
"pack-magic-terraform","Mag terraformacji"
"pack-magic-teleport","Mag teleportacji"
"pack-magic-curse","Zły mag"
"pack-mushroom-collector","Grzybiarz"
"pack-army-supplies","Zaopatrzenie wojska"
"pack-shady-trader","Podejrzany handlarz"
"pack-scouting","Skrzynia zwiadowcza"
"pack-climber","Skrzynia wspinaczki"
"pack-arctic","Skrzynia arktyczna"
"pack-chocolate-addict","Uzależniony od czekolady"
"pack-chocolate-addict-2","Uzależniony od czekolady 2"
"pack-whiskey-lover","Miłośnik whisky"
"pack-whiskey-lover-2","Miłośnik whisky 2"
"pack-simple-needs","Podstawowe potrzeby"
"pack-effects","Skrzynia sztucznych ogni"
"pack-musician","Skrzynia muzyka"
"pack-high","Wysoka Skrzynia"
"pack-pendulum","Wahadło"
"pack-explosion-expert","Ekspert od eksplozji"
"pack-sail-ho","Statek na horyzoncie"
"pack-animal-capacity","Limit zwierząt"
"pack-art-lover","Miłośnik sztuki"
"pack-lovecraft","Lovecraft"
"pack-peace","Skrzynia pokoju"
"fortune-teller","Wróżka"
"pack-plane-traveller","Podróżnik lotniczy"
"pack-shaman","Szaman"
"pack-alternative-medicine","Medycyna alternatywna"
"pack-cultist","Skrzynia kultystów"
"pack-dino-friends","Przyjaciele dinozaura"
"pack-monster-master","Mistrz potworów"
"pack-animal-whisperer","Zaklinacz zwierząt"
"pack-endlesss-light","Nieskończone światło"
"pack-blood-prince","Książę Krwi"
"pack-yeti","Nieprawdopodobny przyjaciel"
"pack-battleCat","Kot bitewny"
"pack-holyPug","Święty mops"
"pack-darkLord","Pan ciemności"
"pack-animalTrade","Skrzynia zaopatrzenia taksydermii"
"pack-hyena-pack","Stado hien"
"pack-wildlife","Skrzynia z dziką przyrodą"
"pack-natives-skills","Skrzynia umiejętności tubylców"
"pack-natives-magic","Skrzynia wiedzy tubylców"
"pack-lizards","Skrzynia ludzi jaszczurek"
"pack-trader-marbles","Wyposażona Skrzynia Handlowca"
"pack-bbq","Skrzynia grillowa"
"pack-mountaineering","Skrzynia z głazami"
"pack-soldiers","Żołnierze Avalon"
"pack-teslaGun","Skrzynia pomocnika laboratorium"
"pack-butterflyAssistant","Skrzynia miłośnika motyli"
"pack-arcticSpecialist","Skrzynia specjalisty od Arktyki"
"pack-packAnimals","Bestie obciążenia"
"pack-native-expert","Skrzynia eksperta tubylcy"

"st-feihong-desc","Otrzymujesz dodatkową kostkę Sztuk Walki."

"io-pyramid-leave","Wpisz moje imię!"

"io-splash-chat-welcome","Witamy w naszej nowej grze wieloosobowej!"
"io-splash-chat-title","Curious Expedition _RIVALS_!"
"io-splash-chat-pause","Tak, hm..."
"io-splash-chat-largeWorld","To gra o eksploracji bardzo dużego świata."
"io-splash-chat-notAlone","Tak, razem z innymi graczami!"
"io-splash-chat-peoplePlaying","$playerCount_ graczy w ciągu kilku ostatnich godzin."
"io-splash-chat-remembered","Przypisaliśmy ich nazwy do regionów, które odkryli."
"io-splash-chat-cool","Wspaniale!"
"io-splash-chat-right","Tak, prawda? Dokładnie tak jak w No Man's ..."
"io-splash-chat-highscore","Ah i oczywiście jest lepszy wynik."
"io-splash-chat-bestPlayer","Obecnie $playerBestName utrzymuje szczyt tabeli z wynikiem $playerBestScore."
"io-splash-chat-worldReset","Co jakiś czas świat oraz najwyższy wynik są resetowane."
"io-splash-chat-world","W tej chwili mamy $worldNumber Świat, który jest aktywny od $worldDuration."
"io-splash-chat-donkey","Dlaczego jest tu gadający osioł?"
"io-splash-chat-oh","Oh...to nic."
"io-splash-chat-seeRest","Poczekaj, aż zobaczysz resztę."
"io-splash-chat-adventure","Teraz już idź, przygoda czeka!"

"io-splash-chat-returningPlayer","Witamy ponownie w Curious Expedition RIVALS!"
"io-splash-chat-worldInfo","Świat $worldNumber [jest aktywny|istnieje|jest eksplorowany] od $worldDuration."
"io-splash-chat-playedSessions","Tam [były|bywały] ostatnie $playedSessions [wędrówki|wyprawy|podróże]."
"io-splash-chat-worldExplored","$worldExplored świata zostało [zbadane|odkryte|odsłonięte]."
"io-splash-chat-outposts","Dzięki połączonym wysiłkom gracze odblokowali $unlockedhubs posterunków."
"io-splash-chat-gamesPlayed","[Jak dotąd|Do teraz|Do dziś dnia] [byłeś na|rozpocząłeś|przystąpiłeś do] $numgamesthisuser [ekspedycji|przygód|wędrówek|podróży]."

"io-worldDuration-end","Ten świat zakończy się za"
"io-splash-chat-packs","Nie zapomnij sprawdzić nowe skrzynki, które ostatnio zdobyłeś."
"io-splash-chat-fail","Nic się nie stanie, jeżeli Ci nie wyjdzie. Po prostu zacznij od nowa i eksperymentuj z różnymi Skrzyniami."
"io-splash-chat-friends","Powiedz swoim znajomym o RIVALS."
"io-splash-chat-discord","Dołącz do naszej społeczności Discord. Po prosu kliknij przycisk w prawym górnym rogu."

"io-worldDuration-days","dni"
"io-worldDuration-day","dzień"
"io-worldDuration-hours","godzin"
"io-worldDuration-hour","godzina"
"io-worldDuration-minutes","minut"
"io-worldDuration-minute","minuta"
"io-worldDuration-seconds","sekund"
"io-worldDuration-second","sekunda"
"io-worldDuration-new","Ten świat się zakończył! Nowy świat rozpocznie się niedługo."

"io-return-tce","Wyjdź"
"io-return-tce-tooltip","Powrót do trybu pojedynczego gracza w Curious Expedition."

"io-discord","Dołącz do społeczności RIVALS na Discord!"

"io-st-exhausted-title-1","Lekkie wyczerpanie psychiczne"
"io-st-exhausted-title-2","Średnie wyczerpanie psychiczne"
"io-st-exhausted-title-3","Ciężkie wyczerpanie psychiczne"
"io-st-exhausted-title-4","Ekstremalne wyczerpanie psychiczne"
"io-st-exhausted","Jesteś bardzo wyczerpany przez eksplorację przez tak długi czas. Zwiększone koszty zdrowia psychicznego oraz zredukowana jego maksymalna ilość."
"io-st-faithless-title","Wiarołomny"
"io-st-faithless","Stracił nadzieję na powrót z tej wyprawy. Stale traci lojalność."
"pack-artist","Wędrowny artysta"
"pk-greatReputation-title-io","Świetna reputacja"
"pk-bartering-title-io","Ekspert handlowy"
"pack-smallArmy","Mała armia"
"pack-huntingTrip","Wyprawa myśliwska"
"pack-bestWorlds","Skrzynia tego, co najlepsze z obydwu światów"
"pack-combatExplorer","Eksplorator walki"

"io-exhausted-1-intro","Gdy usiadłem przy ognisku tej nocy, poczułem znamię ciężkiej podróży przez ostatnie dni. Czego bym nie dał, aby poczuć odrobinę wygody. Moje stopy bolały i pragnąłem ciepłej kąpieli. Byłem wyczerpany."
"io-exhausted-1-trek","Rozejrzałem się dookoła i zobaczyłem jak bardzo zmęczyli się moi towarzysze."

"io-exhausted-2-intro","Poczułem jak blisko byłem do osiągnięcia limitu sił. Ta ekspedycja trwała dłużej niż myślałem i nie wiem ile czasu zdołałbym jeszcze wytrzymać."
"io-exhausted-2-trek","Wszyscy inni wyglądali na tak samo zmęczonych jak ja. Zastanawiałem się, jak długo jeszcze byłbym w stanie wytrwać."

"io-exhausted-3-intro","To było to. Jak mógłbym po tym wszystkim iść dalej? Byłem pewien, że jeśli szedłbym dalej, skończyłoby się to bardzo źle. Potrzebowałem przerwy."
"io-exhausted-3-trek","Pozostali byli niczym więcej jak zwykłym cieniem siebie. Za kilka dni na pewno zaczęliby rozdzierać się na strzępy."

"io-exhausted-4-intro","To jest istne szaleństwo. Nie pamiętam życia, które wiodłem przed przyjściem tutaj. Straciłem nadzieję i nic więcej już mi nie zostało. Koniec nadchodzi."
"io-exhausted-4-trek","Reszta po prostu usiadła w ciszy, nikt nie mówił od wielu dni. Czy mogę nadal im ufać?"

"io-exhausted-single-trek-generic","[$name ledwie mówił w ostatnich dniach|Nie odważyłem się rozmawiać z $name|Zastanawiałem się, co $name myślał|$Name wyglądał naprawdę źle|$name łkał cicho]. [Nigdy nie widziałam $him tak cichego|Bałem się poprosić $him, żeby się spakował i szedł dalej przy wchodzącym słońcu|Nie mogłem stwierdzić, czy $he spał, czy tylko wpatrywał się w ciemność|Zastanawiałem się, jaką historię $he opowiedziałby jeśli kiedykolwiek wrócimy|Zadałem sobie pytanie, o ile więcej mógłbym $him prosić]."
"io-exhausted-single-trek-extreme","[$name ledwo żył|Mam złe przeczucie jeśli chodzi o $name]. [Wyobraziłem sobie jak bym się czuł, gdybym musiał pochować $him|Tak mi przykro, że wciągnąłem $him do tej skazanej na zagładę wyprawy]."
"io-exhausted-animal-generic","[Spojrzałem na $name|$name stał w ciszy przy ognisku|Widok $name dał mi odrobinę nadziei|$name żuł coś w ciszy]. [Przez te wszystkie lata nie widziałem bardziej lojalnego towarzysza|Nie wiedziałem, jak mógłbym iść bez $him|Nie mogłem marzyć o lepszym towarzyszu od $him|To zwierze znaczyło dla mnie więcej niż wszystko inne|Czułem $His ciepłe spojrzenie]."

"io-exhausted-genericComments","[Jestem tak zmęczony.|Możemy iść do domu?|Umrzemy tutaj.|Możesz powtórzyć jaki jest tego cel?|Czy nie zobaczyliśmy już wystarczająco?|Jestem za podróżą jeszcze przez kilka dni!]"

"io-exhausted-keepGoing","Wyprostowałem plecy i postanowiłem, że to nie może być dzień mojej porażki. Czułem, że wciąż pozostał we mnie cień nadziei."
"io-exhausted-onward","Naprzód!"

"io-help-days-remaining","Ta ekspedycja zakończy się za $days dni."

"io-hotAirBalloon-access","Balon z gorącym powietrzem był gotowy do odlotu. Zapewniał on ograniczoną przestrzeń, więc wszystko co by się nie zmieściło, zostałoby za nami."
"evt-hotAirBalloon-stash-action-io","Leć do posterunku"

"npc-badgeServant-title","Sługa Odznaki"
"badge-treasureHunter-name","Odznaka Łowcy Skarbów"
"badge-animalTrade-name","Dostawca Odznaki Taksydermii"
"badge-treasureHunter","Odznaka społeczeństwa łowcy skarbów. Daj ją Słudze Odznaki, aby regularnie otrzymywać zaopatrzenie w sprzęt do polowania na skarby."
"badge-animalTrade","Odznaka społeczeństwa taksydermii. Daj ją Słudze Odznaki, aby handlować trofeami zwierzęcymi jako zaopatrzeniem taksydermii."
"act-badgeServant-intro","Szukaj Sługi Odznaki"
"act-badgeServant-noBadge","Nie mam żadnej odznaki"
"badgeServant-noBadge","Postać po prostu stała i patrzyła się na mnie przez dłuższą chwilę. Mogłem poczuć pogardę, z jaką mnie traktowała, mimo twarzy ukrytej za maską. Następnie zaczęła powoli potrząsać głową oczekując na moje odejście."
"badgeServant-intro","Podszedłem do dziwnie zamaskowanej postaci ubranej w jasne pomarańczowe szaty. Wydawała się niezadowolona z przebywania w tym miejscu. Duży maszt flagowy był przywiązany do jej pleców, tak, aby był widoczny z daleka. Spod maski rozbrzmiał [cichy|nieczuły|znudzony|zmęczony|zniechęcony] głos. Zostałem poproszony o okazanie mojej odznaki."
"act-badgeServant-treasureHunter","Odznaka Łowcy Skarbów"
"act-badgeServant-animalTrade","Odznaki Dostawcy Taksydermii"
"act-badgeServant-sellTrophies","Sprzedaj trofea zwierzęce"
"act-badgeServant-tradeFameTrophies","Dostarcz trofea ze zwierząt w zamian za punkty sławy"
