"io-title","경쟁자"
"io-hub-ask-fame-txt","하인은 다음과 같이 설명했다: 당신께서는 탐험할 때마다 지역이나 전초기지 같은 것들을 발견해서 더욱 _명성을_ 높일 수 있습니다. 하지만 _보물들을_ 찾아서 명성을 올리시고 싶으시다면, 당신께서 찾아낸 물건들을 전초기지에 가져다 주셔야 할 것입니다. 그렇게 하신다면 사람들이 조금이나마 더 감명을 받게 되겠죠. 원하신다면, 당신께서 발견하신 보물들을 모두 _수습하셔서_, 보석으로 분해하실 수도 있습니다. 그렇게 하신다면 사람들은 별로 인상깊게 여기지 않게 되겠죠. 그래도 어쨌든 어느 정도는 인상을 줄 수 있긴 할 겁니다. 세계의 끝이 도래한다면, 가장 유명한 _경쟁자는_ 더 많은 메달을 보상으로 받게 될 겁니다."
"cl-badgeServant-ask","[진심입니까?|다시요?|또 다른 거요?|다른 질문은 받지 않습니다!|질문이 너무 많아...|뭡니까?|질문이로군요, 그렇죠?|굳이 또 반복해야 합니까?|증표 관련 이야기면 더 좋겠습니다만.|당신은 절대 피라미드를 찾지 못할 겁니다.|멍청한 탐험가께서 한 분 더 오셨군.|흠.|저런!|*당신을 쏘아본다*]"

"io-deliverFameItems-action","보물을 전달한다"
"io-deliverFameItems-title","보물"
"io-badgeServant-deliverAnimalSupplies-title","박제 용품"
"evt-polarStation-stash-done","남자는 우리들의 [귀중품이|보물이|상품들이|물건들이] [개|허스키] [썰매를 이용해|배달부를 통해|운송 서비스를 통해] [곧|서둘러서|할수 있는 한 빨리|그가 잠깐 낮잠을 잔 뒤에] 근처의 전초 기지로 [전달될|보내질] 것이라고 [약속했다|말했다|보증했다]."

"pk-blackMarket","전초기지에서 더 많은 양의 장비를 구입할 수 있게 합니다."
"pk-journalist-1","보물을 제공할 때 얻는 명성을 늘려줍니다."
"evt-harbor-select-action","장비를 거래한다"
"item-help-trade","전초기지에서 명성과 교환 가능합니다."
"io-help-compass","나침반은 아직 발견되지 않은 전초기지들 중에서 가장 가까운 곳이 어느 방향에 있는지, 그리고 얼마나 멀리 떨어져 있는지를 나타내 줍니다."

"io-region-article","The"
"na-io-DifficultySegments","[$ioSpecial 의 $ioNoun|$ioSpecial 의 $ioNoun|$ioAdjective $ioNoun|$ioAdjective $ioSpecial]"
"np-io-adjective","[어둠의|공허한|무한한|위대한|황금의|보이지 않는|용서할 수 없는|잊힌|썩어들어가는|화려한|자그마한|고대의|피를 흘리는|검은|하얀|비현실적인|가장 어두운|신성한|오래된|미숙한|새로 태어난|죽어가는]"
"np-io-noun","[계곡|땅|속주|평원|지역|띠|산|언덕|숲|크레이터|영역|손|발|배|머리|팔|손가락|허리|바퀴|요람|분수|샘|만|굴|검|방패|별|아이|아버지|조상|장로]"
"np-io-special","[신|영혼|죽음|절망|폐허|행운|광기|슬픔|폭풍]"

"na-io-unlocked-segments","[$ioName 의 $ioNoun|$ioName 의 $ioNoun|$ioName 의 $ioNoun|$ioName 의 $ioSpecial|$ioAdjective $ioName|$ioName 의 $ioAdjective $ioSpecial]"

"pk-die-magic","추가적인 마법 주사위를 얻습니다."
"pk-die-magic-title","마법사"

"pk-goodReputation-io","평판이 빠른 속도로 더 높은 값으로 돌아갑니다."

"bonus-standingBias","평판의 치우침"
"bonus-turnsForStandingBias","평판의 치우침 상태까지 남은 일수"

"io-balloon-travel","비행"
"help-balloon","열기구를 타고 가장 가까운 전초기지로 돌아가세요. 열기구의 공간은 한정되어 있습니다."

"pack-automatic","$item 상자"
"pack-starter","초심자의 상자"
"pack-survival","생존용 상자"
"pack-mystery-egg","수수께끼의 알"
"pack-healthcare","건강관리 팩"
"pack-adventurers-pack","모험가의 상자"
"pack-tribal-combat","부족 전쟁 팩"
"pack-magic-apprentice","견습 마법사"
"pack-magic-terraform","지형변환술사"
"pack-magic-teleport","순간이동술사"
"pack-magic-curse","사악한 마법사"
"pack-mushroom-collector","버섯 수집가"
"pack-army-supplies","군수품"
"pack-shady-trader","수상한 상인"
"pack-scouting","정찰용 상자"
"pack-climber","등산가의 상자"
"pack-arctic","북극 상자"
"pack-chocolate-addict","초콜릿 중독자"
"pack-chocolate-addict-2","초콜릿 중독자 2"
"pack-whiskey-lover","애주가"
"pack-whiskey-lover-2","애주가 2"
"pack-simple-needs","단순 욕구"
"pack-effects","휴대품 상자"
"pack-musician","음악가의 상자"
"pack-high","기분이 좋아지는 상자"
"pack-pendulum","펜듈럼"
"pack-explosion-expert","폭파 전문가"
"pack-sail-ho","항해자"
"pack-animal-capacity","동물 운반"
"pack-art-lover","예술 애호가"
"pack-lovecraft","러브크래프트"
"pack-peace","평화의 상자"
"fortune-teller","점쟁이"
"pack-plane-traveller","비행기 여행자"
"pack-shaman","주술사"
"pack-alternative-medicine","대체 의학"
"pack-cultist","광신도의 상자"
"pack-dino-friends","공룡 친구들"
"pack-monster-master","괴물 조련사"
"pack-animal-whisperer","동물 교감사"
"pack-endlesss-light","끝없는 빛"
"pack-blood-prince","피의 왕자"
"pack-yeti","예상 밖의 친구"
"pack-battleCat","전투용 고양이"
"pack-holyPug","신성한 퍼그"
"pack-darkLord","어둠의 군주"
"pack-animalTrade","박제 조달인의 상자"
"pack-hyena-pack","하이에나 팩"
"pack-wildlife","야생동물 상자"
"pack-natives-skills","원주민의 기술 상자"
"pack-natives-magic","원주민의 지식 상자"
"pack-lizards","도마뱀인간 상자"
"pack-trader-marbles","완비된 상인의 상자"
"pack-bbq","바베큐 상자"
"pack-mountaineering","암벽등반용 상자"
"pack-soldiers","아발론의 병사들"
"pack-teslaGun","연구보조원 상자"
"pack-butterflyAssistant","나비애호가 상자"
"pack-arcticSpecialist","극지전문가 상자"
"pack-packAnimals","짐 동물들"
"pack-native-expert","원주민 전문가 상자"

"st-feihong-desc","추가적인 무술 주사위를 얻습니다."

"io-pyramid-leave","내 이름을 적어놓자!"

"io-splash-chat-welcome","저희들의 새로운 멀티플레이어 게임에 오신 것을 환영합니다!"
"io-splash-chat-title","큐리어스 익스페디션: _경쟁자_!"
"io-splash-chat-pause","네, 음..."
"io-splash-chat-largeWorld","이건 매우 거대한 세계를 탐험하는 게임입니다."
"io-splash-chat-notAlone","맞습니다, 다른 플레이어들과 함께 말이죠!"
"io-splash-chat-peoplePlaying","_$playerCount_ 명의 사람들이 지난 몇 시간 동안 플레이하고 있습니다."
"io-splash-chat-remembered","저희들은 그들이 발견한 지역에 각자의 이름을 기록해 두었습니다."
"io-splash-chat-cool","정말 멋지군요!"
"io-splash-chat-right","그렇죠? 마치 노 맨즈..."
"io-splash-chat-highscore","아, 그리고 최고 점수도 당연히 존재한답니다."
"io-splash-chat-bestPlayer","현재까지는 $playerBestName 이/가 $playerBestScore 의 최고 점수를 얻고 있습니다."
"io-splash-chat-worldReset","세계와 최고점수는 매번 갱신됩니다."
"io-splash-chat-world","지금은 $worldNumber 번째 세계가 $worldDuration 동안 활성화되어 있습니다."
"io-splash-chat-donkey","왜 저기 말하는 당나귀가 있는 거죠?"
"io-splash-chat-oh","아... 아무것도 아닙니다."
"io-splash-chat-seeRest","나머지 부분을 볼 때까지 기다립시다."
"io-splash-chat-adventure","이제 출발합시다, 모험이 기다리고 있습니다!"

"io-splash-chat-returningPlayer","큐리어스 익스페디션: 경쟁자에 돌아오신 것을 환영합니다!"
"io-splash-chat-worldInfo","$worldNumber 번째 세계가 $worldDuration 동안 [활성화되어 있습니다|진행중입니다|탐험되고 있습니다]."
"io-splash-chat-playedSessions","최근 $playedSessions 번의 [여행이|탐험이|여정이] [있었습니다|진행되어 왔습니다]."
"io-splash-chat-worldExplored","$worldExplored 의 세계가 [탐험되었습니다|발견되었습니다|밝혀졌습니다]."
"io-splash-chat-outposts","탐험가들의 협력을 통해 $unlockedhubs 곳의 전초기지가 해금되었습니다."
"io-splash-chat-gamesPlayed","[지금까지|현재까지|오늘까지] 당신은 $numgamesthisuser 번의 [탐험을|모험을|여행을|여정을] [떠났습니다|시작했습니다|시도했습니다]."

"io-worldDuration-end","이 세계는 곧 끝날 것입니다."
"io-splash-chat-packs","당신이 얻은 새로운 상자들을 확인하는 것을 잊지 마세요."
"io-splash-chat-fail","실패해도 괜찮습니다. 다시 시작하셔서 다른 상자들을 실험해 보세요."
"io-splash-chat-friends","친구들에게 경쟁자에 대한 소식을 알려주세요."
"io-splash-chat-discord","저희들의 디스코드 커뮤니티에 찾아오세요. 우상단의 단추를 클릭하시면 됩니다."

"io-worldDuration-days","일"
"io-worldDuration-day","일"
"io-worldDuration-hours","시간"
"io-worldDuration-hour","시간"
"io-worldDuration-minutes","분"
"io-worldDuration-minute","분"
"io-worldDuration-seconds","초"
"io-worldDuration-second","초"
"io-worldDuration-new","이번 세계는 끝이 났습니다! 새로운 세계로 곧 찾아오겠습니다."

"io-return-tce","나가기:"
"io-return-tce-tooltip","큐리어스 익스페디션 싱글플레이 모드로 돌아갑니다."

"io-discord","디스코드의 경쟁자 커뮤니티에 가입하세요!"

"io-st-exhausted-title-1","가벼운 정신적 피로"
"io-st-exhausted-title-2","중간적인 정신적 피로"
"io-st-exhausted-title-3","심각한 정신적 피로"
"io-st-exhausted-title-4","극심한 정신적 피로"
"io-st-exhausted","당신은 너무 오랜 시간 동안 탐험해서 매우 지쳐있습니다. 소모하는 San수치와 최대 San수치가 감소합니다."
"io-st-faithless-title","불충함"
"io-st-faithless","탐험을 마치고 돌아갈 것이라는 희망을 잃어버렸습니다. 지속적으로 충성도가 감소합니다."
"pack-artist","여행중인 예술가"
"pk-greatReputation-title-io","훌륭한 평판"
"pk-bartering-title-io","숙달된 상인"
"pack-smallArmy","작은 군대"
"pack-huntingTrip","사냥 여행"
"pack-bestWorlds","일석이조의 상자"
"pack-combatExplorer","전투 탐험가"

"io-exhausted-1-intro","이날 밤 모닥불 옆에 앉고 나니 최근 일어난 일들로 인한 무거운 짐이 나를 짓누르고 있는 것을 느꼈다. 나에게 약간의 안락함이라도 주어진다면 얼마나 좋을까. 나의 발은 아파왔고 따뜻한 목욕에 대한 갈망이 나를 덮쳐왔다. 나는 지쳐 있었다."
"io-exhausted-1-trek","나는 주위를 둘러보았고 나의 동료들의 얼굴에 얼마나 많은 피곤함이 묻어있었는지를 볼 수 있었다."

"io-exhausted-2-intro","나는 나의 개인적인 한계가 가까워져 오고 있음을 느꼈다. 이 탐험은 나의 예상보다 더욱 길게 흘러가고 있었고, 내가 앞으로 얼마나 더 견딜 수 있을지는 알 수 없었다."
"io-exhausted-2-trek","모두가 나만큼이나 지쳐 있는 것처럼 보였다. 나는 모두가 앞으로 얼마나 더 오래 버틸 수 있을지 궁금했다."

"io-exhausted-3-intro","이제 됐다. 내가 어떻게 이런 곳에서 지금까지 계속 움직일 수 있었을까. 앞으로 계속해서 나아갔다간 끔찍한 결말이 기다리고 있을 것이라는 확신이 들었다. 나는 멈추어야만 했다."
"io-exhausted-3-trek","다른 사람들은 그저 스스로의 그림자에 불과한 존재와 다르지 않았다. 그들이 스스로 찢겨져 나가기까지는 얼마 남지 않은 것처럼 보였다."

"io-exhausted-4-intro","이건 미친 짓이다. 나는 여기 오기 전까지의 나의 삶이 어땠는지조차 기억할 수 없었다. 나는 희망을 잃어버렸고, 더 이상 남은 것도 없었다. 종말이 다가오고 있다."
"io-exhausted-4-trek","다른 사람들은 그저 조용히 앉아 있을 뿐, 아무도 며칠 동안 이야기를 하지 않았다. 내가 이들을 계속 믿어야 할까?"

"io-exhausted-single-trek-generic","[$name 은/는 지난 며칠 동안 거의 말을 하지 않았다|나는 $name 에게 뭐라 이야기를 꺼낼 수 없었다.|나는 $name 이/가 무슨 생각을 하고 있는지 궁금했다|$Name 은/는 매우 상태가 심각해 보였다|$name 은/는 조용히 훌쩍이고 있었다]. [나는 $그가 이렇게 조용한 것을 본 적이 없었다|나는 $그에게 짐을 챙겨서 해가 뜰때까지 계속 움직이자고 말할 용기가 없었다|나는 $그가 잠이 들었는지 그저 어둠 속을 응시하고 있을 뿐인지 판단할 수 없었다|나는 우리가 돌아갔을 때 $그가 무슨 이야기를 꺼낼지 궁금했다|나는 앞으로 $그와 얼마나 더 많은 이야기를 나눌 수 있을지에 대한 의문을 가질 수밖에 없었다]."
"io-exhausted-single-trek-extreme","[$name 은/는 간신히 목숨만 부지하고 있었다|$name 에 대한 좋지 못한 예감이 들었다]. [만약에 $그를 묻는다면 어떤 느낌이 들까|나는 이 저주받은 탐험에 $그를 끌고오게 된 것이 매우 미안해졌다]."
"io-exhausted-animal-generic","[나는 $name 을/를 바라보았다|$name 은/는 모닥불 근처에 조용히 서 있었다|$name 을/를 바라보니 내게 약간의 희망이 생겼다|$name 은/는 뭔가를 조용히 씹고 있었다]. [지난 몇 년 동안 나는 이보다 더 충직한 동료를 본 적이 없었다|나는 $그가 없었으면 지금까지 올 수 있었을지 알 수 없었다|나는 $그에 비해 더 나은 동료를 차마 바랄 수도 없을 것이다|이 동물은 다른 어떤 것보다 내게 더 많은 의미를 가지고 있다|$그의 따뜻한 눈이 나를 조용히 바라보고 있었다]."

"io-exhausted-genericComments","[너무 피곤해.|집에 갈 수 있을까?|우린 여기서 죽고 말 거야.|이런 일에 의미가 있나요?|이제 충분히 돌아보지 않았나요?|저는 이제 며칠밖에 못 버텨요!]"

