"fxt-village-human-name","인간의 마을"
"it-philosophersstone","아테나의 가장 소중한 물건입니다. 투시력을 가진 고대 유물입니다."
"anm-warhog-title","전쟁 멧돼지"
"anm-warhog","유인원들의 전쟁 멧돼지들은 포악한 사냥용 짐승으로 악명이 높습니다. 누군가 말하길 멧돼지들은 1마일 밖의 인간의 냄새를 맡을 수 있다고 합니다."
"pl-beastMaster-title","야수 조련사"
"pl-beastMaster","야수조련사들은 동물의 신체적 한계를 능가할 수 있도록 '강요'합니다. 그리고 그들은 태어날 때부터 길러왔던 전쟁 멧돼지들이 없으면 절대 임무에 출정하지 않을 것입니다."
"evt-harbor-recruit-beastMasterWarhog-action","야수 조련사와 전쟁 멧돼지"
"evt-harbor-recruit-beastMasterWarhog-1","우리들은 [야수 조련사와 전쟁 멧돼지의|경험있는 동물 조련사와 충성스런 짐승의|야수 조련사와 충성스런 멧돼지의|끝내주는 2인조의|효율적인 한 쌍의] 도움을 받을 수 있었고 우리 팀에 그들을 받아들였다."
"evt-steal-animals-action","짐 운반용 동물을 구매한다"
"evt-steal-animals","우리들은 전초기지에서 쓸만한 짐 운반용 동물을 달라고 요청했다."
"evt-village-steal-animal","[우리들은 위대한 유인원 황제에게 바칠 공물로써 동물 한 마리를 요구했다|우리들은 노예상에게 그가 가진 동물들 중 하나를 달라고 강요했다|노예상은 우리들에게 동물을 제공할 만큼 충분히 감명받아 있었다|우리에게 제공한 동물은 그들이 가지고 있던 것들 중 유일하게 쓸만한 것이었다|노예상은 자존심을 삼키고 우리들의 요구를 들어 주었다|노예상은 우리가 그의 동물들 중 하나를 가져가는 것을 눈에 띄게 꺼려했다]. 우리들은 그 짐승을 $name (이)라고 [불렀다|이름지어줬다|칭했다|부르기로 했다]."
"it-whisky-ape-name","바나나 슈냅스"
"it-whisky-ape","유인원 순수령에 따라 증류된, 매우 강렬한 무언가입니다. 인간이 마시기에는 적합하지 않습니다."
"fxt-outpost-name","유인원 전초 기지"
"evt-outpost-init-action","유인원 무역기지에 들어간다"
"evt-village-human-main-0","마을 사람들은 우리들의 존재감을 두려워했다. 부모들은 그들의 아이들을 숨겼고, 마을의 장로는 두려움에 떨고 있었다."
"evt-village-human-main-1","인간들은 우리들을 경외로운 눈빛으로 바라보고 있었다. 그들은 그들 앞에 강력한 힘의 현신이 서 있는 것을 알고 있었다."
"evt-village-human-main-2","인간들은 신중한 태도로 우리들에게 접근하였다."
"evt-village-human-main-3","인간들은 우리들을 그다지 두려워하지 않는 것처럼 보였다. 그들의 태도는 거의... 짖궂어 보였다."
"evt-village-human-main-4","인간들은 적대적이었다. 그들 중 일부는 우리 앞에서 무기를 휴대할 정도로 대담했다."
"evt-expedition-done-WoA-1","[몇 주일 간의 약탈 끝에|고난과 역경을 지나온 끝에|지금까지의 모든 고난들을 겪은 뒤에], [도취감이|엄청난 기쁨이|놀라울 정도의 자신감이|무시무시할 정도의 안도감이] 나를 감쌌다. 나는 [내|이 나의|바로 그] 이름인 $name 이/가 [영원히 기억될 것이라는 걸|절대 잊혀지지 않을 거라는 것을|곧 승리와 같은 의미가 될 것이라는 걸|내가 이번 생애를 마치게 될 이후로도 오랫동안 기억되리라는 것을|제국의 왕실에서 존경을 받게 되리라는 것을|유인원 역사의 기록 속에 길이 써내려질 거라는 것을] 깨닫게 되었다."
"evt-goal-explore-WoA-finish","[웅장한 황금 도시는 주변 지역으로부터 우뚝 솟아 있었다|황금 도시는 다른 어떤 것들보다도 높이 솟아 있었다|우리들은 결국 황금 도시에 도달했다|이국적인 지형이 훌륭한 황금 도시를 더욱 돋보이게 하고 있었다|유인원의 건축술은 참으로 놀라웠다, 황금 도시는 이제 우리 손 안에 있었다|우리의 마지막 목적지는 그 황금빛 자태로 우리들을 유혹했다|황금 도시는 우리들을 승리를 향한 손짓으로 맞이하였다|우리들의 목표는 황금으로 만들어진 도시의 형태로 우리들을 맞이해 주었다|여기에 바로 황금 도시가, 유인원 공학의 절정이 놓여 있었다]."
"evt-expedition-done-WoA-action-1","[유인원들에게 영광을!|명예를!|황제 폐하를 위해!|명성과 영광을 위해!|역사를 향하여!|무한한 영광이 기다린다!|행운과 영광을!]"
"evt-goldenCity-approach-action","황금 도시에 다가간다"
"fxt-goldenCity-unearthed-name","제국의 황금 도시"
"evt-goal-explore-WoA-finish-action","황금 도시에 들어간다"
"zn-fleeingHumans-name","달아나는 인간들"
"evt-peaceful-enslavement-action","포로에 대한 공물을 요구한다"
"evt-peaceful-enslavement-fail","우리들의 고대 전통에 의한 칙령으로써, 우리들은 위대한 사냥을 선포했다. 우리들이 성공한다면 위대한 영광이 기다리고 있을 것이다. 인간들은 저 야생 속으로 도망치는 대신 우리보다 먼저 움직일 수 있게 하였다... 사냥이 시작되었다."
"evt-peaceful-enslavement-success","인간들은 그들 공동체의 일부를 공물로 바침으로써 나머지 인원들에게 자유를 선사하는 것이 최선의 선택임을 깨닫고, 우리들의 의지에 굴복하였다. 우리들은 재빨리 인간 공물들을 우리들의 수레에 실었다. 나머지 인간들은 너무나도 수치스러운 나머자, 그들을 똑바로 쳐다보지 못했다."
"evt-forceful-enslavement-action","영광스러운 사냥을 선포한다"
"evt-village-huntSlaves","우리들은 인간들을 살펴보았고 그들이 위대한 유인원 황제폐하를 위한 훌륭한 공물이 될 수 있을 거라고 결정했다. 우리들이 고대 전통에 따라 위대한 사냥을 선포해야 할까, 아니면 좀 더 격식 떨어지는 방법을 사용해 그들을 굴복시켜야 할까?"
"evt-peaceful-enslavement-fail-2","그들은 우리들의 협박과 거짓말들을 꿰뚫어볼 수 있었고 기회를 노려 결판을 짓기로 다짐했다."
"evt-shrine-14-mod","나는 공기를 들이마셨다. [선술집같은 냄새가 났다|배설물 냄새가 났다|한여름의 유인원 도시 슬럼가에서 맡았던 것 같은 악취가 났다]. 아니면 길가의 도랑 냄새였을 것이다. 그리고 나는 바닥의 작은 균열로부터 역겨운 냄새를 가진 한 줄기의 _수증기가_ _올라오는_ _것을_ 보았다."
"evt-buy-moonstone-title","월석을 구매한다"
"evt-buy-moonstone","우리들은 전초 기지에서 이 지역의 황금 도시에 들어가는 데 필요한 공물을 팔아 달라고 부탁했다."
"evt-stoneCircle-revealSlaver-action","전초 기지를 드러낸다"
"evt-pacify-success","우리들은 그들의 우려를 달콤한 말들로 진정시키는 데 성공했다. 군중들은 다시 제자리로 돌아갔다... 지금은 말이다."
"evt-pacify-action","군중을 진정시킨다"
"evt-negotiate-success","열정적인 수사학의 정수를 통해 설파한 끝에, 인간들은 물러났다. 군중들은 제자리로 돌아갔다... 지금은 말이다."
"evt-negotiate-action","이성에 호소한다"
"evt-show-of-force-success","우리들은 우리들이 가진 모든 무력의 정수들, 무기들을 꺼내보였다. 군중들은 제자리로 돌아갔다... 지금은 말이다."
"evt-show-of-force-action","무력을 행사한다"
"evt-seal-slaves-title","인간들의 생명력을 사용한다"
"evt-seal-slaves","인간들은 황금 도시를 위한 공물로써 자신들의 생명력을 바쳤다. 의식의 순수한 힘이 휘몰아쳤고, 궁정 주술사가 아니더라도 주위를 둘러싼 공기에서 문자 그대로의 변화를 느낄 수 있었을 것이다."
"evt-goldenSeal-slaves","우리들은 군데군데가 순금으로 만들어져 있는 한 [신비한|웅장한|고대의 것으로 보이는|태고의] 구조물에 접근했다. 그것은 황금 도시를 위한 공물을 모으는 고대의 장소들 중 한 곳으로 보였다. [조금의 노력을 기울인다면 우리들은 그것을 작동시킬 수 있을 것이다|나는 인간의 생명력을 이용한다면 우리들이 그것을 움직이게 만들 수 있을 거라고 믿었다|약간의 준비와 시간만 있다면 우리들은 그것을 확실히 작동시킬 수 있을 것이다]. 하지만, 작동한 이후 정확히 무슨 일이 일어날지는 수수께끼로 남아 있었다."
"evt-goldenSeal-1-slaves","[잠시 시간이 걸리기는 했지만, 결국|오랜 시간 동안의 의식 끝에|많은 노력 끝에] 우리들은 [독특한|신비한|복잡한|고대의 것으로 보이는|수수께끼의] 장치를 [만족시키는|푸는|활성화하는] [데 성공했다|것이 가능할 만큼의 준비를 마쳤다]. 갑자기 거대한 빛의 기둥이 봉인으로부터 [솟구쳐 올랐다|솟아올랐다|쏘아져 올라갔다|뻗어나갔다]."
"pl-berserker-title","광전사"
"pl-berserker","바나나 슈냅스에 중독된 전사들입니다. 조심스럽게 접근하십시오."
"pl-vanguard-title","전위대"
"pl-vanguard","제국 전위대의 대원들은 산악 전투에서 단련된 정예 정찰병입니다."
"it-lokiGun-athena-name","고대인의 분노"
"it-lokiGun-athena","아테나의 개인 무기는 걷잡을 수 없는 힘을 가진 고대 유물입니다."
"narrator-1","언제나처럼, 유인원 제국의 [귀족들이|가신들이|아첨꾼들이] [폐하께|황제폐하께|그들의 대군주에게] 탄원서를 내러 찾아왔군. 왜 너같은 녀석이 그럴만한 가치가 있다고 생각하는 거지?"
"narrator-2","넌 그저 변변찮은 귀족일 뿐, 아무것도 아니다. 스스로 네 녀석의 명성을 떨쳐라! 제국의 황금 도시를 찾아가서, 그들의 통치자를 감동시켜라!"
"narrator-3","도시를 찾아가면서, 무능한 인간들을 습격해서, 그들을 사로잡아 황금 도시의 공물로 바쳐라. 하지만 주의해야 할 거다, 네 녀석의 경쟁자들은 언제나 가까이에 있다."
"narrator-4","이제 가라, 사냥하고 약탈해라. 만약에 너가 더 부유해지고 유명해진다면, 황실 측근에 더 가까워질지도 모르겠지. 유인원 제국을 위해 떠나라! "
"outro-pyramid","황금 도시"
"cl-celebration-audience-10","[저랑 결혼해 주세요!|잘생기셨네요!|사랑해요!|유인원 남자와 여자는 같이 살아야 해요!]"
"cl-celebration-audience-11","[저 물소는 정말 크군!|물소가 저렇게 생겼구나!|저 물소를 봐요!|저 물소의 이름이 뭔가요?]"
"cl-celebration-audience-1","[귀여운|충성스러운|충실한|용감한] [저 당나귀를 봐|당나귀로군|당나귀네]!"
"cl-celebration-audience-2","[정말로 사람을 잘 따르는 개네!|나도 저런 개 한마리 정도 있었으면!|저 강아지는 대접받을 자격이 있어!]"
"cl-celebration-audience-3","[여기서 술 냄새가 나는데!|바나나 슈냅스 좀 나눠줄 수 있나요?|이거 바나나 슈냅스 병 아닌가요?]"
"cl-celebration-audience-4","[저 여자는 뭐야!|진짜로, 유인원 여잔가?|모험은 유인원 남자들한테 맡기지 그래!|내 눈을 믿을 수가 없군, 정말 유인원 여자야?|도서관으로 꺼져!|시대가 변했군.|성평등이라니 정말 놀랍군.|훌륭한 여자로군.|저 여잔 자기 분수를 알아야 돼!|시대는 확실히 더 나은 방향으로 흘러가고 있군요.|유인원 여자로서는, 나쁘지 않네요.|저 여성분을 롤 모델로 삼고 싶어요!]"
"cl-celebration-audience-5","[야만인!|이 얼마나 미개한가!|왜 이런 데에 있는 거야?|짐승!|말할 수는 있나?]"
"cl-celebration-audience-6","[어떻게 저게 살아 움직이는 거지?|저런 거는 싫어!|무서워!|저게 뭐야?!|말할 수는 있나?|무서워요!|저런 건 동물원으로 가야 해!|이 불경한 존재가!]"
"cl-celebration-audience-7","[혼자야?!|다른 사람들은 어디로 갔나요?|설마 혼자서 돌아온 건가요?|나머지 대원들에게 무슨 일이 일어났는지 궁금하네요...|외로운 여정이었던게 틀림없었군요.|나머지 대원들은 사라졌나요?|유인원 단 하나 뿐이야?]"
"cl-celebration-audience-8","[동물 조련사다!|동물을 좋아하는 사람이구나.|동물들을 유인원보다 좋아하나봐.|동물들이랑 이야기할 수 있을지도 몰라.]"
"cl-celebration-audience-9","[병사들이 왜 저렇게 많지?|탐험대에 괜찮은 병사들을 두고 있는게 틀림없군.|저 사람들은 전쟁에서 돌아온 건가요?]"
"cl-celebration-audience","[브라보|이예|내가 당신처럼 되었으면|감동적이에요|환상적이야|멋져요|영웅같아요|놀라워요|나도 보게 해줘요|선조들께서 폐하를 지켜주시길|제국을 위해|황제폐하를 위해|황제폐하와 유인원을 위해|믿을 수 없어요|멋있어요|끝내주는 날이야|용감해요|정말로 기뻐요|놀랍군요]!"
"cl-celebration-party-1","[술 마시면서 축하합시다!|*딸꾹*|건배!|바나나 슈냅스 한 병 주세요!]"
"cl-celebration-party-2","[황제폐하께서 시키신 일을 하고 있을 뿐입니다!|당신에게 축복이 있길!|그저 도와드리고 싶을 뿐입니다!]"
"cl-celebration-party-3","[뭐든지.|별로 신경쓰지 않아요.|당신이 지금이라도 행복하기를.|영웅이 된 듯한 느낌이 드나요?]"
"cl-celebration-party-4","[왜 모든 유인원들이 날 쳐다보고 있지?|별로 편하게 느껴지지는 않는데.|이걸 다 저한테?|좀 더 익숙해져야만 되겠군.|유인원들이 너무 많아.]"
"cl-celebration-party-5","[드디어, 다시 문명화된 유인원들과 함께하는군.|모두들 안심해요, 제가 돌아왔으니.|모든 게 다른 모습으로 보이는군.|다시 돌아와서 다행이야.]"
"cl-celebration-party","[고마워요!|감동받았어요!|친절하셔라!|감사해요!|오오, 정말 멋지군요!|굉장해요!|정말로 굉장해요!]"
"pk-goodReputation-title","당당한 존재감"
"evt-harbor-recruit-soldierBritish-action","약탈자 $name"
"evt-harbor","[아침 일찍|상쾌하고 소금기가 느껴지는 공기를 마시며|기대감에 부푼 채로|다가올 습격을 몹시 기대하면서|새벽을 여는 빛이 나를 깨웠고|잘 자고 나서|흥분감으로 잠을 설친 뒤에] 나는 [부둣가에 도착했다|부둣가로 향했다|배에 올랐다|배에 나의 장비들을 실었다|항구에 도착했다|서둘러 항구로 향했다|서둘러 부둣가에 도착했다]. [선원들은 아직 출항 준비를 해야 되었기 때문에|아직 선장이 도착하지 않았기 때문에|아직 조금 더 준비를 해야 했기 때문에|우리들은 배가 준비되기 전에 잠깐 동안의 자유시간을 얻을 수 있었고], [나는 마지막 바나나 슈냅스 한 잔을 즐겼다|나는 갑판에서 시원한 바닷바람을 맞으며 시간을 보냈다|나는 부둣가에 앉아서 기다렸다|나는 내가 더 할 수 있는 일이 있는지 알아보았다|나는 신속한 여정을 위한 의식을 수행했다|나는 저 수평선 너머에서 무엇이 기다리고 있을지 상상해 보았다|나는 궁정에서 내 이름이 오르내릴 것이라는 생각을 하며 즐거운 시간을 보냈다|나는 내 얼굴이 영광스러운 동상에서 어떤 모습으로 나타나게 될 지 상상해 보았다]."
"evt-harbor-recruit-1","[자랑스럽게도|내가 궁정에서 가장 유명한 유인원들 중 한 명이 되었기 때문인지,|기쁘게도|나의 영광스러운 습격과 공물들에 관한 소식이 이미 퍼졌기 때문에, 그리 놀랍지 않게도] [내 명성이 가신들과 궁정의 아첨꾼들에게 퍼진 모양이었다|내 공적에 대한 이야기들이 흥미를 가진 다양한 사람들을 끌어모은 모양이었다|내가 전에 했던 습격과 공물들에 대한 이야기가 상당한 주목을 받았던 모양이었다|우리 배의 출항 소식이 많은 군중들을 불러모았다]. [새롭게 나타난 많은 지원자들이,|나에게 다가온 몇몇의 능력있는 유인원들이] [미지를 향하는 나의 습격대에 기꺼이 함께하려고 하고 있다|내 습격대에 지원할 만한 도전 정신을 갖고 있었다|약탈과 영광을 갈망하고 있었다|제국의 여섯 황금 도시에 대한 호기심으로 가득 차 있었다|나의 공적을 둘러싼 이야기들의 진실에 대해 배우고 싶어했다|영광과 약탈에 굶주려 있었다]. 누구를 _영입해야_ 할까?"
"evt-harbor-recruit-2","[이번 탐험이 아마 나를 경쟁자들을 앞선 첫 번째 위치로 올려주게 될지도 몰랐다|남들이 질투할만한 유인원 제국의 훌륭한 은총을 향한 1위와의 아슬아슬한 경쟁이었다|나의 이전 습격과 공물 수집은 상당히 성공적이였고 금방이라도 저 명예로운 동상에 내 얼굴이 새겨지는 것을 볼 것만 같은 기분이 들었다]. [이에 대한 소문이 제국의 수도에 퍼져갔고|나의 공적은 유명해졌고|생각보다 내 명성이 더 널리 알려졌고], [많은 유인원들이 우리들의 배가 출항하는 것을 보러 왔다|나의 탐험대에 몇 명의 도전정신이 강한 유인원들을 끌어모았다|우리 습격대에 합류할 생각이 있는, 많은 새로운 지원자들이 배에 도착했다]. 누구를 _영입할까?_"
"evt-harbor-recruit-3","[내 명성은 아직 미약했지만,|나의 이전 습격들에서의 고난 끝에, 기쁘게도] [나는 우리 습격대에 관한 약간의 관심이 있는 사람들을 볼 수 있었다|더 많은 유인원들이 우리 함선에 오르는 데 대한 관심을 보여주었다]. 누구를 _영입할까?_"
"evt-harbor-select","[제 시간에 맞춰서|마침내|나의 아드레날린이 솟구쳐 올랐을 때|내 마음이 기대감으로 부풀어 올랐을 때] [나의|우리의] [배가|함선이] [출발할|돛을 펼치고 나갈|항구를 떠날|앞으로 나아갈|저 멀리의 육지를 향할|바다로 나아갈] [준비가 되었다|준비를 마쳤다|채비를 마쳤다]."
"evt-harbor-recruit-mountainTrooper-action","전위대 $name"
"evt-village-recruit-bloodrider-action","핏빛기수 $name"
"evt-village-recruit-bloodrider","핏빛기수 $name 이/가 탐사대에 합류했다."
"evt-harbor-recruit-berzerker-action","광전사 $name"
"evt-harbor-recruit-berzerker","광전사 $name 이/가 우리 탐사대에 합류했다."
"pk-whiskyIncrease-1-title","바나나슈냅스 중독자 1"
"pk-whiskyIncrease-1","바나나슈냅스를 마실 때 얻는 사기가 증가합니다."
"pk-whiskyIncrease-2-title","바나나슈냅스 중독자 2"
"pk-whiskyIncrease-3-title","바나나슈냅스 중독자 3"
"pk-whiskyIncrease-4-title","바나나슈냅스 중독자 4"
"bonus-whisky","바나나슈냅스로 얻는 사기"
"pl-native-starting-shaman-title","궁정 주술사"
"pl-native-starting-shaman","유인원 제국의 측근 중 한 명입니다. 고대의 의식과 연금술의 전통을 수행합니다. (버섯을 먹을 때 사기 획득 기회를 얻습니다)"
"evt-village-recruit-shaman-action","주술사 $name"
"base-sanity","사기"
"help-sanity","당신의 습격대의 동기부여와 만족도 수치입니다. 0으로 떨어진다면 더욱 더 비극적인 참사들이 발생할 것입니다."
"base-standing","지배력"
"help-standing","이 지역의 인간들이 당신의 권위에 얼마나 복종하는지를 나타냅니다. 너무 낮게 떨어진다면 인간들이 반항할 것입니다."
"pl-native-starting-scout-title","제국 정찰병"
"world-adjective","[법무관의|집정관의|총독의|통치자의|장군의|전쟁군주의|전쟁달인의|독재자의|총주교의|영주의|사제의|현자의|성직자의|군단장의|대군주의|감독관의|섭정의|사두정치의|삼두정치의|오두정치의] [속국|제국 속주|도시국가|제국 거주지|예속 왕국|종속된 왕국|종속국|신하 왕국|웅장한 도시|대도시|거대 식민지|부유한 식민지|거대한 속주|부유한 속주|군사 중심지|교역 중심지|과학 중심지|주술사 집단|사냥터] [아피우스|아울루스|카이소|칼리굴라|카라칼라|코모두스|크라스켄스|데키무스|도미티아누스|엘라가발루스|파우스투스|가이우스|그나이우스|헤리우스|호스투스|루시우스|마챠리우스|마메르쿠스|마니우스|마르쿠스|마리우스|메티우스|미나티우스|네로|네르바|노누스|노비우스|누메리우스|올루스|오피테르|오비우스|파울루스|페스케니우스|폼페이우스|포스투무스|푸블리우스|풀로|퀸투스|살비우스|셉티무스|세르토르|세르비우스|섹스투스|스푸리우스|스타티우스|술라|티베리우스|티투스|툴리우스|툴루스|비비우스|볼레수스|보피스쿠스|보레누스]"
"gol-goldenTemple-arctic","황금 도시를 이 지역에서 찾을 수 있습니다."
"gol-goldenTemple-buried","주술로 만들어진 환영에 가려진 황금 도시가 있습니다."
"gol-goldenTemple-moonStone","황금 도시를 이 지역에서 찾을 수 있습니다."
"empty-name",""
