"fxt-village-human-name","Poblado humano"
"it-whisky-ape","Destilado de acuerdo a la Ley de Pureza Simia, estas son cosas seriamente intensas. No es apto para el consumo de humanos."
"fxt-outpost-name","Puesto de Avanzada Simio"
"evt-outpost-init-action","Entrar al Puesto de Comercio Simio"
"evt-village-human-main-0","Los aldeanos estaban intimidados por nuestra presencia. Los padres escondieron a sus niños, y los ancianos de la aldea estaban temblando."
"evt-village-human-main-1","Los humanos nos observaron con asombro. Sabían que una figura de gran poder estaba de pie ante ellos."
"evt-village-human-main-2","Los Humanos se acercaron a nosotros con una actitud cautelosa."
"evt-village-human-main-3","Los humanos no parecían temernos mucho. Su comportamiento era casi... malicioso."
"evt-village-human-main-4","Los humanos eran hostiles. Algunos de ellos, incluso, se atrevían a portar armas en nuestra presencia."
"evt-expedition-done-WoA-1","Tras [semanas de incursión|tales esfuerzos|todo este trabajo], [la euforia|una gran alegría|un orgullo extraordinario|un alivio tremendo] me llenaba. Sabía que [mi|este|el] nombre $name [sería recordado por siempre|nunca sería olvidado|sería sinónimo de victoria|sería recordado y se escribiría sobre él mucho después de que yo partiera de esta vida|sería respetado en la corte imperial|se uniría a los anales de la historia simio]."
"evt-goal-explore-WoA-finish","[La majestuosa Ciudad Dorada se alzaba sobre todo lo que la rodeaba|La Ciudad Dorada se levantaba ante todos|Finalmente, llegamos a la Ciudad Dorada|El exótico paisaje complementaba a la extraordinaria Ciudad Dorada|Una maravilla de arquitectura simio, la Ciudad Dorada estaba a nuestro alcance|Nuestro destino final nos tentó con su dorada gloria|La ciudad de oro nos invitaba a la victoria|La meta se nos presentaba en la forma de una ciudad hecha de oro|Ahí estaba la Ciudad Dorada, un pináculo de la ingeniería simio]."
"evt-expedition-done-WoA-action-1","[¡Gloria a los simios!|¡Honor!|¡Por el Emperador!|¡Por la Fama y la Gloria!|¡Hacia la Historia!|¡Fama Infinita Aguarda!|¡Fortuna y Gloria!]"
"evt-goldenCity-approach-action","Dirigirse a la Ciudad Dorada"
"fxt-goldenCity-unearthed-name","Ciudad Dorada del Imperio"
"evt-goal-explore-WoA-finish-action","Entrar en la Ciudad Dorada"
"zn-fleeingHumans-name","Humanos que huyen"
"evt-peaceful-enslavement-action","Exigir un tributo de prisioneros"
"evt-peaceful-enslavement-fail","Como lo decretan nuestras tradiciones ancestrales, declaramos una Gran Cacería. Gran gloria nos esperaba si teníamos éxito. Los humanos fueron forzados a huir hacia lo salvaje y se les dio ventaja... la cacería había comenzado."
"evt-peaceful-enslavement-success","Los humanos se rindieron a nuestra voluntad, dándose cuenta de que ofrecernos parte de su comunidad como tributo era la mayor posibilidad que tenían para asegurar la libertad del resto. Rápidamente, cargamos la ofrenda humana en nuestro carro. El resto de los humanos no podían verlos a los ojos, su vergüenza era muy grande."
"evt-forceful-enslavement-action","Llamado para una gloriosa caza"
"evt-village-huntSlaves","Tomamos las medidas de los humanos y decidimos que podrían ser un tributo digno para el Gran Emperador Simio. ¿Debíamos seguir nuestras tradiciones ancestrales y declarar una Gran Cacería o intentar entregarlos de una forma mucho menos prestigiosa?"
"evt-peaceful-enslavement-fail-2","Podían ver tras nuestras amenazas y mentiras, y decidieron arriesgarse y mantenerse firmes."
"evt-shrine-14-mod","Olfateé el aire. [Como una casa comunitaria|Como heces pútridas|Un hedor fétido, como los barrios bajos de la Ciudad Simio en verano]. O una zanja al borde de la carretera. Entonces vi los vapores, sucias y enfermizas fumarolas emanando de pequeñas grietas en el suelo."
"evt-buy-moonstone-title","Comprar Piedra Lunar"
"evt-buy-moonstone","Convencimos al puesto de avanzada de vendernos el tributo necesario para entrar en la Ciudad Dorada local."
"evt-stoneCircle-revealSlaver-action","Revelar puestos de avanzada"
"evt-pacify-success","Nos las arreglamos para aliviar sus preocupaciones con palabras endulzadas. La muchedumbre retrocedió... por ahora."
"evt-pacify-action","Calmar a la multitud"
"evt-negotiate-success","Después de una apasionada obra maestra retórica, los Humanos se sintieron sorprendidos. La multitud retrocedió... por ahora."
"evt-negotiate-action","Apelar a la razón"
"evt-show-of-force-success","Nos mostramos en todo nuestro esplendor marcial, con nuestras armas a la vista. La multitud retrocedió... por ahora."
"evt-show-of-force-action","Demostración de fuerza"
"evt-seal-slaves-title","Explotar la Fuerza de vida humana"
"evt-seal-slaves","Los humanos dieron su fuerza vital como tributo a la Ciudad Dorada. El mero poder del ritual era abrumador, y no necesitabas ser un chamán de la corte para sentir que el cambio estaba, literalmente, en todo el aire que rodeaba al sitio."
"evt-goldenSeal-slaves","Nos aproximamos a [una misteriosa|una enorme|una aparentemente antigua|una inmemorial] estructura que parecía estar hecha, en parte, de oro puro. Se veía como uno de los antiguos emplazamientos que recolectaban tributos para las Ciudades Doradas. [Con algo de esfuerzo, seríamos capaces de activarlo|Creo que podríamos ponerlo en movimiento utilizando la fuerza vital de humanos|Con un poco de preparación y tiempo, con seguridad, seríamos capaces de activarlo]. Sin embargo, lo que, con exactitud, sucedería tras su activación permanecía como un misterio."
"evt-goldenSeal-1-slaves","[Nos llevó un tiempo, pero eventualmente|Después de muchas horas de ritual|Después de mucho esfuerzo] fuimos [capaces de|lo suficientemente hábiles para] [satisfacer|desbloquear|activar] el [inusual|misterioso|gran|aparentemente antiguo|enigmático] mecanismo. De repente, una enorme columna de luz [emergió|surgió|fue lanzada|se extendió] desde el sello."
"pl-berserker-title","Berserker"
"pl-berserker","Guerreros que están obsesionados con la Bananaschnapps. Acercarse con cuidado."
"pl-vanguard-title","Vanguardia"
"pl-vanguard","Los miembros de la Vanguardia Imperial son exploradores de élite entrenados en la guerra de montaña."
"it-lokiGun-athena-name","Ira de los Ancestros"
"it-lokiGun-athena","El arma personal de Athena es un antiguo artefacto de poder incontrolado."
"narrator-1","Como siempre[, los nobles|, los sujetos|, los sicofantes] del Emperador Simio habían venido a hacerle una petición a [Su Majestad|Su Magnificencia|su Señor]. ¿Qué les hace a ustedes pensar que son, siquiera, dignos de Su tiempo?"
"narrator-2","Eres un noble insignificante, un don nadie. ¡Necesitas hacerte un nombre por ti mismo! Anda a visitar las Ciudades Doradas del Imperio, ¡e impresiona a sus gobernantes!"
"narrator-3","En tu camino, asalta a los patéticos humanos, captúralos y ofrécelos como tributo a las Ciudades Doradas. Pero ten cuidado, tus rivales siempre están cerca."
"narrator-4","Ahora parte, caza y saquea. Si vuelves con riqueza y fama, podrás, incluso, llegar a formar parte de Su círculo interno. ¡Por el Emperador Simio! "
"outro-pyramid","Ciudad Dorada"
"cl-celebration-audience-10","[¡Cásate conmigo!|¡Qué guapo!|¡Te amo!|¡Hombres y Mujeres Simio trabajando juntos!]"
"cl-celebration-audience-11","[¡Ese búfalo es enorme!|¡Así que los búfalos son así!|¡Miren a ese búfalo!|¿Cuál es el nombre del búfalo?]"
"cl-celebration-audience-1","[¡Mira a ese|¡Qué|¡Eso es un] [bonito|fiel|confiable|valiente] burro!"
"cl-celebration-audience-2","[¡Qué perro tan leal!|¡Desearía tener un perro como ese!|¡Ese perro se merece su propia medalla!]"
"cl-celebration-audience-3","[¡Puedo oler el alcohol desde aquí!|¿Les importa compartir algo de ese Bananaschnapps?|¿Eso es una botella de Bananaschnapps?]"
"cl-celebration-audience-4","[¡Qué chica!|Una mujer simio, ¿en verdad?|¡Deja la aventura para los hombres simio!|¿Acaso me engañan mis ojos? ¿Una mujer simio?|¡Vuelve a la librería!|Los tiempos están cambiando.|Bien, eso es una agradable sorpresa para el sexo femenino|Ella es gloriosa.|¡Ella debería conocer su lugar!|Los tiempos están cambiando para mejor, ciertamente.|Nada mal, para una mujer simio.|¡Ella es una modelo a seguir!]"
"cl-celebration-audience-5","[¡Un salvaje!|¡Qué incivilizado!|¿Por qué traerlo para acá?|¡Un bruto!|¿Puede hablar?]"
"cl-celebration-audience-6","[¿Cómo es que esa cosa está siquiera viva?|¡No me gusta esa cosa!|¡El horror!|¿Qué es eso?|¿Puede hablar?|¡Tengo miedo!|¡Esa cosa pertenece a un zoológico!|¡Qué impía es esa cosa!]"
"cl-celebration-audience-7","[¡¿Completamente solo?!|¿Dónde están los demás?|¿Quizá triunfaron por su cuenta?|Te hace preguntarte qué le sucedió al resto del grupo...|Debió haber sido un viaje solitario.|¿El resto del equipo pereció?|¿Solo un mono?]"
"cl-celebration-audience-8","[¡Maestro animal!|Deben gustarle los animales.|Estima a los animales más que a los monos.|Probablemente, también puede hablar con los animales.]"
"cl-celebration-audience-9","[¿Por qué tantos soldados?|Seguro aprecian tener a un buen soldado a su lado|¿Están regresando de la guerra?]"
"cl-celebration-audience","[¡Bravo|¡Sí|¡Desearía ser tú|¡Tú me inspiras|¡Fantástico|¡Espléndido|¡Heroico|¡Maravilloso|¡Déjame ver|¡Salven los Antiguos al Emperador|¡Por el Imperio|¡Por el Emperador|¡Por el Emperador y los Simios!|¡Increíble|¡Exquisito|¡Qué día|¡Qué valiente|¡Qué deleite|¡Extraordinario]!"
"cl-celebration-party-1","[¡Es hora de celebrar con un trago!|*hic*|¡Salud!|¡Bebamos un Bananaschnapps!]"
"cl-celebration-party-2","[¡Solo estoy haciendo la labor del Emperador!|¡Seas bendecido!|¡Solo quiero ayudar!]"
"cl-celebration-party-3","[Lo que sea.|Ni siquiera me importa.|Espero que estés feliz ahora.|¿Te sientes como un héroe?]"
"cl-celebration-party-4","[¿Por qué todos estos simios me están mirando?|Esto no me da seguridad|¿Todo esto es por mí?|Voy a tener que acostumbrarme a esto.|Demasiado simios.]"
"cl-celebration-party-5","[Finalmente, simios civilizados otra vez.|Todos mantengan la calma, ya estoy de vuelta.|Todo parece tan distinto.|Me alegra estar de vuelta.]"
"cl-celebration-party","[¡Gracias a ustedes!|¡Estoy sobrecogido!|¡Qué amable de su parte!|¡Gracias!|Oh, ¡esto es sencillamente magnífico!|¡Qué estupendo!|¡Esto es maravilloso!]"
"pk-goodReputation-title","Presencia Imponente"
"evt-harbor-recruit-soldierBritish-action","$name, el merodeador"
"evt-harbor","Temprano aquella mañana,|El aire estaba fresco y sabía a sal, cuando|Lleno de expectativa,|Esperando con ansias el inminente asalto,|Tras levantarme al romper el día,|Después de una buena noche de descanso,|Después de estar muy emocionado por dormir,] [llegué a los muelles|conseguí llegar a los muelles|abordé la nave|guardé mi equipo en el barco|arrivé al puerto|me apresuré hasta el puerto|me apuré y llegué a los muelles]. [La tripulación todavía tenía preparativos por hacer|El capitán aún no había llegado|Aún habían algunos arreglos por hacer|Teníamos algo de tiempo antes de que el barco estuviera listo], [así que me tomé una última taza de Bananaschnapps|así que me quedé en la cubierta, disfrutando de la fría brisa|así que me senté en el muelle y esperé|así que busqué a ver si había algo que pudiera hacer|así que realicé un ritual para un viaje veloz|así que me imaginé qué yacía más allá del horizonte|así que sentí algo de placer visualizando cómo susurraban mi nombre en la corte|así que imaginé cómo se vería mi semblante en una estatua a mi honor]."
"evt-harbor-recruit-1","[Sentía orgullo al ver que|Ya que yo era uno de los Simios más famosos en la corte,|Estaba encantado de poder presenciar que|Las noticias de mis gloriosos asaltos y tributos se habían difundido, así que no estaba sorprendido de ver que] [mi fama se había extendido entre los cortesanos y los aduladores imperiales|las historias de mis proezas habían atraído a toda clase de personalidades intrigadas|los relatos de mis asaltos y tributos pasados habían atraído algo de atención|el embarque de nuestra nave atrajo a una multitud de considerable tamaño]. [Varios reclutas nuevos aparecieron,|Se me acercaron varios Simios competentes] [dispuestos a acompañar a mi grupo de asalto hacia lo desconocido|suficientemente emprendedores para unirse a mi causa|ansiosos por saquear y por la gloria|curiosos por descubrir más cosas acerca de las seis Ciudades Doradas del Imperio|para saber la verdad de las leyendas que rodean mis proezas|con hambre de gloria y de saquear]. ¿A quién quería _reclutar?_"
"evt-harbor-recruit-2","Esta expedición podría posiblemente llevarme al primer lugar y colocarme por encima de mis rivales|fue una carrera reñida por el primer lugar y el envidiable premio de las gracias del Emperador Simio|Mis asaltos y tributos pasados habían tenido bastante éxito y sentí que ya estaba cerca de ver mi cara en una estatua hecha a mi honor]. [Se corrió la voz acerca de esto en la Capital Imperial|Mis proezas eran bien conocidas|Mi reputación me precedía], [y muchos Simios vinieron a ver nuestro barco|atrayendo a Simios emprendedores a mi causa|de modo que muchos reclutas nuevos llegaron al barco|dispuestos a unirse a nuestro grupo de asalto]. ¿A quién quería _reclutar?_"
"evt-harbor-recruit-3","[Mi reputación aún era escasa, pero|Tras los esfuerzos de mis incursiones pasadas,] [pude notar un interés moderado en nuestras hazañas|más simios comenzaron a mostrar interés en nuestro barco]. ¿A quién quería _reclutar?_"
"evt-harbor-select","[Justo a tiempo,|Por fin,|Estaba rebosante de adrenalina cuando|Mi corazón saltaba con la expectativa, al escuchar que] [el|nuestro] [barco|buque] estaba [listo|preparado|alistado] [para zarpar|para izar las velas|para dejar la bahía|para navegar|para dirigirse a costas lejanas|para salir al mar abierto]."
"evt-harbor-recruit-mountainTrooper-action","$name, la vanguardia"
"evt-village-recruit-bloodrider-action","$name, el Jinete de Sangre"
"evt-village-recruit-bloodrider","$name, el Jinete de Sangre, se unió a la expedición."
"evt-harbor-recruit-berzerker-action","$name, el berserker"
"evt-harbor-recruit-berzerker","$name, el berserker, se unió a nuestra expedición."
"pk-whiskyIncrease-1-title","Fanático del Bananaschnapps 1"
"pk-whiskyIncrease-1","Incrementa la cordura recibida al beber Bananaschnapps."
"pk-whiskyIncrease-2-title","Fanático del Bananaschnapps 2"
"pk-whiskyIncrease-3-title","Fanático del Bananaschnapps 3"
"pk-whiskyIncrease-4-title","Fanático del Bananaschnapps 4"
"bonus-whisky","Cordura de Bananaschnapps"
"pl-native-starting-shaman-title","Chamán de la Corte"
"pl-native-starting-shaman","Uno de los consejeros cercanos del Emperador Simio. Es practicante de ritos ancestrales y las tradiciones de la alquimia (Posibilidad de ganancia de sanidad al utilizar setas)"
"evt-village-recruit-shaman-action","$name, el chamán"
"base-sanity","Moral"
"help-sanity","La motivación y nivel de satisfacción de tu grupo de incursión. Llega a cero, y más y más eventos catastróficos comenzarán a ocurrir."
"base-standing","Dominio"
"help-standing","Qué tan serviles son los humanos de esta región ante tu autoridad. Permite que llegue muy bajo, y pueden tornarse rebeldes."
"pl-native-starting-scout-title","Explorador imperial"
"world-adjective","[Estado Cliente|Provincia Imperial|Ciudad Estado|Enclave Imperial|Reino Cliente|Reino Tributario|Estado Vasallo|Reino Vasallo|Ciudad Magnífica|Gran Ciudad|Gran Colonia|Colonia Rica|Gran Provincia|Provincia Rica|Enclave Militar|Enclave Mercantil|Enclave Científico|Cábala Chamánica|Tierras de Cacería] [del Pretor|del Cónsul|del Procónsul| del Gobernador|del General|del Señor de la Guerra|del Maestro de Guerra|del Autarca|del Exarca|del Maestro|del Hierofante|del Sabio|del Ministro|del Legado|del Señor|del Capataz|del Regente|del Tetrarca|del Triarca|del Pentarca] [Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]"
"gol-goldenTemple-arctic","Una Ciudad Dorada puede ser encontrada en esta región."
"gol-goldenTemple-buried","Contiene una Ciudad Dorada disfrazada por una ilusión chamánica."
"gol-goldenTemple-moonStone","Una Ciudad Dorada puede ser encontrada en esta región."
"empty-name",""
"evt-village-enter-neutral","[Los aldeanos nos observaban con precaución mientras nuestro grupo llegaba a su establecimiento.| Al nosotros llegar, la aldea estaba repleta de actividad, pero se detuvo tan pronto los Humanos fijaron su vista en nuestro grupo.] [Nos aproximamos a ellos abiertamente y nos detuvimos en la entrada de la aldea|Estábamos parados en la entrada de la aldea y consideramos nuestras opciones con estas personas]."
"evt-ship-arrival","Estaba terminando mis preparativos matutinos, cuando|Mi nivel de concentración hacia mis estudios sobre esta área era alto, cuando|Temprano en la mañana,|El viaje a lo largo del océano trajo consigo varios avistamientos maravillosos de la vida marina, y luego|Mis pensamientos estaban enfocados en el asalto que se avecinaba, hasta que|Después de una inesperadamente calmada travesía|No me atrevo a enumerar todas las pruebas y tribulaciones de la travesía, pero afortunadamente|Después de viajar por semanas|Después de demasiados días salados en el océano|Después de apenas haber sobrevivido una de las más monstruosas tormentas eléctricas que he visto desde un barco|Era glorioso navegar por los mares abiertos, y me entristecí un poco cuando|Después de semanas de pura comida asquerosa y nada de bananas|Justo cuando pensaba que nunca encontraríamos un camino a través de estas aguas,|En medio de la densa neblina de una mañana lluviosa,][Llegamos a las tierras del gobernante local|por fin llegamos a la costa de nuestra área a invadir|arribamos a nuestra área a invadir|una orilla emergió de la neblina matutina]. [El campo se abría paso en frente de nosotros, vasto e indomable|El paisaje foráneo nos invitaba a explorar|Tenía curiosidad de descubrir qué tipo de peligros nos esperaban aquí|Habíamos llegado, y era hora de arremeter|Yo sabía que este lugar tenía la llave de mi avance en la corte|Yo sabía que necesitaba encontrar e impresionar al gobernante local|Yo sabía que necesitaba encontrar la Ciudad Dorada]."
"evt-village-enter-forsaken","[La aldea estaba vacía.|Una visión escalofriante: era como si los habitantes de esta aldea nunca hubiesen vivido ahí. No había un solo hombre, mujer o niño en todo el lugar.|La aldea estaba abandonada por completo.] [Era obvio que la gente había dejado el lugar a toda prisa.|Parecía un lugar olvidado hacía mucho tiempo, uno que pronto se volvería indistinguible del paisaje que lo rodeaba.] Registré el sitio, pero no encontré nada de utilidad."
"evt-postNarrative-extra-1","Los grandes esfuerzos de sus aventuras habían dejado cicatrices en su [cuerpo|mente|alma] y su familia atestiguó que $he era ahora una sombra de la persona que una vez conocieron."
"evt-postNarrative-extra-2","$He usó la riqueza que había acumulado para impresionar a la nobleza y a los simios comunes, organizando uno de los más grandes festivales con banquetes y juegos que el Imperio alguna vez había visto."
"evt-postNarrative-extra-3","Pese a que se desenvolvía en la sociedad de una manera rudimientaria, $he encontró imposible desarrollar nuevas amistades, ni se diga de asegurar aliados sociales y políticos."
"evt-postNarrative-extra-4","Sus incursiones le dieron una invaluable perspectiva de la fragilidad de la vida, así que $he se esforzó cada día por [mejorar su estatus|forjar un nombre para sí|ganar favor junto a los nobles del Imperio|acumular riqueza|ganar nuevos aliados|asegurarse una posición privilegiada con la Corte Imperial]."
"evt-postNarrative-extra-5","$He ganó fama local por construir un vasto hábitat para los variados y extraños animales que había [obtenido en circunstancias misteriosas|traído a casa luego de sus últimas incursiones]."
"evt-postNarrative-extra-alcoholic","$He [siempre se aseguraba de cargar un frasco de Bananaschnapps consigo adonde fuera|sentía que el Bananaschnapps le ayudaba a lidiar con el trauma de ser mediocre|creía que el Bananaschnapps era necesario para ser en verdad capaz de expresar el propio ser]."
"evt-postNarrative-extra-animalName","Un hábitat humano recién descubierto fue nombrado en su honor."
"evt-postNarrative-extra-bipolar","A lo largo de su vida, $he experimentó semanas y meses de fases maniáticas en las que mostraría [una increíble energía, seguidas por períodos igualmente largos de debilitante depresión|fluctuaciones de humor extremas]."
