"fxt-village-human-name","Vila Humana"
"evt-stoneCircle-revealSlaver-action","Revelar postos avançados"
"evt-pacify-success","Conseguimos acalmar suas preocupações com palavras adoçadas. O multidão recuou... por agora."
"evt-pacify-action","Acalmar a multidão"
"evt-negotiate-success","Depois de uma majestosa retórica impetuosa, os Humanos ficaram surpresos. A multidão recuou... por agora."
"evt-negotiate-action","Apelar para a razão"
"evt-show-of-force-success","Nos ordenamos em todo nosso esplendor bélico, armas a mostra. A multidão recuou... por agora."
"evt-show-of-force-action","Demonstração de força"
"evt-seal-slaves-title","Atingir a força vital Humana"
"evt-seal-slaves","Os Humanos deram sua força vital como tributo à Cidade Dourada. O enorme poder do ritual foi esmagador, e você não precisava ser um xamã da corte para sentir que a mudança estava literalmente no ar ao redor do local."
"evt-goldenSeal-slaves","Nós nos aproximamos de [uma misteriosa|uma grande|uma aparentemente antiga|uma imemorial] estrutura que parecia ser parcialmente feita de ouro puro. Parecia-se muito com um dos locais antigos que coletavam tributos para as Cidades Douradas. [Com algum esforço, esperávamos poder desencadeá-lo|Acredito que com a força vital dos Humanos poderíamos colocá-la em movimento|Com um pouco de preparação e tempo, certamente poderíamos ativá-la]. No entanto, exatamente o que aconteceria após a ativação permanecia um mistério."
"evt-goldenSeal-1-slaves","[Demorou um pouco, mas eventualmente|Depois de muitas horas de ritual|Depois de muito trabalho] fomos capazes de [reparar|desbloquear|ativar] o [incomum|misterioso|grande|aparentemente antigo|enigmático] mecanismo. De repente, uma enorme coluna de luz [emergiu|surgiu|se lançou|se estendeu] do selo."
"pl-berserker-title","Berserker"
"pl-berserker","Guerreiros que estão obcecados com aguardente de banana. Aproxime-se com cuidado."
"pl-vanguard-title","Vanguarda"
"pl-vanguard","Membros da Vanguarda Imperial são batedores de elite treinados em guerra nas montanhas."
"it-lokiGun-athena-name","Ira dos Anciões"
"it-lokiGun-athena","A arma pessoal de Atena é um artefato antigo de poder descontrolado."
"narrator-1","Como sempre [, os nobres|, os súditos |, os bajuladores] do Imperador Primata vieram fazer uma petição [a Sua Majestade|a Sua Magnificência|ao seu Suserano]. O que te faz pensar que você é, se quer, digno de Seu tempo?"
"narrator-2","Você é um nobre insignificante, um ninguém. Você precisa fazer um nome para si mesmo! Vá visitar as Cidades Douradas do Império e impressione seus governantes!"
"narrator-3","No seu caminho, ataque os Humanos patéticos, capture-os e ofereça-os como um tributo às Cidades Douradas. Mas esteja ciente, seus rivais estão sempre por perto."
"narrator-4","Agora saia, vá caçar e pilhar. Se você voltar rico e famoso, você pode até se tornar parte de Seu círculo íntimo. Pelo Imperador Primata! "
"outro-pyramid","Cidade Dourada"
"cl-celebration-audience-10","[Case comigo!|Que lindo!|Eu te amo!|Homens e Mulheres Primata trabalhando juntos!]"
"cl-celebration-audience-11","[Aquele búfalo é enorme!|Então, é assim que um búfalo se parece!|Olhe para aquele búfalo!|Qual é o nome do búfalo?]"
"cl-celebration-audience-1","[Olhe para aquele|Que|É um] [bonito|leal|fiel|corajoso] burro!"
"cl-celebration-audience-2","[Que cão leal!|Eu gostaria de ter um cachorro assim!|Esse cachorro merece sua própria medalha!]"
"cl-celebration-audience-3","[Eu posso sentir o cheiro do álcool daqui!|Se importaria de compartilhar um pouco dessa aguardente de Banana?|Isso é uma garrafa de aguardente de Banana?]"
"cl-celebration-audience-4","[Que dama!|Uma mulher Primata, sério?|Deixe a aventura para os homens Primata!|Meus olhos me enganam, uma mulher Primata?|Volte para a biblioteca!|Os tempos estão mudando.|Bem, isso é uma agradável surpresa para o sexo frágil.|Ela é gloriosa.|Ela deveria saber o seu lugar!|Os tempos estão certamente mudando para melhor.|Nada mal, para uma mulher Primata.|Ela é um exemplo!]"
"cl-celebration-audience-5","[Um selvagem!|Que incivilizado!|Por quê trazer isso pra cá?|Um bruto!|Isso fala?]"
"cl-celebration-audience-6","[Como é que essa coisa pode estar viva?|Eu não gosto dessa coisa!|Que horror!|O que é aquilo?!|Isso fala?|Estou com medo!|O lugar dessa coisa é no zoológico!|Mas que coisa demoníaca!]"
"cl-celebration-audience-7","[Sozinho?!|Onde estão os outros?|Talvez eles tenham triunfado sozinhos?|Faz você pensar o que aconteceu com o resto da equipe...|Deve ter sido uma expedição solitária.|O resto da equipe pereceu?|Só um Primata?]"
"cl-celebration-audience-8","[Mestre de animais!|Deve gostar de animais.|Gosta mais de animais do que de Primatas.|Provavelmente também consegue falar com animais.]"
"cl-celebration-audience-9","[Por quê tantos soldados?|Deve gostar de um bom soldado a seu lado.|Eles estão voltando da guerra?]"
"cl-celebration-audience","[Bravo|Sim|Eu queria ser você|Você me inspira|Fantástico|Esplêndido|Heroico|Maravilhoso|Deixe-me ver|Os Anciões salvem o Imperador|Pelo Império|Pelo Imperador|Pelo Imperador e a Nação|Incrível|Primoroso|Que dia|Tão valente|Que deleite|Extraordinário]!"
"cl-celebration-party-1","[Hora de comemorar com uma bebida!|*hic*|Saúde!|Vamos tomar uma aguardente de Banana!]"
"cl-celebration-party-2","[Estou apenas fazendo o trabalho do Imperador!|Benção!|Eu só quero ajudar!]"
"cl-celebration-party-3","[Tanto faz.|Eu sequer me importo.|Espero que esteja feliz agora.|Está se sentindo como um herói?]"
"cl-celebration-party-4","[Por que todos esses Primatas estão olhando pra mim?|Isto não parece seguro.|Tudo isso pra mim?|Vou precisar me acostumar com isso.|Muitos Primatas.]"
"cl-celebration-party-5","[Finalmente, Primatas civilizados de novo.|Acalmem-se todos, estou de volta.|Tudo se parece tão diferente.|Feliz por estar de volta.]"
"cl-celebration-party","[Obrigado!|Estou lisonjeado!|Gentileza de sua parte!|Valeu!|Ah, isso é incrível!|Que maravilha!|Isso é maravilhoso!]"
"pk-goodReputation-title","Presença Imponente"
"evt-harbor-recruit-soldierBritish-action","$name {o saqueador|a saqueadora}"
"evt-harbor","[Cedo naquela manhã|O ar estava fresco e tinha gosto de sal quando|Cheio de antecipação|Antecipando ansiosamente o ataque|Após me levantar ao nascer do sol|Após uma boa noite de sono|Após ter estado muito ansioso para dormir], [cheguei às docas|segui meu caminho para as docas|embarquei no navio|guardei meu equipamento no navio|cheguei ao porto|apressei-me para o porto|apressei-me e cheguei às docas]. [A tripulação ainda tinha preparações a fazer|O capitão ainda não tinha chegado|Ainda haviam algumas preparações a fazer|Ainda tínhamos algum tempo até o navio estar pronto], [então tomei uma última tragada de aguardente de Banana|então passei o meu tempo no convés, aproveitando a brisa fresca|sentei-me no pier e esperei|então verifiquei se havia algo que eu pudesse fazer|então eu realizei um ritual de viagem rápida|então eu imaginei o que havia além do horizonte|então tive algum prazer visualizando o meu nome sendo sussurrado na corte|então imaginei como ficaria meu rosto em uma estátua honorária]."
"evt-harbor-recruit-1","[Eu estava orgulhoso de ver que|Como eu era um dos Primatas mais famosos na corte,|Eu estava muito feliz em testemunhar que|As notícias dos meus gloriosos ataques e homenagens se espalharam, então eu não fiquei surpreso em ver que] [minha fama havia se espalhado entre os cortesãos e os bajuladores imperiais|histórias de minhas façanhas atraíram todo tipo de personalidades intrigantes|contos de meus ataques anteriores e tributos atraíram bastante atenção|o atracar de nosso navio tinha atraído bastante gente]. [Muitos recrutas novos apareceram,|Eu fui abordado por vários Primatas capazes que estavam] [dispostos a acompanhar meu grupo de pilhagem no desconhecido|empolgados o suficiente para se inscrever para minha causa|ansiosos por pilhagem e glória|curiosos para saber mais sobre as seis Cidades Douradas do Império|para aprender a verdade das lendas que cercam minhas façanhas|famintos por glória e pilhagem]. Quem eu queria _recrutar?_"
"evt-harbor-recruit-2","[Esta expedição poderia me elevar ao primeiro lugar e acima dos meus rivais|Foi uma disputa acirrada pelo primeiro lugar e o prêmio invejável das boas graças do Imperador Primata|Minhas investidas e homenagens passadas foram bem sucedidas e eu sentia que logo veria meu rosto em uma estátua honorária]. [Notícias sobre isso haviam se espalhado na Capital Imperial|Minhas façanhas eram bem conhecidas|Minha reputação me precedia], [e muitos Primatas vieram ver nosso navio|atraindo alguns Primatas aventureiros para minha causa|então muitos recrutas novos chegaram ao navio, dispostos a juntar-se ao nosso grupo de ataque]. Quem eu queria _recrutar?_"
"evt-harbor-recruit-3","[Minha reputação ainda era pequena, mas|Depois dos esforços de meus ataques anteriores, fiquei contente pois] [reparei certo interesse em nossas façanhas|mais Primatas começaram a mostrar interesse em nosso navio]. Quem eu iria _recrutar?_"
"evt-harbor-select","[Bem a tempo,|Finalmente|Minha adrenalina estava pulsando ao saber que|Meu coração saltou de alegria quando ouvi que] [o|nosso] [navio|barco] estava [pronto para|preparado para|apto a] [partir|abrir as velas|sair do porto|navegar em frente|partir para costas distantes|partir para o mar]."
"evt-harbor-recruit-mountainTrooper-action","$name a vanguarda"
"evt-village-recruit-bloodrider-action","$name o Cavaleiro"
"evt-village-recruit-bloodrider","$name o Cavaleiro se juntou à viagem."
"evt-harbor-recruit-berzerker-action","$name, {o|a} berserker"
"evt-harbor-recruit-berzerker","$name, {o berserker|a berserker}, juntou-se à expedição."
"pk-whiskyIncrease-1-title","Fanático por Aguardente de Banana 1"
"pk-whiskyIncrease-1","Incrementa a sanidade ganha ao beber aguardente de Banana."
"pk-whiskyIncrease-2-title","Fanático por Aguardente de Banana 2"
"pk-whiskyIncrease-3-title","Fanático por Aguardente de Banana 3"
"pk-whiskyIncrease-4-title","Fanático por Aguardente de Banana 4"
"bonus-whisky","Sanidade da Aguardente de Banana"
"pl-native-starting-shaman-title","Xamã da Corte"
"pl-native-starting-shaman","Um dos conselheiros próximos do Imperador Primata. Pratica ritos antigos e a ciência da alquimia (Chance de ganho de sanidade ao usar cogumelos)"
"evt-village-recruit-shaman-action","$name o xamã"
"base-sanity","Moral"
"help-sanity","O nível de motivação e satisfação de seu grupo de invasão. Se chegar a zero, mais e mais eventos catastróficos começarão a ocorrer."
"base-standing","Dominância"
"help-standing","O quanto servis são os humanos desta região perante sua autoridade. Deixe-a ficar demasiada baixa, e eles podem ficar rebeldes."
"pl-native-starting-scout-title","Batedor Imperial"
"world-adjective","[Estado Cliente|Província Imperial|Cidade-Estado|Enclave Imperial|Reino Cliente|Reino Tributário|Estado Vassalo|Reino Vassalo|Cidade Magnífica|Cidade Grandiosa|Colônia Grandiosa|Colônia Rica|Província Grandiosa|Província Rica|Enclave Militar|Enclave Mercantil|Enclave Ciêntifica|Cabala Xamã|Terras de Caça] do [Pretor|Cônsul|Procônsul|Governador|General|Senhora da Guerra|Mestre de Guerra|Autarca|Exarca|Mestre|Hierofante|Sábio|Ministro|Delegado|Suserano|Capataz|Regente|Tetrarca|Triarca|Pentarca][Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]"
"gol-goldenTemple-arctic","Uma Cidade Dourada pode ser encontrada nesta região."
"gol-goldenTemple-buried","Contém uma Cidade Dourada disfarçada por uma ilusão xamânica."
"gol-goldenTemple-moonStone","Uma Cidade Dourada pode ser encontrada nesta região."
"empty-name",""
"evt-village-enter-neutral","[Os moradores nos observaram com cautela conforme nosso grupo chegava em sua colônia.|Conforme chegamos, a aldeia estava movimentada com atividades, mas tudo parou assim que os Humanos avistaram o nosso grupo.] [Nos aproximamos deles abertamente e paramos na entrada da aldeia|Nós ficamos na entrada da aldeia e consideramos nossas opções com essas pessoas]."
"evt-ship-arrival","[Eu estava terminando meus preparativos matinais quando|Eu estava em profunda imersão nos estudos sobre esta área quando|Era de manhã cedo quando|A jornada através do oceano trouxe muitas visões maravilhosas da vida marinha quando
|Meus pensamentos estavam focados no próximo ataque quando|Depois de uma viagem inesperadamente calma|Não me atrevo a contar as provações e atribulações da viagem, mas felizmente|Depois de semanas de viagem|Depois de muitos dias salgados no mar|Depois de sobreviver a uma das mais monstruosas tempestades que eu já presenciei em um navio|Os mares abertos tinham sido gloriosos para navegar, e eu fiquei um pouco triste quando|Depois de semanas com comida desagradável e sem bananas|Justo quando eu pensava que nunca encontraríamos um caminho através destas águas|Na névoa espessa de uma manhã chuvosa] [nós chegamos às terras do governante local|nós finalmente chegamos à costa de nossa área de invasão|nós chegamos a nossa área de invasão|uma linha de costa elevou-se na neblina da manhã]. [A terra estava aberta à nossa frente, vasta e indomável|A paisagem estrangeira nos chamou para explorar|Eu estava curioso para descobrir que tipo de perigos estavam esperando por nós aqui|Nós tínhamos chegado, e era hora de sair|Eu sabia que este lugar tinha a chave do meu avanço na corte|Eu sabia que precisava encontrar e impressionar o governante local|Eu sabia que precisava encontrar a Cidade Dourada]."
"evt-village-enter-forsaken","[A aldeia estava vazia.|Uma visão arrepiante: Era como se os habitantes desta aldeia nunca tivessem vivido aqui. Não havia nenhum homem, mulher ou criança por perto.|A aldeia estava completamente abandonada.] [Era óbvio que as pessoas tinham saído às pressas.|Parecia um lugar há muito esquecido, e logo se tornaria indistinguível da paisagem circundante.] Eu procurei, mas não achei nada útil."
"evt-postNarrative-extra-1","A tensão de suas aventuras haviam deixado cicatrizes [em seu corpo|em sua mente|em sua alma] e sua família confirmou que $he agora era apenas uma sombra da pessoa que eles um dia conheceram."
"evt-postNarrative-extra-2","$He usou a sua riqueza acumulada para impressionar a nobreza e os Primatas comuns através da organização de um dos maiores festivais com banquetes e jogos, dos quais o Império jamais havia visto."
"evt-postNarrative-extra-3","Apesar de atuar na sociedade de forma rudimentar, $he achava impossível desenvolver novas amizades, e muito menos assegurar aliados sociais e políticos."
"evt-postNarrative-extra-4","Seus ataques haviam lhe dado uma perspectiva incalculável sobre a fragilidade da vida, e então $he se esforçou todos os dias para [melhorar seu status|construir uma reputação|ganhar vantagem com os nobres do Império|acumular riqueza|ganhar novos aliados|obter favores junto a Corte Imperial]."
"evt-postNarrative-extra-5","$He ganhou notoriedade por construir um grande habitat para os vários animais estranhos que $he [obteve em circunstâncias misteriosas|trouxe para casa após seu último ataque]."
"evt-postNarrative-extra-alcoholic","$He [sempre fazia questão de carregar consigo um frasco de aguardente de Banana onde quer que fosse|sentia que aguardente de Banana lhe permitia lidar com o trauma de ser medíocre|acreditava que aguardente de Banana era necessária para ser capaz de realmente se expressar]."
"evt-postNarrative-extra-animalName","Um recém-descoberto habitat Humano foi nomeado em sua honra."
"evt-postNarrative-extra-bipolar","Ao longo de sua vida $he experimentou semanas e meses de fases maníacas nas quais $he exibia [uma energia incrível, seguida por períodos igualmente longos de depressão debilitante|flutuações extremas de humor]."
"evt-postNarrative-extra-cookCanibal","Sua especialidade era [um prato com frutas|uma combinação de cogumelos|carne picante|um curioso prato com carnes]. As pessoas vieram de todas as partes do Império para comer e ainda assim ninguém descobriu os ingredientes secretos."
"evt-postNarrative-extra-cookPyromaniac","Infelizmente o local foi incendiado sob circunstâncias suspeitas. $name nunca se recuperou [financeiramente|reputacionalmente|emocionalmente] nem mentalmente dessa perda."
"evt-postNarrative-extra-cookSoup","Sua especialidade um tanto quanto famosa era uma sopa exótica que $he alegou ter inventado com a ajuda dos chefs mais famosos das Cidades Douradas."
"evt-postNarrative-extra-firstChildName","$He batizou seu primeiro filho com o nome do [líder dos ataques que moldaram sua vida|governante de uma das Cidades Douradas que $he encontrou durante suas viagens|navio no qual viajara para casa]."
"evt-postNarrative-extra-kleptomaniacPoor","$He foi {exilado|exilada} da corte depois que [tentou recuperar artefatos que nossas invasões haviam|tentou roubar alguns dos prisioneiros Humanos que seu grupo de invasão havia|tentou roubar alguns dos artefatos que seu grupo de ataque havia] trazido de volta."
"evt-postNarrative-extra-kleptomaniacRich","$He morava com [doentia|notória|pomposa] luxúria, embora a fonte exata de suas riquezas nunca fosse divulgada com exatidão."
"evt-postNarrative-extra-nativeFashion","$He não cessou o uso de suas roupas excêntricas e até inspirou [um novo estilo de calçado|um novo e distinto chapéu|uma nova marca de trajes de invasão|um boom na moda] durante [um verão|um inverno|uma estação] particular."
