"fxt-village-human-name","Людське село"
"anm-warhog","Бойові кабани сумнозвісні як люті мисливські звірі. Кажуть, що вони можуть відчути запах людини за декілька кілометрів."
"pl-beastMaster-title","Повелитель звірів"
"pl-beastMaster","Повелитель звірів може змусити будь-яку тварину перевищувати свої фізичні можливості. І вони ніколи б не пішли в похід без свого Бойового кабана, якого вони ростили від народження."
"evt-harbor-recruit-beastMasterWarhog-action","Повелитель звірів і Бойовий кабан"
"evt-harbor-recruit-beastMasterWarhog-1","Ми можемо скористатися допомогою [Повелителя звірів і Бойового кабана|досвідченого вожака тварин і вірного звіра|підкорювача звірів і вірного кабана|динамічного дуету|ефективної пари] і запросити їх до нашої команди."
"evt-steal-animals-action","Купити стадну тварину"
"evt-steal-animals","Ми попросили аванпост надати нам потрібну стадну тварину."
"evt-village-steal-animal","[Ми зажадали тварину як данину великому імператору мавп|Ми змусили работорговця забезпечити нас тваринами|Работорговець був такий вражений, що дав нам тварину|Тварина, яку нам дали, виявилася єдиною гідною, що в них була|Работорговець проковтнув свою гордість і піддався на наші вимоги|Работорговець точно зненавидів нас за те, що ми забрали одну з його тварин]. Ми [прозвали|назвали|охрестили|вирішили кликати] звіра $name."
"it-whisky-ape-name","Банановий шнапс"
"it-whisky-ape","Дистильований згідно з Законом мавп про чистоту, це дуже міцна штука. Не придатний для людей."
"fxt-outpost-name","Аванпост мавп"
"evt-outpost-init-action","Увійти в торговий аванпост мавп"
"evt-village-human-main-0","Селян лякала наша присутність. Батьки заховали дітей, і старійшина села тремтів."
"evt-village-human-main-1","Люди дивилися на нас зі страхом. Вони знали, що могутня постать стояла перед ними."
"evt-village-human-main-2","Люди підійшли до нас з настороженістю."
"evt-village-human-main-3","Люди здається не сильно боялися. Їхня поведінка була майже... злобною."
"evt-village-human-main-4","Люди були настроєні вороже. Деякі навіть осмілились тримати зброю в нашій присутності."
"evt-expedition-done-WoA-1","Після [тижнів рейдерства|таких зусиль|цієї роботи], я відчув [ейфорію|велику радість|надзвичайну гордість|величезне полегшення]. Я знав, що [моє|саме це|це] ім'я $name [завжди пам'ятатимуть|не забудуть|буде синонімом до слова ""перемога""|будуть писати ще довго після моєї смерті| будуть поважати при Імперському дворі|запишуть в хроніках історії мавп]."
"evt-goal-explore-WoA-finish","[Величне Золоте Місто височіло над навколишнім простором|Золоте Місто неясно вимальовувалась над всім|Ми нарешті прибули в Золоте Місто|Дивовижне Золоте Місто доповнював екзотичний пейзаж|Диво архітектури мавп, Золоте Місто було перед нами|Наш кінцевий пункт призначення дражнив нас своєю золотою величчю| Місто з золота вабило нас перемогою|Мета постала перед нами у вигляді зробленого з золота міста|Там була Золоте Місто, вершина інженерії мавп]."
"evt-expedition-done-WoA-action-1","[Слава мавпам!|Честь!|За імператора!|За славу і тріумф!|Вперед у історію!|Безмежна слава чекає!|Багатство і слава!]"
"evt-goldenCity-approach-action","Підійти до Золотого Міста"
"fxt-goldenCity-unearthed-name","Золоте Місто Імперїї"
"evt-goal-explore-WoA-finish-action","Увійти в Золоте Місто"
"zn-fleeingHumans-name","Люди рятуються втечею"
"evt-peaceful-enslavement-action","Вимагати в полонених данину"
"evt-peaceful-enslavement-fail","За нашими давніми традиціями, ми оголосили Велике Полювання. Велика слава чекала нас, якщо б ми досягли успіху. Людей змусили втекти в глушину і дали трохи часу... полювання почалося."
"evt-peaceful-enslavement-success","Люди підкорилися нашій волі, розуміючи, що пожертвувати нам частину своїх людей дає шанс бути вільними решті. Ми поспішно склали на вози нашу данину у вигляді людей. Решта не могли глянути їм у вічі через сором."
"evt-forceful-enslavement-action","Закликати до великого полювання"
"evt-village-huntSlaves","Ми оцінили людей і вирішили, що вони будуть гідною даниною Великому Імператору мавп. Нам дотриматися давньої традиції і оголосити Велике Полювання чи спробувати підкорити їх далеко не таким владним способом?"
"evt-peaceful-enslavement-fail-2","Вони вислухали наші погрози і брехню і вирішили ризикнути і стати на свій захист."
"evt-shrine-14-mod","Я вдихнув повітря. [Як публічний дім||Задушливий сморід, такий як влітку в нетрищах міста мавп]. Чи придорожня канава. Потім я побачив випари, брудні клубки задушливого диму, що піднімалися з маленьких тріщин в підлозі."
"evt-buy-moonstone-title","Купити місячний камінь"
"evt-buy-moonstone","Ми переконали аванпост продати нам данину, необхідну, щоб увійти в Золоте Місто."
"evt-stoneCircle-revealSlaver-action","Відкрити аванпости"
"evt-pacify-success","Нам вдалося зменшити їхнє занепокоєння солодкими словами. Натовп відступив... поки що."
"evt-pacify-action","Заспокоїти натовп"
"evt-negotiate-success","Після палкої шедевральної промови людей захопили зненацька. Натовп відступив... поки що."
"evt-negotiate-action","Звернення до здорового глузду"
"evt-show-of-force-success","Ми вишикувалися у всій військовій величі, зброя напоказ. Натовп відступив...поки що."
"evt-show-of-force-action","Демонстрація сили"
"evt-seal-slaves-title","Скористатися людською життєвою силою"
"evt-seal-slaves","Люди віддали свою життєву силу як жертву Золотому Місту. Істинна сила ритуалу була вражаюча, і не треба бути шаманом, щоб відчути, що зміни буквально в повітрі довкола."
"evt-goldenSeal-slaves","Ми наблизились до [таємничої|величної|старезної на вигляд|стародавньої] споруди, яка, здавалося, була частково виготовлена з чистого золота. Вона була схожою до одного стародавнього місця, де збирали данину золотим містам. [Ми сподівались, що з певними зусиллями зможемо її запустити|Я вважав, що завдяки людській життєвій силі ми могли її задіяти|Якщо б ми мали відповідну підготовку і трохи часу, ми напевно змогли б її активувати]. Проте, що могло статись після активації, так і залишилось загадкою."
"evt-goldenSeal-1-slaves","[Це забрало трішки часу, але врешті-решт|Після численних годин ритуалу|Після тяжкої праці] ми були [в змозі|здатні] [розгадати|розблокувати|активувати] [незвичний|таємничий|грандіозний|стародавній на вигляд|загадковий] механізм. Несподівано з печатки [з'явився|піднявся|виник|поширився] величезний стовп світла."
"pl-berserker-title","Несамовитий"
"pl-berserker","Воїни одержимі банановим шнапсом. Підходити обережно."
"pl-vanguard-title","Авангард"
"pl-vanguard","Члени імперського авангарду є елітними розвідниками, які пройшли навчання в горах."
"it-lokiGun-athena-name","Лють древніх"
"it-lokiGun-athena","Особистою зброєю Атени є старовинний артефакт неймовірної сили."
"narrator-1","Як завжди[, дворяни|, піддані|, угодники] імператора мавп прийшли просити [Його Високість|Його Величність|свого повелителя]. Чому ти думаєш, що гідний його часу?"
"narrator-2","Ти дрібний дворянин, ніхто. Тобі потрібно здобути собі ім'я! Відвідай золоті міста імперії і справ враження на їхніх правителів!"
"narrator-3","По дорозі нападай на жалюгідних людей, бери їх в полон і пропонуй як данину золотим містам. Але не забувай, твої суперники завжди близько."
"narrator-4","Тепер іди, полюй і грабуй. Якщо повернешся багатим і знаменитим, можливо, навіть ввійдеш в Його найближче коло. За Імператора мавп! "
"outro-pyramid","Золоте місто"
"cl-celebration-audience-10","[Виходь за мене!|Який красивий!|Я кохаю тебе!|Чоловіки і жінки мавпи працюють разом!]"
"cl-celebration-audience-11","[Який здоровезний бізон!|То ось як виглядає бізон!|Гляньте на того бізона!|Яка кличка у цього бізона?]"
"cl-celebration-audience-1","[Погляньте, який|Який же|Це —] [милий|вірний|надійний|сміливий] осел!"
"cl-celebration-audience-2","[Який вірний собака!|Хотів би я мати такого ж собаку!|Цей пес заслуговує на медаль!]"
"cl-celebration-audience-3","[Той алкоголь за кілометр чути!|Може, наллєш мені трошечки того бананового шнапсу?|Це пляшка бананового шнапсу?]"
"cl-celebration-audience-4","[Яка панянка!|Жінка? Серйозно?|Пригоди — чоловіча справа!|Мої очі справді не зраджують? Це жінка?|Твоє місце в бібліотеці!|Часи змінюються.|Цілком приємний сюрприз, як на представницю прекрасної статі.|Вона неперевершена.|Вона повинна знати своє місце!|Часи й справді змінюються на краще.|Непогано, як на жінку.|Вона — приклад для наслідування!]"
"cl-celebration-audience-5","[Дикун!|Як непристойно!|Навіщо воно тут?|Хам!|Воно може говорити?]"
"cl-celebration-audience-6","[Як це воно ще не вмерло?|Мені це не подобається!|Жахіття!|Що воно таке?!|А воно вміє розмовляти?|Мені страшно!|Цій істоті місце в зоопарку!|Яке жахливе створіння!]"
"cl-celebration-audience-7","[Що, тільки ти?!|Де інші?|Можливо, вони впоралися наодинці?|Цікаво, куди ж поділись інші учасники експедиції...|Схоже, в тебе була самотня подорож.|Решта учасників загинули?|Лише одна мавпа?]"
"cl-celebration-audience-8","[Тваринолюб!|Мабуть, любить тварин.|Напевно, цінує більше тварин, ніж мавп.|Мабуть, вміє розмовляти з тваринами теж.]"
"cl-celebration-audience-9","[Звідкіля так багато солдатні?|Хорошого солдата потрібно цінувати.|Вони повертаються з війни?]"
"cl-celebration-audience","[Браво|Ага|Хотів би я бути на твоєму місці|Ти надихаєш мене|Фантастично|Чудово|Героїчно|Прекрасно|Дай-но гляну|Древні, бережіть імператора|За Імперію|За імператора|За імператора і весь рід мавп|Неймовірно|Відмінно|Ну й день видався|Як сміливо|Яка втіха|Дивовижно]!"
"cl-celebration-party-1","[Час святкувати! Гайда вип’ємо!|*гик*|До дна!|Нумо по чарці бананового шнапсу!]"
"cl-celebration-party-2","[Я лиш інструмент в руках Імператора!|Нехай благословить тебе Господь!|Я тільки хочу допомогти!]"
"cl-celebration-party-3","[Забудь.|Мені начхати.|Сподіваюсь, тепер ти почуваєшся щасливіше.|Почуваєшся героєм?]"
"cl-celebration-party-4","[Чому всі ці мавпи витріщаються на мене?|В мене погане передчуття стосовно цього.|Це все для мене?|До цього доведеться звикнути.|Надто багато мавп.]"
"cl-celebration-party-5","[Нарешті — цивілізовані мавпи.|Розслабтеся, я тепер з вами.|Все стало зовсім інакшим.|Як добре повернутись назад.]"
"cl-celebration-party","[Дякую!|Мене це вражає!|Як мило з твоєї сторони!|Дякую!|О, це просто чудово!|Як дивовижно!|Це чудово!]"
"pk-goodReputation-title","Imposing Presence"
"evt-harbor-recruit-soldierBritish-action","Мародер $name"
"evt-harbor","[Рано вранці|Повітря було свіжим і солоним, коли|Весь у передчуттях,|В очікуванні нового рейду|Прокинувшись на світанку,|Гарно відпочивши вночі,|Мало поспавши через хвилювання,] я [прибув у доки|дістався доків|піднявся на корабель|завантажив на корабель своє спорядження|прибув у гавань|примчав у гавань|поспіхом дістався доків]. [Команда ще мала дещо підготувати|Капітана ще не було на містку|Треба було здійснити ще деякі приготування|У нас ще було трохи часу до відправлення], [тож я міг дозволити собі останній бокал бананового шнапсу|тож я насолоджувався прохолодним бризом на палубі|тож я просто сів на пірсі і чекав|тож я розмірковував, чи не треба ще щось зробити|тож я виконав ритуал швидкої подорожі|тож я фантазував, що може бути там, за горизонтом|тож я з задоволенням уявляв моє ім'я пошепки називатимуть при дворі|тож я почав уявляти, як буде виглядати моє обличчя на почесній статуї]."
"evt-harbor-recruit-1","[Я пишався тим, що|Оскільки я був однією з найвідоміших мавп при дворі,|Я був радий пересвідчитись, що|Новини про мої славні рейди і здобич поширювались, тому я не здивувався, коли побачив, що] [моя слава поширилася серед придворних і імперських угодників|історії про мої подвиги привабили різних зацікавлених особистостей|плітки про мої попередні рейди привернули досить значну увагу|на борту нашого корабля було тісно від натовпу]. [З'явилось багато охочих,|До мене підходило кілька умілих претендентів,] [що були готові приєднатися до моєї рейдерської групи у невідоме|достатньо заповзятих, щоб підписатись на мою справу|охочих до здобичі і слави|зацікавлених дізнатися більше про шість золотих міст імперії|що бажали дізнатися правду про чутки, які супроводжували мої подвиги|що жадали слави і здобичі]. Кого ж мені _завербувати?_"
"evt-harbor-recruit-2","[Теоретично ця експедиція могла підняти мене на перше місце |Це були складні перегони за перше місце і привабливу нагорода - подяку самого імператора мавп |Мої минулі рейди і здобич були досить успішними, і я відчував, що скоро зможу побачити своє обличчя на почесній статуї]. [Звістка про це поширилась імперською столицею|Мої подвиги були добре відомі|Моя репутація йшла попереду мене], [і багато мавп прийшло подивитись на наш корабель|і це приваблювало до моєї справи деяких заповзятих мавп|тому багато нових бажаючих прибуло на корабель, готових приєднатися до нашої рейдерської групи]. Кого ж мені _завербувати?_"
"evt-harbor-recruit-3","[Моя репутація ще була незначною, але|Після досягнень моїх минулих рейдів я був у захваті, коли] [я помітив деяку цікавість щодо наших подвигів|цікавість щодо нашого корабля почало проявляти більше мавп]. Кого ж мені _завербувати?_"
"evt-harbor-select","[Нарешті|Урешті-решт|Я відчув приплив адреналіну, коли|Мої серце стрепенулося від передчуття, коли я почув, що] [цей|наш] [корабель|човен] був [готовий|налаштований|завантажений] [до відправлення|до підняття вітрила|до виходу з гавані|прогулянки|до походу до дальніх берегів|до виходу в море]."
"evt-harbor-recruit-mountainTrooper-action","Авангард $name"
"evt-village-recruit-bloodrider-action","Винюхувач $name"
"evt-village-recruit-bloodrider","Винюхувач $name приєднався до нашої подорожі."
"evt-harbor-recruit-berzerker-action","Несамовитий $name"
"evt-harbor-recruit-berzerker","Несамовитий $name приєднався до нашої подорожі."
"pk-whiskyIncrease-1-title","Фанат бананового шнапсу 1"
"pk-whiskyIncrease-1","Покращує здатність мислити раціонально від вживання шнапсу."
"pk-whiskyIncrease-2-title","Фанат бананового шнапсу 2"
"pk-whiskyIncrease-3-title","Фанат бананового шнапсу 3"
"pk-whiskyIncrease-4-title","Фанат бананового шнапсу 4"
"bonus-whisky","Розсудливість від бананового шнапсу"
"pl-native-starting-shaman-title","Придворний шаман"
"pl-native-starting-shaman","Один з найближчих порадників Імператора мавп. Застосовує старовинні обряди і знання алхімії(Шанс здобути розсудливість використовуючи гриби)"
"evt-village-recruit-shaman-action","Шаман $name"
"base-sanity","Моральний стан"
"help-sanity","Рівень мотивації і вдоволеності вашої рейдерської групи. Якщо падає до нуля, виникає все більше і більше неприємностей."
"base-standing","Домінування"
"help-standing","Рівень підкорення людей цього регіону твоїй владі. Якщо дозволити їй опуститися надто низько, вони можуть повстати."
"pl-native-starting-scout-title","Імперський розвідник"
"world-adjective","[Підлегла держава|Провінція імперії|Місто-держава|Імперський анклав|Підлегле королівство|Головне місто|Головна колонія|Багата колонія|Головна провінція|Багата провінція|Воєнний анклав|Торговий анклав|Науковий анклав| Угрупування шамана|Мисливські угіддя][Претора|Консула|Проконсула|Губернатора|Генерала|Полководця|Воєначальника|Диктатора|Екзарха|Володаря|Верховного жреця|Мудреця|Міністра|Посла|Повелителя|Наглядача|Регента|Тетрарха|Тріарха|Пентарха] [Аппіуса|Аулуса|Каесо|Калаґула|Каракалла|Коммодуса|Децімуса|Домітіануса|Елаґабалуса|Фаустуса|Гаіуса|Гнаеуса|Геріуса|Гостуса|Луціуса|Макаріуса|Мамеркуса|Маніуса|Маркуса|Маріуса|Меттіуса|Мінатіуса|Неро|Нерва|Нонуса|Новіуса|Нумеріуса|Олуса|Опітера|Овіуса|Пауллуса|Песценніуса|Помпеіуса|Постумуса|Публіуса|Квінтуса|Сальвіуса|Септімуса|Сертора|Сервіуса|Секстуса|Спуріуса|Статіуса|Сулла|Тіберіуса|Тітуса|Тулліуса|Туллуса|Вібіуса|Волесуса|Вопіскуса|Воренуса]"
"gol-goldenTemple-arctic","У цій області можна знайти Золоте Місто."
"gol-goldenTemple-buried","Містить Золоте Місто, приховане шаманською ілюзією."
"gol-goldenTemple-moonStone","У цій області можна знайти Золоте Місто."
"empty-name",""
"evt-village-enter-neutral","[Селяни спостерігали за нами з обережністю, коли наша група прибула в поселення.|Коли ми прибули, село гуло, як вулик, але затихло, як тільки люди вгледіли нашу групу.] [Ми підійшли до них і зупинилися біля входу в село|Ми стояли біля входу до села і обдумували, що зробити з цими людьми]."
"evt-ship-arrival","[Я закінчував ранкові приготування, коли|Я був поглинутий моїм вивченням цієї території, коли|Рано-вранці|Подорож через океан принесла багато дивовижних видовищ морського життя|Мої думки були зосереджені на майбутньому поході, доки|Після несподівано спокійної мандрівки|Не насмілюся перераховувати важкості і втрати мандрівки, але на щастя|Після тижнів подорожування|Після надто багатьох солоних днів на морі|Ледь переживши один із найлютіших штормів, який я коли-небудь бачив на кораблі|Плисти великими морями було велично, і я дещо засумував, коли|Після тижнів поганої їжі без бананів|Коли я вже почав думати, що ми ніколи не знайдемо шляху крізь ці води|У густому тумані дощового ранку] [ми дісталися земель місцевого правителя|ми нарешті дісталися берега земель для здійснення рейду|ми прибули до земель для здійснення рейду|берегова лінія виросла з ранкового туману]. [Землі лежали перед нами, безкраї і непідкорені|Невідомий краєвид кликав на дослідження|Мені цікаво було дізнатись, які небезпеки чекали на нас тут|Ми прибули, настав час вирушати|Я знав, що потрібно знайти і вразити місцевого правителя|Я знав, що маю знайти Золоте Місто]."
"evt-village-enter-forsaken","[Село було пусте.|Вид, від якого холоне кров: таке враження, ніби мешканці цього села ніколи й не жили тут. Не залишилося жодного чоловіка, жінки чи дитини.|Село було покинуте.] [Очевидно люди покинули село в поспіху|Воно виглядало, як давно забуте місце, і скоро воно не виділятиметься з краєвиду навкруги.] Я шукав, але не знайшов нічого, що б пригодилося."
"evt-postNarrative-extra-1","Тягар $his рейдів залишив шрами на $his [тілі|розумі|душі] та $his сім'я визнала, що $he тепер лише тінь свого попереднього ""я""."
"evt-postNarrative-extra-2","$He використав $his накопичене багатство, щоб вразити дворян і простих мавп, організувавши одне з найбільших святкувань з частуваннями та розвагами, яке імператор коли-небудь бачив."
"evt-postNarrative-extra-3","Хоча взаємодія з суспільством є звичайним ділом, $he так і не зміг знайти нових друзів, не кажучи вже про надійних світських і політичних союзників."
"evt-postNarrative-extra-4","$His рейди дали $him безцінне бачення недовговічності життя, і тому $he докладав зусиль кожнісінького дня щоб [покращити свій статус|заявити про себе|заслужити прихильність імперської знаті|нажити статків|знайти нових союзників|заслужити прихильність імперського двору]."
"evt-postNarrative-extra-5","$He є місцевою знаменитістю за створення природного середовища для різних дивних тварин, яких $he [здобув містичним чином|привіз з $his останнього рейду]."
"evt-postNarrative-extra-alcoholic","$He [без фляги з банановим шнапсом з дому не бачив сенсу виходити|вважав, що банановий шнапс допомагає $him впоратися з фактом своєї незначимості|вірив, що без алкоголю не можна показати себе справжнього]."
"evt-postNarrative-extra-animalName","Нещодавно знайдене поселення людей назвали в $his честь."
"evt-postNarrative-extra-bipolar","Протягом $his життя $he тижнями а то й місяцями страждав від маніакальних розладів, під час яких $he проявляв [неймовірну енергійність, на зміну якій приходили такі ж довгі періоди виснажливої депресії|крайні коливання настрою]."
"evt-postNarrative-extra-cookCanibal","$His спеціалізацією була [фруктова|грибна|пряна м'ясна|вишукана м'ясна] страва. Люди з усіх куточків імперії приїздили, аби її скуштувати, але ніхто так і не дізнався секретний інгредієнт."
"evt-postNarrative-extra-cookPyromaniac","На жаль, місце згоріло до тла за підозрілих обставин. $name так ніколи і не оправився ні [фінансово|репутаційно|емоційно], ані морально від цієї втрати."
"evt-postNarrative-extra-cookSoup","$His дещо відомою особливою стравою був екзотичний суп, який, як $he стверджував, був придуманий з допомогою одного з найвідоміших шеф-поварів з Золотого Міста."
"evt-postNarrative-extra-firstChildName","$He назвав $his першу дитину на честь[лідера рейдів, що вплинув на $his життя| правителя одного з золотих міст, з яким $he зустрівся під час подорожей|назви корабля, що доправив $him до дому]."
"evt-postNarrative-extra-kleptomaniacPoor","$He був вигнаний після того як $he [намагався повернути артефакти, які завдяки нашим рейдам|спробував викрасти людей-невільників, яких завдяки $his рейдерській групі|намагався вкрасти деякі артефакти, які завдяки $his рейдерській групі] було повернено."
"evt-postNarrative-extra-kleptomaniacRich","$He жив у [нездоровій|сумнозвісній|помпезній] розкоші понад всяку міру, хоча справжнє джерело $his доходів так і залишилось невідомим."
"evt-postNarrative-extra-nativeFashion","$He не перестав носити $his дивне вбрання і навіть надихнув [на новий стиль взуття|на оригінальний новий головний убір|на нову марку одягу для рейдів|модний вибух] під час [одного літа|однієї зими|одного сезону]."
"evt-postNarrative-extra-noLoyalty","Пізніше $he почав сильно критикувати власні рейдерські експедиції і написав [багато|одну|декілька] [дуже поширених|недуже відомих] [статей|книг] про те, що, можливо, люди не були жалюгідними, ледь-розумними тваринами. Його дуже критикували за єретичні погляди."
"evt-postNarrative-extra-racistChange",""
"evt-postNarrative-extra-royalName-1","[$He був офіційно визнаний дворянином імперським судом і носив $his новий титул з великою гордістю|$He відмовився від титулу, наданого імперським судом]."
"evt-postNarrative-extra-royalName-2","$He страждав від [безжалісних|нескінченних] кошмарів про [жахливі|незрозумілі|темні|злі] речі, які $he скоїв."
"evt-postNarrative-extra-royalName-3","$He ніколи не сказав більше і слова про те, що $he вчинив під час $his подорожей."
"evt-postNarrative-extra-royalName","Королівський [корабель|судно|міст|вулицю|людське поселення] було названо на $him честь."
"evt-postNarrative-extra-soldierLife","$He був нагороджений військовою медаллю за те, що [врятував життя товариша незважаючи на загрозу $his власному|захопив величезну кількість людей|самотужки захистив населений пункт, де повстали люди|три дні йшов без перепочинку, аби доставити важливі розвідувальні дані]."
"evt-postNarrative-extra","$He залишався на зв'язку з більшістю тих, хто вижив і вів щомісячне листування поки не помер через рік. Вони залишилися союзниками в суперництві за соціальний прогрес."
"evt-postNarrative-extraCampaign","$name повернувся до [столиці імперії|серця Імперії| пологих пагорбів серця імперії|спокійних долин серця імперії|вражаючих гір серця імперії|смарагдових берегів серця імперії|місця, яке $he називав домом|$his близьких|дому|$his рідного міста|$his сім'ї] з тріумфом. Статуя робила $him чнсть, а все ж $he не пішов на спочинок. Бурхливі кошмари далекої землі переслідували $him щоночі. $He не знав як, але здавалося, що якесь нове знання поступово формувалось у $his свідомості. Якимось чином $he знав, що $he відправиться у ще одне плавання, і це буде $his остання подорож. Цього разу $he шукатиме не слави, а чогось значно більшого..."
