"fxt-village-human-name","Village d'humain"
"evt-goal-explore-WoA-finish","[La majestueuse Cité d'Or s’élevait au-dessus de son environnement|La Cité d'Or se dressait au-dessus de tout le monde|Nous sommes enfin arrivés à la Cité d'Or|Le paysage exotique complétait l'extraordinaire Cité d'Or|Merveille de l'architecture des singes, la Cité d'Or était à notre portée|Notre destination finale nous nargués avec sa gloire dorée|La Cité d'Or était synonyme de victoire|Le but final était cette splendide Cité d'Or|Il y avait là la Cité d'Or, un sommet de l'ingénierie des singes]."
"evt-expedition-done-WoA-action-1","[Gloire aux Singes !|Pour l'honneur !|Pour l'empereur !|Pour la réputation et la gloire !|En avant vers l'histoire !|La gloire nous attend !|Pour la fortune et la gloire !]"
"evt-goldenCity-approach-action","Approcher de la Cité d'Or"
"fxt-goldenCity-unearthed-name","Cité d'or de l'Empire"
"evt-goal-explore-WoA-finish-action","Entrer dans la Cité d'or"
"zn-fleeingHumans-name","Fuir les humains"
"evt-peaceful-enslavement-action","Exiger un hommage aux captifs"
"evt-peaceful-enslavement-fail","Comme décrété par nos anciennes traditions, nous avons déclaré une Grande Chasse. Une grande gloire nous attendait si nous y parvenions. Les humains ont été forcés de s'enfuir dans la nature et de prendre une longueur d'avance... la chasse était ouverte."
"evt-peaceful-enslavement-success","Les Humains se sont soumis à notre volonté, réalisant que nous offrir une partie de leur communauté en tribut était la meilleure chance d'une liberté pour les autres. Nous avons emballé à la hâte l'offrande des humains dans notre chariot. Les humains restant ne les regardaient dans les yeux, car leur honte était trop grande."
"evt-forceful-enslavement-action","Appeler à une grande chasse glorieuse"
"evt-village-huntSlaves","Nous avons pris de taille les humains et décidé qu'ils rendraient un digne hommage à l'Empereur des grands singes. Devrions-nous suivre nos anciennes traditions et déclarer une Grande Chasse ou essayer de les soumettre d'une manière beaucoup moins prestigieuse ?"
"evt-peaceful-enslavement-fail-2","Ils pouvaient voir à travers nos menaces et nos mensonges et ont décidé de prendre leurs chances et de prendre position."
"evt-shrine-14-mod","Je reniflais l'air. [On se serait cru dans un lieu public|Ça sentait comme des selles pourrissant dans des égouts|Une forte puanteur, comme une de nos cités singe en plein été]. Ou un fossé au bord de la route. Puis je vis les embruns, des vagues impétueuses avec une odeur de poisson en décomposition s'élevant de petites fissures dans le plancher."
"evt-buy-moonstone-title","Acheter une pierre de lune"
"evt-buy-moonstone","Nous avons convaincu l'avant-poste de nous vendre le présent nécessaire pour entrer dans la Cité d'Or du coin."
"evt-stoneCircle-revealSlaver-action","Révéler les avant-poste"
"evt-pacify-success","Nous avons réussi à apaiser leurs inquiétudes avec un discours mielleux. La foule a reculé... pour l'instant."
"evt-pacify-action","Calmer la foule"
"evt-negotiate-success","Après une incroyable rhétorique passionnée, les humains ont été stupéfaits. La foule a reculé.... pour l'instant."
"evt-negotiate-action","Appel à la raison"
"evt-show-of-force-success","Nous nous sommes rangés en rang militaire, les armes à la main. La foule a reculé... pour l'instant."
"evt-show-of-force-action","Démonstration de force"
"evt-seal-slaves-title","Tirer parti de la force des humains"
"evt-seal-slaves","Les Humains ont donné leur vie en hommage à la Cité d'Or. La puissance même du rituel était écrasante, et il n'était pas nécessaire d'être un chaman pour ressentir le changement dans l'air tout autour du site."
"evt-goldenSeal-slaves","Nous nous sommes approchés d'une [mystérieuse|imposante|très ancienne] structure qui semblait avoir été construite avec de l'or pur. Il ressemblait beaucoup à l'un de ses anciens sites qui recueillaient les tributs pour les Cités d'Or. [Avec un minimum d'effort, nous devrions être en mesure de l'activer|Je crois qu' en utilisant la force vitale des humains, nous pourrions la mettre en mouvement.|Avec un peu de préparation et de temps, nous pourrions sûrement l'activer]. Cependant, ce qui se passerait exactement après l'activation restait un mystère."
"evt-goldenSeal-1-slaves","[Il nous a fallu un certain temps, mais finalement|Après de nombreuses heures de rituel|Après beaucoup de travail], nous [fûmes enfin capables|avions assez d'éléments] pour [satisfaire|déverrouiller|activer] cet [inhabituel|mystérieux|grandiose|ancien|énigmatique] mécanisme. Tout d'un coup, une énorme colonne de lumière [émergea|jailli|s'éleva|apparu] du sceau."
"pl-berserker-title","Berserker"
"pl-berserker","Guerrier obsédé par la liqueur de banane. A approcher avec grande méfiance."
"pl-vanguard-title","Avant-garde"
"pl-vanguard","Les membres de l'avant-garde impériale sont des éclaireurs d'élite formés à la guerre en montagne."
"it-lokiGun-athena-name","Colère des Anciens"
"it-lokiGun-athena","L'arme personnelle d'Athéna est un ancien artefact d'une puissance débridée."
"narrator-1","Comme toujours, [les nobles|les sujets|les sycophantes] de l'Empereur des singes sont venus présenter une pétition à [Sa Majesté|Sa Magnificence|leur Seigneur]. Qu'est-ce qui vous fait penser que vous valez plus que sa disponibilité ?"
"narrator-2","Vous êtes un petit noble, un vaurien. Vous devez vous faire un nom ! Allez visiter les Cités d'Or de l'Empire, et impressionnez leurs dirigeants !"
"narrator-3","Sur votre chemin, attaquez les pathétiques humains, capturez-les et offrez-les en hommage aux Cités d'Or. Mais attention, vos rivaux sont toujours proche."
"narrator-4","Maintenant, partez, chassez et pillez. Si vous revenez riche et célèbre, vous pourrez faire partie de Son cercle intérieur. Pour l'Empereur des singes !"
"outro-pyramid","Cité d’or"
"cl-celebration-audience-10","[Épousez-moi !|Comme c'est beau|Je vous aime !|Singe mâle et Femmes sont faits pour être ensemble !]"
"cl-celebration-audience-11","[Ce buffle est énorme !|Donc, c'est à ça que ressemble un buffle !|Regardez-moi ce buffle !|Quel est le nom du buffle ?]"
"cl-celebration-audience-1","[Regardez comme il est|Qu'il est|Qu'est ce qu'il est] [mignon|courageux|fidèle|brave] cet âne !"
"cl-celebration-audience-2","[Quel chien fidèle !|J'aimerai avoir un chien comme ça !|Ce chien mérite une médaille !]"
"cl-celebration-audience-3","[Je peux sentir l'alcool d'ici !|Vous ne voudriez pas partager un peu de cette liqueur de banane ?|N'est-ce pas une bouteille de liqueur de banane ?]"
"cl-celebration-audience-4","[Quelle femme !|Est-ce vraiment une femme singe ?|Laissez l'aventure aux hommes singes !|Mes yeux me trompent-ils ? Une femme singe ?|Retournez dans votre bibliothèque !|Les temps changent.|Quelle agréable surprise pour quelqu'un du sexe faible.|Elle est fantastique !|Elle devrait rester à sa place !|Les temps changent, probablement en mieux.|Pas mal pour une femme singe.|Elle est un modèle pour nous tous !]"
"cl-celebration-audience-5","[Un sauvage !|Un non civilisé !|Que fait-il parmi nous ?|Un primitif !|Sait-il parler ?]"
"cl-celebration-audience-6","[Comment peut-on laisser vivre de telles monstruosités ?|Cette créature ne me plaît pas !|Quelle horreur !|C'est quoi ça ?!|Nous comprend-il ?|J'ai peur !|Cette créature devrait être dans un zoo !|Quelle abominable créature est-ce là !]"
"cl-celebration-audience-7","[Vous êtes tout(e) seul(e) ?!|Où sont les autres ?|Un trophée en solitaire ?|On se demande ce qui est arrivé au reste de l'expédition...|S'agissait-il d'une expédition en solitaire ?|Le reste de l'expédition aurait-il péri ?|Seulement un singe ?]"
"cl-celebration-audience-8","[Un maître des animaux !|Il faut vraiment aimer les animaux.|Il doit apprécier les animaux plus que les singes.|Peut-être peut-il également parler aux animaux ?]"
"cl-celebration-audience-9","[Pourquoi tant de soldats ?|J'apprécie toujours d'avoir un soldat élégant à mes côtés.|Reviennent-ils de la guerre ?]"
"cl-celebration-audience","[Bravo |Youpi |Comme j'aurais aimé être à votre place |Vous m'inspirez |Fantastique |Splendide |Héroïque |Merveilleux |Laissez-moi voir |Que les anciens garde l'Empereur |Pour l'Empire |Pour l'Empereur |Pour l'Empereur et l'humanité des singes |Incroyable |C'est magnifique |Quelle journée |Quelle bravoure |Quel spectacle |Extraordinaire ]!"
"cl-celebration-party-1","[Il est temps de célébrer avec un verre |*hip *|Santé !| Prenons un bananaschnapps!]"
"cl-celebration-party-2","[Je fais juste le travail de l'Empereur !| À tes souhaits!| Je veux juste aider !]"
"cl-celebration-party-3","[Peu importe.| Je m'en fiche.|J'espère que vous êtes heureux maintenant.|Vous vous sentez comme un héros ?]"
"cl-celebration-party-4","[Pourquoi tous ces Singes me regardent-ils?|Cela ne sent pas la sécurité.|Tout cela pour moi ?|Il faudra s'y habituer.|Trop de Singes.]"
"cl-celebration-party-5","[Finally, civilised Apes again.|Everybody relax, I'm back.|Everything seems so different.|Glad to be back.]"
"cl-celebration-party","[Thank you!|I'm overwhelmed!|So kind of you!|Thanks!|Oh, this is simply superb!|How marvellous!|This is wonderful!]"
"pk-goodReputation-title","Imposer sa présence"
"evt-harbor-recruit-soldierBritish-action","$name le maraudeur"
"evt-harbor","[Early that morning|The air was fresh and tasted of salt as|Full of anticipation|Eagerly anticipating the forthcoming raid|After rising at the break of dawn|After a good night’s rest|After being too excited to sleep] I [arrived at the docks|made my way to the docks|boarded the ship|stored my equipment on the ship|arrived at the harbour|hurried to the harbour|made haste and arrived at the docks]. [The crew had preparations left to do|The captain had yet to arrive|There were still some arrangements to be made|We had a little time before the ship would be ready], [so I had one last cup of Bananaschnapps|so I spent my time on the deck, enjoying the cool breeze|so I sat on the pier and waited|so I saw if there was anything I could do|so I performed a ritual of swift travel|so I imagined what lay beyond the horizon|so I took some pleasure envisaging my name being whispered in court|so I imagined what my visage would look like on an honorary statue]."
"evt-harbor-recruit-1","[I was proud to see that|As I was one of the most famous Apes in court,|I was delighted to witness|The news of my glorious raids and tributes had spread, so I was not surprised to see that] [my fame had spread amongst the courtiers and Imperial sycophants|stories of my exploits had lured all manner of intrigued personalities|tales of my previous raids and tributes had attracted quite some attention|the boarding of our ship had drawn quite the crowd]. [Many new recruits showed up,|I was approached by several capable Apes that were] [willing to accompany my raiding party into the unknown|enterprising enough to sign up to my cause|eager for plunder and glory|curious to find out more about the six Golden Cities of the Empire|to learn the truth of the legends surrounding my exploits|hungry for glory and plunder]. Who did I want to _recruit?_"
"evt-harbor-recruit-2","[This expedition could potentially lift me into first place and above my rivals|It was a close race for first place and the enviable prize of the Ape Emperor's good graces|My past raids and tributes had been quite successful and I felt I was soon to see my face on an honorary statue]. [Word about this had spread in the Imperial Capital|My exploits were well-known|My reputation preceded me], [and many Apes came to see our ship|attracting a few enterprising Apes to my cause|so many new recruits arrived at the ship, willing to join our raiding party]. Who did I want to _recruit?_"
"evt-harbor-recruit-3","[My reputation was still meagre, but|After the efforts of my past raids I was delighted as] [I noticed a mild interest in our exploits|more Apes started to show an interest in our ship]. Who did I want to _recruit?_"
"evt-harbor-select","[Just in time|At long last|My adrenalin was pumping as|My heart jumped with anticipation as I heard that] [the|our] [ship|vessel] was [ready|prepared|primed] [for departure|to set sail|to leave the harbour|to sally forth|to head for distant shores|to put out to sea]."
"evt-harbor-recruit-mountainTrooper-action","$name the vanguard"
"evt-village-recruit-bloodrider-action","$name le cavalier sanguinaire"
"evt-village-recruit-bloodrider","$name le cavalier sanguinaire a rejoint notre expédition."
"evt-harbor-recruit-berzerker-action","$name le berserker"
"evt-harbor-recruit-berzerker","$name le berserker a rejoint notre expédition."
"pk-whiskyIncrease-1-title","Fanatique de liqueur de banane 1"
"pk-whiskyIncrease-1","Augmente la santé mentale en buvant de la liqueur de banane."
"pk-whiskyIncrease-2-title","Fanatique de liqueur de banane 2"
"pk-whiskyIncrease-3-title","Fanatique de liqueur de banane 3"
"pk-whiskyIncrease-4-title","Fanatique de liqueur de banane 4"
"bonus-whisky","Santé Bananamentale"
"pl-native-starting-shaman-title","Chaman de la cour"
"pl-native-starting-shaman","Un des proches conseillers de l'Empereur des singes. Pratique les rites anciens et la tradition de l'alchimie (chance de gagner de la santé mentale lors de l'utilisation de champignons)"
"evt-village-recruit-shaman-action","$name le chaman"
"base-sanity","Moral"
"help-sanity","La santé mentale des membres de votre groupe de raiders. Plus elle baisse, plus il y a des chances que des événements catastrophiques se produisent."
"base-standing","Domination"
"help-standing","Défini comment les humains de cette région sont soumis à votre autorité. Si elle descends trop bas, ils peuvent se rebeller."
"pl-native-starting-scout-title","Éclaireur impérial"
"world-adjective","[Client State|Imperial Province|City State|Imperial Enclave|Client Kingdom|Tributary Kingdom|Vassal State|Vassal Kingdom|Magnificent City|Grand City|Grand Colony|Rich Colony|Grand Province|Rich Province|Military Enclave|Merchant Enclave|Science Enclave|Shaman Cabal|Hunting Grounds] of [Praetor|Consul|Proconsul|Governor|General|Warlord|Warmaster|Autarch|Exarch|Master|Hierophant|Sage|Minister|Legate|Overlord|Overseer|Regent|Tetrarch|Triarch|Pentarch] [Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]"
"gol-goldenTemple-arctic","Une Cité d'Or se trouve dans cette région."
"gol-goldenTemple-buried","Contient une Cité d'Or déguisée par une illusion chamanique."
"gol-goldenTemple-moonStone","Une Cité d'Or se trouve dans cette région."
"empty-name",""
"evt-village-enter-neutral","[The villagers observed us with caution as our party arrived at their settlement.|As we arrived, the village was buzzing with activity, but it stopped as soon as the Humans caught sight of our group.] [We approached them openly and stopped at the entrance to the village|We stood at the entrance of the village and considered our options with these people]."
"evt-ship-arrival","[I was finishing up my morning preparations as|I was deeply absorbed in my studies about this area as|Early this morning|The journey across the ocean brought many wondrous sightings of marine life before|My thoughts were focussed on the forthcoming raid until|After an unexpectedly calm voyage|I dare not recount the trials and tribulations of the voyage, but thankfully|After weeks of travelling|After too many salty days at sea|After barely surviving one of the most monstrous thunderstorms I have ever witnessed on a ship|The open seas were glorious to sail upon, and I was somewhat sad when|After weeks with nasty food and no bananas|Just as I thought we would never find a way through these waters|In the thick mist of a rainy morning] [we reached the lands of the local ruler|we finally reached the shore of our raiding area|we arrived at our raiding area|a shoreline rose in the morning mist]. [The land lay open in front of us, vast and untamed|The foreign landscape beckoned us to explore|I was curious to discover what kind of dangers were waiting for us here|We had arrived, and it was time to sally forth|I knew this place held the key to my advance at court|I knew I needed to find and impress the local ruler|I knew I needed to find the Golden City]."
"evt-village-enter-forsaken","[The village was empty.|A chilling sight: It was as if the inhabitants of this village have never lived here at all. There was not one man, woman or child around.|The village was completely abandoned.] [It was obvious that people had left in a hurry.|It seemed like a long forgotten place, and it would soon become indistinguishable from the surrounding landscape.] I searched but didn't find anything of use."
"evt-postNarrative-extra-1","The strain of $his raids had left scars on $his [body|mind|soul] and $his family attested that $he was now a shadow of the person they once knew."
"evt-postNarrative-extra-2","$He used $his accumulated wealth to impress the nobility and common Apes alike by organising one of the biggest festivals with feasts and games that the Empire has ever seen."
"evt-postNarrative-extra-3","Although functioning in society in a rudimentary fashion, $he found it impossible to develop new friendships, let alone secure social and political allies."
"evt-postNarrative-extra-4","$His raids had given $him an invaluable perspective on the fragility of life, and so $he made an effort every single day to [improve his status|make a name for himself|gain favour with the nobles of the Empire|accumulate wealth|gain new allies|curry favour with the Imperial Court]."
"evt-postNarrative-extra-5","$He gained local notoriety for building a vast habitat for the various strange animals that $he had [obtained via mysterious circumstances|brought home after $his latest raids]."
"evt-postNarrative-extra-alcoholic","$He [always made sure to carry a flask of Bananaschnapps with $him wherever $he went|felt that Bananaschnapps enabled $him to cope with the trauma of being mediocre|believed Bananaschnapps was necessary to truly be able to express oneself]."
"evt-postNarrative-extra-animalName","A newly discovered Human habitat was named in $his honour."
"evt-postNarrative-extra-bipolar","Throughout $his life $he experienced weeks and months of manic phases in which $he would exhibit [incredible energy, followed by equally long periods of debilitating depression|extreme fluctuations of mood]."
"evt-postNarrative-extra-cookCanibal","$His specialty was a [fruity|mixed mushroom|spicy meat|curious meat] dish. People came from all parts of the Empire to eat it and yet nobody uncovered the secret ingredients."
"evt-postNarrative-extra-cookPyromaniac","Unfortunately the place burned down under suspicious circumstances. $name did never recover [financially|reputationally|emotionally] nor mentally from that loss."
"evt-postNarrative-extra-cookSoup","$His somewhat famous specialty was an exotic soup that $he claimed to have concocted with the help of the most famous chefs from the Golden Cities."
"evt-postNarrative-extra-firstChildName","$He named $his first child after the [leader of the raids that shaped $his life|ruler of one of the Golden Cities that $he encountered during $his travels|name of the ship that brought $him home]."
"evt-postNarrative-extra-kleptomaniacPoor","$He was exiled from court after $he [attempted to reclaim artefacts that our raids|tried to steal some of the Human captives that $his raiding party|tried to steal some of the artefacts that $his raiding party] brought back."
"evt-postNarrative-extra-kleptomaniacRich","$He dwelled in luxury to an [unhealthy|notorious|pompous] degree, although the exact source of $his riches was never exactly disclosed."
"evt-postNarrative-extra-nativeFashion","$He did not cease wearing $his eccentric clothes and even inspired a [new style of footwear|distinct new headwear|new brand of raiding attire|fashion boom] during one particular [summer|winter|season]."
"evt-postNarrative-extra-noLoyalty","Later $he became a strong critic of $his own raiding expeditions and wrote [many|some|a few] [heavily widespread|fairly unknown] [articles|books] about the possibility, that maybe Humans were more than just pathetic, barely-sentient animals. He was heavily criticised for his heretical views."
"evt-postNarrative-extra-racistChange",""
"evt-postNarrative-extra-royalName-1","[$He was formally recognised as a noble by the Imperial Court and wore $his new title with great pride|$He declined a formal title by the Imperial Court]."
"evt-postNarrative-extra-royalName-2","$He was plagued by [relentless|endless] nightmares about the [horrific|inexplicable|dark|evil] things $he had done."
"evt-postNarrative-extra-royalName-3","$He never spoke another word about what $he had done during $his travels."
"evt-postNarrative-extra-royalName","A royal [ship|vessel|bridge|street|Human habitat] was named after $him."
"evt-postNarrative-extra-soldierLife","$He was awarded a military medal for [saving the life of a fellow Ape in disregard of the danger to $his own life|capturing a shockingly high number of Humans|securing a rebellious Human village single-handedly|marching three days straight without sleep to deliver an important piece of intelligence]."
"evt-postNarrative-extra","$He stayed in contact with most of the other survivors and corresponded monthly until $his death years later. They remained allies in the game of social advance."
