"fxt-village-human-name","Ανθρώπινο χωριό"
"evt-ruins-3","Ένα αρχαίο ερείπιο κείτονταν μπροστά μας. [Ήταν σε άθλια κατάσταση, μιας και ήταν στο έλεος της φύσης και των διαφόρων καιρικών φαινομένων εδώ και αιώνες|Φαινόταν πιο παλιό και από τον ίδιο τον χρόνο|Ο χρόνος είχε αφήσει τα σημάδια του πάνω στο κτίσμα|Ο χρόνος είχε διαβρώσει αυτό που κάποτε ήταν ένα μαγευτικό θέαμα]. [Έπρεπε να _ανέβεις στην κορυφή_ του προσώπου για να φτάσεις στην είσοδο|Τα απομεινάρια μίας _στενής ελικοειδούς σκάλας_ οδηγούσαν στην μοναδική είσοδο που φαινόταν να υπάρχει|Μπορούσα να ξεχωρίσω μία είσοδο στο ανώτερο τμήμα του κτίσματος. Θα έπρεπε να _σκαρφαλώσουμε_ τους εξωτερικούς τοίχους για να την φτάσουμε]."
"evt-ruins-2","[Ένα τεράστιο κτίσμα ορθωνόταν μπροστά μας|Αρχαία μνημεία, ξεχασμένα εδώ και και αιώνες από τον Πίθηκο αλλά και τον Άνθρωπο, στέκονταν μπροστά μας|Το κτίσμα μπροστά, μας προκαλούσε φόβο αλλά και δέος|Φτάσαμε σε ένα ξεχασμένο από τον χρόνο μνημείο|Φτάσαμε σε ένα μεγαλοπρεπές μνημείο, που φαινόταν να έχει εγκαταλειφθεί εδώ και πολλούς αιώνες]. [Οι μεταλλικοί του τοίχοι ήταν καλυμμένοι από ένα παχύ στρώμα σκουριάς|Βλάστηση κάθε είδους αναπτυσσόταν προς τον ήλιο|Ήταν μια επιβλητική απόδειξη της δύναμης των δημιουργών του]. [Οι κληματσίδες που κρέμονταν χαμηλά έκρυβαν εν μέρει την είσοδο που οδηγούσε στο εσωτερικό|Επιβλητικά σκαλοπάτια οδηγούσαν σε μία τεράστια είσοδο|Η πύλη που οδηγούσε στο εσωτερικό είχε κάτι το ανατριχιαστικό πάνω της]."
"evt-ruins-actions-action","Μπες στα ερείπια"
"evt-ruins-enter","[Φτάσαμε σε κάτι που έμοιαζε με υπόγειο θησαυροφυλάκιο|Μπροστά μας ήταν κάτι που έμοιαζε με ένα ξεχασμένο από τον καιρό θησαυροφυλάκιο|Με προσοχή μπήκαμε σε έναν, αρκετά καλά διατηρημένο, αποθηκευτικό χώρο]. [Ήξερα πως αν υπήρχαν αντικείμενα αξίας θα τα βρίσκαμε εδώ|Ρίξαμε μια καλή ματιά στον σκουριασμένο θάλαμο]. Τα βήματα μας αντηχούσαν καθώς προχωρούσαμε μέσα στο θησαυροφυλάκιο."
"evt-ruins-enter-action","Ψάξε το θησαυροφυλάκιο"
"evt-ruins-hint-ice","Το μέταλλο ήταν _κρύο_ στο άγγιγμα. [Πολύ ενδιαφέρον|Σίγουρα θα υπάρχει κάποια επιστημονική εξήγηση για αυτό το φαινόμενο|Αναρωτήθηκα αν με κάποιο τρόπο είχε γίνει ανθεκτικό στην ζέστη ή αν υπήρχε κάποια άλλη εξήγηση]."
"evt-steal-animals-1","An array of suitable animals was paraded before us. Which one should we trade for?"
"evt-outpost-enter","[I|We|The trek|Our trek|Our group] [arrived|entered|stopped] at the outpost. We were greeted by a slaver and a court shaman. [The place was dirty|It was a place of hopelessness and sorrow|The place reeked of the dark side of humanity|It was a well-secured but mobile encampment|The camp was littered with filth|An acrid stench of human excrement brought tears to my eyes] and [cages filled with slaves were strewn throughout the area|comprised of a collection of cages filled with intimidated prisoners|several large cages were filled with all kinds of different people]."
"it-policebaton-name","Police Baton"
"it-policebaton","Ένα πολύ ανθεκτικό ραβδί, τέλειο για να δέρνεις Ανθρώπους"
"it-grenade-name","Χειροβομβίδα"
"it-grenade","Ένα μεταλλικό κουτί στο σχήμα λεμονιού που κάνει ΚΑΜΠΟΥΜ όταν το ρίχνεις σε Ανθρώπους."
"it-banana-name","Μπανάνα"
"it-banana","Η ένδοξη τροφή των Θεών, που ορισμένες φορές δίνει στους Πιθήκους υπερφυσική σωματική δύναμη. Ακατάλληλο για κατανάλωση από Ανθρώπους."
"zn-roamingNatives-name","Human Foragers"
"it-philosophersstone-name","Philosopher's Stone"
"it-philosophersstone","Athena's most precious possession: An ancient artefact of Clairvoyance."
"anm-warhog-title","War Hog"
"anm-warhog","War Hogs of the Apes are infamous as ferocious hunting beasts. Some say that they can smell a Human a mile away."
"pl-beastMaster-title","Beast Master"
"pl-beastMaster","Beast Masters can 'coerce' any animal to surpass its physical limitations. And they would never go on campaign without their trusty War Hogs, which they raise from birth."
"evt-harbor-recruit-beastMasterWarhog-action","Beast Master and War Hog"
"evt-harbor-recruit-beastMasterWarhog-1","We could use the help of the [Beast Master and the War Hog|experienced animal handler and the loyal beast|beast tamer and the faithful hog|dynamic duo|efficient pairing] and welcomed them to our team."
"evt-steal-animals-action","Buy pack animal"
"evt-steal-animals","We asked the outpost to provide us with a suitable pack animal."
"evt-village-steal-animal","[Απαιτήσαμε να μας δώσουν ένα ζώο ως φόρο τιμής για την Αυτοκρατορία των Πιθήκων|Αναγκάσαμε τον δουλέμπορο να μας δώσει ένα από τα ζώα του|Ο δουλέμπορος εντυπωσιάστηκε τόσο πολύ που μας έδωσε ένα από τα ζώα του|Το ζώο που μας δόθηκε φαινόταν να είναι το μόνο της προκοπής από το στοκ του|Ο δουλέμπορος κατάπιε την περηφάνια του και ενέδωσε στις απαιτήσεις μας|Ο δουλέμπορος ήταν ξεκάθαρο ότι μας μίσησε όταν τον αναγκάσαμε να μας δώσει ένα από τα ζώα του]. Αποφασίσουμε να [ονοματίσουμε το θηρίο|δώσουμε στο ζώο το όνομα|δώσουμε στο ζώο το παρατσούκλι|φωνάζουμε το ζώο από τούδε και στο εξής] $name."
"it-whisky-ape-name","Μπανάνα σναπς"
"it-whisky-ape","Destilled according to the Ape Purity Law, this is some seriously intense stuff. Not fit for consumption by Humans."
"fxt-outpost-name","Ape Outpost"
"evt-outpost-init-action","Enter Ape Trade Outpost"
"evt-village-human-main-0","Οι χωρικοί πανικοβλήθηκαν μπροστά στην θέα μας. Οι γονείς έκρυψαν γρήγορα τα παιδιά τους, και ο γέροντας του χωριού άρχισε να τρέμει."
"evt-village-human-main-1","Οι άνθρωποι μας κοίταξαν με φόβος και δέος. Ήξεραν ότι μια δύναμη μεγάλης ισχύος στεκόταν μπροστά τους."
"evt-village-human-main-2","Οι Άνθρωποι μας πλησίασαν με επιφύλαξη."
"evt-village-human-main-3","The Humans did not seem to fear us very much. Their demeanour was almost...spiteful."
"evt-village-human-main-4","Οι άνθρωποι ήταν εχθρικοί προς τα εμάς. Μάλιστα, μερικοί είχαν την τόλμη να κουβαλάνε όπλα μπροστά στην παρουσία μας."
"evt-expedition-done-WoA-1","Έπειτα από [πολλές εβδομάδες επιδρομών|ένα τέτοιο εγχείρημα|τόση δουλειά και κακουχίες], [μεγάλη ευφορία|μεγάλη χαρά|ανείπωτη περηφάνια|τρομερή ανακούφιση] με κατέβαλε. Ήξερα πως [το όνομα μου|το όνομα $name] [θα μνημονευόταν για πάντα|δεν θα ξεχνιόταν ποτέ|θα γινόταν συνώνυμο της νίκης|θα συζητιόταν για χρόνια πολλά μετά το θάνατό μου|θα το σέβονταν όλη στην Αυτοκρατορική αυλή|θα έμενε στα χρονικά της ιστορίας των Πιθήκων]."
"evt-goal-explore-WoA-finish","[Η μεγαλοπρεπής Χρυσή Πόλη υψωνόταν μέσα στο χώρο της|Η Χρυσή Πόλη δέσποζε πάνω από όλα|Επιτέλους είχαμε φτάσει στην Χρυσή Πόλη|Το εξωτικό τοπίο κολάκευε την απίστευτη Χρυσή Πόλη|Ένα θαύμα της αρχιτεκτονικής των Πιθήκων, η Χρυσή Πόλη ήταν πλέον δική μας|Ο τελικός μας προορισμός μας περιέπαιζε με τη χρυσή του δόξα|Η πόλη από χρυσάφι μας έδειχνε το δρόμο για τη νίκη|Ο στόχος ήταν μπροστά μας με τη μορφή μιας ολόχρυσης πόλης|Υπήρχε μια Χρυσή Πόλη, ένα θαύμα της αρχιτεκτονικής των Πιθήκων]."
"evt-expedition-done-WoA-action-1","[Δόξα στους Πιθήκους!|Δόξα και Τιμή!|Για την Αυτοκρατορία!|Για την Φήμη και την Δόξα!|Εμπρός, να γράψουμε Ιστορία!|Ατελείωτη Φήμη Και Δόξα Μας Περιμένει!|Δόξα στην Μεγάλη Αυτοκρατορία των Πιθήκων! Ζήτω οι Πίθηκοι!]"
"evt-goldenCity-approach-action","Πλησίασε την Χρυσή Πόλη"
"fxt-goldenCity-unearthed-name","Χρυσή Πόλη της Αυτοκρατορίας"
"evt-goal-explore-WoA-finish-action","Μπες στην Χρυσή Πόλη"
"zn-fleeingHumans-name","Fleeing Humans"
"evt-peaceful-enslavement-action","Απαίτησε αιχμαλώτους για φόρο τιμής"
"evt-peaceful-enslavement-fail","Όπως όριζαν οι αρχαίες μας παραδόσεις, αναγγείλαμε Μεγάλο Κυνήγι. Μεγάλη δόξα περίμενε τους νικητές. Τρέψαμε τους Ανθρώπους σε φυγή και τους δώσαμε ένα σημαντικό προβάδισμα...το κυνήγι είχε ξεκινήσει."
"evt-peaceful-enslavement-success","Οι άνθρωποι υπέκυψαν στην θέληση μας, αντιλαμβανόμενοι ότι το να προσφέρουν ένα κομμάτι της κοινότητας τους ως φόρο τιμής ήταν η καλύτερη τους ελπίδα για να κρατήσουν την ελευθερία τους οι υπόλοιποι. Γρήγορα μαζέψαμε τον Ανθρώπινο φόρο τιμής στη καρότσα μας. Οι υπόλοιποι Άνθρωποι δεν μπορούσαν να κοιτάξουν τους αιχμαλώτους μας στα μάτια, επειδή η ντροπή ήταν πολύ μεγάλη."
"evt-forceful-enslavement-action","Κάλεσμα για ένδοξο κυνήγι"
"evt-village-huntSlaves","We sized up the Humans and decided that they would make a worthy tribute for the Great Ape Emperor. Should we follow our ancient traditions and declare a Great Hunt or try to submit them in a far less prestigious manner?"
"evt-peaceful-enslavement-fail-2","They could see through our threats and lies and decided to take their chances and and make a stand."
"evt-shrine-14-mod","Μύρισα τον αέρα [Σαν δημόσιο ουρητήριο|Σαν απολιθωμένα κόπρανα|Άσχημη μυρωδιά, παρόμοια με αυτήν που έχουν το Καλοκαίρι οι παράγκες στην Πόλη των Πιθήκων]. Ή σαν φρεάτιο στην άκρη του δρόμου. Μετά είδα τους ατμούς, μικρά νέφη δυσωδίας να βγαίνουν από σχισμές στο έδαφος."
"evt-buy-moonstone-title","Αγόρασε φεγγαρόπετρα"
"evt-buy-moonstone","We convinced the outpost to sell us the tribute necessary to enter the local Golden City."
"evt-stoneCircle-revealSlaver-action","Reveal outposts"
"evt-pacify-success","We managed to soothe their concerns with honeyed words. The mob backed down...for now."
"evt-pacify-action","Calm the mob down"
"evt-negotiate-success","After a passionate rhetorical masterpiece, the Humans were taken aback. The mob backed down...for now."
"evt-negotiate-action","Έκκληση στη λογική"
"evt-show-of-force-success","We arrayed ourselves in all our martial splendor, weapons on display. The mob backed down...for now."
"evt-show-of-force-action","Show of force"
"evt-seal-slaves-title","Tap into Human life force"
"evt-seal-slaves","The Humans gave their life force as a tribute to the Golden City. The sheer power of the ritual was overwhelming, and you did not have to be a court shaman to feel that change was literally in the air all around the site."
"evt-goldenSeal-slaves","We approached [a mysterious|a grand|a seemingly ancient|an immemorial] structure that seemed to be partially made out of pure gold. It looked a lot like one of the ancient sites that collected tribute for the Golden Cities. [With some effort we would hopefully be able to trigger it|I believe that with the life force of Humans we could set it into motion|With a little preparation and time we would surely be able to activate it]. However, exactly what would happen upon activation remained a mystery."
"evt-goldenSeal-1-slaves","[Μας πήρε λίγη ώρα, αλλά τελικά|Μετά από πολλές ώρες τελετουργικών|Μετά από πολύ ιδρώτα και κόπο] [καταφέραμε|ήμασταν ικανοί] να [αποκρυπτογραφήσουμε|ξεκλειδώσουμε|αποκωδικοποιήσουμε|ενεργοποιήσουμε] [τον ασυνήθιστο|τον μυστηριώδη|τον μεγάλο|τον φαινομενικά αρχαίο|τον αινιγματικό] μηχανισμό. Ξαφνικά μία τεράστια στήλη φωτός [αναδύθηκε|βγήκε|εκτοξεύθηκε|προεκτάθηκε] μέσα από τη σφραγίδα."
"pl-berserker-title","Μπερσέρκερ"
"pl-berserker","Πολεμιστές που έχουν εμμονή για μπανάνα σναπς. Πλησίασε με προσοχή."
"pl-vanguard-title","Εμπροσθοφυλακή"
"pl-vanguard","Members of the Imperial Vanguard are elite scouts trained in mountain warfare."
"it-lokiGun-athena-name","Οργή των Αρχαίων"
"it-lokiGun-athena","Athena's personal weapon is an ancient artifact of unbridled power."
"narrator-1","As always[, the nobles|, the subjects|, the sycophants] of the Ape Emperor have come to petition [His Majesty|His Magnificence|their Overlord]. What makes you think that you are even worth His time?"
"narrator-2","Είσαι ένας ταπεινός ευγενής, ουσιαστικά ένα μηδενικό. Πρέπει να φτιάξεις ένα όνομα για τον εαυτό σου! Πήγαινε επισκέψου τις Χρυσές Πόλεις της Αυτοκρατορίας και εντυπωσίασε τους ηγέτες σου!"
"narrator-3","On your way, raid the pathetic Humans, capture them and offer them as tribute to the Golden Cities. But be aware, your rivals are always close by."
"narrator-4","Και τώρα φύγε, κυνήγησε και πλιατσικολόγησε. Αν επιστρέψεις πλούσιος και διάσημος ίσως και να καταφέρεις να γίνεις μέλος του στενού Του κύκλου. Για τον Αυτοκράτορα των Πιθήκων! "
"outro-pyramid","Χρυσή Πόλη"
"cl-celebration-audience-10","[Marry me!|How handsome!|I love you!|Ape Men and Women working together!]"
"cl-celebration-audience-11","[Αυτός ο βούβαλος είναι απλά τεράστιος!|Ώστε έτσι λοιπόν μοιάζει ένας βούβαλος!|Κοίτα αυτό το βουβάλι!|Πώς λέγεται αυτός εκεί ο βούβαλος;]"
"cl-celebration-audience-1","[Δες ένα|Κοίτα ένα|Δες αυτόν τον] [γλυκούλη|πιστό|έμπιστο|γενναίο] γάιδαρο!"
"cl-celebration-audience-2","[Μα τι πιστό σκυλί είναι αυτό!|Μακάρι να είχα ένα σκύλο σαν κι αυτό!|Αυτό το σκυλί αξίζει μετάλλιο!]"
"cl-celebration-audience-3","[Μπορώ να μυρίσω το αλκοόλ από εδώ πέρα!|Μπορώ να έχω και εγώ λίγο μπανάνα σναπς;|Μπανάνα σναπς είναι αυτό που έχει το μπουκάλι;]"
"cl-celebration-audience-4","[What a lady!|An Ape woman, really?|Leave the adventure to Ape men!|Do my eyes deceive me, an Ape woman?|Go back to the library!|Times are changing.|Well that's a pleasant surprise for the fairer sex.|She is glorious.|She should know her place!|Times are certainly changing for the better.|Not bad, for an Ape woman.|She is a role model!]"
"cl-celebration-audience-5","[Ένας αγροίκος!|Τι απολίτιστο πλάσμα!|Γιατί έφερες αυτό το πράγμα εδώ;|Ένα κτήνος!|Μπορεί αυτό το πράγμα να μιλήσει;]"
"cl-celebration-audience-6","[Πώς είναι καν δυνατό αυτό το πράγμα να είναι ζωντανό;|Δεν με αρέσει αυτό το πράγμα!|Τι φρίκη!|Τι είναι αυτό;!|Μπορεί να μιλήσει;|Φοβάμαι!|Αυτό το πράγμα είναι για τον ζωολογικό κήπο!|Τι αηδιαστικό πλάσμα είναι αυτό!]"
"cl-celebration-audience-7","[Ολομόναχος;|Μα που είναι οι άλλοι;|Μήπως οι υπόλοιποι να πανηγυρίζουν κάπου αλλού;|Σε κάνει να αναρωτιέσαι τι μπορεί να απόγινε το υπόλοιπο πλήρωμα...|Πρέπει να ήταν μοναχικό ταξίδι.|Η υπόλοιπη ομάδα αφανίστηκε;|Μόνο ένας πίθηκος;]"
"cl-celebration-audience-8","[Animal master!|Must like animals.|Appreciates animals more than Apes.|Probably can speak to animals too.]"
"cl-celebration-audience-9","[Why so many soldiers?|Must appreciate a fine soldier at their side.|Are they returning from war?]"
"cl-celebration-audience","[Μπράβο|Ναι|Εύχομαι να ήμουν εσύ|Με εμπνέεις να γίνω καλύτερος|Φανταστικά|Καταπληκτικά|Τι ηρωισμός|Τέλεια|Αφήστε με να δω|Για τους Αρχαίους και τον Αυτοκράτορα|Για την Αυτοκρατορία|Για τον Αυτοκράτορα|Για τον Αυτοκράτορα και τους Πιθήκους|Απίστευτο|Εξαιρετικά|Τι μέρα κι αυτή|Τι γενναιότητα|Τι χαρά|Απλά εντυπωσιακό]!"
"cl-celebration-party-1","[Ήρθε η ώρα να γιορτάσουμε με ένα ποτό!|*Χικ*|Στην υγειά σας!|Έφτασε η ώρα να πιούμε Μπανάνα σναπς!]"
"cl-celebration-party-2","[Εγώ απλώς επιτελώ το έργο του Αυτοκράτορα!|Με τις ευλογίες σας!|Εγώ απλώς θέλω να βοηθήσω!]"
"cl-celebration-party-3","[Ό,τι να 'ναι.|Ούτε που με νοιάζει.|Ελπίζω τώρα να είσαι χαρούμενος.|Νιώθεις ήρωας τώρα;]"
"cl-celebration-party-4","[Γιατί τόσοι πολλοί Πίθηκοι κοιτάνε εμένα;|Αυτό δεν φαίνεται και πολύ ασφαλές.|Όλο αυτό για μένα;|Αυτό θα μου πάρει λίγο καιρό μέχρι να το συνηθίσω|Υπερβολικά πολλοί Πίθηκοι.]"
"cl-celebration-party-5","[Επιτέλους, πολιτισμένοι Πίθηκοι ξανά.|Παιδιά ηρεμήστε, επέστρεψα.|Τα πάντα φαίνονται τόσο διαφορετικά.|Είμαι χαρούμενος που επέστρεψα.]"
"cl-celebration-party","[Σας ευχαριστώ!|Συγκινήθηκα!|Τόσο ευγενικό εκ μέρους σας!|Ευχαριστώ!|Ω, αυτό είναι απλά τέλειο!|Εξαίσια!|Αυτό είναι υπέροχο!|Θα κλάψω, ρε μπαγάσες!]"
"pk-goodReputation-title","Imposing Presence"
"evt-harbor-recruit-soldierBritish-action","$name the marauder"
"evt-harbor","[Νωρίς εκείνο το πρωί|Ο αέρας ήταν φρέσκος και μύριζε αλάτι όταν|Γεμάτος λαχτάρα|Περιμένοντας με ανυπομονησία την επερχόμενη επιδρομή|Αφού λάλησαν τα κοκόρια|Μετά από ένα καλό ύπνο|Αφού δεν κατάφερα να κλείσω μάτι από τον ενθουσιασμό μου] [έφτασα στο λιμάνι|πήγα στην αποβάθρα|ανέβηκα στο καράβι|αποθήκευσα τα πράγματά μου στο καράβι|κατέφτασα στην προβλήτα|πήρα την απόφαση να ξεκινήσω για το λιμάνι|πήρα τα μπογαλάκια μου και ξεκίνησα σιγά-σιγά για το λιμάνι]. [Το πλήρωμα είχε ακόμα πολλές ετοιμασίες να κάνει|Ο καπετάνιος δεν είχε φτάσει ακόμα|Υπήρχαν δουλειές να γίνουν ακόμα|Είχαμε λίγο χρόνο μέχρι το καράβι να είναι έτοιμο], [και ήπια μια τελευταία κούπα Μπανάνα σναπς|και έτσι πέρασα τον χρόνο μου πάνω στο κατάστρωμα, απολαμβάνοντας το δροσερό αεράκι|και έτσι έκατσα στην αποβάθρα|και είδα άμα έχει τίποτα να κάνω|και έκανα ένα μικρό τελετουργικό στα γρήγορα για να πάνε όλα καλά στο ταξίδι|και άρχισα να φαντάζομαι τι μπορεί να υπάρχει πέρα από τον ορίζοντα|και άρχισα να φαντάζομαι να μιλάνε για μένα στο παλάτι|και άρχισα να αναρωτιέμαι ποια ήταν η καλύτερη πόζα όταν με το καλό στήσουν άγαλμα προς τιμήν μου]."
"evt-harbor-recruit-1","[Με περηφάνια είδα|Μιας και ήμουν ένας από τους πιο γνωστούς Πιθήκους εξερευνητές|Με χαρά είδα|Τα νέα από τις ένδοξές μου επιδρομές είχαν ταξιδέψει σε όλο τον κόσμο και έτσι δεν εξεπλάγην όταν είδα] [πως τα κατορθώματα μου είχαν φτάσει στο παλάτι και στους εκεί γλύφτες|πως οι ιστορίες από τα κατορθώματά μου είχαν κινήσει το ενδιαφέρον πολλών ατόμων|πως οι ιστορίες από τις προηγούμενες μου επιδρομές είχαν γίνει αρκετά γνωστές|πως η παρουσία του καραβιού μας είχε τραβήξει το ενδιαφέρον του κοινού]. [Πολλοί νεοσύλλεκτοι Πίθηκοι παρουσιάστηκαν,|Με πλησίασαν πολλά ικανά χέρια] [που ήθελαν να πάρουν μέρος στην επόμενη μας αποστολή προς το άγνωστο|που ήταν αρκετά περιπετειώδεις για να με ακολουθήσουν στις μελλοντικές επιδρομές μου|με ανυπομονησία για πλιατσικό και δόξα|με περιέργεια για να μάθουν περισσότερα για τις έξι Χρυσές Πόλεις της Αυτοκρατορίας|για να μάθουν αν όντως ήταν αληθινές οι ιστορίες που περιέγραφαν τα κατορθώματα μου|με πείνα για πλιατσικό και δόξα]. Ποιον θέλω να _στρατολογήσω;_"
"evt-harbor-recruit-2","[This expedition could potentially lift me into first place and above my rivals|It was a close race for first place and the enviable prize of the Ape Emperor's good graces|My past raids and tributes had been quite successful and I felt I was soon to see my face on an honorary statue]. [Word about this had spread in the Imperial Capital|My exploits were well-known|My reputation preceded me], [and many Apes came to see our ship|attracting a few enterprising Apes to my cause|so many new recruits arrived at the ship, willing to join our raiding party]. Who did I want to _recruit?_"
"evt-harbor-recruit-3","[Η φήμη μου ήταν ακόμα μικρή, αλλά|Μετά τους κόπους των προηγούμενων αποστολών με ενθουσιασμό] [διαπίστωσα ένα μέτριο ενδιαφέρον για τα κατορθώματά μας|διαπίστωσα πως περισσότεροι Πίθηκοι έδειχναν ενδιαφέρον για το καράβι μας]. Ποιον ήθελα να _στρατολογήσω;_"
"evt-harbor-select","[Just in time|At long last|My adrenalin was pumping as|My heart jumped with anticipation as I heard that] [the|our] [ship|vessel] was [ready|prepared|primed] [for departure|to set sail|to leave the harbour|to sally forth|to head for distant shores|to put out to sea]."
"evt-harbor-recruit-mountainTrooper-action","$name the vanguard"
"evt-village-recruit-bloodrider-action","$name the Bloodrider"
"evt-village-recruit-bloodrider","$name the Bloodrider joined the trek."
"evt-harbor-recruit-berzerker-action","$name the berserker"
"evt-harbor-recruit-berzerker","$name the berserker joined our trek."
"pk-whiskyIncrease-1-title","Bananaschnapps Fanatic 1"
"pk-whiskyIncrease-1","Increases the gained sanity when drinking Bananaschnapps."
"pk-whiskyIncrease-2-title","Bananaschnapps Fanatic 2"
"pk-whiskyIncrease-3-title","Bananaschnapps Fanatic 3"
"pk-whiskyIncrease-4-title","Bananaschnapps Fanatic 4"
"bonus-whisky","Bananaschnapps Sanity"
"pl-native-starting-shaman-title","Court shaman"
"pl-native-starting-shaman","One of the Ape Emperor's close advisors. Practices ancient rites and the lore of alchemy (Chance of sanity gain when using mushrooms)"
"evt-village-recruit-shaman-action","$name the shaman"
"base-sanity","Morale"
"help-sanity","The motivation and satisfaction level of your raiding party. Drop to zero and more and more catastrophic events will begin to occur."
"base-standing","Dominance"
"help-standing","How subservient the Humans of this region are to your authority. Allow it to get too low and they may get rebellious."
"pl-native-starting-scout-title","Imperial scout"
