"fxt-village-human-name","Làng của loài người"
"pl-beastMaster","Các tư lệnh của các con thú có thể ép buộc bất kỳ con vật nào hoạt động vượt quá khả năng vật lý của bản thân. Và họ sẽ không bao giờ thực hiện các chiến dịch chiến đấu mà không có các heo chiến binh đáng tin cậy - những con vật họ đã nuôi dưỡng từ lúc mới sinh."
"evt-harbor-recruit-beastMasterWarhog-action","Tư lệnh huấn luyện thú và heo chiến binh"
"evt-harbor-recruit-beastMasterWarhog-1","Chúng ta có thể sử dụng sự giúp đỡ của [Tư lệnh của những con thú và các chú heo chiến binh| chuyên gia huấn luyện động vật đầy kinh nghiệm và lòng trung thành của con thú |sử dụng kết hợp người thuần dưỡng thú với chú heo trung thành|một cặp chiến đấu năng động|sự kết nối hiệu quả] và chúng tôi đã chào đón họ vào nhóm của chúng tôi."
"evt-steal-animals-action","Mua trọn gói các loài vật chiến đấu"
"evt-steal-animals","Chúng tôi hỏi tiền đồn để cung cấp cho chúng tôi một con vật chiến phù hợp."
"evt-village-steal-animal","[Chúng tôi yêu cầu một con vật để tưởng nhớ tới hoàng đế Ape vĩ đại|Chúng tôi ép buộc thương nhân nô lệ trao một con vật của họ cho chúng tôi|Người nô lệ bị cưỡng ép đến mức phải nhượng lại con vật của họ cho chúng tôi|Con vật dường như là thứ tài sản duy nhất có giá trị mà họ có|Người nô lệ đã kìm nén lòng tự trọng của họ xuống để làm theo những yêu cầu của chúng tôi|Người nô lệ rõ ràng khinh ghét chúng tôi vì đã lấy đi những con vật của anh ta]. Chúng tôi [đã gọi|đã đặt tên|đã gán tên|đã quyết định gọi] con thú $name."
"it-whisky-ape-name","Rượu chuối"
"it-whisky-ape","Rượu chuối là thứ gì đó rất mãnh liệt, được chưng cất theo phương cách thuần khiết của Ape. Nó không thích hợp cho con người uống."
"fxt-outpost-name","Tiền đồn Ape"
"evt-outpost-init-action","Xâm nhập tiền đồn buôn bán của Ape"
"evt-village-human-main-0","Sự xuất hiện của chúng tôi đã làm dân làng e sợ. Các bậc cha mẹ giấu đi những đứa trẻ của họ, và những người già làng thì đang run lên vì sợ hãi."
"evt-village-human-main-1","Con người nhìn chúng tôi đầy kinh ngạc. Họ biết rằng trước mắt họ là một đội quân hùng mạnh."
"evt-village-human-main-2","Con người tiếp cận chúng tôi một cách thận trọng."
"evt-village-human-main-3","Con người dường như không sợ chúng ta lắm. Thái độ của họ gần như... đầy hận thù."
"evt-village-human-main-4","Con người lộ rõ vẻ chống đối. Một vài người trong số họ thực sự dám mang theo cả vũ khí khi đối diện với chúng tôi."
"evt-expedition-done-WoA-1","Sau [hàng tuần áp chế|một nỗ lực như vậy|tất cả công việc này], [cảm giác khoan khoái|niềm vui lớn|niềm hãnh diện lớn lao|sự giải tỏa tâm lý mạnh mẽ] tràn đầy cơ thể và tâm trí tôi. Tôi biết rằng cái tên [của tôi|này|đó] $name [sẽ được ghi nhớ mãi mãi|sẽ không bị lãng quên|sẽ đồng hành với chiến thắng|sẽ được lưu vào sử sách ngàn đời sau khi tôi không còn tồn tại trên cõi đời này|sẽ được tôn kính tại triều đình|sẽ được lưu nhớ đặc biệt trong biên niên sử của lịch sử Ape]."
"evt-goal-explore-WoA-finish","[Thành phố vàng hùng vĩ nổi bật hẳn với khung cảnh xung quanh|Thành phố vàng này hiện ra lờ mờ|Chúng tôi cuối cùng đã đến được Thành phố Vàng| Cảnh quan kỳ lạ đã kiến tạo nên một thành phố Vàng quá đỗi đặc biệt|Một kỳ quan của kiến trúc Ape, Thành phố vàng sẽ là mục tiêu cuối cùng của chúng tôi|Ánh hào quang của điểm đến cuối cùng này đã mời gọi chúng tôi|Thành phố của vàng đã thôi thúc chúng tôi tới chiến thắng|Mục tiêu đặt ra cho chúng tôi là một thành phố được xây dựng hoàn toàn bằng vàng| Thành phố vàng này đại diện cho đỉnh cao của công nghệ, kỹ thuật Ape]."
"evt-expedition-done-WoA-action-1","[Vì sự vinh quang cho các Apes!| Danh dự!|Vì Hoàng Đế vĩ đại!|Vì danh vọng và vinh quang!|Hướng về cội nguồn và lịch sử!|Vì Danh tiếng được lưu truyền mãi mãi ở phía trước!|Vì sự thịnh vượng và vẻ vang!]"
"evt-goldenCity-approach-action","Tiếp cận thành phố Vàng"
"fxt-goldenCity-unearthed-name","Thành phố Vàng của Hoàng đế"
"evt-goal-explore-WoA-finish-action","Xâm nhập thành phố Vàng"
"zn-fleeingHumans-name","Rời xa khỏi loài người"
"evt-peaceful-enslavement-action","Yêu cầu hiến tế những người bị giam giữ"
"evt-peaceful-enslavement-fail","Theo truyền thống từ thời xa xưa để lại, chúng tôi tuyên bố một cuộc đi săn mạnh mẽ. Một sự vẻ vang lớn đang chờ đợi chúng tôi nếu chúng tôi thành công. Những con người bị ép phải chạy trốn vào khu vực hoang dã và sau một thời gian cho sự khởi động... Cuộc săn bắt đã bắt đầu."
"evt-peaceful-enslavement-success","Con người tự nguyện cống nạp theo ý muốn của chúng tôi bởi lẽ họ nhận ra rằng cách tốt nhất gìn giữ tự do cho những người còn lại là dâng hiến một phần của cộng đồng họ cho chúng tôi để hiến tế. Chúng tôi nhanh chóng buộc những người hiến tế vào cũi. Những người còn lại không dám nhìn thẳng vào mắt những người bị bắt giữ vì trong mỗi con người họ dâng lên một sự hổ thẹn quá lớn."
"evt-forceful-enslavement-action","Thu thập sau một cuộc đi săn lớn"
"evt-village-huntSlaves","Chúng tôi đo lường mọi người và quyết định rằng họ là một sự cống nạp có giá trị cho Hoàng đế Ape vĩ đại. Liệu chúng tôi có nên theo truyền thống cổ xưa của các bậc cha ông và công bố một cuộc săn lùng lớn hay đệ trình họ lên Hoàng đế theo một cách khác ít vẻ vang hơn?"
"evt-peaceful-enslavement-fail-2","Họ có thể nhìn thấu thấy mối nguy hiểm tiềm tàng và sự dối trá của chúng tôi, họ quyết định nắm lấy cơ hội của họ và vùng nổi dậy."
"evt-shrine-14-mod","Tôi đánh hơi để nhận biết mùi vị quanh đây. [Có mùi giống như mùi của một quán công cộng|Giống như mùi phân thối rữa|Uế khí xông lên nồng nặc, giống như đang đứng giữa khu ổ chuột của thành phố Ape ở giữa mùa hè]. Hoặc có mùi như từ một mương bên đường. Sau đó, tôi nhìn thấy từ các vết nứt nhỏ trên sàn nhà bay lên những làn khói hôi hám tạo nên những hơi nước nhỏ li ti và những vệt bẩn nhớp nháp đọng lại xung quanh."
"evt-buy-moonstone-title","Mua đá Mặt Trăng"
"evt-buy-moonstone","Chúng tôi đã thuyết phục các tiền đồn bán cho chúng tôi những cống nạp cần thiết để tiến vào bản địa thành phố Vàng."
"evt-stoneCircle-revealSlaver-action","Tiết lộ bên trong các tiền đồn"
"evt-pacify-success","Chúng tôi đã thành công trong việc cố gắng xoa dịu sự quan tâm của dân làng bằng những lời nói ngọt ngào. Đám đông đã lùi lại... tạm thời."
"evt-pacify-action","Trấn tĩnh đám đông"
"evt-negotiate-success","Sau một kiệt tác hùng biện hào nhoáng, nhiệt huyết, loài người đã bị bất ngờ. Đám đông đã lùi lại...ngay sau đó."
"evt-negotiate-action","Kêu gọi sự tranh luận"
"evt-show-of-force-success","Chúng tôi xuất hiện với tất cả sự huy hoàng của chúng tôi, với vũ khí của chúng tôi trong tầm nhìn. Đám đông đã lùi lại...ngay."
"evt-show-of-force-action","Biểu dương lực lượng"
"evt-seal-slaves-title","Khai thác nguồn sức sống từ con người"
"evt-seal-slaves","Con người dành hết sức sống cho Thành phố Vàng như một hình thức dâng hiến. Sức mạnh vô biên của buổi lễ đã bao trùm tất cả và bạn không cần phải là một pháp sư tòa án để cảm nhận được sự thay đổi từ xung quanh theo đúng nghĩa đen."
"evt-goldenSeal-slaves","Chúng tôi đã tiếp cận một kiến trúc [huyền bí|vĩ đại|gần như có từ rất lâu đời|cổ xưa] dường như được làm bằng vàng nguyên chất. Nó trông rất giống một trong những địa danh cổ đại dùng làm nơi bày tỏ lòng tôn kính đối với các thành phố Vàng. [Với một số nỗ lực, chúng tôi hy vọng sẽ có thể kích hoạt nó|Tôi tin rằng với nguồn sức mạnh của Loài người chúng ta có thể làm nó chuyển động|Cần một chút thời gian và sự chuẩn bị nhỏ, chúng tôi có thể hoạt động nó]. Tuy nhiên, để biết chính xác những gì xảy ra sau khi có sự kích hoạt vẫn còn là một bí ẩn."
"evt-goldenSeal-1-slaves","[Chúng tôi mất một chút thời gian, nhưng cuối cùng|Sau nhiều giờ nghi lễ|Sau rất nhiều rắc rối] chúng tôi đã [có thể|tương đối thành thạo] để [giải mã|mở|kích hoạt] một bộ máy [bất thường|bí ẩn|tuyệt vời|cổ xưa|kỳ bí]. Đột nhiên, từ con dấu của thiết bị, một cột đèn lớn [xuất hiện|nổi lên|phát ra|rộng khắp]."
"pl-berserker-title","Những kẻ say xỉn"
"pl-berserker","Đối với những chiến binh nghiện rượu chuối chúng ta phải tiếp cận một cách cẩn trọng."
"pl-vanguard-title","Đội tiên phong"
"pl-vanguard","Các thành viên của Đội quân tiên phong là những trinh sát ưu tú được huấn luyện thông qua chiến đấu trên núi."
"it-lokiGun-athena-name","Sự nổi giận của người cổ xưa"
"it-lokiGun-athena","Vũ khí cá nhân của Athena là một hiện vật cổ xưa có sức mạnh vô biên."
"narrator-1","Như thường lệ,[những nhà quý tộc|các học giả|những kẻ nịnh thần] của Hoàng đế Ape đã đến để kiến nghị lên [Đức Vua|Bệ Hạ|Vị Đại đế] của họ. Điều gì khiến bạn nghĩ rằng bậc Đế Vương sẽ dành thời gian cho bạn?"
"narrator-2","Bạn chỉ là một tên quý tộc nhỏ bé, bạn không là gì cả. Bạn phải lan truyền danh tiếng của bạn! Hãy tới những Thành phố Vàng của vị Hoàng đế và để lại ấn tượng sâu sắc với những người có quyền cai quản!"
"narrator-3","Trên đường đi, tấn công những loài người khốn khổ, bắt chúng và cống nạp họ như sự dâng hiến cho thành phố Vàng. Nhưng hãy cẩn thận, kẻ thù luôn ở xung quanh."
"narrator-4","Bây giờ hãy tiến lên, đi săn và cướp bóc. Nếu bạn trở lại giàu có và nổi tiếng, bạn thậm chí có thể trở thành một phần đáng tin cậy trong nhóm những cận thần của Ngài. Đó là Hoàng Đế Ape! "
"outro-pyramid","Thành phố Vàng"
"cl-celebration-audience-10","[Hãy kết hôn với tôi!|Anh thật đẹp trai làm sao!|Tôi yêu em!|Những người đàn ông và đàn bà Ape đang hoạt động cùng nhau!]"
"cl-celebration-audience-11","[Con trâu kia thật là to lớn!|Vậy, đó là những gì chúng ta có thể thấy từ một con trâu|Hãy nhìn vào con trâu đó! Tên nó là gì?]"
"cl-celebration-audience-1","[Hãy nhìn vào|Ô đúng là|Đó là một] con lừa [dễ thương|trung thành|đáng tin cậy|dũng cảm]!"
"cl-celebration-audience-2","[Thật là một chú chó trung thành!|Tôi ước Tôi có một chú chó như thế!|Chú chó đó xứng đáng với huy chương của nó!]"
"cl-celebration-audience-3","[Tôi có thể ngừi thấy mùi rượu ở quanh đây!|Có nên cẩn trọng khi chia sẻ một chút rượu chuối đó không?|Đó có phải là chai rượu chuối không?]"
"cl-celebration-audience-4","[Ôi, một quý bà!|Thật sự đó là một phụ nữ Ape sao?|Họ đã đem đến cho đàn ông Ape một cuộc phiêu lưu kì thú!|Có phải mắt tôi đang bối rối không, đó là một người phụ nữ Ape sao?|Quay lại thư viện!|Thời thế đang thay đổi rồi.|Thật là một sự ngạc nhiên thú vị khi thấy sự công bằng hơn trong giới tính.|Cô ấy rất lộng lẫy.| Cô ấy nên biết vị trí của cô ấy!|Thời đại chắc chắn đãng thay đổi theo hướng tích cực hơn.|Đối với một phụ nữ Ape thì lại càng không tệ chút nào.|Cô ấy là một hình mẫu điển hình!]"
"cl-celebration-audience-5","[Một kẻ man rợ!|Thật là vô văn hóa!|Tại sao lại mang nó đến đây?|Một tên súc vật!|Nó có biết nói không?]"
"cl-celebration-audience-6","[Làm sao thứ đấy thậm chí là còn sống?|Tôi không thích điều đó!|Thật kinh dị!|Nó là cái gì thế?!|Nó có thể nói chuyện không?|Tôi thấy sợ!|Thứ đấy thuộc về sở thú!|Cái vật đấy thật kì quái!]"
"cl-celebration-audience-7","[Chỉ có một mình?!|Những người khác ở đâu?|Có lẽ nào họ đã chiến đấu đơn độc để giành vinh quang?|Điều này làm bạn tự hỏi điều gì đã xảy ra với những người còn lại của đội quân...|Chắc chắn đó là một cuộc hành quân cô độc.|Liệu có phải những người khác đã hi sinh?|Chỉ còn lại một chiến binh Ape sống sót?]"
"cl-celebration-audience-8","[Thủ lĩnh của những con thú!|Phải yêu quý những con vật được huấn luyện.|Đánh giá cao những con vật hơn cả những chiến binh Apes.|Cũng có thể nói chuyện với những con thú đấy.]"
"cl-celebration-audience-9","[Tại sao rất nhiều binh sĩ?|Phải đánh giá cao một người lính tốt ở bên cạnh họ.|Có phải họ là những người đang trở về từ chiến trường?]"
"cl-celebration-audience","[Chúc mừng|Yeah|Tôi ước tôi là bạn|Bạn đã truyền cảm hứng cho tôi|Thật ấn tượng|Thật tráng lệ|Thật hào hùng|Thật tuyệt vời|Hãy để tôi xem|Đấng tối cao đã che chở cho bậc Đế Vương|Vì Đế chế|Vì Hoàng đế|Vì Hoàng đế và vương quốc Ape|Thật không thể tin được|Thật tinh tế|Thật là một ngày đặc biệt|Quá dũng cảm|Đó là một niềm vui sướng|Thật phi thường]!"
"cl-celebration-party-1","[Chúng ta hãy tổ chức một bữa tiệc rượu ăn mừng chiến thắng!|*hicks*|Nào cùng nâng ly!|Hãy cùng nhau thưởng thức món rượu chuối này!]"
"cl-celebration-party-2","[Tôi chỉ là đang thực thi những thánh chỉ của Hoàng Đế|Chúa phù hộ cho bạn!|Tôi chỉ muốn giúp đỡ bạn!]"
"cl-celebration-party-3","[Gì cũng được.|Tôi không quan tâm.|Tôi chỉ hi vọng là bây giờ bạn cảm thấy vui vẻ.|Bạn có cảm thấy mình giống như một vị anh hùng không?]"
"cl-celebration-party-4","[Tại sao những Apes này lại đang nhìn chằm chằm vào tôi?|Điều này làm tôi cảm thấy bất an.|Tất cả những điều này đều dành cho tôi sao?|Điều này cần phải có một vài người đã quen việc.|Có quá nhiều Apes.]"
"cl-celebration-party-5","[Cuối cùng thì lại trở về với những Apes văn minh.|Tất thảy mọi người đều cảm thấy thoải mái, tôi đã quay trở lại.|Mọi thứ dường như khác trước.|Rất vui khi tôi đã trở về.]"
"cl-celebration-party","[Cảm ơn!|Tôi đang bị choáng ngợp!|Các bạn thật tốt!|Cảm ơn!|Ồ, điều này đơn giản là quá tráng lệ!|Thật kì diệu làm sao!|Điều này thật tuyệt vời!]"
"pk-goodReputation-title","Yêu cầu trình diện"
"evt-harbor-recruit-soldierBritish-action","$name loài vật ăn thịt"
"evt-harbor","[Sáng sớm hôm đó|Không khí trong lành và có vị mặn mòi khi ấy mọi người đang|đầy háo hức tham gia|mong chờ cuộc đột kích sắp tới|Sau khi thức dậy vào lúc bình minh|Sau một đêm ngon giấc|Sau một đêm quá phấn khích trước giờ ngủ] Tôi [đến các cầu cảng|hướng đến cầu cảng|lên tàu|cất giữ thiết bị của tôi trên tàu|đến bến cảng|vội vã đến bến cảng|nhanh chóng tiếp cận cầu cảng]. [Thuyền viên đã chuẩn bị những việc còn lại để bắt đầu công việc|Thuyền trưởng vẫn chưa đến|Vẫn còn một số bước cần phải sắp xếp|Chúng tôi đã có một ít thời gian trước khi con tàu sẵn sàng], [vì vậy tôi đã thưởng thức cốc rượu chuối cuối cùng|vì vậy tôi đã dành thời gian của tôi trên boong tàu, tận hưởng làn gió mát mẻ|vì vậy tôi ngồi trên cầu tàu và chờ đợi|vì vậy tôi ngẫm nghĩ xem liệu có còn việc gì tôi có thể làm|vì vậy tôi đã thực hiện một nghi thức khởi hành nhanh chóng|vì vậy tôi đã tưởng tượng tôi đang nằm trên đường chân trời|vì vậy tôi đã có một số niềm vui khi nghĩ đến việc tên của tôi đang được thì thầm tại tòa án|vì vậy tôi tưởng tượng ra bộ mặt tôi sẽ trông như thế nào trên một bức tượng danh dự]."
"evt-harbor-recruit-1","[Tôi rất tự hào khi nhận ra rằng|Vì tôi là một trong những Apes nổi tiếng nhất tại tòa án,| tôi rất vui mừng được chứng kiến​​|Tin tức về các cuộc tấn công hùng tráng và những cống hiến của tôi đã lan rộng, vì vậy tôi không ngạc nhiên khi thấy điều đó] [danh tiếng của tôi đã lan truyền tới tai của những cận thận và cả những kẻ nịnh thần của triều đình|những câu chuyện về công cuộc khai phá của tôi đã trở thành cám dỗ cho những kẻ có ý đồ|những câu chuyện về các cuộc tấn công và cống hiến trước đây của tôi đã thu hút khá nhiều sự chú ý|việc tàu của chúng tôi cập bến cảng này đã có sức hấp dẫn đối với đám đông] [Nhiều tân binh mới xuất hiện,|Một số các Ape có năng lực đã tiếp cận tôi] [những người sẵn sàng đi cùng với nhóm tấn công của tôi tới những địa điểm vô danh|họ có đủ khả năng làm hoạt náo không khí để gây chú ý với tôi|họ là những người háo hức cho đi cướp bóc và giành vinh quang|họ tò mò để tìm hiểu thêm về hơn sáu thành phố vàng của đế chế|và để tìm hiểu sự thật về truyền thuyết xung quanh chuyến khám phá của tôi|họ khao khát được vinh danh và thử thách mạo hiểm]. Ai là người tôi đã từng muốn _tuyển dụng?_"
"evt-harbor-recruit-2","[Cuộc thám hiểm này có khả năng đưa tôi vào vị trí đầu tiên và vượt qua các đối thủ của tôi|Cuộc đua này sẽ giúp tôi tới gần hơn với vị trí đầu tiên và đạt được những ân sủng từ Hoàng đế Ape|Chuyến săn bắt và những cống hiến của tôi trước đây đã khá thành công và tôi cảm nhận được rằng tôi sẽ sớm được nhìn thấy gương mặt mình trên bức tượng danh dự]. [Lời lan truyền đã lan rộng trong kinh thành Hoàng gia|Chuyến phiêu lưu của tôi đã trở nên nổi tiếng|Danh tiếng về tôi đã được biết đến trước khi tôi vào kinh thành], [và rất nhiều Apes đã đến để chiêm ngưỡng con tàu của chúng tôi|thu hút một vài Apes hứng thú với chuyến đi của tôi|vì thế có một lượng lớn các Apes muốn gia nhập đội thám hiểm của tôi tiếp cận con tàu, sẵn sàng gia nhập ngày hội săn bắt của chúng tôi]. Ai là người tôi muốn _tuyển dụng?_"
