"@authors","Translator: Lauren Lim(Karma_L)"
"anm-waterBuffalo","물소입니다. 더 많은 짐을 나를 수 있습니다."
"attack-loki-name-1","로키의 안정화된 광선"
"attack-loki-name-2","로키의 방어 광선"
"attack-loki-name","로키의 교류식 광선"
"attack-name-10","꿰뚫기"
"attack-name-11","사신의 도약"
"attack-name-12","측면 공격"
"attack-name-13","방어"
"attack-name-14","굳센 방어"
"attack-name-15","최대한의 방어"
"attack-name-16","안정적인 자세"
"attack-name-17","전략적 우세함"
"attack-name-18","회피"
"attack-name-19","회피 기동"
"attack-name-1","2연타"
"attack-name-20","훌륭한 전략"
"attack-name-21","관찰"
"attack-name-22","감시"
"attack-name-23","속이기"
"attack-name-24","속사"
"attack-name-26","산탄 사격"
"attack-name-27","강력한 산탄 사격"
"attack-name-28","영거리 사격"
"attack-name-29","안정된 사격"
"attack-name-2","3연타"
"attack-name-30","저지 사격"
"attack-name-31","탄막"
"attack-name-32","헤드샷"
"attack-name-33","조준 사격"
"attack-name-34","계산된 사격"
"attack-name-35","완벽한 사격"
"attack-name-36","채찍 치기"
"attack-name-37","채찍 묶기"
"attack-name-38","채찍 가르기"
"attack-name-39","치료의 의식"
"attack-name-3","반격"
"attack-name-40","화합의 의식"
"attack-name-41","독기의 저주"
"attack-name-42","교류식 전기 광선"
"attack-name-43","안정화된 광선"
"attack-name-44","방어 광선"
"attack-name-45","광선 속사"
"attack-name-46","창 찌르기"
"attack-name-47","창 던지기"
"attack-name-48","창과 방패"
"attack-name-49","강력한 창 찌르기"
"attack-name-4","반격 베기"
"attack-name-50","다이너마이트 폭파"
"attack-name-51","정확한 폭파"
"attack-name-52","계산된 폭파"
"attack-name-53","할퀴기"
"attack-name-54","강한 할퀴기"
"attack-name-55","맹렬한 할퀴기"
"attack-name-56","물기"
"attack-name-57","박살내기"
"attack-name-58","짓밟기"
"attack-name-59","강력한 쪼기"
"attack-name-5","방패 반격"
"attack-name-60","쪼기"
"attack-name-61","꼬리 공격"
"attack-name-62","발굽 차기"
"attack-name-63","돌진"
"attack-name-64","뿔 공격"
"attack-name-65","단단한 껍질"
"attack-name-66","독니 공격"
"attack-name-67","꿰뚫는 다리"
"attack-name-68","촉수 채찍"
"attack-name-69","꿰뚫는 촉수"
"attack-name-6","치명적인 반격"
"attack-name-70","독침"
"attack-name-71","독 공격"
"attack-name-72","생명력 흡수"
"attack-name-7","박치기"
"attack-name-8","정확한 공격"
"attack-name-9","발차기"
"attack-name","공격"
"attack-name-taunt","도발"
"auction","[이걸 좋아할 만한 러시아인 수집가를 한 명 알고 있습니다.|이건 쉽게 팔 수 있을 것 같군요.|이 물건은 좋은 값에 팔릴 것 같군요.|개인 수집품으로서는 최고가로 쳐드리죠.|계속 이렇게 팔아주신다면야 당신은 금세 부자가 되실 겁니다.|훌륭하군요!|이만한 물건에 값을 치를 수 있게 되어 기쁩니다.|좋은 물건은 좋은 가격으로 쳐드리죠.|오오 아주 좋아요, 좋습니다.|박물관 쪽은 이 물건 없이도 잘 될겁니다.|당신의 자금은 이걸로 더 풍족해질 겁니다.|어쩌면 결국 당신이 추구하고 있는 목표는 이런 거일지도 모르겠네요.|돈이 바로 세계가 굴러가게 만드는 원동력입니다.|이걸 충분히 가치있는 곳에 쓰이도록 하겠습니다.|이게 바로 제가 이 일을 좋아하는 이유죠.|팔렸습니다!|돈을 싹 다 긁어모을 수 있겠군요.|당신 덕분에 제 일에 만족하게 되었습니다.|이런 물건들을 찾아내시다니 대단합니다.|물건 보실 줄 아시는군요.|최근에 탐험을 많이 하셨나보군요?|우리들은 서로 장단이 잘 맞는 것 같네요.|사업은 멋진 일이죠.|좋았어!|여왕 폐하와 국가를 위하여.|주님께서 여왕 폐하를 지켜주시길.|탐험이 가치있었다는 것을 증명하셨군요.|사랑스럽군.|당신이 어떻게 용기를 내서 이걸 얻게 되었는지 궁금하군요?|정말로 수완이 좋으신 분이시군요.|이걸로 우리 일이 잘 되기를 바랍니다.|거래는 바로 인류가 낳은 가장 위대한 유산이라고 할 수 있죠.|신이시여 감사합니다.|빚 갚는데 조금이나마 도움이 되겠네요.|당신이 물건을 가져오면, 우리가 값을 쳐드리죠.|이 물건이 어디서 왔는지 더 이야기해 주실 수 있나요?|용기있는 자만이 보답을 받을 수 있죠.|모든 물건은 저마다의 값어치를 가지고 있습니다.|멋지군.|제 고객들은 어떤 물건이라도 사갈 겁니다.|당신이 살아남아 이 물건을 가져다 주어서 감사합니다.|당신이 감수하는 위험은 그만큼의 보상을 받게 될 겁니다.]"
"barter-cancel","취소"
"barter-close","닫기"
"barter-deal","거래 성립"
"barter-drop","놓기"
"barter-escape","떠난다!"
"barter-loot","가질 수 있는 물품"
"barter-nodeal","거래 불가"
"barter-party","당신의 물품들"
"barter-standing","평판 +$val"
"barter-takeall","모두 가지다"
"barter-their","상대의 물품들"
"base-continue","계속"
"base-day","일"
"base-difficulty","난이도"
"base-expedition","탐험"
"base-explore","탐사"
"base-fame","명성"
"base-funds","자금"
"base-level","레벨"
"base-levelup","레벨을 올려 이 특성을 얻습니다."
"base-nodice","알맞은 주사위가 없음"
"base-posPunch","지역을 클릭하세요"
"base-resting","휴식"
"base-return","뒤로"
"base-sanity-travel","기본 여행 경비"
"base-sanity","San수치"
"base-saveexit","저장 & 종료"
"base-standing","평판"
"base-trekcount","탐험 인원"
"base-waiting","대기"
"base-exploring","탐험"
"base-xp","탐사 점수"
"base-yourdice","당신의 주사위"
"base-more","조금만 더"
"base-ok","확인"
"base-next","다음"
"base-use","사용하기"
"base-inv-tab","다음 장"
"base-trash","버리기"
"base-wait","대기"
"base-toggle","설정"
"base-start","시작"
"bio-drylands-jungle-name","정글 황무지"
"bio-drylands-mountains-name","산악 황무지"
"bio-drylands-pits-name","침식된 황야"
"bio-drylands-stoneForest-name","바위숲 황무지"
"bio-elephantGraveyard-name","초원 늪지"
"bio-grasslands-generic-name","초원"
"bio-grasslands-jungle-name","정글 초원"
"bio-grasslands-lakes-name","호수"
"bio-grasslands-mountains-name","초원 산지"
"bio-grasslands-pits-name","침식된 초원"
"bio-grasslands-swamps-name","초원 늪지"
"bio-grasslands-waterMountains-name","비내리는 산지"
"bio-outside-jungle-name","정글"
"bio-outside-mountains-name","산지"
"bio-outside-pits-grass-name","낭떠러지"
"bio-outside-sea-arctic-name","북극해"
"bio-outside-sea-name","바다"
"bio-outside-void-name","공허"
"bio-warped-corrupted-name","부패한 대지"
"bio-warped-prehistoric-name","선사시대 대지"
"bio-waterTemple-name","초원"
"bio-whiteTiger-name","정글 초원"
"buf-bleeding-normal-title","출혈"
"buf-bleeding-normal","매 라운드마다 2의 체력을 잃습니다."
"buf-bleeding-strong-title","심각한 출혈"
"buf-bleeding-strong","매 라운드마다 3의 체력을 잃습니다."
"buf-burning-title","화상"
"buf-poison-title","중독"
"buf-poison","매 라운드마다 1의 체력을 잃습니다."
"buf-stun-2-title","2x 기절함"
"buf-stun-title","기절함"
"buf-stun","공격할 수 없습니다."
"buf-taunt-title","도발"
"buf-taunt","목표를 공격하도록 강요합니다."
"ch-buffs","버프"
"ch-capacity","운송력"
"ch-dice","주사위"
"ch-dismiss","탐험대에서 해고한다"
"ch-dismount","내리기"
"ch-mount","탑승하기"
"ch-promote","진급"
"ch-toughness","체력"
"cl-alcohol","[아아아!|잘 숙성된 위스키로군.|좋은 브랜드군.|우후!|건배!|축배를 들어라!|한병 더!|떠들썩하게 놀 구실이 생겼군.|오우, 제대로 놀아보자!|이거야말로 나를 즐겁게 해주는 녀석이지.|걱정은 접어두고, 즐겨봅시다!|이 정도로는 괜찮아.|파티다 파티!|휴우 이거 센데.|훌륭한 만찬이야!|내일까지 맘껏 즐겨보자고!|다음 탐험부터는 양조사를 고용하는게 어떨까요?|위하여.|마시자.|*딸꾹*]"
"cl-angry-1","[당신이 이럴 수는 없어요!|농담하시는 거죠!|제발 다시 생각해 봐요!|안 돼요!|제발 부탁드릴게요!]"
"cl-angry-2","[이건 미친 짓이야!|안 돼요!|이럴 수는 없어요!|미쳐버린 건가요?|이건 받아들일 수 없어요!]"
"cl-angry-3","[놀랍지도 않군요!|언제나처럼 미쳐있군요!|언제부터 당신이 괴물이 되어버린 건가요?|이 탐험은 나를 좀먹고 있어요.|언젠간 이 일을 후회하게 될 거요!|누군가는 당신을 심판해 줄 겁니다!|우리들은 망했어!|당신은 언젠가 지옥으로 떨어질거요!]"
"cl-angry-compensation-1","당신의 마지막 기회일거요!"
"cl-angry-compensation","난 보상받을 자격이 있어요!"
"cl-angry-superstitious","[이제 됐어요! 우리들은 당신 덕에 저주받게 되었네요!|당신이 우리들을 파멸시킬 거예요!|우리들은 죗값을 치르게 될 거야!|우리들은 망했어!|당신이 이럴 수는 없어요! 우리들은 이제 저주받았어요!|당신이 우리들 모두를 죽이고 말 거야!]"
"cl-angry","[이런 건 받아들일 수 없어요!|난 이런 걸 받아들이지 않겠어요!|이건 멋진 일이 아니야!|이건 최악이에요.|이런 일은 크리켓 놀이가 아니라구요.|미친 소리.|이건 부당한 일이에요!|안 돼요!]"
"cl-angryReturn","[당신을 용서할게요.|이제 더 이상 화를 내지 않겠어요.|잠시 혼자 있고 싶네요.|생각해 보니 당신은 그렇게까지 나쁜 사람은 아니었던 것 같네요.]"
"cl-apply-acrophobia","[인간은 이렇게 높은 곳을 지나가도록 진화하지 않았다구요.|하늘은 그냥 새들한테 맡겨두는게 좋겠어요.]"
"cl-apply-bipolar","[기쁨과 슬픔이 같이 느껴져요.|이거 정말 나를 혼란스럽게 만드는군.|무슨 감정을 느껴야 할지 모르겠어.|이렇게 심하게 감정을 느낀 적이 없는데.|모든 게 너무 감정적으로 느껴져요.|이런 경험은 너무 가혹해.]"
"cl-apply-claustrophobic","[여기서 숨을 쉴 수가 없어요!|기분이 좋지 않아.|신선한 공기를 마시고 싶어!]"
"cl-apply-lepidopterophobia","[난 나비가 싫어.|혹시 나비 같은 거 본 적 있어요?|나비는 구역질나.|나비가 시체를 먹는다는 사실을 알고 있나요?]"
"cl-apply-paranoid","[저거 봤어요!?|우리는 혼자가 아니야...|쉬잇, 조용히 해 봐요. 저 소리 들었어요?|전 당신을 믿지 않아요!|저한테서 떨어지세요!|당신이 뭘 꾸미고 있는지 다 알고 있어요!]"
"cl-apply-pyromaniac","[여기 조금 추운 거 같지 않아요?|저걸 모두 태워버리는 게 어때요?|횃불 남아 있는 게 있나요?|조금 불을 질러보는 것도 좋을 거 같은데요.]"
"cl-apply-superstitious","[절대신께서 이 땅에 살아계십니다.|우리가 태고의 무언가라도 깨운 것 같은데요.|누군가... 아니면 무언가가 우리들의 행동을 심판할 거예요.|우리들은 영혼들을 화나게 만들었어요!]"
"cl-beastMaster-recruit-1","[동물 한 마리가 정말 우리들을 도울 수 있을 거라고 생각하세요?|저건 잠시 한눈 판 사이에 우리들을 공격할 수 있어요!|제가 동물 한 마리에 목숨을 맡길 수 있다고 생각하신다면, 다시 생각해봐야 할 거예요!|저건 우리들을 먹어치우려 할 거예요.]"
"cl-beastMaster-recruit-2","당신 혼자만이 [야생동물을 탐험대에 넣는 게 좋은 생각이라고 말할 거예요.|사나운 괴물을 우리 탐험대에 넣으려고 할 거예요.|우리 일행에 야생동물 하나가 있는 게 정상적인 생각이라고 여길 거예요.|동물 한 마리를 사람보다 더 믿고 있을 겁니다!]"
"cl-beastMaster-recruit-3","저 남자는 [동물들에게 너무 많은 가격을 부르고 있어요.|터무니 없는 가격을 요구하고 있어요.|동물의 가치보다 휠씬 많은 액수를 부르고 있어요.|저 가격으로 우리들을 호구잡으려고 하는 게 틀림없어요!|자기가 부르는 가격만큼이나 미쳐 있어요!]"
"cl-beastMaster-recruit-4","[우린 이미 야생동물들에게 충분히 맞서봤다구요!|마치 동물들과 싸울 일이 이제 없을 거라는 것처럼 말씀하시는군요.|이 동물들이 위험하지 않다는 말을 누가 했었나요?|마치 야생이 아무 것도 아니라는 것처럼 말씀하시는군요!|동물 친구들이 우리들이 얻어낸 보물들을 때려 부수고 가버리는 시나리오가 술술 짜여지는데요!]"
"cl-beastMaster-recruit-5","신이시여 감사합니다. 정말로요."
"cl-beastMaster-recruit","[이 동물들 중 한 마리라도 있다면 전투에 도움이 될 겁니다.|동물 한 마리만 있으면 적을 궁지로 몰 수 있을 거예요.|동물 한 마리가 있으면 탐험대에 전체적으로 이득이 있을 겁니다.|이 훌륭한 동물들 중 한 마리만 있다면야 저는 기꺼이 함께 싸우겠습니다.]"
"cl-camp-fail","[우리들은 여기에 캠프를 세울 수 없어요.|우리들은 다른 장소를 찾아야 해요|불가능해요!|이런 곳은 캠프를 세우는 데 적합하지 않아요.|여기서 캠핑하는 건 바보같은 짓이에요.|여기서는 불가능해요.]"
"cl-camp-success","[여긴 괜찮은 캠핑 장소가 되겠어요.|우리의 새 보금자립니다!|캠프 세우기 딱 좋은 자리군.|잘 세워진 캠프의 중요성은 말할 필요도 없지.|완벽한 곳이야.|캠프 세우기에 좋은 자리군요.|이 캠핑 자리는 완벽해요.|이보다 더 나은 장소를 찾을 수는 없겠지.]"
"cl-cave-approach-1","[이렇게 생긴 곳은 마음에 들지 않는군요.|절대 저기에 들어갈 수 없어요!|난 동굴이 싫어.|제가 공포에 빠지는게 보고 싶으시다면야 그냥 들어가시죠.|죽음을 부르는 이런 함정으로 걸어들어가고 싶지는 않은데.]"
"cl-cave-approach-2","[이런 동굴은 그저 땅에 구멍뚫린 곳만은 아니지.|저기에 뭐가 있든지 간에, 영혼들이 우리들을 인도해줄 겁니다.|여기서 강한 존재감이 느껴집니다.|이 동굴은 어둠의 영혼으로 가득하군요.]"
"cl-cave-approach-3","[난 동굴들이 싫어.|또 다른 동굴은 싫은데.|왜 자꾸 동굴 속으로 기어들어가는 거죠?|난 동굴이 싫어.|우리들이 횃불을 가지고 오지 않았기를.|이제 당신은 우리들이 저기 안으로 들어가기를 바라는 건가요?|횃불은 믿지 못할 물건으로 악명높지.|아뇨, 오늘은 동굴에 들어갈 만한 날이 아닌데요.|우리가 정말 저기로 들어가야 하는 건가요?]"
"cl-cave-approach-4","[동굴을 탐험해 봅시다!|저 안에 뭐가 있을지 빨리 보고 싶군!|동굴 모험이다!|난 동굴이 좋아!|이건 끝내주는 모험이 될 거예요!|모두들 동굴을 탐험할 준비를 하세요!|좋아, 안쪽으로 들어갑시다!]"
"cl-cave-approach-5","[좋아요 안으로 들어갑시다. 보물이라도 있을 수 있겠죠.|이 안에는 황금이 있는 게 틀림없어, 공기에서도 황금 냄새가 나는군.|동굴 열 곳 중에 여덟 곳은 보물이 묻혀 있지.]"
"cl-cave-approach","[좋아요, 안에 뭐가 들어 있는지 찾아 봅시다.|우리들이 횃불을 충분히 챙겨 왔던가?|우리가 여기 있는 동안 안쪽도 살펴 보는게 좋겠어요.|동굴 탐험을 해 봅시다.|좋을 수도, 나쁠 수도 있겠군요.]"
"cl-cave-sendIn-1","[금방 돌아올게요.|저 안에 뭐가 있는지 볼까.|네, 대장님.|문제 없습니다.]"
"cl-cave-sendIn","[나한테 이럴 수는 없어요!|제발, 이러지 마세요!|이건 미친 짓이야!|안 돼요!|당신은 날 죽이고 말 거요!|나는 돌아오지 못하고 말 거야!]"
"cl-celebration-audience-10","[저랑 결혼해 주세요!|잘생기셨네요!|사랑해요!|남자와 여자는 같이 살아야 해요!]"
"cl-celebration-audience-11","[저 물소는 정말 크군!|물소가 저렇게 생겼구나!|저 물소를 봐요!|저 물소의 이름이 뭔가요?]"
"cl-celebration-audience-1","[귀여운|충성스러운|충실한|용감한] [저 당나귀를 봐|당나귀로군|당나귀네]!"
"cl-celebration-audience-2","[정말로 사람을 잘 따르는 개네!|나도 저런 개 한마리 정도 있었으면!|저 강아지는 대접받을 자격이 있어!]"
"cl-celebration-audience-3","[여기서 술 냄새가 나는데!|위스키 좀 나눠줄 수 있나요?|이거 위스키 병 아닌가요?]"
"cl-celebration-audience-4","[저 여자는 뭐야!|진짜로, 여잔가?|모험은 남자들한테 맡기지 그래!|내 눈을 믿을 수가 없군, 정말 여자야?|주방으로 꺼져!|시대가 변했군.|성평등이라니 정말 놀랍군.|훌륭한 여자로군.|저 여잔 자기 분수를 알아야 돼!|시대는 확실히 더 나은 방향으로 흘러가고 있군요.|여자로서는, 나쁘지 않네요.|저 여성분을 롤 모델로 삼고 싶어요!]"
"cl-celebration-audience-5","[야만인!|이 얼마나 미개한가!|왜 이런 데에 있는 거야?|짐승!|말할 수는 있나?]"
"cl-celebration-audience-6","[어떻게 저게 살아 움직이는 거지?|저런 거는 싫어!|무서워!|저게 뭐야?!|말할 수는 있나?|무서워요!|저런 건 동물원으로 가야 해!|이 불경한 존재가!]"
"cl-celebration-audience-7","[혼자야?!|다른 사람들은 어디로 갔나요?|설마 혼자서 돌아온 건가요?|나머지 대원들에게 무슨 일이 일어났는지 궁금하네요...|외로운 여정이었던게 틀림없었군요.|나머지 대원들은 사라졌나요?|단 한 명 뿐이야?]"
"cl-celebration-audience-8","[동물 조련사다!|동물을 좋아하는 사람이구나.|동물들을 사람보다 좋아하나봐.|동물들이랑 이야기할 수 있을지도 몰라.]"
"cl-celebration-audience-9","[병사들이 왜 저렇게 많지?|탐험대에 괜찮은 병사들을 두고 있는게 틀림없군.|저 사람들은 전쟁에서 돌아온 건가요?]"
"cl-celebration-audience","[브라보|이예|내가 당신처럼 되었으면|감동적이에요|환상적이야|멋져요|영웅같아요|놀라워요|나도 보게 해줘요|신께서 여왕 폐하를 보살펴주시길|제국을 위해|여왕 폐하와 국가를 위해|믿을 수 없어요|멋있어요|끝내주는 날이야|용감해요|정말로 기뻐요|놀랍군요]!"
"cl-celebration-party-1","[술 마시면서 축하합시다!|*딸꾹*|건배!|위스키 한 병 주세요!]"
"cl-celebration-party-2","[주님께서 시키신 일을 하고 있을 뿐입니다!|당신에게 축복이 있길!|그저 도와드리고 싶을 뿐입니다!]"
"cl-celebration-party-3","[뭐든지.|별로 신경쓰지 않아요.|당신이 지금이라도 행복하기를.|영웅이 된 듯한 느낌이 드나요?]"
"cl-celebration-party-4","[왜 모든 사람들이 날 쳐다보고 있지?|별로 편하게 느껴지지는 않는데.|이걸 다 저한테?|좀 더 익숙해져야만 되겠군.|사람들이 너무 많아.]"
"cl-celebration-party-5","[드디어, 다시 문명화된 친구들과 함께하는군.|모두들 안심해요, 제가 돌아왔으니.|모든 게 다른 모습으로 보이는군.|다시 돌아와서 다행이야.]"
"cl-celebration-party","[고마워요!|감동받았어요!|친절하셔라!|감사해요!|오오, 정말 멋지군요!|굉장해요!|정말로 굉장해요!]"
"cl-cocaLeaves-crowley","행복은 인간의 자아 속에 있는 것이지, 그리고 그걸 끄집어내는게 바로 코카 잎이고."
"cl-cocaLeaves","[정말로 활기찬 기분이군!|모든게 생기가 넘쳐 보여.|도움이 되네요, 고마워요.|정말 맛있고, 열정을 가져다 주는 기분이야.|다시 활기가 돌아오는 것 같아!|계속 나아갑시다!|이파리가 이런 효과를 내다니 놀라워.|더 이상 피곤하지 않아.|이제 잠이 다 깬 것 같아!]"
"cl-confirm-explorer-female","[예에 마님|알겠습니다 마님]."
"cl-confirm-explorer-male","[예에 나으리.|알겠습니다, 나으리.]"
"cl-cook-meat-fail","[이런!|아니, 이건 잘못됐어.|이런, 그거 먹지 마세요.|끔찍하군. 그냥 끔찍해.|보기보다 어려운데.]"
"cl-cook-meat","[에 뵐라!|본 아뻬띠.|실 부 쁠레.|아베끄 쁠레지어.|맛있게 드시길.]"
"cl-cultist-injureSelf","[난 괜찮으니 걱정 마세요.|모든 게 제대로 되어가는군.|곧 끝날겁니다.|내게 표식을 새기는 것 뿐이니, 걱정 마세요.|변화할 준비가 되었어.|내 육신은 더 위대한 것을 담아낼 그릇이라오.]"
"cl-deadlyPlace-1","[그래서 당신은 여길 방문하는게 좋을 거라고 생각하세요?|좋아요, 아예 좀 더 오래 머물러 있으면서 끔찍한 죽음을 맞기를 기다리는 게 어때요?|당신만이 여기 머무르는 게 좋을 거라고 생각하는 거 같은데요.|이러다가 악어들과 같이 수영하러 갈 수도 있겠네요.|우리 모두를 죽이고 싶어 안달난 것처럼 보이시네요.|농담하시는 거죠. 우린 여길 빨리 떠나야 해요.]"
"cl-deadlyPlace-2","[이곳에서 수많은 쉴 수 없는 영혼들이 돌아다니는 게 느껴지는군요.|공기가 죽음의 기운으로 가득합니다.|여기서는 죽음이 느껴지는군요.|죽음이 발 밑에 숨어있는 거 같은 기분입니다.]"
"cl-deadlyPlace-3","보물을 찾아서 여기서 나갑시다."
"cl-deadlyPlace-4","[위험해 보이기는 하지만, 우리는 여기서도 무사할 겁니다.|저한테 바싹 붙어 있으세요, 여러분들을 보호해 드리겠습니다.|우리가 경계하는 자세를 갖추고만 있으면, 아무것도 잘못되지 않을 겁니다.]"
"cl-deadlyPlace-5","[주님께서 우리들의 영혼을 돌봐주시길.|주님께서 이 버림받은 장소에 있는 우리들을 도와주시길.]"
"cl-deadlyPlace-6","[좋아요, 그래서 우리들은 여기서 죽으러 온 건가요?|마치 여기서 모든 것이 끝날 것만 같네요.|여길 방문하자는 것이 다시 한 번 당신의 비정상적인 어리석음을 잘 보여주는군요.|좋아요, 그래서 여기로 오는 것이 좋은 생각이었다는 거죠?|내가 좀 더 잘 알지 못했더라면 난 당신이 우리들을 모두 죽일 거라고 말했을 거예요.|내가 온 곳들 중 최악의 장소예요.]"
"cl-deadlyPlace","[그래, 여기가 내가 죽게 될 곳이구만.|여기서 죽고 싶지 않아요!|빨리, 지금 당장 떠나야만 해요!|신이시여 전 여기서 죽고 싶지 않아요!]"
"cl-disgust","[*우웩*|누군가 저 안쪽을 봐야만 해요!|역겨워!|이제 나는 볼 거 다 봤어!|아무것도 우릴 도와줄 수 없단 말인가?|보고 싶지 않아.|그거 저리 치워요!]"
"cl-dreamVisions","[지난 밤에 한 장소에 대한 꿈을 꾸었어요.|전 꿈을 꾸었어요.|꿈에서 무언가를 봤어요.|저 멀리 있는 곳을 봤어요.|영혼에 꿈에서 저에게 말을 걸어 주었어요.]"
"cl-dreamVisionsTubman","멋진 꿈들은 모두 꿈꾸는 사람에게서 시작되죠."
"cl-eatOnlyFriend-1","나는 울고 있어, 그저 눈물이 안 나오는 거 뿐이야."
"cl-eatOnlyFriend","모든 생물에 대한 사랑은 우리들이 가진 가장 고귀한 덕목이야."
"cl-endWorld-10","우리들은 오직 우리들이 그 효과만 느낄 수 있는 수많은 힘들 사이에서 살아가고 있어."
"cl-endWorld-11","지식은 무지보다 더 좋은 거야."
"cl-endWorld-12","낮선 생활이긴 하지만 더 이상 문명이 그립지는 않아."
"cl-endWorld-13","나는 낮선 땅에 있는 한 명의 이방인이야."
"cl-endWorld-14","내가 이해한 것은 내가 이해하고 싶어하는 것들의 일부분에 불과해."
"cl-endWorld-15","나는 지금까지 쌓아왔던 물질적 지위를 잃는 것을 후회하지 않아."
"cl-endWorld-1","자연을 새로운 시각으로 바라보니 마치 내가 어린아이가 된 것처럼 즐거워."
"cl-endWorld-2","성공은 얼마나 우울한 개념일까."
"cl-endWorld-3","만약에 위험한 것들이 모두 사라진다면, 어디에서 재미를 느낄 수 있을까?"
"cl-endWorld-4","확고한 신념을 가지고 지식을 추구하겠어."
"cl-endWorld-5","인간의 도덕심은 사치스러운 환경에 머무르고 있으면 무너져 버리지."
"cl-endWorld-6","자신감만 있다면, 시작하기도 전에 이미 이긴 거나 다름없어."
"cl-endWorld-7","보통 수준의 도덕심은 보통 사람들에게나 만족할 수준이야."
"cl-endWorld-8","인종, 제국 그리고 국가는 언제나 나타나고 사라지지만, 인간만은 남아있어."
"cl-endWorld-9","모험은 그 자체만으로도 노력할 만한 가치가 있어."
"cl-endWorld","나는 다른 사람들이 가는 길만 맹목적으로 따르지는 않을거야."
"cl-evt-alreadyVisited","[왜 자꾸 같은 곳을 들렀다 가는 겁니까?|여긴 이제 아무것도 없어요.|난 여기가 싫어.|난 여기가 좋아.|우리 전에 여기 와보지 않았나요, 그렇죠?|우린 시간낭비하고 있어요.|왜 우리가 다시 이런데에 있는 거죠?]"
"cl-expedition-start-1","[지금 우리가 대체 어디에 있는 거지!?|왜 우리가 여기로 왔을까요?|여기서 우린 모두 죽고 말거야.|우린 언젠가 피를 보게 될거야!|여기가 당신이 우릴 죽이려고 온 곳이군요.|우리들은 비극적으로 끝을 보게 될 거요.|여기서 머물러서 좋은 일은 일어나지 않을 거예요.|이제부터는 상황이 점점 악화될 거예요.]"
