"@authors","Rômulo Wehling Magalhães, Macalango"
"attack-name-13","Defender"
"attack-name-14","Defesa forte"
"attack-name-15","Defesa máxima"
"attack-name-16","Posição estável"
"attack-name-17","Vantagem tática"
"attack-name-18","Evadir"
"attack-name-19","Manobra defensiva"
"attack-name-1","Ataque duplo"
"attack-name-20","Táticas Excepcionais"
"attack-name-21","Observação"
"attack-name-22","Observação"
"attack-name-23","Fingir"
"attack-name-24","Tiro rápido"
"attack-name-26","Tiro de espingarda"
"attack-name-27","Tiro poderoso de espingarda"
"attack-name-28","À queima-roupa"
"attack-name-29","Tiro estável"
"attack-name-2","Ataque triplo"
"attack-name-30","Tiro paralisante"
"attack-name-31","Parede de bala"
"attack-name-32","Tiro na cabeça"
"attack-name-33","Tiro preciso"
"attack-name-34","Tiro planejado"
"attack-name-35","Tiro épico"
"attack-name-36","Chicotada destrutiva"
"attack-name-37","Chicotada suspensa"
"attack-name-38","Chicotada cortante"
"attack-name-39","Ritual de cura"
"attack-name-3","Riposte"
"attack-name-40","Rito de unidade"
"attack-name-41","Maldição venenosa"
"attack-name-42","Antena alternante"
"attack-name-43","Feixe estável"
"attack-name-44","Feixe defensivo"
"attack-name-45","Descarga rápida"
"attack-name-46","Ataque de lança"
"attack-name-47","Arremesso de lança"
"attack-name-48","Defesa lança"
"attack-name-49","Lança do poder"
"attack-name-4","Riposte cortante"
"attack-name-50","Explosão de Dinamite"
"attack-name-51","Explosão precisa"
"attack-name-52","Explosão planejada"
"attack-name-53","Garras"
"attack-name-54","Garras fortes"
"attack-name-55","Garras ferozes"
"attack-name-56","Presas"
"attack-name-57","Esmagar"
"attack-name-58","Pisão"
"attack-name-59","Bico grande"
"attack-name-5","Riposte blindado"
"attack-name-60","Bico pequeno"
"attack-name-61","Cauda"
"attack-name-62","Casco"
"attack-name-63","Bater"
"attack-name-64","Chifres"
"attack-name-65","Casco"
"attack-name-66","Presas aracnídeas"
"attack-name-67","Pernas perfurantes"
"attack-name-68","Chicote de tentáculo"
"attack-name-69","Tentáculo perfurante"
"attack-name-6","Riposte mortal"
"attack-name-70","Ferrão venenoso"
"attack-name-71","Veneno"
"attack-name-72","Parasitar vida"
"attack-name-7","Cabeçada"
"attack-name-8","Ataque preciso"
"attack-name-9","Chute"
"attack-name","Ataque"
"attack-name-taunt","Provocação"
"auction","[Sei de um colecionador Russo que vai amar.|Posso vender isso facilmente.|Isso alcançará um bom preço.|Perfeita para qualquer coleção particular.|Continue trazendo e ficará rico em pouco tempo.|Magnífico!|Feliz por pagar por uma peça dessa qualidade.|Uma boa peça por um bom preço.|Oh sim, sim.|O museu pode ficar sem isso.|Seus fundos são melhores para isso.|Talvez esse tenha sido sua meta.|Dinheiro faz o mundo girar.|Faz tudo valer à pena.|Por isso adoro meu trabalho.|Vendido!|Valeu cada centavo.|Você faz meu trabalho ser bacana.|Boa sorte na busca.|Você tem um olho para o ouro.|Prospectando muito ultimamente?|Estamos na mesma página.|Feliz por fazer negócio.|Hoorah!|Pela Rainha e pelo Reino.|Deus salve a Rainha.|Prove que a expedição valeu a pena.|Amável.|Me pergunto de onde você tirou isso?|Você realmente tem muitos recursos.|Continue trazendo.|Vendas como essa ajudam na herança.|Muito obrigado.|Isso vai ajuda a pagar umas contas.|Você traz, nós pagamos.|Mais algum de onde isso veio?|Coragem vai funcionar sempre.|Todo item tem seu valor.|Maravilha.|Meus clientes compram qualquer coisa.|Estou feliz por você sobreviver e me trazer isso.|Seus riscos são seus ganhos.]"
"barter-cancel","Cancelar"
"barter-close","Fechar"
"barter-deal","Negociar"
"barter-drop","Soltar"
"barter-escape","Escapar!"
"barter-loot","Pegar itens"
"barter-nodeal","Sem acordo"
"barter-party","Seu inventário"
"barter-standing","Estadia +$val"
"barter-takeall","Leva tudo"
"barter-their","Inventário deles"
"base-continue","Continue"
"base-day","Dia"
"base-difficulty","Nível de Dificuldade"
"base-expedition","Expedição"
"base-explore","Explorar"
"base-fame","Fama"
"base-funds","Fundos"
"base-level","Nível"
"base-levelup","Suba de nível para acessar este privilégio."
"base-nodice","Sem dados utilizáveis"
"base-posPunch","Clique na área"
"base-resting","Descansando"
"base-return","Retornar"
"base-sanity-travel","Custo de viagem à Base"
"base-sanity","Sanidade"
"base-saveexit","Salvar e Sair"
"base-standing","Estadia"
"base-trekcount","Contagem de time"
"base-waiting","Esperando"
"base-exploring","Explorando"
"base-xp","Pontos de exploração"
"base-yourdice","Seus dados"
"base-more","Mais"
"base-ok","Ok"
"base-next","Próximo"
"base-use","Usar"
"base-inv-tab","Próxima Página"
"base-trash","Descartar"
"base-wait","Esperar"
"base-toggle","Alternar"
"base-start","Iniciar"
"bio-drylands-jungle-name","Selvas secas"
"bio-drylands-mountains-name","Montanhas secas"
"bio-drylands-pits-name","Terras secas erodidas"
"bio-drylands-stoneForest-name","Floresta petrificada"
"bio-elephantGraveyard-name","Pântanos de pastagens"
"bio-grasslands-generic-name","Pradarias"
"bio-grasslands-jungle-name","Selvas de pradarias"
"bio-grasslands-lakes-name","Lagos de campina"
"bio-grasslands-mountains-name","Montanhas de campinas"
"bio-grasslands-pits-name","Campinas erodidas"
"bio-grasslands-swamps-name","Pântanos de campina"
"bio-grasslands-waterMountains-name","Montanhas chuvosas de campinas"
"bio-outside-jungle-name","Selva"
"bio-outside-mountains-name","Montanhas"
"bio-outside-pits-grass-name","Poços"
"bio-outside-sea-arctic-name","Mar Ártico"
"bio-outside-sea-name","Mar"
"bio-outside-void-name","Vazio"
"bio-warped-corrupted-name","Terras corrompidas"
"bio-warped-prehistoric-name","Terras pré-históricas"
"bio-waterTemple-name","Campinas"
"bio-whiteTiger-name","Selvas de campinas"
"buf-bleeding-normal-title","Sangramento"
"buf-bleeding-normal","Perde 2 de saúde em cada rodada."
"buf-bleeding-strong-title","Forte hemorragia"
"buf-bleeding-strong","Perde 3 de saúde em cada rodada."
"buf-burning-title","Combustão"
"buf-poison-title","Envenenado"
"buf-poison","Perde 1 de saúde em cada rodada."
"buf-stun-2-title","2x Atordoado"
"buf-stun-title","Atordoado"
"buf-stun","Incapaz de atacar."
"buf-taunt-title","Provocação"
"buf-taunt","Força inimigos a mirar."
"ch-buffs","Buffs"
"ch-capacity","Capacidade"
"ch-dice","Dado"
"ch-dismiss","Sair da expedição"
"ch-dismount","Desmontar"
"ch-mount","Montaria"
"ch-promote","Promover"
"ch-toughness","Dureza"
"cl-alcohol","[Ahhhh!|Bom e velho whisky.|Um bom brand.|Uhuuuu!|Saúde!|Mais alcool!|Algum motivo para uma festa.|Vamos fazer um festão.|O ingrediente perfeito para muito casamento.|Que haja muita alegria!|Posso lidar com isso.|Festa!|Wow, isso é forte.|Belo banquet!|Vou sentir isso amanhã!|Vamos levar um Cervejeiro na próxima expedição?|Abaixo a escotilha.|Vamos beber.|*Hic*]"
"cl-angry-1","[Não pode fazer isso!|Você está brincando!|Reconsidere!|Por favor não!|Eu imploro!]"
"cl-angry-2","[Isso é absurdo!|Sem chance!|Você não pode fazer isso!|Você ficou louco?|Eu não vou aceitar isso!]"
"cl-angry-3","[Não estou surpreso!|Louco como sempre!|Quando você se transformou nesse monstro?|Esta expedição me matou por dentro.|Você vai se arrepender disso algum dia!|Alguém vai te julgar por isso!|Estamos condenados!|Você vai pro Inferno por isso!]"
"cl-angry-compensation-1","Esta é sua última chance!"
"cl-angry-compensation","Eu mereço compensação!"
"cl-angry-superstitious","[É isso! Estamos amaldiçoados agora, graças a você!|Você traz a perdição sobre nós!|Vamos pagar por nossos pecados!|Seremos condenados!|Você não pode fazer isso! Estamos amaldiçoados agora!|Você vai matar a todos nós!]"
"cl-angry","[Isso é inaceitável!|Não vou aceitar isso!|Isso não é elegante!|Isso não é educado.|Isso simplesmente não é Cricket.|Tolice.|Isso é injustificado!|Não!]"
"cl-angryReturn","[Eu te perdoo.|Não estou mais irritado.|Eu só precisava de algum tempo sozinho.|Depois de pensar sobre isso eu decidi que você não é uma pessoa tão ruim, afinal.]"
"cl-apply-acrophobia","[A humanidade não foi feita para percorrer grandes alturas.|Deveríamos deixar os céus para os pássaros.]"
"cl-apply-bipolar","[Me sinto feliz e triste.|Isso me deixa confuso.|Não sei o que sentir.|Eu nunca senti com tanta intensidade.|Tudo é tão intenso.|Esta experiência é demais pra mim.]"
"cl-apply-claustrophobic","[Não consigo respirar aqui!|Não me sinto bem.|Preciso de ar fresco!]"
"cl-apply-lepidopterophobia","[Eu odeio Borboletas.|Você viu uma Borboleta?|Borboletas são nojentas.|Você sabia que Borboletas comem carniça?]"
"cl-apply-paranoid","[Vocês viram aquilo!?|Não estamos sozinhos...|Xiu, quietos. Vocês ouviram aquilo?|Eu não confio em NENHUM de vocês!|Fiquem longe!|Eu sei o que vocês estão tramando!]"
"cl-apply-pyromaniac","[Você não acha que está meio frio aqui?|Que tal queimarmos isso tudo?|Você tem alguma tocha sobrando?|Bem que podíamos fazer uma fogueirinha.]"
"cl-apply-superstitious","[Os deuses poderosos estão vivos nestas terras.|Nós despertamos algo imemorável.|Alguém ou... alguma coisa vai nos julgar por nossas ações.|Nós irritamos os espíritos!]"
"cl-beastMaster-recruit-1","[Você acha mesmo que um animal vai nos ajudar com isto?|Ele vai se voltar contra nós em um instante!|Se você acha que vou confiar minha vida a um animal, está muito enganado!|Ele vai nos comer.]"
"cl-beastMaster-recruit-2","Só você [pra pensar que um animal selvagem na nossa jornada é uma boa ideia.|pra tratar uma criatura feroz como um de nós.|pra pensar que um animal com a gente é uma boa ideia.|pra confiar num animal mais do que num humano!]"
"cl-beastMaster-recruit-3","Ele está [cobrando demais por esses animais.|exigindo um preço absurdo por esses produtos.|exigindo muito mais do que o valor do animal.|achando que somos bobos, com esses preços!|tão louco quanto o preço dos seus produtos!]"
"cl-beastMaster-recruit-4","[Nós já temos que enfrentar animais selvagens o suficiente lá fora!|Como se o risco de confronto com animais já não fosse grande o suficiente.|Quem disse que esses animais não são perigosos?|Como se a selva lá fora já não fossem selvagem o suficiente!|Eu consigo imaginar um cenário em que nós conseguimos nosso prêmio dourado, só pra sermos massacrados por nosso suposto aliado animal!]"
"cl-beastMaster-recruit-5","Graças a Deus por mim. Sério."
"cl-beastMaster-recruit","[Um desses animais com certeza vai nos ajudar em combate.|Um animal pode nos dar uma vantagem em combate.|Um animal pode dar um benefício instintivo para a jornada.|Eu vou lutar com prazer ao lado de um desses animais majestosos.]"
"cl-camp-fail","[Não podemos montar acampamento aqui.|Vamos ter de encontrar um lugar diferente|Impossível!|Este lugar é inadequado pra armar acampamento.|Acampar aqui seria tolice|Isso não é possível aqui.]"
"cl-camp-success","[Este vai ser um bom local de acampamento.|Nosso novo lar!|Um bom lugar para um acampamento.|Não se pode ignorar a importância de um acampamento bem armado.|Lugar perfeito.|Este é o lugar certo para acampar.|Este local de acampamento é perfeito.|Não poderia ter escolhido um lugar melhor.]"
"cl-cave-approach-1","[Eu não gosto da aparência deste lugar.|Sem chance que eu vou entrar aí!|Eu odeio cavernas.|Se quer que eu entre em pânico, é só seguir em frente.|Eu prefiro não entrar nessa armadilha mortal.]"
"cl-cave-approach-2","[Esta caverna é mais do que um simples buraco no chão.|O que quer que haja aí dentro, os espíritos nos guiarão.|Estou sentindo uma forte presença aqui.|A caverna está cheia de espíritos sombrios.]"
"cl-cave-approach-3","[Eu não gosto de cavernas.|Outra caverna não.|Por que nós continuamos nos esgueirando por cavernas?|Eu odeio cavernas.|Aposto que esquecemos de trazer tochas.|Você espera que nós entremos aí?|Tochas não são confiáveis.|Não, hoje não é dia de caverna.|Nós precisamos mesmo entrar aí?]"
"cl-cave-approach-4","[Vamos explorar a caverna!|Mal posso esperar pra ver o que tem lá dentro!|Aventura na caverna!|Eu amo cavernas!|Essa vai ser uma grande aventura!|Todo mundo se prepare pra explorar essa caverna!|Vamos lá, vamos entrar!]"
"cl-cave-approach-5","[Certo, vamos entrar. Provavelmente tem tesouro|Tem ouro aí dentro, posso senti-lo no ar.|Oito de cada dez cavernas tem tesouros.]"
"cl-cave-approach","[Ok, devíamos descobrir o que tem lá dentro.|Nós trouxemos tochas o suficiente?|Bem que podíamos dar uma olhada lá dentro enquanto estamos aqui.|Vamos explorar a caverna.|Isso pode ser bom. Ou ruim.]"
"cl-cave-sendIn-1","[Vou voltar logo.|Vamos ver o que tem ali.|Sim, senhor.|Sem problema.]"
"cl-cave-sendIn","[Você não pode fazer isso comigo!|Por favor, não faça isso!|Isso é loucura!|Sem chance!|Você vai me matar!|Eu nunca vou voltar!]"
"cl-celebration-audience-10","[Casa comigo!|Que beleza!|Eu te amo!|Homens e mulheres trabalhando juntos!]"
"cl-celebration-audience-11","[Esse búfalo é enorme!|Então é assim que é um búfalo!|Olha esse búfalo!|Qual o nome do búfalo?]"
"cl-celebration-audience-1","[Olha que|Mas que|Esse é um] burro [bonitinho|leal|confiável|corajoso]!"
"cl-celebration-audience-2","[Que cachorro leal!|Eu queria um cachorro assim!|Esse cachorro merece uma medalha!]"
"cl-celebration-audience-3","[Posso sentir o cheio de álcool daqui!|Que tal dividir esse uísque?|Isso é uma garrafa de uísque?]"
"cl-celebration-audience-4","[Que mulher!|Uma mulher, sério?|Deixe a aventura para os homens!|Os meus olhos me enganam ou é uma mulher?|Volte pra cozinha!|Os tempos estão mudando.|Bem, essa é uma surpresa agradável para o sexo frágil.|Ela é gloriosa.|Ela deveria saber seu lugar!|Os tempos certamente estão mudando pra melhor.|Nada mal, para uma mulher.|Ela é uma inspiração!]"
"cl-celebration-audience-5","[Um selvagem!|Que incivilizado!|Por que trazer isso pra cá?|Um bruto!|Isso fala?]"
"cl-celebration-audience-6","[Como é que essa coisa pode estar viva?|Eu não gosto dessa coisa!|Que horror!|O que é aquilo?!|Isso fala?|Estou com medo!|O lugar dessa coisa é no zoológico!|Mas que coisa demoníaca!]"
"cl-celebration-audience-7","[Sozinho?!|Onde estão os outros?|Talvez eles tenham triunfado sozinhos?|Faz pensar o que aconteceu com o resto da tripulação...|Deve ter sido uma jornada solitária.|O resto da equipe pereceu?|Uma pessoa só?]"
"cl-celebration-audience-8","[Mestre dos animais!|Deve gostar de animais.|Gosta mais de animais do que de humanos.|Provavelmente também consegue falar com animais.]"
"cl-celebration-audience-9","[Por que tantos soldados?|Deve gostar de um bom soldado a seu lado.|Estão voltando de uma guerra?]"
"cl-celebration-audience","[Bravo|Yeah|Eu queria ser você|Você me inspira|Fantástico|Esplêndido|Heróico|Maravilhoso|Deixe-me ver|Deus salve a Rainha|Pelo Império|Pela Rainha e Nação|Incrível|Primoroso|Que dia|Tão valente|Que deleite|Extraordinário]!"
"cl-celebration-party-1","[Hora de comemorar com uma bebida!|*hicks*|Saúde!|Vamos tomar um uísque!]"
"cl-celebration-party-2","[Estou apenas fazendo a obra do Senhor!|Benção!|Eu só quero ajudar!]"
"cl-celebration-party-3","[Tanto faz.|Eu nem me importo.|Espero que esteja feliz agora.|Está se sentindo como um herói?]"
"cl-celebration-party-4","[Por que todas essas pessoas estão olhando pra mim?|Isto não parece seguro.|Tudo isto pra mim?|Vou precisar me acostumar com isto.|Gente demais.]"
"cl-celebration-party-5","[Finalmente, gente civilizada de novo.|Todo mundo se acalme, estou de volta.|Tudo parece tão diferente.|Feliz por estar de volta.]"
"cl-celebration-party","[Obrigado!|Estou encantado!|É muita gentileza!|Valeu!|Oh, isto é formidável!|Que maravilha!|Isto é maravilhoso!]"
"cl-cocaLeaves-crowley","A felicidade está dentro de cada um, e o jeito de extraí-la é com folhas de coca."
"cl-cocaLeaves","[É mesmo estimulante!|Tudo está tão colorido.|Isso vai ajudar, obrigado.|Isso é saboroso, e me dá entusiasmo.|Estou me sentindo revitalizado!|Vamos continuar!|Incrível o que essas folhas podem fazer.|Não estou mais cansado.|Agora eu acordei!]"
"cl-confirm-explorer-female","[Sim, senhora | Sim senhora]."
"cl-confirm-explorer-male","[Sim, senhor. | Tudo bem, senhor.]"
"cl-cook-meat-fail","[Opa!|Não, não vai servir|Opa, você não devia comer isso.|Terrível, simplesmente terrível.|Isto é mais difícil do que parece.]"
"cl-cook-meat","[Eh voila!|Bon appetit.|S'il vous plait.|Avec plaisir.| Bom apetite.]"
"cl-cultist-injureSelf","[Estou bem, não se preocupe.|Tudo vai ficar bem.|Vai tudo acabar logo.|Estou apenas me marcando, não se preocupe.|Estou pronto pra transformação.|Meu corpo é só um veículo para algo maior.]"
"cl-deadlyPlace-1","[Então você acha que visitar este lugar é uma boa ideia?|Claro, por que não ficar mais um pouco e morrer uma morte horrenda?|Só você pra achar que ficar aqui é uma boa ideia.|E que tal nadar com crocodilos?|Você parece ansioso pra matar a todos nós.|Você não pode estar falando sério. Temos de sair imediatamente.]"
"cl-deadlyPlace-2","[Sinto muita perturbação neste lugar.|O ar está cheio de morte.|Sinto a morte aqui.|A morte espreita este lugar.]"
"cl-deadlyPlace-3","Vamos procurar um tesouro e vazar daqui."
"cl-deadlyPlace-4","[Pode parecer perigoso, mas vamos ficar bem.|Fiquem perto, vou nos proteger.|Se formos discretos, nada de mau vai acontecer.]"
"cl-deadlyPlace-5","[Que Deus zele por nossas almas.|Que Deus nos ajude neste lugar maldito.]"
"cl-deadlyPlace-6","[Tudo bem, então viemos até aqui pra morrer?|Pelo menos vai tudo acabar logo.|Visitar este lugar é outra evidência da sua estupidez anormal.|Certo, e você acha que vir aqui é uma boa ideia?|Se não te conhecesse, eu diria que você está deliberadamente tentando nos matar.|Este é o pior lugar de todos.]"
"cl-deadlyPlace","[Ok, então é aqui que eu vou morrer.|Eu não quero morrer aqui!|Rápido, temos que sair agora!|Oh, meu Deus, eu não quero morrer aqui!]"
"cl-disgust","[*Eww*|Alguém devia dar uma olhada nisso!|Que nojo!|Agora eu já vi de tudo!|Será que nada nos poupará?|Eu não quero olhar.|Mantenha isso longe de mim!]"
"cl-dreamVisions","[Esta noite eu sonhei com um lugar.|Eu tive um sonho.|Eu vi algo nos meus sonhos.|Tive uma visão de um lugar distante.|Os espíritos falaram comigo nos meus sonhos.]"
"cl-dreamVisionsTubman","Todo grande sonho começa com um sonhador."
"cl-eatOnlyFriend-1","Estou chorando, mas as lágrimas não vem."
"cl-eatOnlyFriend","O amor por toda criatura viva é nosso atributo mais nobre."
"cl-endWorld-10","Nós vivemos em meio a forças de que só percebemos os efeitos."
"cl-endWorld-11","Conhecimento é preferível a ignorância."
"cl-endWorld-12","É uma vida estranha, mas eu nunca anseio pela civilização."
"cl-endWorld-13","Sou um estrangeiro em uma terra estranha."
"cl-endWorld-14","Minha compreensão é somente uma fração do todo que há para entender."
"cl-endWorld-15","Eu não me arrependo pelo sofrimento de minha constituição física."
"cl-endWorld-1","As novas paisagens da natureza me deixam alegre como uma criança."
"cl-endWorld-2","Quão melancólico é o sucesso."
"cl-endWorld-3","Se o perigo fosse eliminado, de onde viria a diversão?"
"cl-endWorld-4","Eu busco o conhecimento com inabalável devoção."
"cl-endWorld-5","A fibra moral do homem está cedendo sob a influência do luxo."
"cl-endWorld-6","Com confiança, você vence mesmo antes de começar."
"cl-endWorld-7","Moralidade comum é só para pessoas comuns."
"cl-endWorld-8","Raças, impérios e nações vem e vão, mas o homem permanece."
"cl-endWorld-9","A aventura é uma empreitada que vale a pena por si só."
"cl-endWorld","Não sou apto a seguir cegamente a liderança de outros homens."
"cl-evt-alreadyVisited","[Por que continuamos a visitar este lugar?|Não tem mais nada aqui.|Eu odeio este lugar.|Eu amo este lugar.|Nós já estivemos aqui antes, não?|Estamos perdendo tempo.|Por que estamos aqui de novo?]"
"cl-expedition-start-1","[E onde é que estamos agora!?|E por que é que viemos aqui?|Este é o lugar onde vamos todos morrer.|Isto vai acabar em sangue!|Então é aqui que você vai fazer com que todos nós sejamos mortos.|Isto vai acabar em lágrimas.|Nada de bom nos espera aqui.|Vai piorar daqui pra frente.]"
"cl-expedition-start-2","[Tem certeza de que é o lugar certo?|Por favor explique de novo o por que de estarmos aqui...|Vamos ser discretos e achar logo o que viemos procurar.|Devíamos encontrar nosso prêmio e partir o mais rápido possível.|Não há recompensa sem risco.|Vir aqui é um grande risco que estou disposto a correr.]"
"cl-expedition-start-3","[Ok, a primeira coisa que precisamos encontrar é ouro.|Eu recomendo que prossigamos para pilhar qualquer um desses templos sagrados.|Dizem que os nativos desta região carregam muitos badulaques de ouro.|O custo desta empreitada é enorme. Precisamos encontrar mais tesouro!|Onde é que eles guardam os ídolos de ouro por aqui?]"
"cl-expedition-start-4","[Tenho certeza de que já estamos sendo observados.|Você talvez não tenha notado, mas acho que estamos sendo observados neste momento.|Que tal vocês irem encontrar o tesouro e eu ficar aqui?|Eu nunca devia ter vindo pra cá.|Eu cometi um erro. Quando o navio vai me levar de volta?|Eu tenho um mau pressentimento sobre isso...|Eu prefiro ficar a bordo do navio, se possível.|Como você pode garantir nossa segurança?]"
"cl-expedition-start-5","[Eu não como muito, mas quando eu como, é de uma extravagância romana.|Agradeça a Deus por mim!|Todo mundo! Agradeçam a Deus por mim.|Isto vai ser uma merda.]"
"cl-expedition-start","[Vamos descobrir o que este lugar nos reserva!|Mal posso esperar pra desvendar os segredos desta terra.|Quaisquer perigos que nos aguardem, vou nos proteger.|Lembrem-se de ficar perto de mim quando sairmos do navio.]"
"cl-fever","[Estou suando como louco!|Me sinto como se estivesse queimando.|Estou cansado.|Acho que estou com febre.]"
"cl-friendReturn","[Estou de volta|Estou tão feliz por estar de volta.|Não sei o que aconteceu.|O que aconteceu?|Eu vi coisas.|Eu realmente não quero falar sobre isso.|Há coisas horríveis lá fora.|Eu nunca vou te deixar de novo.|Você não vai acreditar no que eu passei.]"
"cl-generic-1","[O Senhor está guiando nossos rumos.|Deveríamos rezar mais.]"
"cl-generic-2","[Nada vai ficar em nosso caminho.|Estamos indo muito bem.|Eu queria poder fazer isto o dia todo.|Eu nasci para a aventura.|Não tema.]"
"cl-generic-3","[Eu queria estar em outro lugar.|Isto é terrível.|Por que, oh, por que eu vim com você?|Vir nesta expedição foi um erro terrível.|Eu não gosto disso.|Eu queria que isto acabasse logo.|Eu faria algo diferente ao invés disso.]"
"cl-generic-4","[Deveríamos focar em saquear os templos.|Precisamos encontrar mais tesouros.|Não quero ir pra casa de mãos vazias.|Eu vim nesta expedição pelas riquezas.]"
"cl-generic-5","[Você deve saber o que está fazendo.|Eu provavelmente faria isso diferente.|Não tenho certeza se você sabe mesmo o que está fazendo.|Você tem um plano, não é?|Isto está de acordo com o plano?]"
"cl-generic-6","[Nós vamos todos morrer aqui.|Eu nunca vou voltar pra casa.|Eu não quero morrer nesta terra esquecida.|Isso não é bom, não é bom mesmo.|Não devíamos tocar em nada.|Podemos ir pra casa agora?|Já não vimos o bastante?|Eu realmente pensaria em simplesmente ir embora e voltar pra casa.|Quanto mais ficamos aqui, maiores as chances de morrermos.]"
"cl-generic-cannibal","[Eu não fiz nada.|Tá olhando o que?|Não estou mais com fome.|A vida é boa!|Eu me sinto ótimo!]"
"cl-generic","[Estou falando com os espíritos.|Os espíritos estão olhando por nós.|Estou sentindo algo aqui.]"
"cl-ghostiesVisit-1","[Oh, não, isto não pode ser bom.|Acho que isto não é bom.]"
"cl-ghostiesVisit-2","[Devíamos aceitar o que estão oferecendo. Talvez seja tesouro?]"
"cl-ghostiesVisit-3","[Esses sim são camaradinhas peculiares.|Veja só quem veio visitar.]"
"cl-ghostiesVisit-4","[Você acha que eles são hostis?|E se eles forem perigosos?|Oh, meu Deus!]"
"cl-ghostiesVisit-5","[Oh, olá!|O que são essas criaturas?|Eles parecem ser bem amigáveis, não?]"
"cl-ghostiesVisit","[Os espíritos estão nos visitando!|Os espíritos!|Finalmente vamos encontrar os espíritos!]"
"cl-harbor-1","Quando marchando, assuma a atitude a que mais se sinta inclinado."
"cl-harbor-2","O momento mais feliz na vida é quando se está partindo pra uma jornada."
"cl-harbor-3","Não estamos preocupados com esperanças ou medos, apenas com a verdade."
"cl-harbor-4","Uma pessoa só pode viajar se ela aceitar o que cada lugar trouxer."
"cl-harbor-5","O sábio não espera por nada, e assim evita todo desapontamento."
"cl-harbor-6","Preparação é dois terços de qualquer empreitada."
"cl-harbor-7","Deixe o futuro nos julgar de acordo com nossos feitos."
"cl-harbor-recruit","[Novos recrutas!|E então, quem quer se juntar a nós?|Junte-se a nós em nossa aventura!|Você é feito de matéria firme?|A aventura espera por aqueles com coragem de encará-la de frente.|Além do horizonte está o seu destino.|Juntos podemos realizar grandes coisas.|Imaginem as possibilidades.|Você tem a coragem?]"
"cl-harbor","A humanidade vai tirar mais bem do que mal das novas descobertas."
